	f24pp	S12Hp	31219	S14Hp	F22HpB	f20ppA	f12ppA	f12ppB	S19H1	w12pp	S13Hp	f21pp	f11pp	f4pp	f17ppA	f2pp	s2pp	w2pp	S1Hp	S28Hp	F6H1	S31Hp	F23HpA	S20H1	f28pp	S18H1	S9H1	f14ppA	f1pp	w1pp	s28pp	w28pp	F8H1	F14H1B	f22ppA	s22pp	S22Hp	S27H1	f19pp	w17pp	s17pp	S17H1	w3pp	s3pp	s30pp	w30pp	S15Hp	s27pp	w11pp	w15pp	w16pp	f31pp	S26Hp	w32pp	s32pp	w20pp	s8pp	f17ppB	s12pp	w13pp	F32H1	F3H1	f7pp	f32pp	f29pp	f25pp	s26pp	w26pp	f26pp	f15pp	f16ppB	w25pp	f8pp	w8pp	w24pp	s24pp	f10pp	f6ppA	f6ppB	w31pp	f30pp	S8Hp	f23ppA	f14ppB	w29pp	s29pp	s9pp	w9pp	w7pp	s7pp	w4pp	w6pp	w10pp	s14pp	w14pp	w23pp	s25pp	w19pp	F7H1	f16ppA	F14H1A	S2Hp	w18pp	f18pp
f24pp	0.0	0.09388597751864312	1.1568608572699317	1.1574853591887038	1.1334990281291615	0.09902155824506621	0.06459318292178363	0.0822045872020048	0.14219144881428128	0.07817225296620109	0.06603422016400075	0.09870397750610013	0.1056937523833868	0.1073372818000362	0.10843394942276345	0.08357099284022279	0.09906317435065182	0.11251323056307287	0.1043671767181131	0.22534660399554193	0.2205488872350193	0.15007443203954307	0.24418325123550336	0.17692955071796185	0.12198566222892307	0.20818791182308954	0.12082731174989121	0.12110465800864291	0.11653338688738775	0.10206201445977205	0.11616650937596759	0.11963674760799013	0.18392436630123848	0.1887150222816539	0.137536266397201	0.15644746301895135	0.17468711672507087	0.17492608927574457	0.12450306071986872	0.10244509854672976	0.12568011675135715	0.17396606719469768	0.10864166945210789	0.13971361008741356	0.09687277094933919	0.12093927489179365	0.16741859512953783	0.09289553823581329	0.09294950811030661	0.13257552422003677	0.12063815361292032	0.10593266644372587	0.17274557230887538	0.12676792032839196	0.1258252026026748	0.11611352875830648	0.1293898367307113	0.125167367238018	0.12173965999464226	0.10912829459678035	0.1910279764237948	0.1974985435784172	0.09925275324080482	0.12207065704425829	0.14507142348818206	0.10627351020858442	0.1663210298287533	0.1090261412561537	0.11227544504026139	0.10588101353292481	0.1250379256402103	0.10027157208827206	0.08849331390836102	0.11848653247727345	0.10298878345960043	0.14546975324406172	0.07841623433194378	0.07525769479161745	0.09335478824646448	0.11353048004820504	0.11097467657164048	0.17620605096841746	0.1344066593505423	0.11166475509541511	0.11826675832030827	0.11692000299061746	0.13075097367664026	0.08499220966168342	0.14529798134284913	0.14941388765533606	0.11684620636386737	0.09014876707139784	0.08387621856801546	0.12434898724406862	0.09444960212490974	0.09727151167940315	0.0744502829628879	0.09931010821578773	0.13443943368826375	0.08471444170512446	0.16835860716581164	0.14852804082428783	0.09842134453859683	0.08564414249108745
S12Hp	0.09388597751864312	0.0	1.0718954528827493	1.0725199548015214	1.0485336237419791	0.13207315047630805	0.09764477515302547	0.11525617943324662	0.17524304104552313	0.11482033433608659	0.10268230153388624	0.13535205887598561	0.1423418337532723	0.1439853631699217	0.14508203079264895	0.12021907421010829	0.1357112557205373	0.14916131193295837	0.14101525808799859	0.2619946853654274	0.2571969686049048	0.18672251340942858	0.28083133260538884	0.21357763208784736	0.15863374359880855	0.24483599319297505	0.1574753931197767	0.1577527393785284	0.15318146825727325	0.13871009582965754	0.15281459074585307	0.15628482897787563	0.220572447671124	0.2253631036515394	0.1741843477670865	0.19309554438883686	0.21133519809495638	0.21157417064563006	0.16115114208975423	0.13909317991661524	0.16232819812124263	0.21061414856458316	0.14528975082199339	0.17636169145729907	0.1335208523192247	0.15758735626167913	0.20406667649942334	0.1295436196056988	0.12959758948019212	0.16922360558992228	0.1572862349828058	0.14258074781361135	0.2093936536787609	0.16341600169827744	0.16247328397256028	0.15276161012819198	0.16603791810059682	0.16181544860790348	0.15838774136452777	0.14577637596666584	0.22767605779368028	0.23414662494830268	0.13590083461069033	0.1587187384141438	0.18171950485806754	0.1429215915784699	0.2029691111986388	0.14567422262603918	0.1489235264101469	0.1425290949028103	0.16168600701009578	0.13691965345815754	0.1251413952782465	0.15513461384715893	0.13963686482948592	0.1821178346139472	0.11506431570182926	0.11190577616150293	0.13000286961635	0.15017856141809055	0.14762275794152596	0.21285413233830297	0.1710547407204278	0.1483128364653006	0.15491483969019376	0.15356808436050295	0.16739905504652575	0.12164029103156891	0.1819460627127346	0.18606196902522154	0.15349428773375287	0.12679684844128333	0.12052429993790095	0.16099706861395413	0.13109768349479523	0.13391959304928863	0.1110983643327734	0.13595818958567324	0.17108751505814923	0.12136252307500996	0.20500668853569715	0.18517612219417334	0.1350694259084823	0.12229222386097295
31219	1.1568608572699317	1.0718954528827493	0.0	0.9702015426763946	1.1257138034445742	1.1950480302275965	1.160619654904314	1.178231059184535	1.2382179207968116	1.1777952140873753	1.1656571812851748	1.1983269386272744	1.205316713504561	1.2069602429212103	1.2080569105439376	1.183193953961397	1.198686135471826	1.212136191684247	1.2039901378392872	1.3249695651167162	1.3201718483561935	1.2496973931607172	1.3438062123566774	1.276552511839136	1.2216086233500971	1.3078108729442637	1.2204502728710653	1.220727619129817	1.216156348008562	1.2016849755809462	1.2157894704971417	1.2192597087291643	1.2835473274224127	1.2883379834028281	1.2371592275183751	1.2560704241401255	1.274310077846245	1.2745490503969188	1.2241260218410428	1.2020680596679039	1.2253030778725313	1.2735890283158717	1.208264630573282	1.2393365712085878	1.1964957320705134	1.2205622360129678	1.267041556250712	1.1925184993569875	1.1925724692314807	1.232198485341211	1.2202611147340945	1.2055556275649	1.2723685334300496	1.226390881449566	1.225448163723849	1.2157364898794807	1.2290127978518854	1.224790328359192	1.2213626211158164	1.2087512557179545	1.2906509375449688	1.2971215046995914	1.198875714361979	1.2216936181654323	1.244694384609356	1.2058964713297586	1.2659439909499275	1.2086491023773278	1.2118984061614355	1.205503974654099	1.2246608867613844	1.1998945332094462	1.188116275029535	1.2181094935984476	1.2026117445807745	1.245092714365236	1.178039195453118	1.1748806559127916	1.1929777493676386	1.2131534411693792	1.2105976376928147	1.2758290120895917	1.2340296204717165	1.2112877162165891	1.2178897194414824	1.2165429641117915	1.2303739347978144	1.1846151707828576	1.2449209424640233	1.2490368487765102	1.2164691674850414	1.189771728192572	1.1834991796891896	1.2239719483652427	1.1940725632460838	1.1968944728005773	1.174073244084062	1.1989330693369618	1.2340623948094378	1.1843374028262985	1.2679815682869857	1.2481510019454618	1.1980443056597707	1.1852671036122615
S14Hp	1.1574853591887038	1.0725199548015214	0.9702015426763946	0.0	1.1263383053633462	1.1956725321463686	1.161244156823086	1.1788555611033071	1.2388424227155836	1.1784197160061474	1.1662816832039469	1.1989514405460464	1.205941215423333	1.2075847448399823	1.2086814124627097	1.183818455880169	1.199310637390598	1.212760693603019	1.2046146397580593	1.3255940670354882	1.3207963502749656	1.2503218950794892	1.3444307142754495	1.2771770137579082	1.2222331252688692	1.3084353748630357	1.2210747747898374	1.2213521210485891	1.216780849927334	1.2023094774997183	1.2164139724159138	1.2198842106479364	1.2841718293411848	1.2889624853216002	1.2377837294371472	1.2566949260588975	1.2749345797650171	1.2751735523156909	1.2247505237598149	1.202692561586676	1.2259275797913034	1.2742135302346438	1.208889132492054	1.2399610731273598	1.1971202339892855	1.2211867379317398	1.267666058169484	1.1931430012757596	1.1931969711502528	1.232822987259983	1.2208856166528665	1.206180129483672	1.2729930353488217	1.2270153833683382	1.226072665642621	1.2163609917982527	1.2296372997706575	1.2254148302779642	1.2219871230345885	1.2093757576367266	1.291275439463741	1.2977460066183635	1.199500216280751	1.2223181200842044	1.2453188865281282	1.2065209732485307	1.2665684928686995	1.2092736042960999	1.2125229080802076	1.206128476572871	1.2252853886801565	1.2005190351282182	1.1887407769483072	1.2187339955172196	1.2032362464995465	1.245717216284008	1.17866369737189	1.1755051578315636	1.1936022512864106	1.2137779430881512	1.2112221396115868	1.2764535140083637	1.2346541223904886	1.2119122181353612	1.2185142213602544	1.2171674660305636	1.2309984367165865	1.1852396727016297	1.2455454443827954	1.2496613506952823	1.2170936694038135	1.190396230111344	1.1841236816079617	1.2245964502840148	1.1946970651648559	1.1975189747193493	1.174697746002834	1.1995575712557338	1.2346868967282099	1.1849619047450706	1.2686060702057578	1.2487755038642339	1.1986688075785428	1.1858916055310336
F22HpB	1.1334990281291615	1.0485336237419791	1.1257138034445742	1.1263383053633462	0.0	1.1716862010868263	1.1372578257635437	1.1548692300437648	1.2148560916560414	1.154433384946605	1.1422953521444046	1.1749651094865041	1.1819548843637908	1.18359841378044	1.1846950814031674	1.1598321248206267	1.1753243063310557	1.1887743625434768	1.180628308698517	1.301607735975946	1.2968100192154233	1.226335564019947	1.3204443832159072	1.2531906826983659	1.198246794209327	1.2844490438034935	1.197088443730295	1.1973657899890469	1.1927945188677918	1.178323146440176	1.1924276413563715	1.195897879588394	1.2601854982816425	1.264976154262058	1.213797398377605	1.2327085949993553	1.2509482487054748	1.2511872212561486	1.2007641927002726	1.1787062305271336	1.2019412487317611	1.2502271991751015	1.1849028014325118	1.2159747420678175	1.1731339029297432	1.1972004068721975	1.2436797271099418	1.1691566702162173	1.1692106400907105	1.2088366562004407	1.1968992855933243	1.1821937984241297	1.2490067042892794	1.2030290523087959	1.2020863345830788	1.1923746607387105	1.2056509687111152	1.2014284992184219	1.1980007919750462	1.1853894265771843	1.2672891084041986	1.2737596755588212	1.1755138852212088	1.198331789024662	1.2213325554685859	1.1825346421889884	1.2425821618091573	1.1852872732365576	1.1885365770206653	1.1821421455133287	1.2012990576206142	1.176532704068676	1.1647544458887649	1.1947476644576773	1.1792499154400042	1.2217308852244657	1.1546773663123477	1.1515188267720213	1.1696159202268683	1.189791612028609	1.1872358085520445	1.2524671829488214	1.2106677913309463	1.187925887075819	1.1945278903007122	1.1931811349710213	1.2070121056570442	1.1612533416420874	1.221559113323253	1.22567501963574	1.1931073383442712	1.1664098990518017	1.1601373505484194	1.2006101192244725	1.1707107341053136	1.173532643659807	1.1507114149432918	1.1755712401961915	1.2107005656686676	1.1609755736855283	1.2446197391462155	1.2247891728046916	1.1746824765190005	1.1619052744714913
f20ppA	0.09902155824506621	0.13207315047630805	1.1950480302275965	1.1956725321463686	1.1716862010868263	0.0	0.07780314566868404	0.11269642410775209	0.17268328572002856	0.11995591506250967	0.10781788226030933	0.14048763960240873	0.14747741447969537	0.14912094389634478	0.15021761151907204	0.12535465493653136	0.1408468364469604	0.15429689265938146	0.1461508388144217	0.26713026609185053	0.2623325493313279	0.19185809413585167	0.28596691333181196	0.21871321281427042	0.16376932432523167	0.24997157391939812	0.1626109738461998	0.1628883201049515	0.15831704898369633	0.14384567655608063	0.1579501714722762	0.16142040970429872	0.22570802839754706	0.2304986843779625	0.17931992849350958	0.19823112511525995	0.21647077882137944	0.21670975137205317	0.1662867228161773	0.14422876064303836	0.16746377884766572	0.21574972929100628	0.15042533154841647	0.18149727218372216	0.1386564330456478	0.16272293698810225	0.2092022572258464	0.13467920033212188	0.1347331702066152	0.17435918631634534	0.16242181570922892	0.14771632854003447	0.21452923440518396	0.16855158242470053	0.1676088646989834	0.15789719085461507	0.1711734988270199	0.1669510293343266	0.16352332209095083	0.15091195669308893	0.2328116385201034	0.2392822056747258	0.14103641533711342	0.16385431914056686	0.18685508558449065	0.14805717230489301	0.20810469192506187	0.1508098033524623	0.15405910713656998	0.1476646756292334	0.1668215877365189	0.14205523418458063	0.1302769760046696	0.16027019457358205	0.144772445555909	0.18725341534037032	0.12019989642825235	0.11704135688792602	0.13513845034277308	0.1553141421445136	0.15275833866794908	0.21798971306472603	0.17619032144685087	0.1534484171917237	0.16005042041661685	0.15870366508692604	0.17253463577294886	0.126775871757992	0.18708164343915773	0.19119754975164466	0.15862986846017596	0.13193242916770642	0.12565988066432404	0.1661326493403772	0.13623326422121834	0.13905517377571175	0.11623394505919649	0.1410937703120963	0.17622309578457235	0.12649810380143306	0.21014226926212023	0.1903117029205964	0.1402050066349054	0.12742780458739605
f12ppA	0.06459318292178363	0.09764477515302547	1.160619654904314	1.161244156823086	1.1372578257635437	0.07780314566868404	0.0	0.07826804878446951	0.13825491039674598	0.0855275397392271	0.07338950693702675	0.10605926427912614	0.1130490391564128	0.1146925685730622	0.11578923619578946	0.0909262796132488	0.10641846112367781	0.11986851733609888	0.11172246349113911	0.23270189076856795	0.2279041740080453	0.1574297188125691	0.2515385380085294	0.18428483749098784	0.1293409490019491	0.21554319859611554	0.12818259852291722	0.12845994478166892	0.12388867366041376	0.10941730123279805	0.1235217961489936	0.12699203438101614	0.19127965307426448	0.19607030905467993	0.144891553170227	0.16380274979197737	0.18204240349809686	0.1822813760487706	0.1318583474928947	0.10980038531975576	0.13303540352438314	0.1813213539677237	0.1159969562251339	0.14706889686043959	0.10422805772236521	0.12829456166481967	0.17477388190256382	0.1002508250088393	0.10030479488333263	0.13993081099306276	0.12799344038594634	0.11328795321675188	0.18010085908190138	0.13412320710141795	0.13318048937570082	0.12346881553133249	0.13674512350373733	0.13252265401104402	0.12909494676766825	0.11648358136980635	0.1983832631968208	0.20485383035144322	0.10660804001383084	0.12942594381728428	0.15242671026120808	0.11362879698161042	0.1736763166017793	0.11638142802917971	0.1196307318132874	0.11323630030595082	0.13239321241323632	0.10762685886129805	0.09584860068138701	0.12584181925029947	0.11034407023262643	0.15282504001708774	0.08577152110496977	0.08261298156464345	0.1007100750194905	0.12088576682123105	0.11832996334466649	0.18356133774144345	0.1417619461235683	0.11902004186844112	0.12562204509333427	0.12427528976364347	0.13810626044966628	0.09234749643470942	0.15265326811587515	0.15676917442836208	0.12420149313689338	0.09750405384442384	0.09123150534104146	0.1317042740170946	0.10180488889793575	0.10462679845242916	0.08180556973591391	0.10666539498881374	0.14179472046128977	0.09206972847815047	0.17571389393883766	0.15588332759731383	0.10577663131162282	0.09299942926411346
f12ppB	0.0822045872020048	0.11525617943324662	1.178231059184535	1.1788555611033071	1.1548692300437648	0.11269642410775209	0.07826804878446951	0.0	0.14719118744599852	0.10313894401944826	0.09100091121724792	0.1236706685593473	0.13066044343663397	0.13230397285328338	0.13340064047601063	0.10853768389346996	0.12402986540389899	0.13747992161632006	0.12933386777136027	0.2503132950487891	0.24551557828826648	0.17504112309279024	0.26914994228875055	0.20189624177120902	0.14695235328217024	0.23315460287633671	0.14579400280313837	0.14607134906189007	0.1415000779406349	0.1270287055130192	0.14113320042921476	0.14460343866123732	0.20889105735448565	0.21368171333490107	0.16250295745044818	0.18141415407219852	0.19965380777831804	0.19989278032899174	0.1494697517731159	0.12741178959997693	0.15064680780460432	0.19893275824794485	0.13360836050535507	0.16468030114066073	0.12183946200258636	0.14590596594504082	0.192385286182785	0.11786222928906046	0.11791619916355378	0.15754221527328394	0.1456048446661675	0.13089935749697304	0.19771226336212255	0.15173461138163913	0.15079189365592197	0.14108021981155366	0.15435652778395847	0.15013405829126517	0.14670635104788943	0.13409498565002753	0.21599466747704196	0.22246523463166437	0.12421944429405199	0.14703734809750546	0.17003811454142922	0.13124020126183158	0.19128772088200047	0.13399283230940087	0.13724213609350855	0.13084770458617198	0.15000461669345747	0.12523826314151923	0.11346000496160819	0.14345322353052062	0.1279554745128476	0.1704364442973089	0.10338292538519095	0.10022438584486462	0.11832147929971165	0.1384971711014522	0.13594136762488765	0.20117274202166463	0.15937335040378947	0.1366314461486623	0.14323344937355542	0.14188669404386461	0.15571766472988743	0.10995890071493059	0.1702646723960963	0.17438057870858323	0.14181289741711456	0.115115458124645	0.10884290962126263	0.1493156782973158	0.11941629317815691	0.12223820273265032	0.09941697401613507	0.1242767992690349	0.15940612474151092	0.10968113275837163	0.1933252982190588	0.173494731877535	0.123388035591844	0.11061083354433462
S19H1	0.14219144881428128	0.17524304104552313	1.2382179207968116	1.2388424227155836	1.2148560916560414	0.17268328572002856	0.13825491039674598	0.14719118744599852	0.0	0.16312580563172474	0.1509877728295244	0.18365753017162378	0.19064730504891045	0.19229083446555983	0.1933875020882871	0.16852454550574644	0.18401672701617547	0.1974667832285965	0.18932072938363675	0.3103001566610656	0.30550243990054293	0.23502798470506675	0.329136803901027	0.2618831033834855	0.20693921489444672	0.2931414644886132	0.20578086441541488	0.20605821067416658	0.20148693955291141	0.1870155671252957	0.20112006204149124	0.20459030027351377	0.26887791896676216	0.27366857494717756	0.22248981906272464	0.24140101568447503	0.2596406693905945	0.2598796419412682	0.20945661338539237	0.1873986512122534	0.21063366941688078	0.25891961986022133	0.19359522211763153	0.22466716275293724	0.18182632361486284	0.2058928275573173	0.25237214779506145	0.17784909090133694	0.17790306077583026	0.21752907688556042	0.20559170627844398	0.19088621910924952	0.25769912497439906	0.21172147299391558	0.21077875526819845	0.20106708142383012	0.21434338939623498	0.21012091990354165	0.2066932126601659	0.19408184726230399	0.27598152908931844	0.28245209624394085	0.18420630590632847	0.20702420970978194	0.2300249761537057	0.19122706287410807	0.2512745824942769	0.19397969392167735	0.19722899770578506	0.19083456619844846	0.20999147830573395	0.1852251247537957	0.17344686657388467	0.2034400851427971	0.18794233612512407	0.23042330590958537	0.16336978699746743	0.1602112474571411	0.17830834091198813	0.1984840327137287	0.19592822923716413	0.2611596036339411	0.21936021201606595	0.19661830776093875	0.20322031098583193	0.20187355565614112	0.21570452634216392	0.16994576232720707	0.23025153400837278	0.2343674403208597	0.201799759029391	0.17510231973692147	0.1688297712335391	0.20930253990959227	0.1794031547904334	0.1822250643449268	0.15940383562841154	0.18426366088131138	0.2193929863537874	0.1696679943706481	0.25331215983133526	0.23348159348981146	0.18337489720412045	0.1705976951566111
w12pp	0.07817225296620109	0.11482033433608659	1.1777952140873753	1.1784197160061474	1.154433384946605	0.11995591506250967	0.0855275397392271	0.10313894401944826	0.16312580563172474	0.0	0.05911556847713818	0.10745224936621789	0.11444202424350455	0.11608555366015395	0.11718222128288121	0.09231926470034055	0.10781144621076957	0.12126150242319063	0.11311544857823086	0.2340948758556597	0.22929715909513707	0.15882270389966086	0.2529315230956211	0.1856778225780796	0.13073393408904083	0.2169361836832073	0.12957558361000898	0.12985292986876068	0.12528165874750552	0.1108102863198898	0.12491478123608535	0.12838501946810787	0.19267263816135624	0.19746329414177166	0.14628453825731874	0.16519573487906913	0.18343538858518862	0.18367436113586233	0.13325133257998648	0.11119337040684751	0.13442838861147488	0.18271433905481543	0.11738994131222565	0.14846188194753135	0.10562104280945694	0.1296875467519114	0.17616686698965558	0.10164381009593104	0.10169777997042437	0.14132379608015452	0.12938642547303808	0.11468093830384363	0.18149384416899314	0.1355161921885097	0.13457347446279255	0.12486180061842424	0.1381381085908291	0.13391563909813575	0.13048793185476001	0.1178765664568981	0.19977624828391255	0.20624681543853496	0.10800102510092258	0.13081892890437605	0.1538196953482998	0.11502178206870217	0.17506930168887105	0.11777441311627146	0.12102371690037915	0.11462928539304257	0.13378619750032805	0.10901984394838982	0.09724158576847877	0.1272348043373912	0.11173705531971818	0.15421802510417948	0.08716450619206154	0.08400596665173521	0.10210306010658224	0.1222787519083228	0.11972294843175824	0.18495432282853522	0.14315493121066006	0.12041302695553287	0.12701503018042604	0.12566827485073523	0.13949924553675802	0.09374048152180117	0.1540462532029669	0.15816215951545382	0.12559447822398512	0.0988970389315156	0.09262449042813321	0.13309725910418638	0.1031978739850275	0.1060197835395209	0.08319855482300566	0.10805838007590549	0.1431877055483815	0.09346271356524222	0.17710687902592942	0.1572763126844056	0.10716961639871458	0.09439241435120521
