	F7H1	S18H1	S17H1	S26Hp	S19H1	S27H1	s25pp	S9H1	S15Hp	530451	S28Hp	S4Hp	f8pp	s29pp	S20H1	F14H1A	s3pp	S1Hp	S13Hp	S22Hp	F23HpA
F7H1	0.0	0.3356930037968682	0.5683466913409998	0.5203682582282132	0.5629580918426109	0.5490581221487074	0.4270631817254139	0.5311517368319549	0.5472899604209291	0.5792925376021265	0.49368769696982534	0.5232380008199087	0.3662309627283069	0.486472896416597	0.5284420272286801	0.48883194780708444	0.4361137873772627	0.5483059516688591	0.7737960791416443	0.5471562235731975	0.3664718255647408
S18H1	0.3356930037968682	0.0	0.46092158425547397	0.41294315114268726	0.455532984757085	0.4416330150631815	0.3196380746398881	0.423726629746429	0.4398648533354032	0.4718674305166007	0.38626258988429946	0.4158128937343828	0.2588058556427811	0.37904778933107114	0.42101692014315417	0.3814068407215586	0.32868868029173687	0.44088084458333326	0.6663709720561185	0.43973111648767166	0.3569859909009573
S17H1	0.5683466913409998	0.46092158425547397	0.0	0.426795432639685	0.5731416440249293	0.5592416743310258	0.4372467339077324	0.5413352890142733	0.5574735126032475	0.5973327955907342	0.5117279549584329	0.5412782588085163	0.4085801192585324	0.5588453590194751	0.6008144898315582	0.5612044104099625	0.5084862499801408	0.6206784142717372	0.8461685417445224	0.6195286861760756	0.5896396784450889
S26Hp	0.5203682582282132	0.41294315114268726	0.426795432639685	0.0	0.5251632109121427	0.5112632412182392	0.38926830079494573	0.49335685590148665	0.5094950794904609	0.5493543624779474	0.4637495218456462	0.4932998256957296	0.36060168614574567	0.5108669259066884	0.5528360567187713	0.5132259772971759	0.46050781686735404	0.5726999811589505	0.7981901086317357	0.5715502530632889	0.5416612453323022
S19H1	0.5629580918426109	0.455532984757085	0.5731416440249293	0.5251632109121427	0.0	0.3304245954525207	0.31396868792311416	0.4685265015530772	0.4846647251420514	0.5919441960923452	0.5063393554600439	0.5358896593101273	0.4031915197601434	0.5534567595210861	0.5954258903331691	0.5558158109115736	0.5030976504817517	0.6152898147733482	0.8407799422461334	0.6141400866776866	0.5842510789466999
S27H1	0.5490581221487074	0.4416330150631815	0.5592416743310258	0.5112632412182392	0.3304245954525207	0.0	0.3000687182292106	0.4546265318591737	0.4707647554481479	0.5780442263984417	0.49243938576614044	0.5219896896162238	0.3892915500662399	0.5395567898271826	0.5815259206392656	0.5419158412176701	0.48919768078784825	0.6013898450794447	0.8268799725522299	0.6002401169837831	0.5703511092527964
s25pp	0.4270631817254139	0.3196380746398881	0.4372467339077324	0.38926830079494573	0.31396868792311416	0.3000687182292106	0.0	0.3326315914358803	0.3487698150248545	0.45604928597514827	0.37044444534284704	0.3999947491929304	0.26729660964294644	0.41756184940388913	0.45953098021597216	0.4199209007943766	0.3672027403645548	0.47939490465615126	0.7048850321289364	0.47824517656048965	0.448356168829503
S9H1	0.5311517368319549	0.423726629746429	0.5413352890142733	0.49335685590148665	0.4685265015530772	0.4546265318591737	0.3326315914358803	0.0	0.3909483339744694	0.5601378410816892	0.47453300044938795	0.5040833042994713	0.3713851647494874	0.5216504045104301	0.5636195353225131	0.5240094559009176	0.4712912954710958	0.5834834597626922	0.8089735872354774	0.5823337316670306	0.5524447239360439
S15Hp	0.5472899604209291	0.4398648533354032	0.5574735126032475	0.5094950794904609	0.4846647251420514	0.4707647554481479	0.3487698150248545	0.3909483339744694	0.0	0.5762760646706634	0.49067122403836216	0.5202215278884456	0.3875233883384616	0.5377886280994043	0.5797577589114873	0.5401476794898918	0.48742951906007	0.5996216833516664	0.8251118108244516	0.5984719552560048	0.5685829475250181
530451	0.5792925376021265	0.4718674305166007	0.5973327955907342	0.5493543624779474	0.5919441960923452	0.5780442263984417	0.45604928597514827	0.5601378410816892	0.5762760646706634	0.0	0.35051472949245255	0.44369714092742696	0.4195259655196591	0.5697912052806018	0.6117603360926849	0.5721502566710892	0.5194320962412675	0.6316242605328639	0.8571143880056491	0.6304745324372023	0.6005855247062156
