	F1H1	31021	S25Hp	S6Hp	S17H1	S2Hp	S29H1	S22Hp	F32H1	31328	s24H1	S21H1	F7H1	F23HpA	530258	31300	F8H1	530119	530050	S11Hp	s26pp	s27pp	S23Hp	s23pp	s2pp	s32pp	s1pp	w30pp	s22pp	s28pp	s13pp	s7pp	s25pp	31750	531414	F14H1B	S8Hp	S7Hp	s14pp	s19pp	s30pp	S30H1	s17pp	s24pp	s29pp	S10H1	s3pp	S28Hp	s12pp	s10pp	F29H1	S31Hp	S4Hp	S15Hp	31009	S3Hp	F22H1A	F6H1	S26Hp
F1H1	0.0	0.19332073766525626	0.14424587025379812	0.22992674011417222	0.31100008613696106	0.3116726522731537	0.34929621816654327	0.3536885173436889	0.3333629726002564	0.33811969479742376	0.34697154771554006	0.3523221430694766	0.3412342901138876	0.3026284583114606	0.36830464416890485	0.3415365974004881	0.32762206326060367	0.3484183611836673	0.369677754192516	0.32331503159306696	0.38401889574526776	0.4296790714779083	0.5011222096952477	0.5002388973824163	0.4005319250904669	0.41454001427619186	0.4408976564153975	0.5145421177429794	0.4482719384117889	0.4517240884095998	0.4580904215272808	0.4135604403575173	0.34908167633359616	0.4945223936929662	0.4872211097744531	0.41347741897869256	0.38556673226170646	0.3542726776487813	0.4780767052092045	0.4636473084035918	0.424230434838163	0.5072223703574339	0.40475413077050026	0.44562030944991976	0.4589559729757793	0.34817625923273593	0.3669593159285372	0.29290186186584394	0.3896368254779396	0.3547090054808419	0.3151658432791604	0.2565577972396712	0.28116011634814897	0.3509803873699824	0.33473770220542254	0.2879850383723591	0.2804913360764385	0.22058743657608873	0.1888681160851113
31021	0.19332073766525626	0.0	0.060784115002407074	0.2042753597674587	0.2853487057902475	0.2860212719264402	0.3236448378198298	0.32803713699697534	0.3077115922535429	0.3124683144507102	0.32132016736882657	0.32667076272276313	0.31558290976717407	0.27697707796474713	0.3426532638221913	0.3158852170537746	0.3019706829138902	0.32276698083695377	0.3440263738458025	0.29766365124635347	0.35836751539855427	0.4040276911311948	0.47547082934853413	0.4745875170357029	0.37488054474375343	0.38888863392947837	0.41524627606868403	0.48889073739626593	0.4226205580650754	0.42607270806288633	0.4324390411805673	0.38790906001080383	0.32343029598688267	0.4688710133462527	0.4615697294277396	0.38782603863197906	0.35991535191499296	0.3286212973020678	0.452425324862491	0.4379959280568783	0.3985790544914495	0.4815709900107204	0.37910275042378677	0.41996892910320627	0.4333045926290658	0.32252487888602244	0.3413079355818237	0.26725048151913045	0.3639854451312261	0.3290576251341284	0.2895144629324469	0.2309064168929577	0.2555087360014354	0.32532900702326883	0.30908632185870905	0.2623336580256456	0.254839955729725	0.1949360562293752	0.1632167357383978
S25Hp	0.14424587025379812	0.060784115002407074	0.0	0.15520049235600053	0.23627383837878935	0.23694640451498206	0.2745699704083716	0.2789622695855172	0.2586367248420847	0.26339344703925205	0.2722452999573684	0.27759589531130496	0.2665080423557159	0.22790221055328896	0.29357839641073313	0.2668103496423164	0.252895815502432	0.2736921134254956	0.2949515064343443	0.2485887838348953	0.3092926479870961	0.35495282371973663	0.42639596193707596	0.42551264962424473	0.32580567733229526	0.3398137665180202	0.36617140865722586	0.43981586998480776	0.37354569065361726	0.37699784065142816	0.38336417376910914	0.33883419259934566	0.2743554285754245	0.41979614593479453	0.41249486201628144	0.3387511712205209	0.3108404845035348	0.2795464298906096	0.4033504574510328	0.38892106064542015	0.3495041870799913	0.43249612259926223	0.3300278830123286	0.3708940616917481	0.3842297252176076	0.27345001147456427	0.29223306817036554	0.21817561410767228	0.31491057771976794	0.27998275772267023	0.24043959552098876	0.18183154948149954	0.20643386858997725	0.27625413961181067	0.2600114544472509	0.21325879061418745	0.20576508831826684	0.14586118881791704	0.11414186832693962
S6Hp	0.22992674011417222	0.2042753597674587	0.15520049235600053	0.0	0.2348486963000032	0.23552126243619587	0.2731448283295854	0.27753712750673104	0.25721158276329853	0.2619683049604659	0.2708201578785822	0.2761707532325188	0.26508290027692977	0.22647706847450277	0.292153254331947	0.26538520756353023	0.2514706734236458	0.27226697134670946	0.2935263643555581	0.24716364175610916	0.3078675059083099	0.35352768164095044	0.42497081985828977	0.42408750754545854	0.3243805352535091	0.338388624439234	0.36474626657843967	0.43839072790602157	0.37212054857483107	0.37557269857264197	0.38193903169032295	0.3374090505205595	0.2729302864966383	0.41837100385600834	0.41106971993749525	0.3373260291417347	0.3094153424247486	0.27812128781182344	0.4019253153722466	0.38749591856663396	0.3480790450012051	0.43107098052047604	0.3286027409335424	0.3694689196129619	0.38280458313882143	0.2720248693957781	0.29080792609157935	0.2167504720288861	0.31348543564098175	0.27855761564388404	0.23901445344220262	0.1804064074027134	0.20500872651119112	0.27482899753302453	0.2585863123684647	0.21183364853540132	0.2347640070394597	0.1748601075391099	0.16142645567027053
S17H1	0.31100008613696106	0.2853487057902475	0.23627383837878935	0.2348486963000032	0.0	0.061676799942789	0.26142350168139683	0.26581580085854245	0.24549025611510997	0.26689376948819576	0.27574562240631206	0.2810962177602486	0.2700083648046596	0.23140253300223262	0.29707871885967685	0.27031067209126014	0.2563961379513757	0.2771924358744393	0.29845182888328803	0.252089106283839	0.3439189115053287	0.3895790872379693	0.4610222254553086	0.46013891314247735	0.3604319408505279	0.3744400300362528	0.4007976721754585	0.47444213350304043	0.4081719541718499	0.4116241041696608	0.41799043728734175	0.3734604561175783	0.3089816920936571	0.45442240945302714	0.4471211255345141	0.3733774347387535	0.34546674802176747	0.31417269340884224	0.43797672096926543	0.4235473241636528	0.3841304505982239	0.4671223861174949	0.3646541465305613	0.4055203252099807	0.4188559887358403	0.3080762749927969	0.32685933168859815	0.2528018776259049	0.34953684123800055	0.31460902124090284	0.2750658590392214	0.2164578129997322	0.26694145559691085	0.33676172661874426	0.3205190414541844	0.27376637762112105	0.3158373530622485	0.2559334535618987	0.24249980169305935
S2Hp	0.3116726522731537	0.2860212719264402	0.23694640451498206	0.23552126243619587	0.061676799942789	0.0	0.26209606781758954	0.2664883669947351	0.24616282225130265	0.2675663356243884	0.2764181885425048	0.28176878389644133	0.27068093094085227	0.2320750991384253	0.2977512849958695	0.2709832382274528	0.2570687040875684	0.27786500201063197	0.2991243950194807	0.25276167242003167	0.3445914776415214	0.39025165337416196	0.4616947915915013	0.46081147927867006	0.3611045069867206	0.3751125961724455	0.4014702383116512	0.4751146996392331	0.4088445203080426	0.4122966703058535	0.41866300342353446	0.374133022253771	0.3096542582298498	0.45509497558921985	0.44779369167070676	0.3740500008749462	0.3461393141579601	0.31484525954503495	0.43864928710545814	0.42421989029984547	0.38480301673441664	0.46779495225368756	0.3653267126667539	0.4061928913461734	0.41952855487203294	0.3087488411289896	0.32753189782479086	0.2534744437620976	0.35020940737419326	0.31528158737709555	0.27573842517541414	0.21713037913592492	0.26761402173310356	0.33743429275493697	0.3211916075903771	0.2744389437573137	0.3165099191984412	0.2566060196980914	0.24317236782925203
S29H1	0.34929621816654327	0.3236448378198298	0.2745699704083716	0.2731448283295854	0.26142350168139683	0.26209606781758954	0.0	0.2756358315402244	0.25531028679679196	0.30518990151777803	0.3140417544358943	0.3193923497898309	0.3083044968342419	0.2696986650318149	0.3353748508892591	0.30860680412084235	0.29469226998095793	0.3154885679040216	0.33674796091287024	0.2903852383134212	0.382215043534911	0.4278752192675515	0.49931835748489084	0.4984350451720596	0.39872807288011014	0.4127361620658351	0.43909380420504074	0.5127382655326227	0.44646808620143213	0.44992023619924304	0.456286569316924	0.41175658814716054	0.3472778241232394	0.4927185414826094	0.4854172575640963	0.4116735667683358	0.3837628800513497	0.3524688254384245	0.4762728529988477	0.461843456193235	0.4224265826278062	0.5054185181470772	0.4029502785601435	0.443816457239563	0.4571521207654225	0.34637240702237915	0.3651554637181804	0.29109800965548716	0.3878329732675828	0.3529051532704851	0.3133619910688037	0.2547539450293145	0.3052375876264931	0.3750578586483265	0.3588151734837667	0.31206250965070326	0.35413348509183074	0.29422958559148094	0.28079593372264156
S22Hp	0.3536885173436889	0.32803713699697534	0.2789622695855172	0.27753712750673104	0.26581580085854245	0.2664883669947351	0.2756358315402244	0.0	0.22563347574363743	0.3095822006949236	0.3184340536130399	0.32378464896697645	0.31269679601138745	0.27409096420896045	0.3397671500664047	0.31299910329798797	0.29908456915810355	0.31988086708116714	0.34114026009001586	0.29477753749056684	0.38660734271205655	0.43226751844469713	0.5037106566620364	0.5028273443492052	0.4031203720572557	0.41712846124298064	0.4434861033821863	0.5171305647097683	0.45086038537857775	0.4543125353763886	0.4606788684940696	0.4161488873243061	0.35167012330038494	0.49711084065975497	0.48980955674124194	0.41606586594548134	0.3881551792284953	0.35686112461557007	0.48066515217599326	0.46623575537038064	0.42681888180495176	0.5098108173242227	0.4073425777372891	0.44820875641670854	0.4615444199425681	0.3507647061995247	0.369547762895326	0.2954903088326327	0.3922252724447284	0.35729745244763067	0.31775429024594926	0.25914624420646004	0.3096298868036387	0.3794501578254721	0.36320747266091225	0.3164548088278489	0.35852578426897636	0.29862188476862656	0.2851882328997872
F32H1	0.3333629726002564	0.3077115922535429	0.2586367248420847	0.25721158276329853	0.24549025611510997	0.24616282225130265	0.25531028679679196	0.22563347574363743	0.0	0.2892566559514911	0.29810850886960744	0.303459104223544	0.29237125126795493	0.253765419465528	0.31944160532297217	0.29267355855455546	0.27875902441467104	0.29955532233773463	0.32081471534658335	0.2744519927471344	0.3662817979686241	0.4119419737012646	0.48338511191860395	0.4825017996057727	0.38279482731382325	0.3968029164995482	0.42316055863875385	0.49680501996633575	0.43053484063514524	0.43398699063295615	0.4403533237506371	0.39582334258087365	0.3313445785569525	0.4767852959163225	0.4694840119978094	0.3957403212020489	0.3678296344850628	0.3365355798721376	0.4603396074325608	0.44591021062694813	0.4064933370615193	0.4894852725807902	0.3870170329938566	0.4278832116732761	0.4412188751991356	0.33043916145609226	0.3492222181518935	0.27516476408920026	0.3718997277012959	0.3369719077041982	0.29742874550251674	0.23882069946302759	0.28930434206020617	0.3591246130820396	0.3428819279174798	0.2961292640844164	0.3382002395255439	0.2782963400251941	0.26486268815635466
31328	0.33811969479742376	0.3124683144507102	0.26339344703925205	0.2619683049604659	0.26689376948819576	0.2675663356243884	0.30518990151777803	0.3095822006949236	0.2892566559514911	0.0	0.2830408998245004	0.288391495178437	0.2773036422228479	0.23869781042042093	0.30437399627786516	0.2776059495094484	0.263691415369564	0.2844877132926276	0.3057471063014763	0.2593843837020273	0.3710385201657914	0.416698695898432	0.4881418341157713	0.48725852180294005	0.3875515495109906	0.4015596386967155	0.4279172808359212	0.5015617421635031	0.43529156283231263	0.4387437128301235	0.44511004594780446	0.400580064778041	0.3361013007541198	0.48154201811348984	0.4742407341949768	0.4004970433992162	0.37258635668223017	0.34129230206930494	0.46509632962972813	0.4506669328241155	0.41125005925868663	0.4942419947779576	0.391773755191024	0.4326399338704434	0.445975597396303	0.3351958836532596	0.35397894034906086	0.2799214862863676	0.37665644989846325	0.34172862990136554	0.30218546769968413	0.24357742166019491	0.29406106425737355	0.36388133527920696	0.3476386501146471	0.30088598628158375	0.34295696172271123	0.28305306222236143	0.26961941035352205
