	F14H1B	S26Hp	s23pp	s7pp	s27pp	s26pp	S28Hp	S22Hp	S25Hp	S16H2	F22H1A	s24H1	F6H1	S15Hp	S13Hp	S7Hp	S31Hp	S10H1	S3Hp	S21H1	530451
F14H1B	0.0	0.04688357480663184	0.5065874437438633	0.5174554101391514	0.5577401836019149	0.6154342000506741	0.5491086057002625	0.509076257124158	0.49755074291147156	0.5661582861483975	0.581202427967052	0.5968772483165424	0.5965307849109949	0.5959955170617766	0.6416360122086822	0.40466076015079955	0.49240281696504307	0.503836974023547	0.5020296257781465	0.45207350947173075	0.4336813250112764
S26Hp	0.04688357480663184	0.0	0.5043465707956237	0.5152145371909117	0.5554993106536752	0.6131933271024343	0.5468677327520229	0.5068353841759183	0.4953098699632319	0.5639174132001578	0.5789615550188124	0.5946363753683027	0.5942899119627553	0.5937546441135368	0.6393951392604426	0.4024198872025599	0.49016194401680335	0.5015961010753073	0.49978875282990676	0.44983263652349115	0.4314404520630367
s23pp	0.5065874437438633	0.5043465707956237	0.0	0.3707825565298848	0.4110673299926483	0.46876134644140743	0.402435752090996	0.4380575777338985	0.42653206352121203	0.49513960675813795	0.5101837485767926	0.5258585689262829	0.5255121055207355	0.524976837671517	0.5706173328184228	0.36568274559504166	0.4534248024092852	0.4648589594677891	0.4630516112223886	0.45440634798581847	0.43601416352536404
s7pp	0.5174554101391514	0.5152145371909117	0.3707825565298848	0.0	0.10908339737253772	0.16677741382129688	0.1004518194708855	0.4489255441291865	0.43740002991650007	0.506007573153426	0.5210517149720806	0.536726535321571	0.5363800719160234	0.535844804066805	0.5814852992137107	0.37655071199032975	0.46429276880457315	0.4757269258630772	0.4739195776176766	0.46527431438110645	0.44688212992065207
s27pp	0.5577401836019149	0.5554993106536752	0.4110673299926483	0.10908339737253772	0.0	0.16249435747417856	0.0961687631237672	0.48921031759195	0.47768480337926356	0.5462923466161895	0.5613364884348441	0.5770113087843345	0.5766648453787869	0.5761295775295685	0.6217700726764742	0.4168354854530932	0.5045775422673366	0.5160116993258406	0.51420435108044	0.5055590878438699	0.4871669033834155
s26pp	0.6154342000506741	0.6131933271024343	0.46876134644140743	0.16677741382129688	0.16249435747417856	0.0	0.080427770867525	0.5469043340407092	0.5353788198280227	0.6039863630649487	0.6190305048836032	0.6347053252330936	0.6343588618275461	0.6338235939783277	0.6794640891252334	0.47452950190185234	0.5622715587160958	0.5737057157745997	0.5718983675291992	0.5632531042926291	0.5448609198321747
S28Hp	0.5491086057002625	0.5468677327520229	0.402435752090996	0.1004518194708855	0.0961687631237672	0.080427770867525	0.0	0.48057873969029774	0.4690532254776113	0.5376607687145372	0.5527049105331918	0.5683797308826821	0.5680332674771347	0.5674979996279162	0.613138494774822	0.4082039075514409	0.4959459643656844	0.5073801214241884	0.5055727731787878	0.4969275099422177	0.47853532548176325
S22Hp	0.509076257124158	0.5068353841759183	0.4380575777338985	0.4489255441291865	0.48921031759195	0.5469043340407092	0.48057873969029774	0.0	0.3766699810157813	0.4452775242527072	0.4603216660713618	0.4759964864208522	0.4756500230153047	0.47511475516608626	0.520755250312992	0.36817155897533627	0.4559136157895798	0.4673477728480837	0.4655404246026832	0.4568951613661131	0.43850297690565865
S25Hp	0.49755074291147156	0.4953098699632319	0.42653206352121203	0.43740002991650007	0.47768480337926356	0.5353788198280227	0.4690532254776113	0.3766699810157813	0.0	0.3810210625814442	0.39606520440009885	0.41174002474958915	0.4113935613440417	0.4108582934948233	0.456498788641729	0.3566460447626498	0.44438810157689335	0.45582225863539727	0.45401491038999675	0.44536964715342664	0.4269774626929722
S16H2	0.5661582861483975	0.5639174132001578	0.49513960675813795	0.506007573153426	0.5462923466161895	0.6039863630649487	0.5376607687145372	0.4452775242527072	0.3810210625814442	0.0	0.32227065089356677	0.33794547124305707	0.44386853979076457	0.44333327194154615	0.48897376708845186	0.4252535879995758	0.5129956448138193	0.5244298018723232	0.5226224536269227	0.5139771903903525	0.4955850059298981
F22H1A	0.581202427967052	0.5789615550188124	0.5101837485767926	0.5210517149720806	0.5613364884348441	0.6190305048836032	0.5527049105331918	0.4603216660713618	0.39606520440009885	0.32227065089356677	0.0	0.041960733197264496	0.4589126816094191	0.45837741376020075	0.5040179089071064	0.4402977298182304	0.5280397866324739	0.5394739436909779	0.5376665954455773	0.5290213322090072	0.5106291477485527
s24H1	0.5968772483165424	0.5946363753683027	0.5258585689262829	0.536726535321571	0.5770113087843345	0.6347053252330936	0.5683797308826821	0.4759964864208522	0.41174002474958915	0.33794547124305707	0.041960733197264496	0.0	0.4745875019589095	0.4740522341096911	0.5196927292565967	0.45597255016772076	0.5437146069819643	0.5551487640404682	0.5533414157950677	0.5446961525584975	0.526303968098043
F6H1	0.5965307849109949	0.5942899119627553	0.5255121055207355	0.5363800719160234	0.5766648453787869	0.6343588618275461	0.5680332674771347	0.4756500230153047	0.4113935613440417	0.44386853979076457	0.4589126816094191	0.4745875019589095	0.0	0.08362978453896852	0.37796037707709074	0.45562608676217325	0.5433681435764167	0.5548023006349208	0.5529949523895201	0.54434968915295	0.5259575046924956
S15Hp	0.5959955170617766	0.5937546441135368	0.524976837671517	0.535844804066805	0.5761295775295685	0.6338235939783277	0.5674979996279162	0.47511475516608626	0.4108582934948233	0.44333327194154615	0.45837741376020075	0.4740522341096911	0.08362978453896852	0.0	0.3774251092278723	0.45509081891295483	0.5428328757271983	0.5542670327857022	0.5524596845403017	0.5438144213037316	0.5254222368432772
S13Hp	0.6416360122086822	0.6393951392604426	0.5706173328184228	0.5814852992137107	0.6217700726764742	0.6794640891252334	0.613138494774822	0.520755250312992	0.456498788641729	0.48897376708845186	0.5040179089071064	0.5196927292565967	0.37796037707709074	0.3774251092278723	0.0	0.5007313140598606	0.588473370874104	0.599907527932608	0.5981001796872074	0.5894549164506373	0.5710627319901829
S7Hp	0.40466076015079955	0.4024198872025599	0.36568274559504166	0.37655071199032975	0.4168354854530932	0.47452950190185234	0.4082039075514409	0.36817155897533627	0.3566460447626498	0.4252535879995758	0.4402977298182304	0.45597255016772076	0.45562608676217325	0.45509081891295483	0.5007313140598606	0.0	0.21960701093490492	0.2310411679934089	0.22923381974800836	0.3524796643927547	0.33408747993230026
S31Hp	0.49240281696504307	0.49016194401680335	0.4534248024092852	0.46429276880457315	0.5045775422673366	0.5622715587160958	0.4959459643656844	0.4559136157895798	0.44438810157689335	0.5129956448138193	0.5280397866324739	0.5437146069819643	0.5433681435764167	0.5428328757271983	0.588473370874104	0.21960701093490492	0.0	0.166068195226374	0.2403899805947617	0.4402217212069981	0.4218295367465437
S10H1	0.503836974023547	0.5015961010753073	0.4648589594677891	0.4757269258630772	0.5160116993258406	0.5737057157745997	0.5073801214241884	0.4673477728480837	0.45582225863539727	0.5244298018723232	0.5394739436909779	0.5551487640404682	0.5548023006349208	0.5542670327857022	0.599907527932608	0.2310411679934089	0.166068195226374	0.0	0.2518241376532656	0.451655878265502	0.43326369380504764
S3Hp	0.5020296257781465	0.49978875282990676	0.4630516112223886	0.4739195776176766	0.51420435108044	0.5718983675291992	0.5055727731787878	0.4655404246026832	0.45401491038999675	0.5226224536269227	0.5376665954455773	0.5533414157950677	0.5529949523895201	0.5524596845403017	0.5981001796872074	0.22923381974800836	0.2403899805947617	0.2518241376532656	0.0	0.4498485300201015	0.4314563455596471
S21H1	0.45207350947173075	0.44983263652349115	0.45440634798581847	0.46527431438110645	0.5055590878438699	0.5632531042926291	0.4969275099422177	0.4568951613661131	0.44536964715342664	0.5139771903903525	0.5290213322090072	0.5446961525584975	0.54434968915295	0.5438144213037316	0.5894549164506373	0.3524796643927547	0.4402217212069981	0.451655878265502	0.4498485300201015	0.0	0.258324606629738
