	S29H1	530119	31379	S4Hp	31300	F23HpA	S11Hp	S26Hp	F22H1A	S23Hp	530167	S31Hp	S22Hp	S6Hp	F14H1A	S17H1	F8H1	F32H1	31021	31328	31236	S28Hp	31749	F29H1	530258	F14H1B	s24pp	s2pp	31009	531414	31700	31750	530050	530364	S30H1	31219	S7Hp	S25Hp	31452	31343	S8Hp	S19H1	S3Hp	F22HpB	F1H1	31360	530394	31723	530055	S12Hp	S10H1	F6H1	530075	S16H2	S15Hp	F3H1
S29H1	0.0	0.030691667476564148	0.049133804984110234	0.16784950218379466	0.17594526758280357	0.18040227745348114	0.11314407711805799	0.39934374117168225	0.4146747532314876	0.5013855122107683	0.4151420741319486	0.3973192143558132	0.5615696952481938	0.5005913792038493	0.4944134717709715	0.5483615908598328	0.5603715304799639	0.5495353942104246	0.6881158845902576	0.6968182742979666	0.7792380018266536	0.7744826369614045	0.7639232117975341	0.8111410811363055	0.8509660447495504	0.8017180357083189	1.16255215835357	1.1627588579319406	0.6120468310540198	0.5466546904065396	0.37354986887384145	0.3882289241508624	0.3862393398491619	0.3923184660020318	0.3080288022361449	0.34329210003026267	0.33007733809139783	0.18557320307096	0.18513401443073943	0.22796805577253595	0.2982799024967029	0.30542787064407173	0.23482518027127533	0.23944711621233752	0.1517092261864579	0.02886289124197198	0.03254632717717948	0.06733371566290407	0.04406178299617573	0.07180104732396728	0.06783111463745328	0.07307460246038404	0.03048662326182068	0.05591902318803034	0.038859555955936195	0.04280919600025268
530119	0.030691667476564148	0.0	0.02228175886187793	0.1409974560615624	0.1490932214605713	0.15355023133124887	0.08629203099582568	0.3724916950494499	0.38782270710925526	0.474533466088536	0.38829002800971624	0.3704671682335809	0.5347176491259614	0.47373933308161703	0.46756142564873915	0.5215095447376005	0.5335194843577316	0.5226833480881923	0.6612638384680253	0.6699662281757343	0.7523859557044212	0.7476305908391722	0.7370711656753017	0.7842890350140731	0.824113998627318	0.7748659895860865	1.1357001122313377	1.1359068118097082	0.5851947849317874	0.5198026442843072	0.3466978227516091	0.36137687802863006	0.35938729372692957	0.36546641987979944	0.28117675611391263	0.3164400539080303	0.30322529196916553	0.15872115694872774	0.15828196830850716	0.20111600965030368	0.27142785637447053	0.2785758245218394	0.20797313414904306	0.21259507009010525	0.12485718006422562	0.0059267943637447374	0.009610230298952235	0.04439761878467683	0.021125686117948485	0.0501389442849062	0.04616901159839221	0.05141249942132297	0.016756441332898536	0.042190841260108254	0.02513137402801411	0.029081014072330595
31379	0.049133804984110234	0.02228175886187793	0.0	0.1579633504215286	0.1660591158205375	0.17051612569121508	0.10325792535579187	0.3894575894094161	0.40478860146922147	0.49149936044850223	0.40525592236968244	0.3874330625935471	0.5516835434859276	0.49070522744158324	0.48452732000870535	0.5384754390975667	0.5504853787176978	0.5396492424481585	0.6782297328279915	0.6869321225357005	0.7693518500643874	0.7645964851991384	0.7540370600352679	0.8012549293740393	0.8410798929872842	0.7918318839460528	1.1526660065913041	1.1528727061696746	0.6021606792917537	0.5367685386442734	0.3636637171115753	0.37834277238859626	0.3763531880868958	0.38243231423976565	0.29814265047387883	0.3334059482679965	0.32019118632913174	0.17568705130869394	0.17524786266847336	0.2180819040102699	0.28839375073443674	0.2955417188818056	0.22493902850900926	0.22956096445007146	0.14182307442419181	0.024368931871290824	0.02805236780649832	0.06283975629222291	0.039567823625494575	0.06858108179245229	0.06461114910593829	0.06985463692886906	0.035198578840444625	0.06063297876765434	0.043573511535560196	0.04752315157987668
S4Hp	0.16784950218379466	0.1409974560615624	0.1579633504215286	0.0	0.02577735524449401	0.030234365115171573	0.12351618080288185	0.40971584485650614	0.4250468569163115	0.5117576158955923	0.4255141778167725	0.40769131804063713	0.5719417989330176	0.5109634828886733	0.5047855754557954	0.5587336945446566	0.5707436341647876	0.5599074978952483	0.6984879882750814	0.7071903779827904	0.7896101055114774	0.7848547406462283	0.7742953154823579	0.8215131848211292	0.8613381484343742	0.8120901393931427	1.172924262038394	1.1731309616167644	0.6224189347388436	0.5570267940913634	0.38392197255866534	0.3986010278356863	0.3966114435339858	0.4026905696868557	0.31840090592096887	0.35366420371508656	0.3404494417762218	0.19594530675578392	0.19550611811556334	0.23834015945735987	0.3086520061815268	0.3157999743288956	0.24519728395609924	0.2498192198971614	0.23731626715718696	0.14308462907097527	0.14676806500618278	0.18155545349190738	0.15828352082517902	0.18729677899213673	0.18332684630562274	0.1885703341285535	0.15391427604012906	0.17934867596733878	0.16228920873524463	0.1662388487795611
31300	0.17594526758280357	0.1490932214605713	0.1660591158205375	0.02577735524449401	0.0	0.027511386809449746	0.13161194620189076	0.41781161025551505	0.4331426223153204	0.5198533812946011	0.4336099432157814	0.41578708343964604	0.5800375643320264	0.5190592482876821	0.5128813408548043	0.5668294599436654	0.5788393995637966	0.5680032632942573	0.7065837536740903	0.7152861433817993	0.7977058709104863	0.7929505060452372	0.7823910808813668	0.8296089502201381	0.8694339138333831	0.8201859047921516	1.1810200274374028	1.1812267270157735	0.6305147001378525	0.5651225594903722	0.39201773795767425	0.4066967932346952	0.4047072089329947	0.4107863350858646	0.3264966713199778	0.36175996911409547	0.3485452071752307	0.20404107215479284	0.20360188351457226	0.24643592485636878	0.3167477715805357	0.32389573972790453	0.25329304935510816	0.2579149852961703	0.24541203255619587	0.1511803944699842	0.1548638304051917	0.1896512188909163	0.16637928622418793	0.19539254439114564	0.19142261170463165	0.19666609952756242	0.16201004143913797	0.1874444413663477	0.17038497413425355	0.17433461417857002
F23HpA	0.18040227745348114	0.15355023133124887	0.17051612569121508	0.030234365115171573	0.027511386809449746	0.0	0.1360689560725683	0.4222686201261926	0.43759963218599796	0.5243103911652788	0.43806695308645893	0.4202440933103236	0.584494574202704	0.5235162581583598	0.5173383507254818	0.5712864698143431	0.5832964094344741	0.5724602731649349	0.7110407635447679	0.7197431532524768	0.8021628807811638	0.7974075159159147	0.7868480907520443	0.8340659600908157	0.8738909237040606	0.8246429146628291	1.1854770373080805	1.185683736886451	0.63497171000853	0.5695795693610498	0.3964747478283518	0.41115380310537275	0.40916421880367226	0.41524334495654214	0.3309536811906553	0.366216978984773	0.35300221704590823	0.20849808202547038	0.2080588933852498	0.2508929347270463	0.32120478145121323	0.32835274959858207	0.2577500592257857	0.2623719951668479	0.2498690424268734	0.15563740434066176	0.15932084027586926	0.19410822876159384	0.1708362960948655	0.19984955426182321	0.19587962157530922	0.20112310939824	0.16646705130981554	0.19190145123702526	0.17484198400493112	0.1787916240492476
S11Hp	0.11314407711805799	0.08629203099582568	0.10325792535579187	0.12351618080288185	0.13161194620189076	0.1360689560725683	0.0	0.28982119444397114	0.3051522065037765	0.39186296548305727	0.3056195274042375	0.28779666762810213	0.4520471485204825	0.3910688324761383	0.3848909250432604	0.43883904413212155	0.45084898375225263	0.44001284748271335	0.5785933378625463	0.5872957275702553	0.6697154550989423	0.6649600902336932	0.6544006650698228	0.7016185344085941	0.7414434980218391	0.6921954889806076	1.0530296116258588	1.0532363112042293	0.5025242843263085	0.4371321436788283	0.26402732214613034	0.2787063774231513	0.2767167931214508	0.2827959192743207	0.19850625550843382	0.23376955330255153	0.22055479136368672	0.07605065634324888	0.1003105986219333	0.14314463996372984	0.21345648668789674	0.22060445483526556	0.1500017644624692	0.15462370040353138	0.18261084209145023	0.08837920400523856	0.09206263994044607	0.12685002842617066	0.10357809575944232	0.13259135392640004	0.12862142123988604	0.1338649090628168	0.09920885097439237	0.12464325090160208	0.10758378366950795	0.11153342371382444
S26Hp	0.39934374117168225	0.3724916950494499	0.3894575894094161	0.40971584485650614	0.41781161025551505	0.4222686201261926	0.28982119444397114	0.0	0.0411769656982989	0.22877828295188357	0.14253484487306384	0.17495862000336163	0.339209100895742	0.27823078485139774	0.27205287741851986	0.32600099650738107	0.3380109361275121	0.3271747998579728	0.4657552902378059	0.47445767994551485	0.5568774074742018	0.5521220426089527	0.5415626174450823	0.5887804867838536	0.6286054503970986	0.579357441355867	0.9401915640011184	0.9403982635794889	0.38968623670156805	0.32429409605408777	0.22955260451518764	0.24423165979220862	0.2422420754905081	0.24832120164337798	0.26375670032542115	0.29901999811953883	0.28580523618067405	0.2512557503785485	0.3865102626755576	0.42934430401735413	0.49965615074152103	0.5068041188888899	0.4362014285160935	0.44082336445715564	0.4688105061450745	0.3745788680588628	0.3782623039940703	0.4130496924797949	0.38977775981306656	0.41879101798002427	0.41482108529351025	0.420064573116441	0.38540851502801665	0.4108429149552263	0.3937834477231322	0.39773308776744865
F22H1A	0.4146747532314876	0.38782270710925526	0.40478860146922147	0.4250468569163115	0.4331426223153204	0.43759963218599796	0.3051522065037765	0.0411769656982989	0.0	0.24410929501168893	0.15786585693286917	0.19028963206316696	0.3545401129555473	0.2935617969112031	0.28738388947832516	0.3413320085671864	0.35334194818731746	0.3425058119177782	0.4810863022976112	0.48978869200532016	0.5722084195340071	0.5674530546687581	0.5568936295048876	0.604111498843659	0.643936462456904	0.5946884534156723	0.9555225760609237	0.9557292756392942	0.40501724876137335	0.3396251081138931	0.244883616574993	0.259562671852014	0.2575730875503135	0.26365221370318337	0.2790877123852265	0.3143510101793442	0.3011362482404794	0.2665867624383539	0.40184127473536296	0.4446753160771595	0.5149871628013264	0.5221351309486952	0.45153244057589886	0.456154376516961	0.4841415182048799	0.3899098801186682	0.39359331605387565	0.42838070453960025	0.4051087718728719	0.43412203003982963	0.4301520973533156	0.4353955851762464	0.400739527087822	0.42617392701503165	0.40911445978293753	0.413064099827254
S23Hp	0.5013855122107683	0.474533466088536	0.49149936044850223	0.5117576158955923	0.5198533812946011	0.5243103911652788	0.39186296548305727	0.22877828295188357	0.24410929501168893	0.0	0.21035347522561926	0.27700039104244767	0.44125087193482804	0.3802725558904838	0.37409464845760587	0.4280427675464671	0.44005270716659817	0.4292165708970589	0.5677970612768919	0.5764994509846009	0.6589191785132879	0.6541638136480388	0.6436043884841683	0.6908222578229397	0.7306472214361847	0.681399212394953	1.0422333350402044	1.042440034618575	0.49172800774065406	0.42633586709317384	0.33159437555427373	0.3462734308312947	0.3442838465295942	0.3503629726824641	0.36579847136450727	0.40106176915862496	0.3878470072197602	0.35329752141763465	0.48855203371464373	0.5313860750564403	0.6016979217806071	0.608845889927976	0.5382431995551796	0.5428651354962418	0.5708522771841607	0.47662063909794894	0.4803040750331564	0.515091463518881	0.4918195308521527	0.5208327890191105	0.5168628563325964	0.5221063441555271	0.4874502860671027	0.5128846859943125	0.4958252187622183	0.49977485880653477
