	f9pp	f22ppA	f26pp	f6ppA	w8pp	31160	w9pp	S9H1	S1Hp	w16pp	f2pp	f16ppB	w31pp	f18pp	w3pp	S20H1	w21pp	f15pp	w27pp	S18H1	w13pp	f28pp	w10pp	w11pp	w1pp	f1pp
f9pp	0.0	0.1509348801841785	0.16633835376194622	0.18047500288084234	0.2110678917298614	0.33408416758943266	0.2300934723464	0.372424126482162	0.3380670003119316	0.15657011592591868	0.18837952055345414	0.18114602159629603	0.1660250303936803	0.140495233503828	0.14264937851680684	0.3832014573027064	0.20964332459263807	0.1540461358062433	0.17378031369761548	0.3703137235171568	0.18455919732789391	0.19121429960511235	0.16091199826028713	0.14201953082965663	0.1129363109771005	0.08570834824738215
f22ppA	0.1509348801841785	0.0	0.2147270605891356	0.22886370970803172	0.2594565985570508	0.38247287441662203	0.2784821791735894	0.4208128333093514	0.386455707139121	0.20495882275310806	0.23676822738064351	0.22953472842348543	0.2144137372208697	0.1888839403310174	0.19103808534399624	0.43159016412989576	0.25803203141982745	0.2024348426334327	0.22216902052480486	0.4187024303443462	0.23294790415508332	0.23960300643230176	0.2093007050874765	0.21797011276065673	0.19341556695603312	0.1661876042263148
f26pp	0.16633835376194622	0.2147270605891356	0.0	0.18169325847905154	0.229448612701457	0.3524648885610283	0.2484741933179956	0.39080484745375765	0.36392310481432594	0.18242622042831302	0.21423562505584848	0.20700212609869037	0.1983620871647836	0.1728322902749313	0.17498643528791014	0.41553851407380965	0.2419803813637414	0.1863831925773466	0.2061173704687188	0.40265078028826007	0.2168962540989972	0.22355135637621565	0.19324905503139045	0.23337358633842442	0.20881904053380085	0.1815910778040825
f6ppA	0.18047500288084234	0.22886370970803172	0.18169325847905154	0.0	0.24358526182035312	0.3666015376799244	0.2626108424368917	0.40494149657265377	0.37805975393322205	0.19656286954720914	0.2283722741747446	0.2211387752175865	0.2124987362836797	0.18696893939382742	0.18912308440680625	0.42967516319270577	0.2561170304826375	0.2005198416962427	0.22025401958761492	0.4167874294071562	0.23103290321789333	0.23768800549511176	0.20738570415028657	0.24751023545732054	0.22295568965269696	0.19572772692297863
w8pp	0.2110678917298614	0.2594565985570508	0.229448612701457	0.24358526182035312	0.0	0.3461935528200624	0.24220285757702975	0.38453351171279176	0.4086526427822411	0.2271557583962282	0.25896516302376366	0.2517316640666055	0.2430916251326988	0.2175618282428465	0.21971597325582534	0.46026805204172483	0.28670991933165657	0.2311127305452618	0.250846908436634	0.4473803182561753	0.2616257920669124	0.2682808943441308	0.23797859299930563	0.2781031243063396	0.253548578501716	0.2263206157719977
31160	0.33408416758943266	0.38247287441662203	0.3524648885610283	0.3666015376799244	0.3461935528200624	0.0	0.3240807596891445	0.4664114138249066	0.5316689186418124	0.35017203425579946	0.3819814388833349	0.37474793992617683	0.36610790099227003	0.34057810410241773	0.34273224911539657	0.583284327901296	0.40972619519122777	0.354129006404833	0.37386318429620524	0.5703965941157465	0.38464206792648364	0.3912971702037021	0.3609948688588769	0.40111940016591086	0.3765648543612873	0.34933689163156895
w9pp	0.2300934723464	0.2784821791735894	0.2484741933179956	0.2626108424368917	0.24220285757702975	0.3240807596891445	0.0	0.3057414788817365	0.4276782233987797	0.24618133901276684	0.2779907436403023	0.27075724468314416	0.2621172057492374	0.23658740885938512	0.23874155387236395	0.47929363265826347	0.30573549994819516	0.2501383111618004	0.2698724890531726	0.4664058988727139	0.28065137268345103	0.28730647496066947	0.25700417361584427	0.29712870492287824	0.27257415911825467	0.2453461963885363
S9H1	0.372424126482162	0.4208128333093514	0.39080484745375765	0.40494149657265377	0.38453351171279176	0.4664114138249066	0.3057414788817365	0.0	0.5700088775345418	0.3885119931485288	0.42032139777606425	0.4130878988189062	0.40444785988499937	0.3789180629951471	0.3810722080081259	0.6216242867940254	0.4480661540839571	0.39246896529756237	0.4122031431889346	0.6087365530084758	0.422982026819213	0.4296371290964314	0.3993348277516062	0.4394593590586402	0.4149048132540166	0.3876768505242983
S1Hp	0.3380670003119316	0.386455707139121	0.36392310481432594	0.37805975393322205	0.4086526427822411	0.5316689186418124	0.4276782233987797	0.5700088775345418	0.0	0.2672417915467283	0.3288608177539602	0.32162731879680206	0.37009073371476897	0.3445609368249167	0.3467150818378955	0.587267160623795	0.41370902791372677	0.35811183912733197	0.37784601701870413	0.5743794268382454	0.3886249006489826	0.395280002926201	0.36497770158137577	0.4051022328884098	0.3805476870837862	0.3533197243540679
w16pp	0.15657011592591868	0.20495882275310806	0.18242622042831302	0.19656286954720914	0.2271557583962282	0.35017203425579946	0.24618133901276684	0.3885119931485288	0.2672417915467283	0.0	0.14736393336794731	0.1401304344107892	0.18859384932875609	0.1630640524389038	0.16521819745188263	0.40577027623778217	0.23221214352771385	0.17661495474131908	0.19634913263269127	0.39288254245223253	0.2071280162629697	0.21378311854018814	0.1834808171953629	0.22360534850239688	0.1990508026977733	0.17182283996805497
