	f12ppA	F7H1	w30pp	S18H1	s22pp	w21pp	f13pp	f18pp	f8pp	f6ppA	F6H1	w6pp	f20ppB	f2pp	f28pp	s32pp	s28pp	s19pp	s24pp	s27pp	S1Hp	S15Hp	f15pp	f16ppB	S22Hp	S9H1	F23HpA	w10pp	f31pp	f9pp	f14ppB	f17ppA	f21pp	w16pp	w3pp	s3pp	s1pp
f12ppA	0.0	0.24284193228552065	0.2571502615777124	0.3774009574245841	0.20492045626350341	0.26067239527061803	0.3191501624550719	0.31331533089020197	0.30089749479604794	0.3517849780255403	0.4942497419539431	0.3196212031726649	0.38909565858213796	0.4030621038029264	0.3594131035428616	0.40458267754315574	0.35717150269826553	0.45306832781406575	0.38492747684356754	0.39968290453417626	0.39232587991447876	0.317143865019489	0.4142172975511058	0.3821679159455048	0.4614637348380929	0.4705555471456296	0.45625485062938725	0.35898782669602675	0.3305226296210386	0.279508180359482	0.27063409857702175	0.2799039294468777	0.2975070122247979	0.34030471430326426	0.26226477400412157	0.3080613814158906	0.21294873894996538
F7H1	0.24284193228552065	0.0	0.2682816382635531	0.38853233411042476	0.22611365192004224	0.28186559092715685	0.3403433581116107	0.3345085265467408	0.32209069045258676	0.37297817368207914	0.5154429376104819	0.3408143988292037	0.4102888542386768	0.4242552994594652	0.3806062991994004	0.42577587319969457	0.37836469835480435	0.4742615234706046	0.40612067250010636	0.4208761001907151	0.4135190755710176	0.3383370606760278	0.43541049320764463	0.40336111160204363	0.4826569304946317	0.4917487428021684	0.4774480462859261	0.38018102235256557	0.35171582527757744	0.3007013760160208	0.2918272942335606	0.3010971251034165	0.31870020788133674	0.3614979099598031	0.2834579696606604	0.32925457707242944	0.2341419346065042
w30pp	0.2571502615777124	0.2682816382635531	0.0	0.3540791836073123	0.24042198121223401	0.29617392021934863	0.3546516874038025	0.34881685583893257	0.33639901974477854	0.3872865029742709	0.5297512669026737	0.3551227281213955	0.42459718353086856	0.438563628751657	0.3949146284915922	0.44008420249188634	0.39267302764699613	0.48856985276279635	0.42042900179229814	0.43518442948290686	0.42782740486320936	0.3526453899682196	0.4497188224998364	0.4176694408942354	0.4969652597868235	0.5060570720943602	0.49175637557811785	0.39448935164475735	0.3660241545697692	0.3150097053082126	0.30613562352575235	0.3154054543956083	0.3330085371735285	0.37580623925199486	0.29776629895285217	0.3435629063646212	0.24845026389869598
S18H1	0.3774009574245841	0.38853233411042476	0.3540791836073123	0.0	0.36067267705910566	0.4164246160662203	0.47490238325067413	0.4690675516858042	0.4566497155916502	0.5075371988211426	0.6500019627495454	0.47537342396826715	0.5448478793777403	0.5588143245985286	0.5151653243384638	0.5603348983387579	0.5129237234938677	0.608820548609668	0.5406796976391698	0.5554351253297785	0.548078100710081	0.47289608581509124	0.5699695183467081	0.5379201367411071	0.6172159556336951	0.6263077679412319	0.6120070714249894	0.514740047491629	0.48627485041664087	0.43526040115508424	0.426386319372624	0.43565615024247994	0.45325923302040017	0.4960569350988665	0.4180169947997238	0.46381360221149287	0.36870095974556766
s22pp	0.20492045626350341	0.22611365192004224	0.24042198121223401	0.36067267705910566	0.0	0.20734515682707855	0.2658229240115324	0.2599880924466625	0.24757025635250846	0.29845773958200084	0.44092250351040363	0.2662939647291254	0.3357684201385985	0.3497348653593869	0.3060858650993221	0.35125543909961626	0.30384426425472605	0.39974108937052627	0.33160023840002806	0.3463556660906368	0.3389986414709393	0.2638166265759495	0.36089005910756633	0.32884067750196533	0.4081364963945534	0.4172283087020901	0.40292761218584777	0.30566058825248726	0.27719539117749914	0.2261809419159425	0.21730686013348227	0.2265766910033382	0.24417977378125844	0.2869774758597248	0.2089375355605821	0.25473414297235114	0.1596215005064259
w21pp	0.26067239527061803	0.28186559092715685	0.29617392021934863	0.4164246160662203	0.20734515682707855	0.0	0.2809651979267681	0.2751303663618982	0.26271253026774416	0.31360001349723654	0.45606477742563933	0.2814362386443611	0.3509106940538342	0.3648771392746226	0.3212281390145578	0.36639771301485197	0.31898653816996175	0.414883363285762	0.34674251231526376	0.3614979400058725	0.354140915386175	0.2789589004911852	0.37603233302280203	0.34398295141720103	0.4232787703097891	0.4323705826173258	0.4180698861010835	0.32080286216772297	0.29233766509273484	0.24132321583117822	0.23244913404871798	0.24171896491857392	0.25932204769649414	0.3021197497749605	0.22407980947581782	0.26987641688758685	0.17476377442166163
f13pp	0.3191501624550719	0.3403433581116107	0.3546516874038025	0.47490238325067413	0.2658229240115324	0.2809651979267681	0.0	0.17482254891471732	0.18824771916222027	0.25466492629978144	0.39712969022818423	0.222501151446906	0.291975606856379	0.30594205207716746	0.2622930518171027	0.3074626258173968	0.2600514509725066	0.35594827608830687	0.32192689841170496	0.33668232610231363	0.32932530148261613	0.2541432865876264	0.35121671911924324	0.31916733751364224	0.3984631564062303	0.40755496871376695	0.3932542721975246	0.3160974981857827	0.2876323011107946	0.23661785184923798	0.22774377006677773	0.23701360093663365	0.2546166837145539	0.2974143857930202	0.23858933596289436	0.2843859433746634	0.22134885132395357
f18pp	0.31331533089020197	0.3345085265467408	0.34881685583893257	0.4690675516858042	0.2599880924466625	0.2751303663618982	0.17482254891471732	0.0	0.18241288759735036	0.24883009473491152	0.3912948586633143	0.2166663198820361	0.2861407752915091	0.30010722051229755	0.2564582202522328	0.30162779425252695	0.25421661940763673	0.35011344452343696	0.31609206684683505	0.3308474945374438	0.3234904699177462	0.2483084550227565	0.3453818875543733	0.3133325059487723	0.3926283248413604	0.4017201371488971	0.38741944063265477	0.31026266662091284	0.28179746954592466	0.2307830202843681	0.22190893850190785	0.2311787693717638	0.248781852149684	0.2915795542281503	0.23275450439802448	0.27855111180979353	0.21551401975908366
f8pp	0.30089749479604794	0.32209069045258676	0.33639901974477854	0.4566497155916502	0.24757025635250846	0.26271253026774416	0.18824771916222027	0.18241288759735036	0.0	0.2364122586407575	0.3788770225691603	0.20424848378788207	0.27372293919735513	0.2876893844181435	0.24404038415807877	0.2892099581583729	0.2417987833134827	0.3376956084292829	0.303674230752681	0.31842965844328974	0.3110726338235922	0.23589061892860247	0.3329640514602193	0.3009146698546183	0.38021048874720637	0.38930230105474306	0.37500160453850073	0.2978448305267588	0.2693796334517707	0.21836518419021406	0.20949110240775382	0.21876093327760976	0.23636401605552998	0.2791617181339963	0.22033666830387044	0.2661332757156395	0.20309618366492962
f6ppA	0.3517849780255403	0.37297817368207914	0.3872865029742709	0.5075371988211426	0.29845773958200084	0.31360001349723654	0.25466492629978144	0.24883009473491152	0.2364122586407575	0.0	0.29978654008815575	0.17170275481251507	0.29566556123206766	0.30963200645285616	0.26598300619279136	0.3111525801930855	0.2637414053481953	0.35963823046399557	0.3545617139821734	0.3693171416727821	0.3619601170530846	0.28677810215809485	0.38385153468971167	0.35180215308411067	0.43109797197669875	0.44018978428423544	0.4258890877679931	0.3487323137562512	0.32026711668126306	0.26925266741970644	0.2603785856372462	0.26964841650710214	0.28725149928502236	0.3300492013634887	0.2712241515333628	0.3170207589451319	0.25398366689442203
F6H1	0.4942497419539431	0.5154429376104819	0.5297512669026737	0.6500019627495454	0.44092250351040363	0.45606477742563933	0.39712969022818423	0.3912948586633143	0.3788770225691603	0.29978654008815575	0.0	0.31416751874091786	0.43813032516047046	0.45209677038125895	0.40844777012119415	0.4536173441214883	0.4062061692765981	0.5021029943923984	0.4970264779105762	0.511781905601185	0.5044248809814874	0.42924286608649764	0.5263162986181145	0.49426691701251346	0.5735627359051015	0.5826545482126382	0.568353851696396	0.491197077684654	0.46273188060966586	0.41171743134810923	0.402843349565649	0.41211318043550493	0.42971626321342515	0.4725139652918915	0.4136889154617656	0.45948552287353467	0.3964484308228248
