	S1Hp	f14ppB	w21pp	f7pp	w25pp	f25pp	w14pp	w19pp	w6pp	w15pp	w18pp	w11pp	w17pp	w10pp	w16pp	S9H1	f16ppA	f20ppB	w4pp
S1Hp	0.0	0.5061183033091359	0.574473878226532	0.6777302373583306	0.6100991853229435	0.5957839075190514	0.6451268410223129	0.5652912553783012	0.5070647561429766	0.5759623464404571	0.5164199454371292	0.5314684475822095	0.477710241167628	0.5703710289436972	0.4871095560891803	0.6415992869583628	0.6897374244402633	0.45564740063640147	0.35495100082656084
f14ppB	0.5061183033091359	0.0	0.3553558038167972	0.45861216294859586	0.3909811109132087	0.424519562824785	0.47386249632804645	0.3940269106840346	0.37303812471077274	0.4419357150082531	0.3823933140049254	0.4265027927526486	0.4063704264357422	0.5391147178957805	0.4558532450412636	0.6103429759104461	0.6584811133923466	0.48454526531448233	0.4623037762842088
w21pp	0.574473878226532	0.3553558038167972	0.0	0.4347667598899052	0.3671357078545181	0.4928751377421811	0.5422180712454425	0.46238248560143075	0.4413936996281689	0.5102912899256493	0.45074888892232146	0.49485836767004465	0.47472600135313836	0.6074702928131765	0.5242088199586596	0.6786985508278421	0.7268366883097427	0.5529008402318785	0.5306593512016049
f7pp	0.6777302373583306	0.45861216294859586	0.4347667598899052	0.0	0.424973305231605	0.5961314968739797	0.6454744303772412	0.5656388447332295	0.5446500587599675	0.6135476490574479	0.5540052480541201	0.5981147268018433	0.577982360484937	0.7107266519449751	0.6274651790904584	0.7819549099596408	0.8300930474415413	0.656157199363677	0.6339157103334035
w25pp	0.6100991853229435	0.3909811109132087	0.3671357078545181	0.424973305231605	0.0	0.5285004448385926	0.5778433783418541	0.4980077926978423	0.4770190067245804	0.5459165970220607	0.486374196018733	0.5304836747664562	0.5103513084495499	0.643095599909588	0.5598341270550713	0.7143238579242537	0.7624619954061542	0.5885261473282899	0.5662846582980164
f25pp	0.5957839075190514	0.424519562824785	0.4928751377421811	0.5961314968739797	0.5285004448385926	0.0	0.4977418701141374	0.4179062844701257	0.46270372892068834	0.5316013192181688	0.472058918214841	0.5161683969625641	0.4960360306456578	0.628780322105696	0.5455188492511792	0.7000085801203617	0.7481467176022623	0.5742108695243979	0.5519693804941244
w14pp	0.6451268410223129	0.47386249632804645	0.5422180712454425	0.6454744303772412	0.5778433783418541	0.4977418701141374	0.0	0.34384442284508215	0.5120466624239498	0.5809442527214301	0.5214018517181024	0.5655113304658256	0.5453789641489193	0.6781232556089574	0.5948617827544407	0.7493515136236231	0.7974896511055236	0.6235538030276593	0.6013123139973858
w19pp	0.5652912553783012	0.3940269106840346	0.46238248560143075	0.5656388447332295	0.4980077926978423	0.4179062844701257	0.34384442284508215	0.0	0.432211076779938	0.5011086670774184	0.4415662660740906	0.4856757448218138	0.46554337850490746	0.5982876699649456	0.5150261971104289	0.6695159279796112	0.7176540654615118	0.5437182173836476	0.521476728353374
w6pp	0.5070647561429766	0.37303812471077274	0.4413936996281689	0.5446500587599675	0.4770190067245804	0.46270372892068834	0.5120466624239498	0.432211076779938	0.0	0.3563861314835586	0.35171528452577416	0.42744924558648933	0.407316879269583	0.5400611707296212	0.4567996978751044	0.6112894287442868	0.6594275662261874	0.4854917181483231	0.4632502291180496
w15pp	0.5759623464404571	0.4419357150082531	0.5102912899256493	0.6135476490574479	0.5459165970220607	0.5316013192181688	0.5809442527214301	0.5011086670774184	0.3563861314835586	0.0	0.4206128748232546	0.4963468358839697	0.47621446956706337	0.6089587610271016	0.5256972881725848	0.6801870190417671	0.7283251565236677	0.5543893084458035	0.5321478194155299
w18pp	0.5164199454371292	0.3823933140049254	0.45074888892232146	0.5540052480541201	0.486374196018733	0.472058918214841	0.5214018517181024	0.4415662660740906	0.35171528452577416	0.4206128748232546	0.0	0.4368044348806419	0.4166720685637356	0.5494163600237738	0.466154887169257	0.6206446180384394	0.6687827555203399	0.49484690744247567	0.47260541841220216
w11pp	0.5314684475822095	0.4265027927526486	0.49485836767004465	0.5981147268018433	0.5304836747664562	0.5161683969625641	0.5655113304658256	0.4856757448218138	0.42744924558648933	0.4963468358839697	0.4368044348806419	0.0	0.4317205707088158	0.5644648621688539	0.4812033893143372	0.6356931201835196	0.6838312576654202	0.5098954095875559	0.4876539205572824
w17pp	0.477710241167628	0.4063704264357422	0.47472600135313836	0.577982360484937	0.5103513084495499	0.4960360306456578	0.5453789641489193	0.46554337850490746	0.407316879269583	0.47621446956706337	0.4166720685637356	0.4317205707088158	0.0	0.5107066557542725	0.4274451828997558	0.5819349137689382	0.6300730512508388	0.45613720317297446	0.4338957141427009
w10pp	0.5703710289436972	0.5391147178957805	0.6074702928131765	0.7107266519449751	0.643095599909588	0.628780322105696	0.6781232556089574	0.5982876699649456	0.5400611707296212	0.6089587610271016	0.5494163600237738	0.5644648621688539	0.5107066557542725	0.0	0.338909597533175	0.6245320784670838	0.6726702159489844	0.5487979909490436	0.52655650191877
w16pp	0.4871095560891803	0.4558532450412636	0.5242088199586596	0.6274651790904584	0.5598341270550713	0.5455188492511792	0.5948617827544407	0.5150261971104289	0.4567996978751044	0.5256972881725848	0.466154887169257	0.4812033893143372	0.4274451828997558	0.338909597533175	0.0	0.5412706056125671	0.5894087430944677	0.4655365180945268	0.4432950290642532
