	f10pp	F7H1	f29pp	f8pp	f31pp	S9H1	S1Hp	f24pp	S22Hp	S18H1	w13pp
f10pp	0.0	0.4121341354969219	0.3599023004049486	0.3833771593055737	0.2937997796739898	0.46803431013757474	0.45058895355875045	0.3256034520324564	0.4737888519452038	0.5460056930334195	0.2725368166828727
F7H1	0.4121341354969219	0.0	0.5579526312149685	0.5814274901155937	0.49185011048400973	0.6660846409475947	0.6486392843687705	0.5236537828424763	0.6718391827552238	0.7440560238434395	0.4705871474928927
f29pp	0.3599023004049486	0.5579526312149685	0.0	0.4437288766899289	0.3541514970583449	0.5605234208472767	0.5735015562052772	0.44851605467898314	0.5967014545917305	0.6689182956799462	0.4093643467003246
f8pp	0.3833771593055737	0.5814274901155937	0.4437288766899289	0.0	0.36202092033690614	0.5839982797479017	0.5969764151059023	0.47199091357960826	0.6201763134923557	0.6923931545805714	0.43283920560094974
f31pp	0.2937997796739898	0.49185011048400973	0.3541514970583449	0.36202092033690614	0.0	0.4944209001163179	0.5073990354743184	0.38241353394802435	0.5305989338607717	0.6028157749489874	0.34326182596936583
S9H1	0.46803431013757474	0.6660846409475947	0.5605234208472767	0.5839982797479017	0.4944209001163179	0.0	0.6816335659379034	0.5566480644116093	0.7048334643243568	0.7770503054125724	0.5174963564329508
S1Hp	0.45058895355875045	0.6486392843687705	0.5735015562052772	0.5969764151059023	0.5073990354743184	0.6816335659379034	0.0	0.45543226816315097	0.6465338942651422	0.718750735353358	0.5000509998541265
f24pp	0.3256034520324564	0.5236537828424763	0.44851605467898314	0.47199091357960826	0.38241353394802435	0.5566480644116093	0.45543226816315097	0.0	0.5215483927388482	0.5937652338270638	0.3750654983278324
S22Hp	0.4737888519452038	0.6718391827552238	0.5967014545917305	0.6201763134923557	0.5305989338607717	0.7048334643243568	0.6465338942651422	0.5215483927388482	0.0	0.7023654379116808	0.5232508982405799
S18H1	0.5460056930334195	0.7440560238434395	0.6689182956799462	0.6923931545805714	0.6028157749489874	0.7770503054125724	0.718750735353358	0.5937652338270638	0.7023654379116808	0.0	0.5954677393287955
w13pp	0.2725368166828727	0.4705871474928927	0.4093643467003246	0.43283920560094974	0.34326182596936583	0.5174963564329508	0.5000509998541265	0.3750654983278324	0.5232508982405799	0.5954677393287955	0.0
