	w17pp	w26pp	w8pp	F14H1B	S18H1	S2Hp	S31Hp	F7H1	w19pp	f7pp	f19pp	f11pp	w20pp	f20ppA
w17pp	0.0	0.22652278169074674	0.4091908608380628	0.48658220902704163	0.3467439366142158	0.36918667563388724	0.49869586782033615	0.40863872849365557	0.491518467541206	0.2988008594576258	0.3853064078579423	0.31951573492159513	0.3598072457159543	0.2669581480325539
w26pp	0.22652278169074674	0.0	0.5292704234283239	0.6066617716173027	0.46682349920447685	0.4892662382241483	0.6187754304105972	0.5287182910839167	0.611598030131467	0.41888042204788684	0.5053859704482033	0.4395952975118562	0.47988680830621533	0.38703771062281495
w8pp	0.4091908608380628	0.5292704234283239	0.0	0.5454239861083168	0.4055857136954909	0.4711158081719701	0.6264013501102828	0.5363442107836022	0.6192239498311526	0.4265063417475724	0.5130118901478888	0.4472212172115418	0.48751272800590095	0.3946636303225005
F14H1B	0.48658220902704163	0.6066617716173027	0.5454239861083168	0.0	0.38725048564060194	0.5485071563609489	0.7037926982992617	0.6137355589725811	0.6966152980201314	0.5038976899365513	0.5904032383368678	0.5246125654005207	0.5649040761948798	0.47205497851147943
S18H1	0.3467439366142158	0.46682349920447685	0.4055857136954909	0.38725048564060194	0.0	0.4086688839481231	0.5639544258864359	0.47389728655975527	0.5567770256073057	0.3640594175237255	0.450564965924042	0.38477429298769483	0.42506580378205394	0.33221670609865356
S2Hp	0.36918667563388724	0.4892662382241483	0.4711158081719701	0.5485071563609489	0.4086688839481231	0.0	0.5863971649061073	0.4963400255794267	0.5792197646269771	0.3865021565433969	0.4730077049437134	0.4072170320073663	0.4475085428017255	0.35465944511832503
S31Hp	0.49869586782033615	0.6187754304105972	0.6264013501102828	0.7037926982992617	0.5639544258864359	0.5863971649061073	0.0	0.41204106257534406	0.6135759888068614	0.4208583807232812	0.5073639291235976	0.4752734232402353	0.5155649340345945	0.42271583635119403
F7H1	0.40863872849365557	0.5287182910839167	0.5363442107836022	0.6137355589725811	0.47389728655975527	0.4963400255794267	0.41204106257534406	0.0	0.5235188494801808	0.3308012413966006	0.41730678979691715	0.3852162839135547	0.4255077947079139	0.33265869702451345
w19pp	0.491518467541206	0.611598030131467	0.6192239498311526	0.6966152980201314	0.5567770256073057	0.5792197646269771	0.6135759888068614	0.5235188494801808	0.0	0.3728098627902804	0.4593154111905969	0.46809602296110514	0.5083875337554643	0.41553843607206387
f7pp	0.2988008594576258	0.41888042204788684	0.4265063417475724	0.5038976899365513	0.3640594175237255	0.3865021565433969	0.4208583807232812	0.3308012413966006	0.3728098627902804	0.0	0.21913805316838947	0.2753784148775249	0.31566992567188407	0.22282082798848368
f19pp	0.3853064078579423	0.5053859704482033	0.5130118901478888	0.5904032383368678	0.450564965924042	0.4730077049437134	0.5073639291235976	0.41730678979691715	0.4593154111905969	0.21913805316838947	0.0	0.36188396327784145	0.40217547407220056	0.3093263763888001
f11pp	0.31951573492159513	0.4395952975118562	0.4472212172115418	0.5246125654005207	0.38477429298769483	0.4072170320073663	0.4752734232402353	0.3852162839135547	0.46809602296110514	0.2753784148775249	0.36188396327784145	0.0	0.3278891819981531	0.2350400843147527
w20pp	0.3598072457159543	0.47988680830621533	0.48751272800590095	0.5649040761948798	0.42506580378205394	0.4475085428017255	0.5155649340345945	0.4255077947079139	0.5083875337554643	0.31566992567188407	0.40217547407220056	0.3278891819981531	0.0	0.1818809197073572
f20ppA	0.2669581480325539	0.38703771062281495	0.3946636303225005	0.47205497851147943	0.33221670609865356	0.35465944511832503	0.42271583635119403	0.33265869702451345	0.41553843607206387	0.22282082798848368	0.3093263763888001	0.2350400843147527	0.1818809197073572	0.0
