	S3Hp	F22HpB	S17H1	S26Hp	w11pp	w14pp	w26pp	w2pp	S1Hp	31700	S29H1	31300	31219	f20ppA	w20pp	w9pp	w17pp	w18pp	w32pp	w19pp	f19pp	f7pp
S3Hp	0.0	0.5778328810036476	0.5995072760560899	0.5777862657939333	0.32472672741517034	0.4111000661291268	0.3482280124351981	0.38642858091660826	0.40829737979197833	0.42313340741457867	0.4112476452822198	0.43358911983087717	0.43418083224860454	0.3451612381541915	0.31738726522805205	0.3275682439721152	0.3907666655667254	0.3399349309811989	0.39175611341395156	0.33694038831024953	0.26944696146036984	0.2134244885844413
F22HpB	0.5778328810036476	0.0	0.5328131956540432	0.5626545949932324	0.5766000256682786	0.6629733643822351	0.6001013106883064	0.6383018791697166	0.6601706780450867	0.675006705667687	0.6631209435353281	0.6854624180839854	0.6860541305017129	0.5970345364072998	0.5692605634811603	0.5794415422252235	0.6426399638198337	0.5918082292343072	0.6436294116670599	0.5888136865633578	0.5213202597134782	0.5139798539129924
S17H1	0.5995072760560899	0.5328131956540432	0.0	0.5843289900456747	0.5982744207207209	0.6846477594346774	0.6217757057407487	0.6599762742221589	0.681845073097529	0.6966811007201292	0.6847953385877704	0.7071368131364277	0.7077285255541552	0.618708931459742	0.5909349585336026	0.6011159372776658	0.664314358872276	0.6134826242867495	0.6653038067195022	0.6104880816158	0.5429946547659205	0.5356542489654347
S26Hp	0.5777862657939333	0.5626545949932324	0.5843289900456747	0.0	0.5765534104585643	0.6629267491725208	0.6000546954785921	0.6382552639600023	0.6601240628353724	0.6749600904579727	0.6630743283256139	0.6854158028742712	0.6860075152919987	0.5969879211975855	0.569213948271446	0.5793949270155092	0.6425933486101194	0.5917616140245929	0.6435827964573456	0.5887670713536435	0.5212736445037639	0.5139332387032781
w11pp	0.32472672741517034	0.5766000256682786	0.5982744207207209	0.5765534104585643	0.0	0.3812069194900821	0.31833486579615333	0.3565354342775635	0.3784042331529336	0.393240260775534	0.38135449864317505	0.4036959731918325	0.40428768560955985	0.31526809151514673	0.2874941185890073	0.29767509733307046	0.3608735189276807	0.3100417843421542	0.3618629667749068	0.3070472416712048	0.23955381482132512	0.2608737003245151
w14pp	0.4111000661291268	0.6629733643822351	0.6846477594346774	0.6629267491725208	0.3812069194900821	0.0	0.25147638849779524	0.3587506195167596	0.38061941839212965	0.4291965646223098	0.4173108024899509	0.4396522770386083	0.4402439894563357	0.3512243953619226	0.32345042243578315	0.33363140117984635	0.39682982277445655	0.3459980881889301	0.3978192706216827	0.36888958766861873	0.3013961608187391	0.3472470390384716
w26pp	0.3482280124351981	0.6001013106883064	0.6217757057407487	0.6000546954785921	0.31833486579615333	0.25147638849779524	0.0	0.2958785658228308	0.31774736469820086	0.3663245109283811	0.35443874879602216	0.3767802233446796	0.37737193576240696	0.28835234166799384	0.26057836874185436	0.27075934748591757	0.33395776908052777	0.2831260344950013	0.334947216927754	0.30601753397469	0.23852410712481034	0.28437498534454286
w2pp	0.38642858091660826	0.6383018791697166	0.6599762742221589	0.6382552639600023	0.3565354342775635	0.3587506195167596	0.2958785658228308	0.0	0.3136163133516904	0.4045250794097913	0.3926393172774324	0.4149807918260898	0.4155725042438172	0.326552910149404	0.2987789372232646	0.30895991596732775	0.372158337561938	0.32132660297641147	0.37314778540916416	0.3442181024561002	0.27672467560622055	0.32257555382595304
S1Hp	0.40829737979197833	0.6601706780450867	0.681845073097529	0.6601240628353724	0.3784042331529336	0.38061941839212965	0.31774736469820086	0.3136163133516904	0.0	0.4263938782851614	0.4145081161528025	0.4368495907014599	0.4374413031191873	0.3484217090247741	0.3206477360986347	0.3308287148426978	0.3940271364373081	0.34319540185178155	0.39501658428453423	0.36608690133147026	0.2985934744815906	0.3444443527013231
31700	0.42313340741457867	0.675006705667687	0.6966811007201292	0.6749600904579727	0.393240260775534	0.4291965646223098	0.3663245109283811	0.4045250794097913	0.4263938782851614	0.0	0.3756522335437503	0.39799370809240775	0.3985854205101351	0.33719814268582293	0.30942416975968345	0.31960514850374666	0.38280357009835686	0.3319718355128304	0.38379301794558307	0.38092292895407065	0.31342950210419096	0.35928038032392345
