	31749	S23Hp	S4Hp	S30H1	F29H1	S21H1	s24H1	31700	F1H1	F3H1	S7Hp	F14H1B	31009	F23HpA	531414	F6H1	F14H1A	S20H1	S11Hp	31452	S6Hp	31333	31219	S9H1	S17H1	F32H1	S15Hp	S12Hp	31300	31328	S19H1
31749	0.0	0.3040267602182556	0.3854356050577478	0.4023498749806336	0.4239399042448622	0.39476701709413153	0.40435967815443274	0.3934562833104185	0.36982863344331374	0.4014545757168565	0.3440743183837507	0.4183979554185835	0.4201993962384607	0.41053881745770354	0.4038562852013867	0.3904146295423698	0.41301144737036855	0.43111805634433287	0.43666158423436874	0.3988538887529617	0.3943945117032145	0.4476774533086781	0.4004404342524659	0.41477293246394725	0.40244765415564543	0.43776292010075524	0.4113987506596015	0.3873253016930238	0.4036625296458878	0.40578163891728314	0.4071411982224835
S23Hp	0.3040267602182556	0.0	0.3826626307878491	0.39957690071073493	0.4211669299749635	0.39199404282423284	0.401586703884534	0.39068330904051973	0.367055659173415	0.39868160144695786	0.34130134411385193	0.4156249811486848	0.41742642196856194	0.40776584318780484	0.401083310931488	0.3876416552724711	0.4102384731004698	0.4283450820744341	0.43388860996447	0.39608091448306293	0.3916215374333158	0.4449044790387794	0.3976674599825672	0.41199995819404855	0.39967467988574673	0.4349899458308566	0.40862577638970277	0.3845523274231252	0.400889555375989	0.40300866464738444	0.40436822395258476
S4Hp	0.3854356050577478	0.3826626307878491	0.0	0.3007470578472462	0.377396859468895	0.3482239723181644	0.3883529840589892	0.37744958921497496	0.3538219393478702	0.40039950881910635	0.34301925148600043	0.4173428885208333	0.41914432934071044	0.40948375055995334	0.4028012183036365	0.3893595626446196	0.4119563804726183	0.4300629894465826	0.4356065173366185	0.3977988218552114	0.3933394448054643	0.4466223864109279	0.3993853673547157	0.41371786556619705	0.40139258725789523	0.4367078532030051	0.41034368376185126	0.38627023479527367	0.4026074627481375	0.40472657201953294	0.40608613132473326
S30H1	0.4023498749806336	0.39957690071073493	0.3007470578472462	0.0	0.3943111293917808	0.3651382422410502	0.405267253981875	0.39436385913786076	0.370736209270756	0.41731377874199216	0.35993352140888624	0.4342571584437191	0.43605859926359625	0.42639802048283915	0.4197154882265223	0.4062738325675054	0.4288706503955041	0.4469772593694684	0.4525207872595043	0.41471309177809723	0.4102537147283501	0.4635366563338137	0.4162996372776015	0.43063213548908286	0.41830685718078103	0.4536221231258909	0.42725795368473707	0.4031845047181595	0.41952173267102333	0.42164084194241874	0.42300040124761906
F29H1	0.4239399042448622	0.4211669299749635	0.377396859468895	0.3943111293917808	0.0	0.347125845386149	0.4268572832461036	0.41595388840208936	0.3923262385349846	0.43890380800622075	0.38152355067311483	0.4558471877079477	0.45764862852782484	0.44798804974706774	0.4413055174907509	0.42786386183173397	0.4504606796597327	0.468567288633697	0.4741108165237329	0.4363031210423258	0.4318437439925787	0.4851266855980423	0.4378896665418301	0.45222216475331145	0.4398968864450096	0.4752121523901195	0.44884798294896566	0.42477453398238807	0.4411117619352519	0.44323087120664734	0.44459043051184766
S21H1	0.39476701709413153	0.39199404282423284	0.3482239723181644	0.3651382422410502	0.347125845386149	0.0	0.397684396095373	0.3867810012513587	0.363153351384254	0.40973092085549	0.3523506635223842	0.426674300557217	0.4284757413770942	0.41881516259633705	0.41213263034002023	0.3986909746810033	0.42128779250900206	0.4393944014829664	0.44493792937300225	0.4071302338915952	0.402670856841848	0.4559537984473116	0.4087167793910994	0.42304927760258076	0.41072399929427894	0.44603926523938875	0.41967509579823503	0.3956016468316573	0.4119388747845213	0.41405798405591665	0.415417543361117
s24H1	0.40435967815443274	0.401586703884534	0.3883529840589892	0.405267253981875	0.4268572832461036	0.397684396095373	0.0	0.33162967539446714	0.3360705110448492	0.4193235819157912	0.36194332458268536	0.4362669616175182	0.43806840243739537	0.4284078236566382	0.42172529140032144	0.40828363574130444	0.4308804535693032	0.44898706254326753	0.4545305904333034	0.4167228949518964	0.4122635179021492	0.4655464595076128	0.4183094404514006	0.432641938662882	0.42031666035458015	0.45563192629968996	0.42926775685853624	0.40519430789195854	0.4215315358448225	0.42365064511621786	0.42501020442141824
31700	0.3934562833104185	0.39068330904051973	0.37744958921497496	0.39436385913786076	0.41595388840208936	0.3867810012513587	0.33162967539446714	0.0	0.32516711620083494	0.40842018707177696	0.3510399297386711	0.42536356677350395	0.4271650075933811	0.41750442881262395	0.4108218965563072	0.3973802408972902	0.41997705872528895	0.4380836676992533	0.44362719558928915	0.40581950010788215	0.40136012305813495	0.45464306466359855	0.40740604560738636	0.4217385438188677	0.4094132655105659	0.4447285314556757	0.418364362014522	0.3942909130479443	0.41062814100080824	0.4127472502722036	0.414106809577404
F1H1	0.36982863344331374	0.367055659173415	0.3538219393478702	0.370736209270756	0.3923262385349846	0.363153351384254	0.3360705110448492	0.32516711620083494	0.0	0.3847925372046722	0.32741227987156635	0.4017359169063992	0.40353735772627636	0.3938767789455192	0.38719424668920244	0.37375259103018543	0.3963494088581842	0.4144560178321485	0.4199995457221844	0.3821918502407774	0.3777324731910302	0.4310154147964938	0.3837783957402816	0.39811089395176297	0.38578561564346114	0.42110088158857095	0.39473671214741723	0.37066326318083953	0.3870004911337035	0.38911960040509885	0.39047915971029923
F3H1	0.4014545757168565	0.39868160144695786	0.40039950881910635	0.41731377874199216	0.43890380800622075	0.40973092085549	0.4193235819157912	0.40842018707177696	0.3847925372046722	0.0	0.21062208319750103	0.37180796958458584	0.37360941040446305	0.38850282555196325	0.3818202932956464	0.3683786376366295	0.3909754554646282	0.4090820644385925	0.4146255923286284	0.39298680916652673	0.38852743211677954	0.44181037372224313	0.39457335466603094	0.4089058528775123	0.3965805745692105	0.4318958405143203	0.40553167107316657	0.38145822210658886	0.3977954500594528	0.3999145593308482	0.40127411863604856
