	S1Hp	31519	530258	w24pp	f6ppB	f1pp	f24pp	w28pp	w3pp	w19pp	w17pp	w1pp	w14pp	w32pp	w26pp	S26Hp	31360	S28Hp	31749	530167	31267	S13Hp	S25Hp	S18H1	530364	31232	31452	S8Hp	S7Hp	530368	S4Hp	S29H1	S27H1	530394	F7H1	S19H1	F22HpB	S14Hp	31750	530177	31333	s24H1	31236	31219	S6Hp	531414	31021	S30H1	530119	530215	31009	F32H1	530451
S1Hp	0.0	0.3370236923375923	0.32485323683733247	0.24992175368598166	0.2572269479717758	0.27389979553242544	0.25142860376078746	0.2596831673784591	0.2600615883560121	0.2738284960980303	0.25452105886488885	0.26536862116983595	0.26987224460916365	0.25432156773261283	0.2414154275821274	0.2824444132809248	0.3077225779371037	0.34042372077687144	0.32385415600578565	0.31155007101834736	0.3186996896187074	0.3189842579081952	0.3210233660738345	0.3201376604267855	0.31290052273391755	0.3087963985222819	0.31260778660952254	0.32070947617462275	0.3002556960084703	0.3177973089066677	0.32080006366323455	0.31833072811500784	0.32860877995405385	0.3255364339862463	0.31864052761871475	0.3113985591476388	0.31646151253096255	0.32129923411496575	0.31705648078258675	0.32073162377277364	0.3075712147057475	0.3025065007987667	0.3280036515082192	0.3158062214752498	0.3371421408901274	0.32073888861944655	0.33229651047303954	0.3345327467967214	0.3156452614151929	0.3065108296393543	0.3146537482073818	0.2950313324445415	0.2992736838654454
31519	0.3370236923375923	0.0	0.3053191591688018	0.27661857974442816	0.2839237740302223	0.3005966215908719	0.27812542981923394	0.28637999343690557	0.2867584144144586	0.30052532215647676	0.2812178849233353	0.2920654472282824	0.2965690706676101	0.2810183937910593	0.2681122536405739	0.30914123933937127	0.3344194039955502	0.3671205468353179	0.35055098206423213	0.33824689707679384	0.3453965156771539	0.34568108396664166	0.347720192132281	0.34683448648523196	0.33959734879236403	0.3354932245807284	0.339304612667969	0.34740630223306923	0.3269525220669168	0.34449413496511416	0.347496889721681	0.3450275541734543	0.35530560601250033	0.3522332600446928	0.34533735367716123	0.3380953852060853	0.34315833858940903	0.3479960601734122	0.3437533068410332	0.3474284498312201	0.334268040764194	0.32920332685721315	0.3547004775666657	0.34250304753369626	0.36383896694857387	0.347435714677893	0.358993336531486	0.3612295728551679	0.34234208747363937	0.33320765569780075	0.34135057426582827	0.32172815850298797	0.32597050992389187
530258	0.32485323683733247	0.3053191591688018	0.0	0.26444812424416836	0.27175331852996254	0.2884261660906121	0.26595497431897414	0.2742095379366458	0.27458795891419885	0.28835486665621696	0.2690474294230756	0.2798949917280227	0.2843986151673503	0.26884793829079956	0.2559417981403141	0.29697078383911146	0.3222489484952904	0.3549500913350581	0.33838052656397233	0.32607644157653404	0.33322606017689416	0.3335106284663819	0.33554973663202126	0.33466403098497216	0.3274268932921043	0.32332276908046864	0.3271341571677092	0.3352358467328095	0.31478206656665697	0.3323236794648544	0.3353264342214213	0.3328570986731946	0.3431351505122405	0.340062804544433	0.3331668981769014	0.3259249297058255	0.3309878830891493	0.3358256046731525	0.3315828513407735	0.3352579943309604	0.32209758526393417	0.3170328713569534	0.34253002206640587	0.33033259203343646	0.3516685114483141	0.3352652591776332	0.34682288103122627	0.34905911735490813	0.3301716319733796	0.321037200197541	0.3291801187655685	0.30955770300272817	0.31380005442363207
w24pp	0.24992175368598166	0.27661857974442816	0.26444812424416836	0.0	0.09348643631145159	0.11015928387210118	0.08768809210046317	0.09594265571813486	0.09632107669568787	0.110087984437706	0.0907805472045646	0.10162810950951169	0.10613173294883939	0.09058105607228858	0.07767491592180314	0.19303357232696775	0.21831173698314668	0.25101287982291437	0.2344433150518286	0.22213923006439032	0.22928884866475038	0.22957341695423816	0.23161252511987748	0.23072681947282841	0.22348968177996054	0.21938555756832487	0.2231969456555655	0.2312986352206657	0.21084485505451322	0.22838646795271067	0.2313892227092775	0.2289198871610508	0.2391979390000968	0.23612559303228925	0.22922968666475768	0.22198771819368174	0.22705067157700554	0.2318883931610087	0.2276456398286297	0.23132078281881663	0.21816037375179045	0.21309565984480966	0.23859281055426212	0.22639538052129274	0.24773129993617038	0.23132804766548948	0.2428856695190825	0.24512190584276436	0.22623442046123585	0.21709998868539726	0.22524290725342475	0.20562049149058442	0.20986284291148832
f6ppB	0.2572269479717758	0.2839237740302223	0.27175331852996254	0.09348643631145159	0.0	0.08021117407304341	0.05773998230140541	0.06599454591907708	0.07248136625042473	0.08624827399244286	0.07649632917632043	0.08734389148126752	0.09184751492059522	0.0846329934473436	0.07172685329685816	0.20033876661276193	0.22561693126894086	0.25831807410870855	0.2417485093376228	0.2294444243501845	0.23659404295054456	0.23687861124003234	0.23891771940567166	0.2380320137586226	0.23079487606575472	0.22669075185411905	0.23050213994135968	0.2386038295064599	0.2181500493403074	0.23569166223850485	0.23869441699507168	0.23622508144684498	0.246503133285891	0.24343078731808343	0.23653488095055186	0.22929291247947592	0.23435586586279972	0.23919358744680289	0.23495083411442388	0.2386259771046108	0.22546556803758463	0.22040085413060384	0.2458980048400563	0.23370057480708692	0.25503649422196456	0.23863324195128366	0.25019086380487665	0.2524271001285585	0.23353961474703003	0.22440518297119144	0.23254810153921893	0.2129256857763786	0.2171680371972825
f1pp	0.27389979553242544	0.3005966215908719	0.2884261660906121	0.11015928387210118	0.08021117407304341	0.0	0.06618983622928269	0.07444439984695438	0.08915421381107433	0.10292112155309244	0.09316917673697002	0.1040167390419171	0.1085203624812448	0.10130584100799318	0.08839970085750774	0.21701161417341153	0.24228977882959046	0.2749909216693581	0.2584213568982724	0.2461172719108341	0.25326689051119416	0.253551458800682	0.25559056696632126	0.25470486131927217	0.24746772362640432	0.24336359941476865	0.24717498750200928	0.2552766770671095	0.23482289690095703	0.2523645097991545	0.2553672645557213	0.2528979290074946	0.2631759808465406	0.260103634878733	0.25320772851120144	0.24596576004012552	0.25102871342344935	0.2558664350074525	0.2516236816750735	0.25529882466526044	0.24213841559823424	0.2370737016912534	0.2625708524007059	0.2503734223677365	0.2717093417826142	0.25530608951193323	0.2668637113655263	0.26909994768920814	0.25021246230767963	0.24107803053184104	0.24922094909986853	0.2295985333370282	0.2338408847579321
f24pp	0.25142860376078746	0.27812542981923394	0.26595497431897414	0.08768809210046317	0.05773998230140541	0.06618983622928269	0.0	0.04842886768467611	0.06668302203943632	0.08044992978145443	0.07069798496533201	0.0815455472702791	0.0860491707096068	0.07883464923635518	0.06592850908586974	0.19454042240177352	0.21981858705795246	0.25251972989772015	0.2359501651266344	0.2236460801391961	0.23079569873955616	0.23108026702904394	0.23311937519468326	0.2322336695476342	0.2249965318547663	0.22089240764313064	0.22470379573037128	0.2328054852954715	0.212351705129319	0.22989331802751645	0.23289607278408328	0.23042673723585658	0.2407047890749026	0.23763244310709503	0.23073653673956346	0.22349456826848751	0.2285575216518113	0.23339524323581448	0.22915248990343548	0.2328276328936224	0.21966722382659623	0.21460250991961544	0.2400996606290679	0.22790223059609852	0.24923815001097616	0.23283489774029525	0.24439251959388827	0.24662875591757014	0.22774127053604162	0.21860683876020304	0.22674975732823052	0.2071273415653902	0.2113696929862941
w28pp	0.2596831673784591	0.28637999343690557	0.2742095379366458	0.09594265571813486	0.06599454591907708	0.07444439984695438	0.04842886768467611	0.0	0.074937585657108	0.08870449339912612	0.07895254858300368	0.08980011088795078	0.09430373432727848	0.08708921285402686	0.07418307270354142	0.2027949860194452	0.22807315067562414	0.26077429351539183	0.24420472874430607	0.23190064375686778	0.23905026235722784	0.23933483064671562	0.24137393881235494	0.24048823316530588	0.233251095472438	0.22914697126080233	0.23295835934804296	0.24106004891314317	0.22060626874699069	0.23814788164518813	0.24115063640175496	0.23868130085352826	0.24895935269257427	0.2458870067247667	0.23899110035723514	0.2317491318861592	0.236812085269483	0.24164980685348617	0.23740705352110716	0.2410821965112941	0.22792178744426791	0.22285707353728712	0.24835422424673959	0.2361567942137702	0.25749271362864784	0.24108946135796694	0.25264708321155993	0.2548833195352418	0.2359958341537133	0.22686140237787472	0.2350043209459022	0.21538190518306188	0.21962425660396578
w3pp	0.2600615883560121	0.2867584144144586	0.27458795891419885	0.09632107669568787	0.07248136625042473	0.08915421381107433	0.06668302203943632	0.074937585657108	0.0	0.07978539285260662	0.07933096956055671	0.09017853186550379	0.09468215530483148	0.08746763383157988	0.07456149368109444	0.2031734069969982	0.22845157165317714	0.26115271449294486	0.24458314972185907	0.23227906473442078	0.23942868333478085	0.23971325162426863	0.24175235978990794	0.24086665414285888	0.233629516449991	0.22952539223835533	0.23333678032559596	0.24143846989069617	0.22098468972454371	0.23852630262274113	0.24152905737930797	0.23905972183108126	0.24933777367012727	0.2462654277023197	0.23936952133478814	0.2321275528637122	0.237190506247036	0.24202822783103917	0.23778547449866017	0.2414606174888471	0.22830020842182092	0.2232354945148401	0.2487326452242926	0.2365352151913232	0.2578711346062008	0.24146788233551994	0.25302550418911296	0.2552617405127948	0.2363742551312663	0.22723982335542772	0.2353827419234552	0.2157603261606149	0.2200026775815188
w19pp	0.2738284960980303	0.30052532215647676	0.28835486665621696	0.110087984437706	0.08624827399244286	0.10292112155309244	0.08044992978145443	0.08870449339912612	0.07978539285260662	0.0	0.09309787730257482	0.10394543960752192	0.10844906304684962	0.101234541573598	0.08832840142311256	0.21694031473901634	0.24221847939519528	0.27491962223496297	0.2583500574638772	0.24604597247643892	0.253195591076799	0.25348015936628676	0.2555192675319261	0.254633561884877	0.24739642419200913	0.24329229998037347	0.2471036880676141	0.25520537763271434	0.23475159746656182	0.25229321036475927	0.25529596512132613	0.2528266295730994	0.2631046814121454	0.26003233544433785	0.2531364290768063	0.24589446060573034	0.25095741398905413	0.25579513557305733	0.25155238224067833	0.2552275252308652	0.24206711616383905	0.23700240225685826	0.2624995529663107	0.2503021229333413	0.271638042348219	0.2552347900775381	0.2667924119311311	0.269028648254813	0.2501411628732845	0.24100673109744586	0.24914964966547334	0.22952723390263302	0.23376958532353692
