	31379	31600	31428	S3Hp	S21H1	31219	31021	530295	530394	31512	31452	530167	31700	S1Hp	S30H1	S16H2	31537	31333	31637	F1H1	31236	S28Hp	31160	S4Hp	F6H1	S2Hp	31232	530055	S9H1	s24H1	S26Hp	S7Hp	530331	530075	S19H1	530177	31300	530163	F7H1	530258	F14H1B	530215	S17H1	31766	531414	31009	S29H1	S6Hp	F3H1	F29H1	S22Hp	S15Hp	S31Hp	S27H1	S14Hp	31328	530052	31267	31750
31379	0.0	0.22207404924430385	0.352402899628356	0.21055424946240803	0.3083852601880792	0.2940459400383554	0.2997112154678786	0.3130026253987961	0.3215561669843282	0.3323984562050729	0.31702825470923224	0.2935929666001932	0.2758951121507933	0.3089557977404225	0.3098621894443534	0.2891329685881421	0.29153056044586967	0.30215857215534525	0.29590316543967055	0.3163060881126898	0.2952069582925767	0.30177819976380615	0.2952426910805116	0.273333891619463	0.24287042733746547	0.2609224144195919	0.39208046197080626	0.464537220672505	0.46009482821643993	0.4493066365756223	0.2719478466746029	0.26640853026176525	0.2753882163814435	0.2766201931325122	0.2853981768101502	0.2939578564454918	0.2754561466890728	0.276937312436449	0.29003605143652234	0.28520993845800346	0.25983973998319115	0.2820032292557967	0.2931492566209592	0.29239250424811614	0.3003889964799308	0.28741296381910464	0.2951632492433779	0.19979815941772833	0.2920178088521448	0.2964126729890425	0.3093213607732148	0.28594209203084564	0.3070049163530376	0.3087186879003749	0.27570465178046594	0.2688947614257745	0.2628416742055548	0.2623240233558974	0.25558869667743755
31600	0.22207404924430385	0.0	0.34966841012807237	0.20781975996212437	0.3056507706877956	0.2913114505380718	0.29697672596759495	0.3102681358985125	0.31882167748404455	0.3296639667047893	0.3142937652089486	0.29085847709990953	0.2731606226505097	0.3062213082401389	0.3071276999440698	0.2863984790878584	0.28879607094558607	0.29942408265506165	0.2931686759393869	0.3135715986124062	0.29247246879229305	0.2990437102635225	0.292508201580228	0.2705994021191793	0.24013593783718185	0.25818792491930825	0.3893459724705226	0.46180273117222137	0.45736033871615633	0.44657214707533865	0.26921335717431927	0.2636740407614816	0.27265372688115985	0.2738857036322286	0.2826636873098666	0.29122336694520823	0.27272165718878916	0.2742028229361654	0.2873015619362387	0.28247544895771987	0.2571052504829075	0.27926873975551303	0.2904147671206756	0.2896580147478325	0.2976545069796471	0.284678474318821	0.29242875974309424	0.1970636699174447	0.2892833193518612	0.29367818348875885	0.30658687127293116	0.283207602530562	0.304270426852754	0.3059841984000913	0.27297016228018234	0.26616027192549085	0.26010718470527117	0.2595895338556138	0.25285420717715396
31428	0.352402899628356	0.34966841012807237	0.0	0.2924308315596374	0.3902618422853086	0.37592252213558475	0.38158779756510797	0.39487920749602545	0.4034327490815576	0.4142750383023023	0.3989048368064616	0.37546954869742255	0.3577716942480227	0.39083237983765184	0.39173877154158276	0.37100955068537145	0.37340714254309904	0.3840351542525746	0.3777797475368999	0.39818267020991915	0.37708354038980607	0.3836547818610355	0.37711927317774097	0.35521047371669234	0.3247470094346948	0.3427989965168213	0.49237265747988845	0.5648294161815872	0.5603870237255222	0.5495988320847045	0.3722400421836851	0.36670072577084745	0.3756804118905257	0.3769123886415944	0.38569037231923237	0.394250051954574	0.375748342198155	0.3772295079455312	0.39032824694560453	0.38550213396708566	0.36013193549227335	0.3822954247648789	0.3934414521300414	0.39268469975719833	0.400681191989013	0.38770515932818683	0.3954554447524601	0.3000903549268105	0.392310004361227	0.3967048684981247	0.409613556282297	0.38623428753992783	0.4072971118621198	0.40901088340945707	0.37599684728954813	0.3691869569348567	0.363133869714637	0.3626162188649796	0.35588089218651975
S3Hp	0.21055424946240803	0.20781975996212437	0.2924308315596374	0.0	0.2391238441515472	0.22478452400182336	0.23044979943134652	0.24374120936226407	0.25229475094779613	0.2631370401685409	0.24776683867270016	0.2243315505636611	0.2066336961142613	0.23969438170389046	0.24060077340782138	0.21987155255161	0.22226914440933765	0.23289715611881323	0.22664174940313847	0.24704467207615777	0.22594554225604463	0.23251678372727408	0.22598127504397958	0.20407247558293093	0.17360901130093342	0.19166099838305983	0.35052400731394046	0.4229807660156392	0.41853837355957413	0.4077501819187565	0.23039139201773712	0.2248520756048994	0.2338317617245777	0.23506373847564638	0.24384172215328437	0.252401401788626	0.233899692032207	0.23538085777958317	0.24847959677965648	0.24365348380113766	0.21828328532632532	0.24044677459893088	0.2515928019640934	0.25083604959125033	0.258832541823065	0.24585650916223878	0.25360679458651203	0.15824170476086252	0.250461354195279	0.2548562183321767	0.267764906116349	0.24438563737397984	0.2654484616961718	0.2671622332435091	0.23414819712360013	0.2273383067689087	0.22128521954868902	0.22076756869903158	0.21403224202057178
S21H1	0.3083852601880792	0.3056507706877956	0.3902618422853086	0.2391238441515472	0.0	0.24085925310779904	0.2465245285373222	0.25981593846823975	0.2683694800537718	0.2792117692745165	0.26384156777867585	0.2653181410709861	0.2476202866215863	0.2998683796872472	0.30077477139117814	0.29259285134346047	0.29499044320118817	0.3056184549106637	0.29936304819498893	0.31976597086800823	0.2986668410478951	0.30523808251912454	0.29870257383583004	0.2767937743747814	0.2463303100927839	0.26438229717491035	0.44835501803961164	0.5208117767413104	0.5163693842852454	0.5055811926444277	0.3282224027434083	0.32268308633057063	0.3316627724502489	0.3328947492013176	0.3416727328789556	0.35023241251429726	0.3317307027578782	0.3332118685052544	0.3463106075053277	0.3414844945268089	0.31611429605199654	0.33827778532460206	0.34942381268976463	0.3486670603169215	0.35666355254873616	0.34368751988791	0.35143780531218327	0.25607271548653376	0.3482923649209502	0.3526872290578479	0.3655959168420202	0.342216648099651	0.36327947242184305	0.3649932439691803	0.3319792078492714	0.3251693174945799	0.3191162302743602	0.3185985794247028	0.311863252746243
31219	0.2940459400383554	0.2913114505380718	0.37592252213558475	0.22478452400182336	0.24085925310779904	0.0	0.11011031447880273	0.1636785054961984	0.17223204708173045	0.1830743363024752	0.16770413480663446	0.2509788209212623	0.23328096647186247	0.2855290595375234	0.2864354512414543	0.27825353119373664	0.28065112305146434	0.29127913476093986	0.2850237280452651	0.3054266507182844	0.28432752089817126	0.2908987623694007	0.2843632536861062	0.2624544542250576	0.23199098994306006	0.2500429770251865	0.4340156978898878	0.5064724565915866	0.5020300641355215	0.49124187249470386	0.31388308259368447	0.3083437661808468	0.31732345230052506	0.3185554290515938	0.3273334127292318	0.33589309236457343	0.31739138260815436	0.3188725483555306	0.3319712873556039	0.32714517437708507	0.3017749759022727	0.32393846517487823	0.3350844925400408	0.3343277401671977	0.34232423239901233	0.3293481997381862	0.33709848516245944	0.2417333953368099	0.3339530447712264	0.33834790890812405	0.35125659669229636	0.3278773279499272	0.3489401522721192	0.3506539238194565	0.31763988769954754	0.31082999734485606	0.30477691012463637	0.304259259274979	0.29752393259651916
31021	0.2997112154678786	0.29697672596759495	0.38158779756510797	0.23044979943134652	0.2465245285373222	0.11011031447880273	0.0	0.1693437809257215	0.17789732251125356	0.18873961173199832	0.1733694102361576	0.25664409635078544	0.23894624190138564	0.2911943349670466	0.2921007266709775	0.28391880662325986	0.28631639848098744	0.296944410190463	0.29068900347478827	0.31109192614780756	0.2899927963276944	0.29656403779892393	0.2900285291156294	0.26811972965458075	0.23765626537258322	0.25570825245470963	0.43968097331941103	0.5121377320211098	0.5076953395650446	0.4969071479242271	0.3195483580232077	0.31400904161036997	0.3229887277300483	0.32422070448111695	0.3329986881587549	0.34155836779409654	0.3230566580376776	0.3245378237850537	0.33763656278512705	0.33281044980660823	0.30744025133179587	0.32960374060440145	0.3407497679695639	0.3399930155967209	0.34798950782853555	0.33501347516770935	0.3427637605919826	0.24739867076633307	0.33961832020074956	0.34401318433764727	0.3569218721218196	0.3335426033794504	0.3546054277016424	0.3563191992489796	0.32330516312907065	0.3164952727743793	0.31044218555415953	0.30992453470450215	0.3031892080260423
530295	0.3130026253987961	0.3102681358985125	0.39487920749602545	0.24374120936226407	0.25981593846823975	0.1636785054961984	0.1693437809257215	0.0	0.15132786021799058	0.1621701494387353	0.14679994794289458	0.269935506281703	0.2522376518323032	0.3044857448979641	0.305392136601895	0.29721021655417734	0.29960780841190504	0.31023582012138057	0.3039804134057058	0.3243833360787251	0.30328420625861197	0.3098554477298414	0.3033199390465469	0.2814111395854983	0.25094767530350076	0.2689996623856272	0.4529723832503285	0.5254291419520273	0.5209867494959622	0.5101985578551446	0.3328397679541252	0.3273004515412875	0.33628013766096576	0.3375121144120345	0.3462900980896725	0.35484977772501414	0.33634806796859507	0.3378292337159713	0.3509279727160446	0.3461018597375258	0.3207316612627134	0.34289515053531894	0.3540411779004815	0.3532844255276384	0.36128091775945304	0.3483048850986269	0.35605517052290014	0.26069008069725064	0.3529097301316671	0.35730459426856476	0.37021328205273707	0.3468340133103679	0.3678968376325599	0.3696106091798972	0.33659657305998825	0.32978668270529676	0.3237335954850771	0.3232159446354197	0.31648061795695986
530394	0.3215561669843282	0.31882167748404455	0.4034327490815576	0.25229475094779613	0.2683694800537718	0.17223204708173045	0.17789732251125356	0.15132786021799058	0.0	0.019509723999412892	0.0410712553116034	0.27848904786723505	0.26079119341783524	0.3130392864834962	0.3139456781874271	0.30576375813970946	0.30816134999743705	0.31878936170691263	0.3125339549912379	0.33293687766425717	0.31183774784414403	0.31840898931537354	0.311873480632079	0.28996468117103036	0.2595012168890328	0.27755320397115923	0.46152592483586063	0.5339826835375594	0.5295402910814943	0.5187520994406767	0.3413933095396573	0.33585399312681957	0.3448336792464979	0.34606565599756656	0.3548436396752045	0.36340331931054615	0.3449016095541272	0.3463827753015033	0.35948151430157665	0.35465540132305784	0.3292852028482455	0.35144869212085106	0.3625947194860135	0.3618379671131705	0.36983445934498516	0.35685842668415896	0.3646087121084322	0.26924362228278265	0.36146327171719916	0.3658581358540969	0.3787668236382692	0.3553875548959	0.376450379218092	0.3781641507654292	0.34515011464552026	0.3383402242908289	0.33228713707060914	0.33176948622095176	0.32503415954249193
31512	0.3323984562050729	0.3296639667047893	0.4142750383023023	0.2631370401685409	0.2792117692745165	0.1830743363024752	0.18873961173199832	0.1621701494387353	0.019509723999412892	0.0	0.05191354453234816	0.28933133708797976	0.27163348263858	0.3238815757042409	0.32478796740817184	0.31660604736045417	0.31900363921818187	0.3296316509276574	0.32337624421198263	0.34377916688500193	0.3226800370648888	0.32925127853611824	0.32271576985282374	0.3008069703917751	0.2703435061097776	0.28839549319190405	0.47236821405660534	0.5448249727583041	0.5403825803022391	0.5295943886614214	0.352235598760402	0.34669628234756433	0.3556759684672426	0.3569079452183113	0.3656859288959493	0.37424560853129096	0.3557438987748719	0.3572250645222481	0.3703238035223214	0.3654976905438026	0.34012749206899023	0.36229098134159576	0.37343700870675833	0.3726802563339152	0.38067674856572986	0.3677007159049037	0.37545100132917697	0.28008591150352746	0.3723055609379439	0.3767004250748416	0.3896091128590139	0.3662298441166447	0.38729266843883675	0.389006439986174	0.3559924038662651	0.3491825135115736	0.3431294262913539	0.3426117754416965	0.33587644876323675
