	S27H1	S14Hp	F14H1B	w22pp	w19pp	w26pp	w8pp	w20pp	F22HpB	F8H1	S20H1	530055	31700	31600	31129	S6Hp	S26Hp	S12Hp	31160	S31Hp
S27H1	0.0	0.013358450962533915	0.012416817899571029	0.4336484518374156	0.46005957663308517	0.46580354571331606	0.4827195220344367	0.47452452930465505	0.4236259619589109	0.42912985538344073	0.4149595855320851	0.431672370167396	0.4083568624086982	0.4028046384889611	0.4336474314909171	0.4252915177685729	0.4219500640422512	0.4274306675065447	0.3820719959366296	0.25081900200472096
S14Hp	0.013358450962533915	0.0	0.0014191326886427546	0.4375042045143669	0.46391532931003643	0.4696592983902673	0.48657527471138795	0.4783802819816063	0.42748171463586215	0.432985608060392	0.4188153382090364	0.4355281228443473	0.41221261508564944	0.40666039116591235	0.4375031841678684	0.42914727044552414	0.4258058167192025	0.43128642018349594	0.38592774861358087	0.2546747546816722
F14H1B	0.012416817899571029	0.0014191326886427546	0.0	0.43656257145140404	0.4629736962470735	0.4687176653273044	0.48563364164842504	0.4774386489186434	0.42654008157289924	0.43204397499742914	0.41787370514607347	0.4345864897813844	0.4112709820226866	0.40571875810294944	0.43656155110490547	0.42820563738256123	0.42486418365623957	0.43034478712053303	0.384986115550618	0.25373312161870937
w22pp	0.4336484518374156	0.4375042045143669	0.43656257145140404	0.0	0.11894487580512283	0.12468884488535376	0.14160482120647438	0.13340982847669272	0.44122109734152914	0.44672499076605904	0.4325547209147034	0.4492675055500143	0.42595199779131654	0.4203997738715794	0.45124256687353537	0.44288665315119113	0.43954519942486947	0.46590145940229316	0.42054278783237814	0.37011608363996584
w19pp	0.46005957663308517	0.46391532931003643	0.4629736962470735	0.11894487580512283	0.0	0.12450266371913354	0.14141864004025417	0.1332236473104725	0.46763222213719857	0.4731361155617285	0.4589658457103728	0.4756786303456838	0.45236312258698597	0.4468108986672489	0.4776536916692048	0.4692977779468606	0.4659563242205389	0.49231258419796264	0.4469539126280476	0.3965272084356353
w26pp	0.46580354571331606	0.4696592983902673	0.4687176653273044	0.12468884488535376	0.12450266371913354	0.0	0.10181209894003929	0.11474746036881994	0.47337619121742947	0.4788800846419594	0.4647098147906037	0.4814225994259147	0.45810709166721686	0.45255486774747977	0.4833976607494357	0.4750417470270915	0.4717002933007698	0.49805655327819354	0.4526978817082785	0.4022711775158662
w8pp	0.4827195220344367	0.48657527471138795	0.48563364164842504	0.14160482120647438	0.14141864004025417	0.10181209894003929	0.0	0.13166343668994057	0.4902921675385501	0.49579606096308004	0.4816257911117243	0.49833857574703533	0.4750230679883375	0.4694708440686004	0.5003136370705563	0.49195772334821214	0.4886162696218904	0.5149725295993142	0.46961385802939914	0.41918715383698685
w20pp	0.47452452930465505	0.4783802819816063	0.4774386489186434	0.13340982847669272	0.1332236473104725	0.11474746036881994	0.13166343668994057	0.0	0.48209717480876846	0.4876010682332984	0.4734307983819427	0.4901435830172537	0.46682807525855585	0.46127585133881877	0.4921186443407747	0.4837627306184305	0.4804212768921088	0.5067775368695325	0.4614188652996175	0.4109921611072052
F22HpB	0.4236259619589109	0.42748171463586215	0.42654008157289924	0.44122109734152914	0.46763222213719857	0.47337619121742947	0.4902921675385501	0.48209717480876846	0.0	0.3918593413595914	0.3776890715082357	0.4200760784503889	0.39676057069169113	0.391208346771954	0.42205113977390996	0.4136952260515657	0.41035377232524406	0.45587896952378837	0.41052029795387335	0.36009359376146105
F8H1	0.42912985538344073	0.432985608060392	0.43204397499742914	0.44672499076605904	0.4731361155617285	0.4788800846419594	0.49579606096308004	0.4876010682332984	0.3918593413595914	0.0	0.31128959633094855	0.4255799718749188	0.40226446411622097	0.3967122401964839	0.42755503319843985	0.41919911947609567	0.41585766574977395	0.46138286294831826	0.41602419137840324	0.36559748718599094
S20H1	0.4149595855320851	0.4188153382090364	0.41787370514607347	0.4325547209147034	0.4589658457103728	0.4647098147906037	0.4816257911117243	0.4734307983819427	0.3776890715082357	0.31128959633094855	0.0	0.41140970202356314	0.38809419426486536	0.3825419703451282	0.4133847633470842	0.40502884962473995	0.4016873958984183	0.4472125930969626	0.4018539215270476	0.3514272173346353
