	f20ppB	f30pp	f24pp	f23ppA	f12ppB	f4pp	f22ppB	f1pp	f12ppA	f18pp	f16ppA	w8pp	f32pp	w27pp	f2pp	w17pp	f8pp	f6ppB	f15pp	f7pp	f14ppA	f23ppB	f11pp	w19pp	f25pp	f9pp	f17ppB	f17ppA	w16pp	s14pp	w11pp	w4pp	s12pp	w30pp	s27pp	s26pp	s24pp	s28pp	s19pp	S15Hp	s16pp	w21pp	w14pp	s2pp	s17pp	s13pp	s3pp	s32pp	s25pp	s29pp	w28pp	s7pp	s18pp	w18pp	s22pp	s23pp	w6pp	s1pp	w23pp	w24pp	w1pp	530167	S17H1	530295	F14H1B	S12Hp	S22Hp	S7Hp	F3H1	F6H1	S19H1	F14H1A	F23HpA	S9H1	F7H1	S18H1	S2Hp	S31Hp	S28Hp	S29H1	S3Hp	S6Hp	S26Hp	S16H2	530451	S13Hp	S21H1	530394	S25Hp	w15pp	w25pp	w9pp	w10pp	f22ppA	f19pp	f6ppA	f20ppA	w3pp	f10pp	f14ppB	w13pp	f13pp	f3pp	f26pp	f21pp	f16ppB
f20ppB	0.0	0.07424394827085619	0.07964564844213563	0.10282375828392688	0.08698489367694205	0.07886984741268496	0.08270445102451733	0.07620183439214545	0.10190041349068706	0.09409530795422345	0.09003900966333651	0.11886855918849464	0.10783463667756384	0.1309395742871084	0.09194085548030452	0.08343481299563754	0.08750821781317912	0.08703034319989097	0.11705229444440834	0.11995143380415577	0.07983716291022874	0.13856982142223537	0.1358600415734177	0.13781135208693934	0.09358951714214139	0.10151280745803373	0.14686286188439285	0.17209760828576076	0.15336877040729058	0.24931486788458612	0.2681345633075589	0.21314550938202798	0.28470545011202547	0.3426179444694823	0.319245237084679	0.4001460962915261	0.3922911784572199	0.30210785850003474	0.2545811354863973	0.3857155019277502	0.25380957449678815	0.21692412882698964	0.13746499553252528	0.1860413237817019	0.2190092188388783	0.27245043832816623	0.2289511241293764	0.24627054633679862	0.24249721886292253	0.2738212775044956	0.19339133888895876	0.25945141178928277	0.20858893080280994	0.19507143280790962	0.2325215254426789	0.27636278844767614	0.20769924791030153	0.14928413625728887	0.1606216090855756	0.16437964924772314	0.17204330519032346	0.3476918453596397	0.354688341660245	0.3510588575641354	0.3929192146836854	0.34760039583394065	0.361147974982707	0.373165742756318	0.3946345473535366	0.38860138951165357	0.3747868922754807	0.3940671138419279	0.34108947181610144	0.38084521038087416	0.3771005965423963	0.3606720438506255	0.35579413966088297	0.3551180231739741	0.32822559920296784	0.38163210495744143	0.36780226036715996	0.35642267935057054	0.327441135259509	0.2841207158750785	0.41502965583332674	0.36244668494078414	0.4664615922810223	0.48649437124848316	0.5179440035126541	0.12076775236267316	0.12441770658904959	0.09403307138239148	0.11907546497641396	0.07248666341038501	0.08694834049050056	0.09546791737762216	0.11527898450373465	0.09868036865085066	0.11906417490482031	0.07760029230262284	0.1281578959385399	0.10669135460820148	0.13124275902069554	0.10844296459909245	0.06259976069031042	0.05936399428357285
f30pp	0.07424394827085619	0.0	0.03366982654448225	0.0568479363862735	0.041009071779288676	0.047763699244907976	0.051598302856740344	0.045095686224368464	0.07079426532291005	0.06298915978644645	0.05893286149555952	0.08776241102071763	0.07672848850978684	0.09983342611933138	0.060834707312527526	0.05232866482786055	0.05640206964540213	0.05592419503211398	0.08594614627663136	0.08884528563637878	0.048731014742451756	0.10746367325445838	0.1047538934056407	0.10670520391916233	0.062483368974364406	0.07040665929025675	0.11575671371661586	0.14099146011798377	0.12226262223951359	0.21820871971680916	0.23702841513978193	0.18203936121425102	0.25359930194424846	0.31151179630170533	0.28813908891690204	0.36903994812374913	0.36118503028944293	0.2710017103322578	0.22347498731862034	0.35460935375997327	0.2227034263290112	0.18581798065921265	0.1063588473647483	0.15493517561392495	0.18790307067110132	0.24134429016038925	0.19784497596159942	0.21516439816902166	0.21139107069514554	0.2427151293367186	0.16228519072118178	0.22834526362150578	0.17748278263503298	0.16396528464013266	0.20141537727490194	0.24525664027989916	0.17659309974252455	0.11817798808951188	0.1295154609177986	0.13327350107994615	0.14093715702254647	0.31658569719186275	0.32358219349246803	0.31995270939635845	0.36181306651590844	0.3164942476661637	0.33004182681493005	0.342059594588541	0.36352839918575963	0.3574952413438766	0.3436807441077037	0.3629609656741509	0.3099833236483245	0.3497390622130972	0.34599444837461935	0.32956589568284855	0.324687991493106	0.32401187500619716	0.2971194510351909	0.3505259567896645	0.336696112199383	0.3253165311827936	0.29633498709173206	0.2530145677073015	0.3839235076655498	0.3313405367730072	0.43535544411324534	0.4553882230807062	0.4868378553448772	0.08966160419489616	0.09331155842127259	0.06292692321461449	0.08796931680863695	0.04138051524260801	0.05584219232272357	0.06436176920984515	0.08417283633595765	0.06757422048307365	0.08795802673704331	0.04649414413484586	0.10796057133676393	0.0864940300064255	0.11104543441891956	0.08824563999731647	0.042402436088534445	0.05726727765300152
f24pp	0.07964564844213563	0.03366982654448225	0.0	0.05590895111562374	0.04007008650863892	0.05316539941618742	0.05700000302801978	0.050497386395647895	0.0761959654941895	0.0683908599577259	0.06433456166683896	0.09316411119199708	0.08213018868106628	0.10523512629061083	0.06623640748380696	0.057730364999139985	0.061803769816681564	0.06132589520339342	0.09134784644791079	0.09424698580765821	0.0541327149137312	0.11286537342573781	0.11015559357692013	0.11210690409044177	0.06788506914564385	0.07580835946153618	0.1211584138878953	0.14639316028926322	0.127664322410793	0.2236104198880886	0.24243011531106134	0.18744106138553046	0.2590010021155279	0.3169134964729848	0.2935407890881815	0.3744416482950286	0.3665867304607224	0.27640341050353723	0.22887668748989975	0.3600110539312527	0.22810512650029063	0.19121968083049207	0.11176054753602772	0.1603368757852044	0.19330477084238074	0.24674599033166866	0.20324667613287883	0.2205660983403011	0.21679277086642496	0.24811682950799802	0.1676868908924612	0.2337469637927852	0.18288448280631242	0.1693669848114121	0.20681707744618139	0.2506583404511786	0.18199479991380396	0.12357968826079131	0.13491716108907803	0.13867520125122557	0.1463388571938259	0.3219873973631422	0.3289838936637475	0.3253544095676379	0.3672147666871879	0.32189594783744313	0.3354435269862095	0.34746129475982046	0.3689300993570391	0.36289694151515606	0.34908244427898316	0.36836266584543037	0.3153850238196039	0.35514076238437664	0.3513961485458988	0.334967595854128	0.33008969166438545	0.3294135751774766	0.30252115120647033	0.3559276569609439	0.34209781237066245	0.330718231354073	0.3017366872630115	0.25841626787858096	0.3893252078368292	0.3367422369442866	0.4407571442845248	0.46078992325198564	0.49223955551615667	0.0950633043661756	0.09871325859255203	0.06832862338589392	0.0933710169799164	0.046782215413887454	0.061243892494003006	0.0697634693811246	0.0895745365072371	0.0729759206543531	0.09335972690832275	0.051895844306125295	0.11336227150804336	0.09189573017770493	0.116447134590199	0.0936473401685959	0.04780413625981389	0.06266897782428096
f23ppA	0.10282375828392688	0.0568479363862735	0.05590895111562374	0.0	0.04921896852164653	0.07634350925797867	0.08017811286981102	0.07367549623743914	0.09937407533598075	0.09156896979951715	0.08751267150863021	0.11634222103378833	0.10530829852285753	0.12841323613240208	0.08941451732559821	0.08090847484093124	0.08498187965847281	0.08450400504518467	0.11452595628970204	0.11742509564944946	0.07731082475552245	0.13604348326752908	0.13333370341871137	0.13528501393223302	0.0910631789874351	0.09898646930332743	0.14433652372968656	0.16957127013105447	0.15084243225258426	0.24678852972987986	0.2656082251528526	0.2106191712273217	0.28217911195731915	0.34009160631477603	0.31671889892997274	0.3976197581368198	0.3897648403025136	0.2995815203453285	0.252054797331691	0.38318916377304396	0.2512832363420819	0.21439779067228332	0.13493865737781896	0.18351498562699564	0.21648288068417199	0.2699241001734599	0.22642478597467008	0.24374420818209236	0.2399708807082162	0.27129493934978927	0.19086500073425244	0.25692507363457645	0.20606259264810367	0.19254509465320335	0.22999518728797264	0.2738364502929698	0.2051729097555952	0.14675779810258255	0.15809527093086928	0.16185331109301682	0.16951696703561714	0.34516550720493344	0.3521620035055387	0.34853251940942914	0.39039287652897914	0.3450740576792344	0.35862163682800074	0.3706394046016117	0.3921082091988303	0.3860750513569473	0.3722605541207744	0.3915407756872216	0.3385631336613952	0.3783188722261679	0.37457425838769004	0.35814570569591925	0.3532678015061767	0.35259168501926785	0.3256992610482616	0.37910576680273517	0.3652759222124537	0.3538963411958643	0.32491479710480276	0.2815943777203722	0.4125033176786205	0.35992034678607787	0.46393525412631603	0.4839680330937769	0.5154176653579479	0.11824141420796686	0.12189136843434328	0.09150673322768517	0.11654912682170765	0.0699603252556787	0.08442200233579425	0.09294157922291585	0.11275264634902835	0.09615403049614435	0.116537836750114	0.07507395414791654	0.1365403813498346	0.11507384001949618	0.13962524443199026	0.11682545001038715	0.07098224610160514	0.08584708766607221
f12ppB	0.08698489367694205	0.041009071779288676	0.04007008650863892	0.04921896852164653	0.0	0.06050464465099384	0.0643392482628262	0.05783663163045433	0.08353521072899592	0.07573010519253232	0.07167380690164538	0.1005033564268035	0.0894694339158727	0.11257437152541724	0.07357565271861338	0.06506961023394642	0.06914301505148798	0.06866514043819985	0.09868709168271722	0.10158623104246464	0.06147196014853762	0.12020461866054424	0.11749483881172657	0.11944614932524819	0.07522431438045027	0.08314760469634261	0.12849765912270172	0.15373240552406964	0.13500356764559945	0.23094966512289503	0.2497693605458678	0.19478030662033688	0.26634024735033435	0.32425274170779117	0.3008800343229879	0.38178089352983496	0.37392597569552877	0.2837426557383436	0.2362159327247062	0.3673502991660591	0.23544437173509705	0.1985589260652985	0.11909979277083416	0.1676761210200108	0.20064401607718718	0.2540852355664751	0.21058592136768528	0.22790534357510753	0.2241320161012314	0.25545607474280446	0.17502613612726764	0.24108620902759165	0.19022372804111884	0.17670623004621852	0.2141563226809878	0.257997585685985	0.1893340451486104	0.13091893349559774	0.14225640632388448	0.146014446486032	0.15367810242863233	0.3293266425979486	0.33632313889855386	0.3326936548024443	0.3745540119219943	0.3292351930722495	0.3427827722210159	0.35480053999462685	0.37626934459184547	0.37023618674996245	0.35642168951378955	0.37570191108023676	0.3227242690544103	0.36248000761918303	0.3587353937807052	0.3423068410889344	0.33742893689919184	0.336752820412283	0.3098603964412767	0.3632669021957503	0.34943705760546884	0.3380574765888794	0.3090759324978179	0.26575551311338735	0.3966644530716356	0.344081482179093	0.4480963895193312	0.46812916848679204	0.49957880075096306	0.10240254960098202	0.10605250382735845	0.07566786862070035	0.10071026221472282	0.05412146064869387	0.06858313772880943	0.07710271461593102	0.09691378174204351	0.08031516588915952	0.10069897214312917	0.05923508954093172	0.12070151674284979	0.09923497541251136	0.12378637982500543	0.10098658540340233	0.05514338149462031	0.07000822305908738
f4pp	0.07886984741268496	0.047763699244907976	0.05316539941618742	0.07634350925797867	0.06050464465099384	0.0	0.016359681488302816	0.009857064855930932	0.046526189366005416	0.038721083829541814	0.03466478553865488	0.063494335063813	0.052460412552882196	0.07556535016242674	0.045760252751965186	0.03725421026729821	0.04132761508483979	0.04084974047155165	0.07087169171606901	0.07377083107581643	0.03365656018188942	0.09918078787121289	0.09647100802239521	0.09842231853591685	0.05420048359111891	0.06212377390701125	0.10747382833337038	0.1327085747347383	0.1139797368562681	0.20992583433356365	0.22874552975653642	0.1737564758310055	0.24531641656100298	0.3032289109184598	0.27985620353365653	0.3607570627405036	0.3529021449061974	0.2627188249490123	0.21519210193537483	0.34632646837672776	0.21442054094576568	0.17753509527596714	0.0980759619815028	0.14665229023067944	0.1796201852878558	0.23306140477714374	0.1895620905783539	0.20688151278577616	0.20310818531190003	0.2344322439534731	0.15400230533793627	0.22006237823826028	0.16919989725178747	0.15568239925688715	0.19313249189165643	0.23697375489665365	0.16831021435927904	0.10989510270626639	0.12123257553455312	0.12499061569670065	0.13265427163930096	0.30830281180861724	0.3152993081092225	0.31166982401311294	0.35353018113266294	0.3082113622829182	0.32175894143168454	0.3337767092052955	0.3552455138025141	0.3492123559606311	0.3353978587244582	0.3546780802909054	0.301700438265079	0.3414561768298517	0.33771156299137384	0.32128301029960304	0.3164051061098605	0.31572898962295165	0.2888365656519454	0.34224307140641896	0.3284132268161375	0.31703364579954807	0.28805210170848655	0.244731682324056	0.37564062228230427	0.32305765138976167	0.42707255872999983	0.4471053376974607	0.4785549699616317	0.08137871881165068	0.08502867303802711	0.054644037831368994	0.07968643142539147	0.03309762985936252	0.047559306939478074	0.056078883826599674	0.07588995095271217	0.059291335099828174	0.07967514135379783	0.03821125875160036	0.11258647047859269	0.09111992914825426	0.11567133356074832	0.09287153913914523	0.04702833523036322	0.06189317679483029
f22ppB	0.08270445102451733	0.051598302856740344	0.05700000302801978	0.08017811286981102	0.0643392482628262	0.016359681488302816	0.0	0.010577585026684613	0.050360792977837784	0.04255568744137418	0.03849938915048725	0.06732893867564536	0.056295016164714565	0.07939995377425911	0.049594856363797554	0.041088813879130576	0.045162218696672154	0.04468434408338401	0.07470629532790138	0.0776054346876488	0.03749116379372179	0.10301539148304525	0.10030561163422758	0.1022569221477492	0.05803508720295128	0.06595837751884362	0.11130843194520273	0.13654317834657065	0.11781434046810046	0.21376043794539604	0.2325801333683688	0.1775910794428379	0.24915102017283536	0.3070635145302922	0.2836908071454889	0.364591666352336	0.3567367485180298	0.26655342856084463	0.2190267055472072	0.3501610719885601	0.21825514455759806	0.18136969888779952	0.10191056559333517	0.15048689384251182	0.1834547888996882	0.23689600838897612	0.1933966941901863	0.21071611639760854	0.2069427889237324	0.23826684756530547	0.15783690894976865	0.22389698185009266	0.17303450086361985	0.15951700286871953	0.19696709550348881	0.24080835850848603	0.17214481797111142	0.11372970631809876	0.1250671791463855	0.12882521930853302	0.13648887525113335	0.3121374154204496	0.3191339117210549	0.3155044276249453	0.3573647847444953	0.31204596589475053	0.3255935450435169	0.33761131281712786	0.3590801174143465	0.35304695957246346	0.33923246233629056	0.35851268390273777	0.30553504187691133	0.34529078044168404	0.3415461666032062	0.3251176139114354	0.32023970972169286	0.319563593234784	0.29267116926377773	0.3460776750182513	0.33224783042796985	0.3208682494113804	0.2918867053203189	0.2485662859358884	0.3794752258941366	0.326892255001594	0.4309071623418322	0.45093994130929305	0.48238957357346407	0.08521332242348305	0.08886327664985946	0.058478641443201355	0.08352103503722383	0.03693223347119489	0.05139391055131044	0.059913487438432035	0.07972455456454453	0.06312593871166053	0.0835097449656302	0.04204586236343273	0.11642107409042507	0.09495453276008664	0.1195059371725807	0.09670614275097761	0.05086293884219559	0.06572778040666266
f1pp	0.07620183439214545	0.045095686224368464	0.050497386395647895	0.07367549623743914	0.05783663163045433	0.009857064855930932	0.010577585026684613	0.0	0.0438581763454659	0.036053070809002295	0.03199677251811536	0.06082632204327348	0.04979239953234268	0.07289733714188723	0.04309223973142567	0.03458619724675869	0.038659602064300275	0.03818172745101213	0.06820367869552948	0.0711028180552769	0.030988547161349904	0.09651277485067336	0.09380299500185568	0.09575430551537732	0.0515324705705794	0.059455760886471726	0.10480581531283086	0.13004056171419878	0.11131172383572857	0.20725782131302414	0.2260775167359969	0.171088462810466	0.24264840354046346	0.30056089789792034	0.27718819051311705	0.35808904971996414	0.35023413188565794	0.2600508119284728	0.21252408891483532	0.3436584553561883	0.21175252792522617	0.17486708225542763	0.09540794896096327	0.14398427721013993	0.1769521722673163	0.23039339175660423	0.1868940775578144	0.20421349976523664	0.20044017229136052	0.23176423093293358	0.15133429231739676	0.21739436521772076	0.16653188423124796	0.15301438623634764	0.19046447887111692	0.23430574187611414	0.16564220133873953	0.10722708968572686	0.1185645625140136	0.12232260267616113	0.12998625861876145	0.30563479878807776	0.31263129508868304	0.30900181099257346	0.35086216811212345	0.3055433492623787	0.31909092841114506	0.331108696184756	0.35257750078197464	0.3465443429400916	0.3327298457039187	0.35201006727036593	0.2990324252445395	0.3387881638093122	0.33504354997083435	0.31861499727906356	0.313737093089321	0.31306097660241217	0.2861685526314059	0.3395750583858795	0.325745213795598	0.3143656327790086	0.28538408868794707	0.2420636693035165	0.3729726092617648	0.3203896383692222	0.42440454570946035	0.4444373246769212	0.47588695694109223	0.07871070579111117	0.08236066001748758	0.05197602481082947	0.07701841840485195	0.030429616838823004	0.04489129391893856	0.05341087080606015	0.07322193793217265	0.05662332207928865	0.07700712833325832	0.03554324573106085	0.10991845745805318	0.08845191612771475	0.11300332054020881	0.09020352611860571	0.04436032220982371	0.05922516377429078
f12ppA	0.10190041349068706	0.07079426532291005	0.0761959654941895	0.09937407533598075	0.08353521072899592	0.046526189366005416	0.050360792977837784	0.0438581763454659	0.0	0.04165095992223104	0.04250847948200312	0.07133802900716124	0.06030410649623044	0.08340904410577499	0.06879081882996727	0.06028477634530029	0.06435818116284187	0.06388030654955373	0.09390225779407109	0.09680139715381851	0.0566871262598915	0.12221135394921497	0.11950157410039729	0.12145288461391893	0.077231049669121	0.08515433998501333	0.13050439441137246	0.15573914081274037	0.1370103029342702	0.23295640041156573	0.2517760958345385	0.1967870419090076	0.2683469826390051	0.3262594769964619	0.3028867696116586	0.3837876288185057	0.3759327109841995	0.28574939102701435	0.23822266801337694	0.36935703445472984	0.23745110702376776	0.20056566135396925	0.12110652805950488	0.16968285630868152	0.20265075136585792	0.25609197085514585	0.21259265665635602	0.22991207886377824	0.22613875138990214	0.2574628100314752	0.17703287141593838	0.24309294431626238	0.19223046332978955	0.17871296533488923	0.2161630579696585	0.26000432097465576	0.19134078043728114	0.13292566878426848	0.1442631416125552	0.14802118177470275	0.15568483771730307	0.3313333778866193	0.3383298741872246	0.334700390091115	0.376560747210665	0.33124192836092026	0.3447895075096866	0.3568072752832976	0.3782760798805162	0.3722429220386332	0.3584284248024603	0.3777086463689075	0.32473100434308105	0.36448674290785377	0.3607421290693759	0.3443135763776051	0.3394356721878626	0.33875955570095373	0.31186713172994746	0.36527363748442104	0.3514437928941396	0.34006421187755015	0.31108266778648863	0.2677622484020581	0.39867118836030635	0.34608821746776375	0.4501031248080019	0.47013590377546277	0.5015855360396339	0.10440928488965276	0.10805923911602919	0.07767460390937107	0.10271699750339355	0.05612819593736461	0.07058987301748015	0.07910944990460175	0.09892051703071425	0.08232190117783025	0.10270570743179991	0.06124182482960245	0.1356170365565948	0.11415049522625635	0.1387018996387504	0.11590210521714732	0.07005890130836531	0.08492374287283239
f18pp	0.09409530795422345	0.06298915978644645	0.0683908599577259	0.09156896979951715	0.07573010519253232	0.038721083829541814	0.04255568744137418	0.036053070809002295	0.04165095992223104	0.0	0.03470337394553952	0.06353292347069762	0.05249900095976684	0.07560393856931139	0.06098571329350366	0.052479670808836684	0.05655307562637827	0.056075201013090124	0.08609715225760749	0.08899629161735491	0.0488820207234279	0.11440624841275136	0.11169646856393368	0.11364777907745532	0.0694259441326574	0.07734923444854973	0.12269928887490886	0.14793403527627677	0.12920519739780656	0.22515129487510216	0.2439709902980749	0.188981936372544	0.26054187710254145	0.31845437145999833	0.29508166407519504	0.3759825232820421	0.36812760544773593	0.2779442854905508	0.2304175624769133	0.36155192891826626	0.22964600148730419	0.19276055581750562	0.11330142252304128	0.16187775077221794	0.1948456458293943	0.24828686531868221	0.20478755111989239	0.22210697332731466	0.2183336458534385	0.24965770449501157	0.16922776587947475	0.23528783877979875	0.18442535779332597	0.17090785979842565	0.20835795243319494	0.2521992154381921	0.1835356749008175	0.12512056324780485	0.13645803607609158	0.14021607623823912	0.14787973218083944	0.32352827235015574	0.330524768650761	0.32689528455465144	0.36875564167420144	0.3234368228244567	0.33698440197322305	0.349002169746834	0.37047097434405263	0.3644378165021696	0.3506233192659967	0.3699035408324439	0.3169258988066175	0.3566816373713902	0.35293702353291234	0.33650847084114155	0.331630566651399	0.33095445016449015	0.3040620261934839	0.35746853194795747	0.343638687357676	0.3322591063410866	0.30327756225002506	0.2599571428655945	0.3908660828238428	0.3382831119313002	0.44229801927153833	0.4623307982389992	0.4937804305031702	0.09660417935318916	0.10025413357956559	0.06986949837290747	0.09491189196692995	0.048323090400901006	0.06278476748101655	0.07130434436813815	0.09111541149425065	0.07451679564136665	0.0949006018953363	0.05343671929313885	0.12781193102013116	0.10634538968979275	0.13089679410228683	0.10809699968068372	0.06225379577190171	0.07711863733636878
