	F14H1B	31700	S19H1	S4Hp	530295	S6Hp	F23HpA	F7H1	S3Hp	S16H2
F14H1B	0.0	0.33807902568776826	0.7413446576789705	0.721626914916467	0.5610917174255216	0.47429509368725065	0.49851299179553343	0.4390164096038047	0.42006486185148234	0.43233477472093473
31700	0.33807902568776826	0.0	0.7265447322544983	0.7068269894919947	0.5462917920010494	0.45949516826277836	0.48371306637106115	0.42421648417933244	0.40526493642701006	0.41753484929646245
S19H1	0.7413446576789705	0.7265447322544983	0.0	0.29774152660351205	0.7935707260403191	0.7393285645701929	0.7635464626784757	0.734306578806808	0.7153550310544856	0.7276249439239381
S4Hp	0.721626914916467	0.7068269894919947	0.29774152660351205	0.0	0.7738529832778156	0.7196108218076893	0.7438287199159721	0.7145888360443045	0.6956372882919821	0.7079072011614345
530295	0.5610917174255216	0.5462917920010494	0.7935707260403191	0.7738529832778156	0.0	0.559075624316744	0.5832935224250266	0.554053638553359	0.5351020908010367	0.5473720036704891
S6Hp	0.47429509368725065	0.45949516826277836	0.7393285645701929	0.7196108218076893	0.559075624316744	0.0	0.4057801224184112	0.4672570148150881	0.4483054670627657	0.4605753799322181
F23HpA	0.49851299179553343	0.48371306637106115	0.7635464626784757	0.7438287199159721	0.5832935224250266	0.4057801224184112	0.0	0.49147491292337087	0.4725233651710485	0.4847932780405009
F7H1	0.4390164096038047	0.42421648417933244	0.734306578806808	0.7145888360443045	0.554053638553359	0.4672570148150881	0.49147491292337087	0.0	0.27379393438528016	0.28606384725473255
S3Hp	0.42006486185148234	0.40526493642701006	0.7153550310544856	0.6956372882919821	0.5351020908010367	0.4483054670627657	0.4725233651710485	0.27379393438528016	0.0	0.17867591056472726
S16H2	0.43233477472093473	0.41753484929646245	0.7276249439239381	0.7079072011614345	0.5473720036704891	0.4605753799322181	0.4847932780405009	0.28606384725473255	0.17867591056472726	0.0
