	S21H1	S4Hp	S19H1	F6H1	S3Hp	S22Hp	F14H1A	S26Hp	S2Hp	F32H1
S21H1	0.0	0.5930177603287996	0.5730040162264483	0.5558080078564286	0.6349283341585119	0.635187458431453	0.5882283603112712	0.5107103228837935	0.588965411950428	0.5423381612851844
S4Hp	0.5930177603287996	0.0	0.27539772536267976	0.6243170343595672	0.7034373606616505	0.7036964849345915	0.6567373868144097	0.579219349386932	0.6574744384535666	0.610847187788323
S19H1	0.5730040162264483	0.27539772536267976	0.0	0.6043032902572159	0.6834236165592992	0.6836827408322401	0.6367236427120584	0.5592056052845806	0.6374606943512152	0.5908334436859717
F6H1	0.5558080078564286	0.6243170343595672	0.6043032902572159	0.0	0.3541384138370004	0.3543975381099414	0.3074384399897597	0.33680377670001327	0.4805527182274125	0.433925467562169
S3Hp	0.6349283341585119	0.7034373606616505	0.6834236165592992	0.3541384138370004	0.0	0.23442303745713555	0.3116390008832875	0.4159241030020966	0.559673044529496	0.5130457938642524
S22Hp	0.635187458431453	0.7036964849345915	0.6836827408322401	0.3543975381099414	0.23442303745713555	0.0	0.3118981251562285	0.41618322727503754	0.5599321688024369	0.5133049181371934
F14H1A	0.5882283603112712	0.6567373868144097	0.6367236427120584	0.3074384399897597	0.3116390008832875	0.3118981251562285	0.0	0.36922412915485586	0.5129730706822552	0.46634582001701164
S26Hp	0.5107103228837935	0.579219349386932	0.5592056052845806	0.33680377670001327	0.4159241030020966	0.41618322727503754	0.36922412915485586	0.0	0.4354550332547774	0.3888277825895339
S2Hp	0.588965411950428	0.6574744384535666	0.6374606943512152	0.4805527182274125	0.559673044529496	0.5599321688024369	0.5129730706822552	0.4354550332547774	0.0	0.3627343258584433
F32H1	0.5423381612851844	0.610847187788323	0.5908334436859717	0.433925467562169	0.5130457938642524	0.5133049181371934	0.46634582001701164	0.3888277825895339	0.3627343258584433	0.0
