	31379	F14H1A	F7H1	S30H1	31750	S23Hp	S25Hp	S19H1	S29H1	530050
31379	0.0	0.098367164959967	0.5538305798185593	0.5422434133074979	0.6008164924938888	0.6360088709151147	0.6018546543599077	0.6058998465163936	0.6302398648144663	0.6339039509889333
F14H1A	0.098367164959967	0.0	0.5240434810463233	0.5124563145352619	0.5710293937216526	0.6062217721428786	0.5720675555876715	0.5761127477441574	0.6004527660422302	0.6041168522166971
F7H1	0.5538305798185593	0.5240434810463233	0.0	0.4630007720533241	0.5590172139730416	0.5942095923942676	0.5600553758390606	0.5641005679955465	0.5884405862936193	0.5921046724680862
S30H1	0.5422434133074979	0.5124563145352619	0.4630007720533241	0.0	0.5474300474619802	0.5826224258832062	0.5484682093279992	0.5525134014844851	0.5768534197825579	0.5805175059570248
31750	0.6008164924938888	0.5710293937216526	0.5590172139730416	0.5474300474619802	0.0	0.6078589072478271	0.5737046906926202	0.5777498828491061	0.6020899011471788	0.6057539873216458
S23Hp	0.6360088709151147	0.6062217721428786	0.5942095923942676	0.5826224258832062	0.6078589072478271	0.0	0.5350353277413982	0.5763350695245134	0.6006750878225862	0.6043391739970531
S25Hp	0.6018546543599077	0.5720675555876715	0.5600553758390606	0.5484682093279992	0.5737046906926202	0.5350353277413982	0.0	0.5421808529693064	0.566520871267379	0.570184957441846
S19H1	0.6058998465163936	0.5761127477441574	0.5641005679955465	0.5525134014844851	0.5777498828491061	0.5763350695245134	0.5421808529693064	0.0	0.4526085814554903	0.5133825892892119
S29H1	0.6302398648144663	0.6004527660422302	0.5884405862936193	0.5768534197825579	0.6020899011471788	0.6006750878225862	0.566520871267379	0.4526085814554903	0.0	0.5377226075872845
530050	0.6339039509889333	0.6041168522166971	0.5921046724680862	0.5805175059570248	0.6057539873216458	0.6043391739970531	0.570184957441846	0.5133825892892119	0.5377226075872845	0.0
