	530451	S12Hp	S16H2	31700	31333	S3Hp	530295	S4Hp	S21H1	530050	31160	f1pp	w10pp	w24pp	w2pp	w11pp	w1pp	f24pp	f10pp	f20ppA	w26pp	f12ppB	w22pp	531414	f6ppB	w9pp	F22HpB	530364	S2Hp	S26Hp	S31Hp
530451	0.0	0.33991792112701374	0.388483951134658	0.3951143711830652	0.389944161477672	0.4093019368268707	0.38715347747037065	0.42014907597767376	0.3923773336005561	0.3888236875090257	0.3852775233710603	0.332551480175136	0.3533187791112838	0.35732545051504344	0.3677701009275313	0.34057151215171827	0.38676193905102063	0.37652622579338124	0.3781525002501969	0.3461728696616863	0.3511267824224626	0.37378946349053166	0.3714548990919663	0.44469959771574513	0.3539602287673756	0.3882501690902966	0.378256337979545	0.38818266304984644	0.34675883555870596	0.31841719056913154	0.18626509149810175
S12Hp	0.33991792112701374	0.0	0.3404015952538171	0.3470320153022243	0.341861805596831	0.3612195809460297	0.3390711215895297	0.37206672009683284	0.34429497771971507	0.3407413316281847	0.3371951674902193	0.28446912429429505	0.3052364232304428	0.3092430946342025	0.3196877450466904	0.2924891562708773	0.33867958317017965	0.32844386991254026	0.33007014436935594	0.29809051378084533	0.3030444265416216	0.3257071076096907	0.3233725432111253	0.3966172418349041	0.3058778728865347	0.3401678132094556	0.330173982098704	0.3401003071690054	0.33102868641746225	0.3026870414278878	0.3483062952807604
S16H2	0.388483951134658	0.3404015952538171	0.0	0.3544445645728221	0.34927435486742886	0.36863213021662755	0.34648367086012755	0.37947926936743065	0.35170752699031294	0.3656329947901814	0.36208683065221603	0.3093607874562918	0.3301280863924395	0.3341347577961992	0.3445794082086871	0.317380819432874	0.3635712463321764	0.353335533074537	0.35496180753135265	0.32298217694284204	0.3279360897036183	0.35059877077168744	0.34826420637312205	0.42150890499690086	0.3307695360485314	0.3650594763714523	0.3550656452607007	0.36499197033100217	0.37959471642510656	0.3512530714355321	0.39687232528840466
31700	0.3951143711830652	0.3470320153022243	0.3544445645728221	0.0	0.03087549202503189	0.2882449382445801	0.2660964788880801	0.3470990965254229	0.34781620640094196	0.3722634148385886	0.3687172507006232	0.315991207504699	0.3367585064408467	0.3407651778446064	0.3512098282570943	0.3240112394812812	0.3702016663805836	0.3599659531229442	0.36159222757975984	0.32961259699124923	0.3345665097520255	0.35722919082009463	0.35489462642152925	0.42813932504530805	0.33739995609693857	0.3716898964198595	0.3616960653091079	0.37162239037940936	0.38622513647351375	0.3578834914839393	0.40350274533681185
31333	0.389944161477672	0.341861805596831	0.34927435486742886	0.03087549202503189	0.0	0.28307472853918686	0.2609262691826868	0.3419288868200297	0.34264599669554874	0.36709320513319543	0.36354704099523005	0.3108209977993057	0.33158829673545354	0.3355949681392132	0.34603961855170107	0.318841029775888	0.3650314566751903	0.35479574341755094	0.35642201787436667	0.32444238728585606	0.32939630004663234	0.35205898111470135	0.34972441671613597	0.4229691153399148	0.33222974639154534	0.36651968671446633	0.35652585560371475	0.36645218067401614	0.38105492676812047	0.35271328177854605	0.3983325356314187
S3Hp	0.4093019368268707	0.3612195809460297	0.36863213021662755	0.2882449382445801	0.28307472853918686	0.0	0.25753742535513297	0.3612866621692284	0.36200377204474743	0.3864509804823941	0.38290481634442874	0.3301787731485044	0.3509460720846522	0.3549527434884119	0.36539739390089976	0.3381988051250867	0.384389232024389	0.3741535187667496	0.37577979322356536	0.34380016263505475	0.34875407539583103	0.37141675646390004	0.36908219206533466	0.4423268906891135	0.35158752174074404	0.385877462063665	0.37588363095291344	0.38580995602321483	0.40041270211731916	0.37207105712774474	0.4176903109806174
530295	0.38715347747037065	0.3390711215895297	0.34648367086012755	0.2660964788880801	0.2609262691826868	0.25753742535513297	0.0	0.33913820281272833	0.3398553126882474	0.36430252112589406	0.3607563569879287	0.3080303137920044	0.32879761272815217	0.3328042841319119	0.34324893454439975	0.31605034576858665	0.362240772667889	0.3520050594102496	0.3536313338670653	0.3216517032785547	0.32660561603933097	0.34926829710740004	0.34693373270883465	0.42017843133261346	0.32943906238424403	0.36372900270716496	0.3537351715964134	0.36366149666671477	0.37826424276081916	0.3499225977712447	0.3955418516241173
S4Hp	0.42014907597767376	0.37206672009683284	0.37947926936743065	0.3470990965254229	0.3419288868200297	0.3612866621692284	0.33913820281272833	0.0	0.3728509111955505	0.39729811963319717	0.3937519554952318	0.34102591229930757	0.36179321123545527	0.365799882639215	0.37624453305170286	0.34904594427588975	0.39523637117519217	0.3850006579175528	0.3866269323743684	0.3546473017858578	0.3596012145466341	0.3822638956147032	0.3799293312161378	0.4531740298399166	0.36243466089154713	0.39672460121446806	0.3867307701037165	0.3966570951740179	0.4112598412681223	0.38291819627854784	0.4285374501314204
S21H1	0.3923773336005561	0.34429497771971507	0.35170752699031294	0.34781620640094196	0.34264599669554874	0.36200377204474743	0.3398553126882474	0.3728509111955505	0.0	0.3695263772560795	0.36598021311811413	0.3132541699221898	0.3340214688583376	0.33802814026209727	0.34847279067458514	0.3212742018987721	0.3674646287980744	0.357228915540435	0.35885518999725075	0.32687555940874014	0.3318294721695164	0.35449215323758543	0.35215758883902004	0.4254022874627989	0.3346629185144294	0.3689528588373504	0.3589590277265988	0.3688853527969002	0.38348809889100455	0.3551464539014301	0.40076570775430276
530050	0.3888236875090257	0.3407413316281847	0.3656329947901814	0.3722634148385886	0.36709320513319543	0.3864509804823941	0.36430252112589406	0.39729811963319717	0.3695263772560795	0.0	0.32161132548044924	0.2925331272784259	0.31330042621457366	0.3173070976183333	0.3277517480308212	0.30055315925500814	0.3467435861543105	0.3365078728966711	0.3381341473534868	0.3061545167649762	0.31110842952575246	0.33377111059382153	0.33143654619525614	0.404681244819035	0.31394187587066547	0.34823181619358645	0.34676324648163953	0.3566895715519409	0.3799344527994742	0.35159280780989977	0.39721206166277234
