	w22pp	w28pp	w20pp	f9pp	f25pp	w27pp	w25pp	w21pp	w29pp	w32pp	w2pp	w13pp	w15pp	f26pp	w14pp	f17ppA	f13pp	f12ppB	f11pp	f19pp	w1pp	w9pp	w17pp	w18pp	w16pp	w11pp	w26pp	w12pp	w3pp	w10pp	w19pp	f6ppB	f6ppA	f15pp	f12ppA	f10pp	f24pp	f1pp	f17ppB	f2pp	f16ppA	f32pp	31219	S4Hp	S30H1	S9H1	F16H1	530055	S14Hp	31360	S6Hp	31300	S13Hp	S21H1	S28Hp	S2Hp	F3H1	F7H1	S26Hp	530451	F29H1	F14H1B	F6H1	S16H2	w31pp	f30pp	f8pp	f23ppB	f18pp	f23ppA	f4pp	f20ppA	w8pp	f14ppA	f21pp	w4pp	f7pp	w24pp	w23pp	f28pp	f16ppB
w22pp	0.0	0.10810342424661756	0.14936507966622523	0.1844419755827158	0.15363558352840606	0.12168635772286301	0.12687640768138822	0.13181441011146433	0.13018406251250836	0.1598296336050427	0.13339340515826154	0.16437594794479748	0.16230165427264437	0.13165148539015717	0.13911324987015053	0.21035473477469738	0.1686646445436988	0.13361659469718207	0.16426120830985574	0.11158795749354822	0.11426439707376701	0.13498501547032876	0.12651426608344316	0.15507775664285345	0.17032673591280156	0.12864767825748286	0.15125761441965832	0.1802102567319411	0.16150429453590587	0.13696888227519985	0.11689945079534333	0.15316002560617387	0.20990642909882742	0.17757859487000613	0.15864228312954956	0.10734105082628695	0.11256101343176089	0.13919563501796467	0.18371830769783382	0.20054526844234952	0.19853887234159998	0.20254495563108424	0.586722190766928	0.6102955209859924	0.6113416926330032	0.6043227326633342	0.6616564398366543	0.6525986909833804	0.6912937326869387	0.6196409078461877	0.6791859670300596	0.6852043258586101	0.6962564461435946	0.6967199326535961	0.6401870156488908	0.6658656142468523	0.6636348761075207	0.6639737394471555	0.6863276007203581	0.762683383207564	0.8308784302583837	0.7886043407242965	0.7919235125792895	0.7833631563512927	0.2543110371597943	0.16779514125929976	0.1562210979278926	0.2267231093071816	0.22422859646059667	0.23658405865135612	0.17434648450396725	0.146552472094909	0.14652075720920438	0.14455091195029132	0.19636887741954584	0.1807699884564982	0.1604916154785364	0.10328455867220415	0.12216225435937916	0.14363215404907848	0.11108863938462096
w28pp	0.10810342424661756	0.0	0.09051127927537977	0.13387217168677948	0.10306577963246971	0.07111655382692667	0.10073402656699396	0.10567202899707007	0.10404168139811408	0.13368725249064844	0.10725102404386727	0.13823356683040322	0.1361592731582501	0.10550910427576289	0.11297086875575627	0.18421235366030314	0.14252226342930457	0.10747421358278779	0.13811882719546148	0.08544557637915395	0.08812201595937275	0.10884263435593448	0.10037188496904889	0.12893537552845918	0.14418435479840733	0.10250529714308859	0.12511523330526403	0.15406787561754687	0.1353619134215116	0.11082650116080559	0.09075706968094907	0.1270176444917796	0.1837640479844332	0.1514362137556119	0.13249990201515527	0.08119866971189268	0.08641863231736664	0.11305325390357039	0.15757592658343955	0.17440288732795528	0.17239649122720574	0.17640257451669	0.5605798096525337	0.5841531398715981	0.5851993115186089	0.57818035154894	0.6355140587222601	0.6264563098689861	0.6651513515725445	0.5934985267317935	0.6530435859156654	0.6590619447442159	0.6701140650292003	0.6705775515392018	0.6140446345344965	0.639723233132458	0.6374924949931264	0.6378313583327613	0.6601852196059639	0.7365410020931697	0.8047360491439894	0.7624619596099023	0.7657811314648952	0.7572207752368985	0.22816865604540007	0.14165276014490552	0.13007871681349834	0.20058072819278736	0.19808621534620244	0.21044167753696189	0.14820410338957302	0.12041009098051471	0.1203783760948101	0.11840853083589704	0.1702264963051516	0.15462760734210396	0.13434923436414214	0.0989255451288292	0.11780324081600421	0.17044503124917507	0.13790151658471755
w20pp	0.14936507966622523	0.09051127927537977	0.0	0.17513382710638714	0.14432743505207737	0.11237820924653433	0.14199568198660162	0.14693368441667773	0.14530333681772173	0.1749489079102561	0.14851267946347493	0.17949522225001088	0.17742092857785777	0.14677075969537057	0.15423252417536393	0.2254740090799108	0.1837839188489122	0.14873586900239544	0.17938048261506911	0.12670723179876162	0.1293836713789804	0.15010428977554213	0.14163354038865655	0.17019703094806685	0.185446010218015	0.14376695256269625	0.16637688872487172	0.19532953103715453	0.17662356884111924	0.15208815658041325	0.13201872510055673	0.16827929991138724	0.22502570340404085	0.19269786917521953	0.17376155743476296	0.12246032513150035	0.12768028773697432	0.15431490932317804	0.19883758200304724	0.21566454274756294	0.2136581466468134	0.21766422993629767	0.6018414650721414	0.6254147952912058	0.6264609669382166	0.6194420069685477	0.6767757141418678	0.6677179652885938	0.7064130069921521	0.6347601821514012	0.694305241335273	0.7003236001638236	0.711375720448808	0.7118392069588095	0.6553062899541042	0.6809848885520657	0.6787541504127341	0.679093013752369	0.7014468750255716	0.7778026575127774	0.8459977045635971	0.80372361502951	0.8070427868845029	0.7984824306565061	0.26943031146500773	0.18291441556451318	0.171340372233106	0.24184238361239502	0.2393478707658101	0.25170333295656955	0.18946575880918065	0.16167174640012238	0.16164003151441775	0.15967018625550472	0.21148815172475927	0.19588926276171162	0.17561088978374978	0.14018720054843686	0.15906489623561187	0.21170668666878273	0.17916317200432522
f9pp	0.1844419755827158	0.13387217168677948	0.17513382710638714	0.0	0.14518536382269548	0.1297692915529435	0.17707257790309222	0.18201058033316833	0.18038023273421233	0.2100258038267467	0.18358957537996554	0.21457211816650149	0.21249782449434837	0.18184765561186117	0.18930942009185453	0.26055090499640143	0.2188608147654028	0.18381276491888604	0.21445737853155972	0.16178412771525222	0.164460567295471	0.18518118569203273	0.17671043630514716	0.20527392686455745	0.2205229061345056	0.17884384847918686	0.20145378464136232	0.23040642695364513	0.21170046475760984	0.18716505249690385	0.16709562101704734	0.20335619582787784	0.2601025993205315	0.22777476509171013	0.20883845335125356	0.15753722104799095	0.16275718365346492	0.18939180523966864	0.23391447791953784	0.2507414386640535	0.248735042563304	0.2527411258527883	0.636918360988632	0.6604916912076964	0.6615378628547072	0.6545189028850382	0.7118526100583583	0.7027948612050844	0.7414899029086427	0.6698370780678917	0.7293821372517636	0.7354004960803141	0.7464526163652986	0.7469161028753001	0.6903831858705948	0.7160617844685563	0.7138310463292247	0.7141699096688595	0.7365237709420621	0.812879553429268	0.8810746004800877	0.8388005109460005	0.8421196828009935	0.8335593265729967	0.30450720738149833	0.21799131148100379	0.2064172681495966	0.2769192795288856	0.2744247666823007	0.28678022887306015	0.22454265472567125	0.196748642316613	0.19671692743090835	0.19474708217199532	0.24656504764124987	0.23096615867820222	0.21068778570024038	0.17526409646492747	0.19414179215210248	0.24678358258527333	0.21424006792081582
f25pp	0.15363558352840606	0.10306577963246971	0.14432743505207737	0.14518536382269548	0.0	0.09896289949863374	0.14626618584878245	0.15120418827885856	0.1495738406799026	0.17921941177243694	0.15278318332565577	0.18376572611219172	0.1816914324400386	0.15104126355755138	0.15850302803754476	0.22974451294209164	0.18805442271109307	0.1530063728645763	0.18365098647724998	0.13097773566094245	0.13365417524116124	0.154374793637723	0.1459040442508374	0.17446753481024768	0.18971651408019582	0.1480374564248771	0.17064739258705253	0.19960003489933537	0.1808940727033001	0.15635866044259408	0.13628922896273757	0.1725498037735681	0.22929620726622169	0.1969683730374004	0.17803206129694377	0.12673082899368118	0.13195079159915513	0.1585854131853589	0.20310808586522805	0.21993504660974378	0.21792865050899424	0.2219347337984785	0.6061119689343222	0.6296852991533866	0.6307314708003975	0.6237125108307284	0.6810462180040486	0.6719884691507747	0.710683510854333	0.6390306860135819	0.6985757451974539	0.7045941040260044	0.7156462243109889	0.7161097108209904	0.6595767938162851	0.6852553924142466	0.683024654274915	0.6833635176145498	0.7057173788877524	0.7820731613749583	0.850268208425778	0.8079941188916908	0.8113132907466838	0.802752934518687	0.2737008153271886	0.18718491942669402	0.17561087609528683	0.24611288747457585	0.24361837462799094	0.2559738368187504	0.19373626267136151	0.1659422502623032	0.1659105353765986	0.16394069011768553	0.2157586555869401	0.20015976662389245	0.17988139364593064	0.1444577044106177	0.16333540009779268	0.21597719053096356	0.18343367586650605
w27pp	0.12168635772286301	0.07111655382692667	0.11237820924653433	0.1297692915529435	0.09896289949863374	0.0	0.11431696004323941	0.11925496247331552	0.11762461487435953	0.1472701859668939	0.12083395752011272	0.15181650030664867	0.14974220663449556	0.11909203775200834	0.12655380223200172	0.1977952871365486	0.15610519690555003	0.12105714705903324	0.15170176067170693	0.0990285098553994	0.1017049494356182	0.12242556783217994	0.11395481844529434	0.14251830900470464	0.15776728827465278	0.11608823061933404	0.13869816678150948	0.16765080909379232	0.14894484689775705	0.12440943463705104	0.10434000315719452	0.14060057796802505	0.19734698146067864	0.16501914723185734	0.14608283549140072	0.09478160318813814	0.1000015657936121	0.12663618737981586	0.171158860059685	0.18798582080420073	0.1859794247034512	0.18998550799293545	0.5741627431287792	0.5977360733478436	0.5987822449948543	0.5917632850251855	0.6490969921985055	0.6400392433452315	0.6787342850487899	0.607081460208039	0.6666265193919108	0.6726448782204613	0.6836969985054457	0.6841604850154472	0.6276275680107419	0.6533061666087034	0.6510754284693718	0.6514142918090067	0.6737681530822093	0.7501239355694151	0.8183189826202348	0.7760448930861477	0.7793640649411406	0.7708037087131439	0.24175158952164552	0.15523569362115097	0.1436616502897438	0.2141636616690328	0.2116691488224479	0.22402461101320734	0.16178703686581847	0.13399302445676015	0.13396130957105556	0.13199146431214248	0.18380942978139705	0.1682105408183494	0.1479321678403876	0.11250847860507465	0.13138617429224964	0.18402796472542052	0.151484450060963
w25pp	0.12687640768138822	0.10073402656699396	0.14199568198660162	0.17707257790309222	0.14626618584878245	0.11431696004323941	0.0	0.07260931233824117	0.09263529955923111	0.12228087065176546	0.09584464220498429	0.12682718499152024	0.12475289131936713	0.11293169688377616	0.12039346136376955	0.19163494626831643	0.14994485603731783	0.11489680619080106	0.14554141980347474	0.09286816898716724	0.09554460856738603	0.11626522696394775	0.10779447757706218	0.13635796813647247	0.1516069474064206	0.10992788975110186	0.1325378259132773	0.16149046822556015	0.14278450602952486	0.11824909376881887	0.09817966228896235	0.13444023709979286	0.19118664059244647	0.15885880636362515	0.13992249462316855	0.08862126231990597	0.09384122492537991	0.12047584651158366	0.16499851919145284	0.18182547993596856	0.17981908383521902	0.1838251671247033	0.568002402260547	0.5915757324796114	0.5926219041266222	0.5856029441569532	0.6429366513302733	0.6338789024769994	0.6725739441805577	0.6009211193398067	0.6604661785236786	0.6664845373522291	0.6775366576372136	0.6780001441472151	0.6214672271425098	0.6471458257404713	0.6449150876011397	0.6452539509407745	0.6676078122139771	0.743963594701183	0.8121586417520027	0.7698845522179155	0.7732037240729085	0.7646433678449117	0.23559124865341335	0.1490753527529188	0.13750130942151162	0.20800332080080064	0.20550880795421572	0.21786427014497517	0.15562669599758627	0.12783268358852798	0.12780096870282337	0.12583112344391031	0.1776490889131649	0.16205019995011724	0.1417718269721554	0.11769852856359986	0.13657622425077487	0.18921801468394572	0.1566745000194882
w21pp	0.13181441011146433	0.10567202899707007	0.14693368441667773	0.18201058033316833	0.15120418827885856	0.11925496247331552	0.07260931233824117	0.0	0.09757330198930722	0.12721887308184157	0.1007826446350604	0.13176518742159635	0.12969089374944326	0.11786969931385227	0.12533146379384566	0.19657294869839254	0.15488285846739394	0.11983480862087717	0.15047942223355085	0.09780617141724335	0.10048261099746214	0.12120322939402386	0.11273248000713829	0.14129597056654858	0.15654494983649672	0.11486589218117797	0.13747582834335342	0.16642847065563626	0.14772250845960097	0.12318709619889498	0.10311766471903847	0.13937823952986897	0.19612464302252258	0.16379680879370126	0.14486049705324466	0.09355926474998208	0.09877922735545602	0.12541384894165977	0.16993652162152895	0.18676348236604468	0.18475708626529513	0.1887631695547794	0.5729404046906231	0.5965137349096875	0.5975599065566983	0.5905409465870294	0.6478746537603495	0.6388169049070755	0.6775119466106339	0.6058591217698829	0.6654041809537548	0.6714225397823053	0.6824746600672897	0.6829381465772912	0.6264052295725859	0.6520838281705474	0.6498530900312158	0.6501919533708507	0.6725458146440533	0.7489015971312591	0.8170966441820788	0.7748225546479917	0.7781417265029846	0.7695813702749879	0.24052925108348946	0.15401335518299492	0.14243931185158773	0.21294132323087675	0.21044681038429183	0.22280227257505128	0.16056469842766238	0.1327706860186041	0.13273897113289948	0.13076912587398642	0.182587091343241	0.16698820238019335	0.1467098294022315	0.12263653099367597	0.14151422668085095	0.19415601711402183	0.16161250244956432
w29pp	0.13018406251250836	0.10404168139811408	0.14530333681772173	0.18038023273421233	0.1495738406799026	0.11762461487435953	0.09263529955923111	0.09757330198930722	0.0	0.10257384905385669	0.07613762060707552	0.10712016339361147	0.10504586972145835	0.1162393517148963	0.12370111619488967	0.19494260109943656	0.15325251086843797	0.1182044610219212	0.14884907463459487	0.09617582381828736	0.09885226339850615	0.11957288179506789	0.1111021324081823	0.1396656229675926	0.15491460223754072	0.11323554458222199	0.13584548074439745	0.1647981230566803	0.146092160860645	0.121556748599939	0.10148731712008248	0.137747891930913	0.1944942954235666	0.1621664611947453	0.1432301494542887	0.0919289171510261	0.09714887975650005	0.1237835013427038	0.16830617402257297	0.1851331347670887	0.18312673866633916	0.18713282195582343	0.5713100570916672	0.5948833873107315	0.5959295589577424	0.5889105989880734	0.6462443061613935	0.6371865573081196	0.6758815990116779	0.6042287741709269	0.6637738333547988	0.6697921921833493	0.6808443124683338	0.6813077989783353	0.62477488197363	0.6504534805715915	0.6482227424322599	0.6485616057718947	0.6709154670450973	0.7472712495323032	0.8154662965831229	0.7731922070490357	0.7765113789040287	0.7679510226760319	0.23889890348453346	0.15238300758403894	0.14080896425263173	0.21131097563192075	0.20881646278533583	0.22117192497609528	0.1589343508287064	0.13114033841964812	0.1311086235339435	0.12913877827503045	0.180956743744285	0.16535785478123738	0.14507948180327554	0.12100618339472	0.13988387908189498	0.19252566951506586	0.15998215485060835
w32pp	0.1598296336050427	0.13368725249064844	0.1749489079102561	0.2100258038267467	0.17921941177243694	0.1472701859668939	0.12228087065176546	0.12721887308184157	0.10257384905385669	0.0	0.07859638552094618	0.10957892830748212	0.10750463463532901	0.14588492280743065	0.15334668728742404	0.22458817219197091	0.18289808196097235	0.14785003211445555	0.17849464572712925	0.12582139491082173	0.12849783449104052	0.14921845288760227	0.14074770350071666	0.16931119406012696	0.1845601733300751	0.14288111567475636	0.1654910518369318	0.19444369414921464	0.17573773195317938	0.15120231969247336	0.13113288821261684	0.16739346302344738	0.22413986651610096	0.19181203228727967	0.17287572054682304	0.12157448824356046	0.1267944508490344	0.15342907243523818	0.19795174511510732	0.21477870585962305	0.2127723097588735	0.21677839304835778	0.6009556281842015	0.6245289584032658	0.6255751300502768	0.6185561700806077	0.6758898772539279	0.666832128400654	0.7055271701042123	0.6338743452634612	0.6934194044473332	0.6994377632758837	0.7104898835608682	0.7109533700708697	0.6544204530661644	0.6800990516641259	0.6778683135247943	0.6782071768644291	0.7005610381376317	0.7769168206248376	0.8451118676756573	0.8028377781415701	0.8061569499965631	0.7975965937685663	0.26854447457706787	0.1820285786765733	0.1704545353451661	0.24095654672445513	0.2384620338778702	0.2508174960686297	0.1885799219212408	0.16078590951218247	0.1607541946264779	0.1587843493675648	0.21060231483681938	0.19500342587377173	0.17472505289580992	0.15065175448725435	0.16952945017442933	0.2221712406076002	0.1896277259431427
