	31379	530295	31333	F3H1	S14Hp	31766	S1Hp	31129	530364	S27H1	530052	530215	530055	31711	31750	31714	530444	530258	31600	31700	31112	S15Hp	S4Hp	S26Hp	S3Hp	S10H1	530050	31452	S21H1	530154	31236	530177	530394	31160	31267	31537	31071	S25Hp	31343	530331	31360	S19H1	31512	S17H1	S28Hp	530074	31749	530167	530315	530251	s24H1	531414	530119	31723	530368	31428	530227	S8Hp	31557	31219	F22H1A	31416	31009	31021	31300	31328	530163	31637	F14H1B	31519
31379	0.0	0.07016970159385194	0.22889156836533014	0.3104338216986345	0.2771418114856957	0.3272544520438056	0.2978445272002585	0.29649233819526866	0.31881419817787904	0.2753044219029021	0.3553853014044292	0.2594689574776972	0.30147807099956386	0.32313431312109087	0.2548307615204889	0.3335234884018064	0.2318407514231297	0.2976035942363098	0.2838263953179651	0.2562337057544637	0.37868999472091336	0.36230528392919104	0.2562363445817102	0.33628194828262226	0.34692211955865415	0.31048693269119926	0.3168411867049251	0.35293073734758174	0.3430667686060549	0.39784236291678926	0.36789513249882033	0.3570331523385852	0.32087933748317105	0.3388340813143056	0.26269921392172707	0.36528483935684264	0.24331573353960623	0.28105519419306946	0.38982567529381873	0.36111971114398295	0.3739208996130616	0.3275746463429255	0.3682867779660606	0.38800135793109297	0.4114631890982888	0.30773282303047245	0.3068893662334701	0.3049685338331255	0.34040112960535135	0.39758352711054606	0.3894151613974308	0.40341519366273937	0.4124675037847623	0.4101167589899079	0.35836167158223686	0.41970775431360213	0.3858787823034864	0.37726867925030205	0.3903976869943124	0.2839698817391464	0.3994910903572936	0.4194579464601064	0.28745125689334117	0.3455025558579635	0.2788929934663698	0.2898379542884947	0.3246410401059816	0.39313584301763427	0.25660841518678623	0.27169321930783963
530295	0.07016970159385194	0.0	0.23884517163539298	0.3203874249686973	0.28709541475575856	0.33720805531386844	0.30779813047032134	0.3064459414653315	0.3287678014479419	0.28525802517296495	0.36533890467449204	0.26942256074776005	0.3114316742696267	0.33308791639115365	0.2647843647905517	0.34347709167186924	0.24179435469319255	0.30755719750637267	0.29377999858802795	0.2661873090245266	0.38864359799097614	0.37225888719925393	0.2661899478517731	0.34623555155268504	0.356875722828717	0.3204405359612621	0.326794789974988	0.36288434061764463	0.35302037187611773	0.4077959661868521	0.37784873576888317	0.366986755608648	0.3308329407532339	0.3487876845843684	0.2726528171917899	0.37523844262690553	0.25326933680966907	0.29100879746313224	0.39977927856388157	0.3710733144140458	0.3838745028831244	0.33752824961298833	0.37824038123612347	0.3979549612011558	0.4214167923683516	0.3176864263005353	0.31684296950353286	0.3149221371031884	0.3503547328754142	0.4075371303806089	0.39936876466749366	0.4133687969328022	0.42242110705482516	0.42007036225997074	0.36831527485229976	0.42966135758366497	0.3958323855735492	0.3872222825203649	0.4003512902643752	0.29392348500920923	0.4094446936273564	0.42941154973016926	0.29740486016340406	0.35545615912802636	0.28884659673643265	0.29979155755855746	0.33459464337604444	0.4030894462876971	0.266562018456849	0.28164682257790247
31333	0.22889156836533014	0.23884517163539298	0.0	0.19909218954339797	0.1658001793304592	0.21591281988856909	0.186502895045022	0.1851507060400321	0.20747256602264247	0.1639627897476656	0.24404366924919263	0.1481273253224607	0.20735624775534922	0.2290124898768762	0.16070893827627422	0.26429834656978557	0.16261560959110888	0.22837845240428897	0.21460125348594428	0.18700856392244292	0.30946485288889247	0.29308014209717026	0.1870112027496894	0.26705680645060137	0.2776969777266333	0.24126179085917843	0.2476160448729043	0.28370559551556096	0.27384162677403406	0.32861722108476843	0.2986699906667995	0.28780801050656435	0.2516541956511502	0.2696089394822847	0.19347407208970624	0.29605969752482186	0.1740905917075854	0.2118300523610486	0.3206005334617979	0.2918945693119621	0.30469575778104074	0.25834950451090466	0.2990616361340398	0.31877621609907214	0.34223804726626794	0.23850768119845162	0.23766422440144921	0.2357433920011047	0.2711759877733305	0.32835838527852523	0.32019001956541004	0.33419005183071854	0.3432423619527415	0.3408916171578871	0.2891365297502161	0.3504826124815813	0.31665364047146555	0.3080435374182812	0.32117254516229155	0.21474473990712556	0.33026594852527275	0.3502328046280856	0.21822611506132036	0.2762774140259427	0.20966785163434898	0.22061281245647382	0.2554158982739608	0.3239107011856135	0.1873832733547654	0.24082047668897683
F3H1	0.3104338216986345	0.3203874249686973	0.19909218954339797	0.0	0.14579786665938646	0.25705824153994505	0.22764831669639796	0.25429359002312524	0.2766154500057356	0.23310567373075874	0.31318655323228584	0.21727020930555385	0.28889850108865356	0.3105547432101805	0.24225119160957856	0.3458405999030899	0.24415786292441322	0.30992070573759334	0.2961435068192486	0.26855081725574725	0.3910071062221968	0.3746223954304746	0.26855345608299375	0.3485990597839057	0.35923923105993766	0.32280404419248276	0.3291582982062087	0.3652478488488653	0.3553838801073384	0.41015947441807277	0.38021224400010384	0.3693502638398687	0.33319644898445455	0.35115119281558904	0.2750163254230106	0.3776019508581262	0.25563284504088973	0.2933723056943529	0.40214278679510224	0.37343682264526645	0.3862380111143451	0.339891757844209	0.38060388946734414	0.4003184694323765	0.4237803005995723	0.32004993453175595	0.3192064777347535	0.31728564533440906	0.35271824110663486	0.40990063861182957	0.4017322728987144	0.4157323051640229	0.42478461528604583	0.4224338704911914	0.3706787830835204	0.43202486581488564	0.3981958938047699	0.38958579075158556	0.4027147984955959	0.2962869932404299	0.4118082018585771	0.43177505796138993	0.29976836839462473	0.35781966735924703	0.2912101049676533	0.30215506578977813	0.3369581516072651	0.40545295451891783	0.26892552668806974	0.32236273002228116
S14Hp	0.2771418114856957	0.28709541475575856	0.1658001793304592	0.14579786665938646	0.0	0.2237662313270063	0.1943563064834592	0.22100157981018653	0.24332343979279691	0.19981366351781998	0.2798945430193471	0.1839781990926151	0.2556064908757148	0.2772627329972418	0.20895918139663983	0.31254858969015115	0.21086585271147446	0.2766286955246545	0.26285149660630985	0.2352588070428085	0.3577150960092581	0.3413303852175358	0.23526144587005499	0.315307049570967	0.3259472208469989	0.289512033979544	0.29586628799326986	0.3319558386359265	0.32209186989439964	0.376867464205134	0.3469202337871651	0.3360582536269299	0.2999044387715158	0.31785918260265034	0.24172431521007182	0.3443099406451874	0.22234083482795097	0.2600802954814142	0.3688507765821635	0.3401448124323277	0.3529460009014063	0.30659974763127024	0.3473118792544053	0.3670264592194378	0.3904882903866335	0.2867579243188172	0.2859144675218148	0.28399363512147024	0.3194262308936961	0.37660862839889087	0.36844026268577557	0.3824402949510841	0.39149260507310707	0.38914186027825265	0.3373867728705816	0.3987328556019469	0.3649038835918311	0.3562937805386468	0.3694227882826572	0.26299498302749114	0.3785161916456383	0.39848304774845117	0.2664763581816859	0.32452765714630827	0.25791809475471456	0.2688630555768394	0.30366614139432635	0.372160944305979	0.23563351647513098	0.2890707198093424
31766	0.3272544520438056	0.33720805531386844	0.21591281988856909	0.25705824153994505	0.2237662313270063	0.0	0.22681643672607488	0.27111422036829635	0.29343608035090674	0.24992630407592986	0.33000718357745695	0.23409083965072497	0.3057191314338247	0.3273753735553516	0.25907182195474965	0.362661230248261	0.26097849326958433	0.32674133608276446	0.31296413716441973	0.28537144760091837	0.4078277365673679	0.3914430257756457	0.28537408642816486	0.3654196901290768	0.3760598614051088	0.3396246745376539	0.3459789285513798	0.3820684791940364	0.3722045104525095	0.4269801047632439	0.39703287434527496	0.3861708941850398	0.35001707932962567	0.36797182316076016	0.2918369557681817	0.3944225812032973	0.27245347538606085	0.310192936039524	0.41896341714027335	0.39025745299043757	0.4030586414595162	0.3567123881893801	0.39742451981251525	0.4171390997775476	0.4406009309447434	0.33687056487692707	0.33602710807992464	0.3341062756795802	0.369538871451806	0.4267212689570007	0.4185529032438855	0.432552935509194	0.44160524563121695	0.4392545008363625	0.38749941342869154	0.44884549616005676	0.415016524149941	0.4064064210967567	0.419535428840767	0.313107623585601	0.4286288322037482	0.44859568830656105	0.31658899873979585	0.37464029770441815	0.30803073531282443	0.31897569613494925	0.3537787819524362	0.42227358486408895	0.28574615703324086	0.3391833603674523
S1Hp	0.2978445272002585	0.30779813047032134	0.186502895045022	0.22764831669639796	0.1943563064834592	0.22681643672607488	0.0	0.2417042955247493	0.2640261555073597	0.22051637923238276	0.30059725873390986	0.20468091480717787	0.2763092065902776	0.2979654487118045	0.22966189711120258	0.3332513054047139	0.23156856842603724	0.29733141123921736	0.28355421232087263	0.2559615227573713	0.37841781172382083	0.3620331009320986	0.25596416158461777	0.3360097652855297	0.3466499365615617	0.3102147496941068	0.3165690037078327	0.3526585543504893	0.3427945856089624	0.3975701799196968	0.36762294950172786	0.3567609693414927	0.32060715448607857	0.33856189831721306	0.2624270309246346	0.3650126563597502	0.24304355054251375	0.28078301119597693	0.38955349229672626	0.3608475281468905	0.3736487166159691	0.327302463345833	0.36801459496896816	0.3877291749340005	0.4111910061011963	0.30746064003338	0.30661718323637754	0.3046963508360331	0.3401289466082589	0.3973113441134536	0.3891429784003384	0.4031430106656469	0.41219532078766985	0.40984457599281543	0.35808948858514444	0.41943557131650966	0.3856065993063939	0.3769964962532096	0.3901255039972199	0.2836976987420539	0.3992189073602011	0.41918576346301395	0.28717907389624875	0.34523037286087105	0.27862081046927734	0.28956577129140215	0.32436885710888913	0.39286366002054185	0.25633623218969376	0.3097734355239052
31129	0.29649233819526866	0.3064459414653315	0.1851507060400321	0.25429359002312524	0.22100157981018653	0.27111422036829635	0.2417042955247493	0.0	0.08955541413517358	0.07989394360514591	0.23843815620059938	0.14252181227386745	0.27495701758528773	0.29661325970681474	0.22830970810621273	0.3318991163997241	0.2302163794210474	0.29597922223422746	0.2822020233158828	0.25460933375238143	0.37706562271883104	0.3606809119271087	0.2546119725796279	0.33465757628053994	0.34529774755657183	0.30886256068911694	0.3152168147028428	0.3513063653454994	0.3414423966039726	0.39621799091470694	0.366270760496738	0.35540878033650286	0.3192549654810887	0.33720970931222327	0.26107484191964475	0.3636604673547603	0.2416913615375239	0.27943082219098714	0.3882013032917364	0.3594953391419006	0.37229652761097926	0.32595027434084317	0.36666240596397826	0.3863769859290107	0.40983881709620645	0.3061084510283901	0.30526499423138775	0.3033441618310432	0.33877675760326903	0.3959591551084638	0.3877907893953485	0.40179082166065705	0.41084313178268	0.4084923869878256	0.35673729958015454	0.4180833823115198	0.38425441030140406	0.37564430724821973	0.3887733149922301	0.28234550973706407	0.39786671835521126	0.4178335744580241	0.28582688489125885	0.3438781838558812	0.2772686214642875	0.28821358228641236	0.3230166681038993	0.39151147101555195	0.2549840431847039	0.30842124651891534
530364	0.31881419817787904	0.3287678014479419	0.20747256602264247	0.2766154500057356	0.24332343979279691	0.29343608035090674	0.2640261555073597	0.08955541413517358	0.0	0.1022158035877563	0.26076001618320976	0.16484367225647784	0.2972788775678981	0.3189351196894251	0.25063156808882314	0.35422097638233446	0.25253823940365777	0.31830108221683784	0.30452388329849317	0.2769311937349918	0.3993874827014414	0.3830027719097191	0.2769338325622383	0.3569794362631503	0.3676196075391822	0.3311844206717273	0.3375386746854532	0.3736282253281098	0.36376425658658296	0.4185398508973173	0.3885926204793484	0.37773064031911324	0.3415768254636991	0.35953156929483365	0.28339670190225513	0.3859823273373707	0.2640132215201343	0.3017526821735975	0.4105231632743468	0.381817199124511	0.39461838759358964	0.34827213432345355	0.38898426594658864	0.4086988459116211	0.43216067707881684	0.3284303110110005	0.32758685421399814	0.32566602181365356	0.3610986175858794	0.4182810150910742	0.4101126493779589	0.42411268164326743	0.4331649917652904	0.43081424697043597	0.3790591595627649	0.4404052422941302	0.40657627028401444	0.3979661672308301	0.4110951749748405	0.30466736971967445	0.42018857833782164	0.4401554344406345	0.30814874487386923	0.3662000438384916	0.29959048144689787	0.31053544226902274	0.34533852808650967	0.41383333099816233	0.2773059031673143	0.3307431065015257
S27H1	0.2753044219029021	0.28525802517296495	0.1639627897476656	0.23310567373075874	0.19981366351781998	0.24992630407592986	0.22051637923238276	0.07989394360514591	0.1022158035877563	0.0	0.21725023990823286	0.12133389598150092	0.2537691012929212	0.2754253434144482	0.2071217918138462	0.31071120010735753	0.20902846312868084	0.27479130594186096	0.26101410702351624	0.23342141746001488	0.35587770642646444	0.3394929956347422	0.23342405628726137	0.31346965998817333	0.3241098312642053	0.2876746443967504	0.2940288984104763	0.3301184490531329	0.320254480311606	0.3750300746223404	0.34508284420437146	0.3342208640441363	0.2980670491887222	0.31602179301985667	0.2398869256272782	0.3424725510623938	0.22050344524515736	0.25824290589862053	0.36701338699936986	0.3383074228495341	0.3511086113186127	0.3047623580484766	0.34547448967161176	0.3651890696366441	0.3886509008038399	0.2849205347360236	0.28407707793902115	0.2821562455386767	0.3175888413109025	0.3747712388160972	0.366602873102982	0.3806029053682905	0.38965521549031346	0.38730447069545904	0.33554938328778805	0.39689546601915326	0.3630664940090375	0.3544563909558532	0.3675853986998635	0.2611575934446975	0.3766788020628447	0.39664565816565756	0.26463896859889235	0.32269026756351465	0.25608070517192094	0.26702566599404576	0.30182875181153274	0.37032355472318546	0.23379612689233736	0.2872333302265488
