	S16H2	31766	w20pp	530258	530075	31328	530368	31512	S17H1	F7H1	S4Hp	31749	F1H1	S15Hp	S14Hp	S19H1	S30H1	S25Hp	S20H1	F14H1A	31333	S29H1	S13Hp	S8Hp	F6H1	530394	31009	F3H1	S26Hp	31021	F22HpB	S28Hp	S1Hp	530444	31360	31700	S27H1	S9H1	530215	F32H1	31557	31723	F16H1	31519	S22Hp	31071	530074	31267	530364	530163	31428	31600	31236	S12Hp	31750	S6Hp	F22H1A	S3Hp	F8H1	31129	31219	31343	31714	S31Hp	530119	531414
S16H2	0.0	0.24236646009267784	0.23448908488566292	0.2142619693569439	0.2308941364400577	0.23390195190691102	0.22991031153437558	0.2850227892872124	0.2165988014226981	0.21643930658591806	0.25989307875831347	0.2685583409874196	0.2716094585516601	0.2518205678487898	0.20562970704190844	0.2730611297193292	0.2609771877641379	0.2708788343853211	0.2283594909647615	0.24624476301838188	0.3006400870501125	0.26259190906888574	0.2386032330857886	0.2985313986358543	0.23093759151730603	0.20241758472299332	0.28172459687600987	0.1400545253671109	0.18889849823103555	0.3477402268762986	0.3242761520413261	0.33690220459073816	0.23721923286566646	0.2432488711910809	0.25362838836483503	0.2554078655184535	0.32603653895493456	0.3623998813290251	0.44023154883012444	0.39152509760221565	0.41541224444617236	0.5936375344971103	0.5305201689401289	0.5009753882699997	0.3019136465210809	0.3603665290340006	0.30667719329803045	0.2904156270012215	0.3557902216985392	0.3588733937396456	0.2967601732754007	0.33167481749792505	0.2650896580812728	0.20753015710598482	0.18762538262367368	0.27883011086210985	0.2894554283193447	0.21674662213514995	0.2739616903142478	0.258217011550945	0.26369713112170085	0.22658397504583203	0.24782821283752704	0.2498338278096101	0.3228283687610307	0.25262520205016664
31766	0.24236646009267784	0.0	0.23497198711441764	0.23466133475449458	0.2512935018376084	0.2543013173044617	0.2691424702822145	0.3322988294424408	0.26387484157792646	0.26371534674114644	0.30716911891354187	0.31583438114264795	0.3188854987068884	0.29909660800401816	0.2529057471971368	0.3203371698745576	0.30825322791936627	0.31815487454054947	0.27563553111998984	0.2935208031736103	0.34791612720534093	0.3098679492241141	0.285879273241017	0.34580743879108267	0.27821363167253443	0.24969362487822166	0.3290006370312383	0.1873305655223393	0.23617453838626395	0.395016267031527	0.3715521921965545	0.3841782447459665	0.28449527302089483	0.2905249113463093	0.30090442852006344	0.30268390567368186	0.37331257911016297	0.40967592148425347	0.48750758898535285	0.438801137757444	0.46268828460140077	0.6409135746523387	0.5777962090953573	0.548251428425228	0.3491896866763093	0.40764256918922903	0.3539532334532588	0.3376916671564499	0.4030662618537676	0.406149433894874	0.34403621343062907	0.3789508576531534	0.3123656982365012	0.25480619726121323	0.23490142277890202	0.32610615101733825	0.336731468474573	0.2640226622903783	0.3212377304694761	0.30549305170617336	0.31097317127692925	0.2738600152010604	0.2951042529927554	0.2971098679648385	0.3701044089162591	0.29990124220539505
w20pp	0.23448908488566292	0.23497198711441764	0.0	0.22678395954747965	0.24341612663059348	0.24642394209744678	0.26126509507519957	0.3244214542354259	0.25599746637091153	0.2558379715341315	0.29929174370652695	0.307957005935633	0.3110081234998735	0.29121923279700324	0.2450283719901219	0.3124597946675427	0.30037585271235134	0.31027749933353455	0.2677581559129749	0.28564342796659536	0.340038751998326	0.30199057401709917	0.27800189803400205	0.33793006358406774	0.2703362564655195	0.24181624967120674	0.32112326182422335	0.17945319031532436	0.22829716317924903	0.38713889182451205	0.3636748169895396	0.3763008695389516	0.2766178978138799	0.2826475361392944	0.2930270533130485	0.29480653046666694	0.36543520390314804	0.40179854627723854	0.4796302137783379	0.4309237625504291	0.45481090939438584	0.6330361994453237	0.5699188338883424	0.5403740532182131	0.34131231146929436	0.3997651939822141	0.3460758582462439	0.32981429194943496	0.39518888664675267	0.3982720586878591	0.33615883822361414	0.37107348244613847	0.30448832302948625	0.2469288220541983	0.2270240475718871	0.3182287758103233	0.3288540932675581	0.25614528708336337	0.3133603552624612	0.29761567649915843	0.3030957960699143	0.2659826399940455	0.28722687778574046	0.2892324927578236	0.3622270337092442	0.2920238669983801
530258	0.2142619693569439	0.23466133475449458	0.22678395954747965	0.0	0.19911710398424404	0.20212491945109734	0.2410379795464805	0.30419433870670687	0.2357703508421925	0.23561085600541248	0.2790646281778079	0.287729890406914	0.29078100797115447	0.2709921172682842	0.22480125646140287	0.29223267913882367	0.2801487371836323	0.2900503838048155	0.2475310403842559	0.26541631243787633	0.319811636469607	0.28176345848838014	0.257774782505283	0.3177029480553487	0.2501091409368005	0.2215891341424877	0.3008961462955043	0.15922607478660533	0.20807004765053	0.366911776295793	0.34344770146082054	0.35607375401023256	0.2563907822851609	0.26242042061057536	0.2727999377843295	0.2745794149379479	0.345208088374429	0.3815714307485195	0.4594030982496189	0.41069664702171005	0.4345837938656668	0.6128090839166047	0.5496917183596234	0.520146937689494	0.32108519594057533	0.3795380784534951	0.32584874271752484	0.3095871764207159	0.37496177111803364	0.37804494315914006	0.3159317226948951	0.35084636691741944	0.2842612075007672	0.22670170652547927	0.20679693204316807	0.2980016602816043	0.30862697773883907	0.23591817155464437	0.29313323973374217	0.2773885609704394	0.2828686805411953	0.24575552446532645	0.26699976225702143	0.26900537722910456	0.34199991818052516	0.2717967514696611
530075	0.2308941364400577	0.2512935018376084	0.24341612663059348	0.19911710398424404	0.0	0.196988143601608	0.2576701466295943	0.32082650578982064	0.2524025179253063	0.2522430230885263	0.29569679526092174	0.30436205749002787	0.3074131750542683	0.2876242843513981	0.2414334235445167	0.30886484622193744	0.2967809042667462	0.3066825508879294	0.26416320746736976	0.2820484795209901	0.33644380355272074	0.298395625571494	0.27440694958839684	0.33433511513846254	0.26674130801991425	0.23822130122560153	0.3175283133786181	0.17585824186971916	0.22470221473364382	0.38354394337890685	0.36007986854393437	0.3727059210933464	0.2730229493682747	0.2790525876936891	0.2894321048674433	0.29121158202106173	0.36184025545754284	0.3982035978316334	0.47603526533273266	0.42732881410482393	0.4512159609487806	0.6294412509997185	0.5663238854427372	0.5367791047726078	0.33771736302368915	0.39617024553660884	0.34248090980063867	0.32621934350382975	0.3915939382011474	0.3946771102422538	0.33256388977800894	0.36747853400053326	0.30089337458388105	0.2433338736085931	0.2234290991262819	0.3146338273647181	0.3252591448219529	0.2525503386377582	0.30976540681685605	0.2940207280535532	0.29950084762430906	0.26238769154844027	0.28363192934013526	0.2856375443122184	0.358632085263639	0.2884289185527749
31328	0.23390195190691102	0.2543013173044617	0.24642394209744678	0.20212491945109734	0.196988143601608	0.0	0.26067796209644767	0.323834321256674	0.2554103333921596	0.2552508385553796	0.29870461072777504	0.3073698729568811	0.3104209905211216	0.29063209981825133	0.24444123901137	0.3118726616887908	0.29978871973359944	0.30969036635478264	0.267171022934223	0.28505629498784346	0.3394516190195741	0.30140344103834726	0.27741476505525015	0.33734293060531584	0.2697491234867676	0.24122911669245484	0.32053612884547145	0.17886605733657246	0.22771003020049713	0.38655175884576015	0.36308768401078767	0.3757137365601997	0.276030764835128	0.2820604031605425	0.2924399203342966	0.29421939748791504	0.36484807092439614	0.40121141329848664	0.479043080799586	0.4303366295716772	0.45422377641563394	0.6324490664665718	0.5693317009095905	0.5397869202394612	0.34072517849054246	0.3991780610034622	0.34548872526749197	0.32922715897068305	0.39460175366800077	0.3976849257091072	0.33557170524486224	0.37048634946738657	0.30390119005073435	0.2463416890754464	0.2264369145931352	0.3176416428315714	0.3282669602888062	0.25555815410461147	0.3127732222837093	0.29702854352040653	0.3025086630911624	0.2653955070152936	0.28663974480698856	0.2886453597790717	0.3616399007304923	0.2914367340196282
530368	0.22991031153437558	0.2691424702822145	0.26126509507519957	0.2410379795464805	0.2576701466295943	0.26067796209644767	0.0	0.31984268088413853	0.2514186930196242	0.25125919818284415	0.2947129703552396	0.3033782325843457	0.3064293501485862	0.2866404594457159	0.24044959863883456	0.30788102131625533	0.29579707936106403	0.30569872598224723	0.2631793825616876	0.281064654615308	0.33545997864703864	0.29741180066581185	0.2734231246827147	0.33335129023278043	0.26575748311423214	0.23723747631991943	0.316544488472936	0.17487441696403702	0.22371838982796166	0.3825601184732247	0.3590960436382522	0.3717220961876643	0.2720391244625926	0.278068762788007	0.28844827996176114	0.2902277571153796	0.3608564305518607	0.39721977292595123	0.47505144042705055	0.42634498919914177	0.4502321360430985	0.6284574260940363	0.5653400605370551	0.5357952798669257	0.336733538118007	0.39518642063092674	0.34149708489495656	0.3252355185981476	0.3906101132954653	0.3936932853365717	0.33158006487232683	0.36649470909485116	0.29990954967819894	0.24235004870291094	0.2224452742205998	0.31365000245903596	0.3242753199162708	0.25156651373207606	0.3087815819111739	0.2930369031478711	0.29851702271862696	0.26140386664275816	0.28264810443445315	0.2846537194065362	0.3576482603579568	0.28744509364709275
31512	0.2850227892872124	0.3322988294424408	0.3244214542354259	0.30419433870670687	0.32082650578982064	0.323834321256674	0.31984268088413853	0.0	0.14843105850559524	0.2063110285062228	0.24976480067861825	0.25843006290772436	0.2614811804719648	0.24169228976909457	0.21641701934498175	0.28384844202240256	0.27176450006721126	0.31219198201510584	0.2696726385945462	0.2875579106481666	0.34195323467989724	0.30390505669867046	0.27991638071557334	0.339844546265639	0.27225073914709075	0.26277190423693486	0.34207891638995147	0.2004088448810525	0.24925281774497715	0.40809454639024023	0.38463047155526775	0.3972565241046797	0.29757355237960803	0.3036031907050225	0.3139827078787767	0.31576218503239506	0.3863908584688762	0.4227542008429667	0.500585868344066	0.45187941711615726	0.47576656396011396	0.6539918540110519	0.5908744884540705	0.5613297077839412	0.36226796603502254	0.4207208485479422	0.367031512811972	0.35076994651516313	0.4161445412124808	0.4192277132535872	0.35711449278934226	0.3920291370118666	0.3254439775952144	0.2678844766199264	0.24797970213761525	0.3391844303760515	0.3498097478332862	0.29765673833107714	0.35487180651017497	0.33912712774687215	0.34460724731762804	0.3074940912417592	0.32873832903345424	0.3307439440055373	0.40373848495695797	0.33353531824609384
S17H1	0.2165988014226981	0.26387484157792646	0.25599746637091153	0.2357703508421925	0.2524025179253063	0.2554103333921596	0.2514186930196242	0.14843105850559524	0.0	0.13788704064170848	0.1813408128141039	0.19000607504321004	0.19305719260745047	0.17326830190458026	0.14799303148046739	0.2154244541578882	0.2033405122026969	0.2437679941505915	0.20124865073003184	0.2191339227836523	0.27352924681538293	0.23548106883415612	0.21149239285105897	0.27142055840112467	0.2038267512825764	0.19434791637242055	0.27365492852543716	0.13198485701653817	0.1808288298804628	0.33967055852572586	0.3162064836907534	0.3288325362401654	0.22914956451509372	0.23517920284050817	0.24555872001426232	0.24733819716788075	0.31796687060436185	0.35433021297845235	0.43216188047955173	0.3834554292516429	0.40734257609559965	0.5855678661465376	0.5224505005895562	0.4929057199194269	0.29384397817050817	0.35229686068342786	0.2986075249474577	0.28234595865064877	0.3477205533479664	0.35080372538907284	0.28869050492482795	0.3236051491473523	0.25701998973070006	0.19946048875541209	0.1795557142731009	0.27076044251153714	0.2813857599687719	0.2292327504665628	0.2864478186456606	0.27070313988235783	0.2761832594531137	0.23907010337724488	0.26031434116893987	0.262319956141023	0.3353144970924436	0.2651113303815795
F7H1	0.21643930658591806	0.26371534674114644	0.2558379715341315	0.23561085600541248	0.2522430230885263	0.2552508385553796	0.25125919818284415	0.2063110285062228	0.13788704064170848	0.0	0.1425852461662927	0.15125050839539883	0.15430162595963925	0.13451273525676904	0.14783353664368737	0.21526495932110817	0.20318101736591687	0.24360849931381146	0.20108915589325183	0.21897442794687225	0.27336975197860286	0.23532157399737608	0.21133289801427896	0.27126106356434465	0.20366725644579636	0.19418842153564053	0.2734954336886571	0.13182536217975813	0.18066933504368277	0.33951106368894585	0.31604698885397337	0.3286730414033854	0.22899006967831367	0.23501970800372812	0.2453992251774823	0.24717870233110073	0.31780737576758183	0.35417071814167234	0.43200238564277166	0.38329593441486287	0.4071830812588196	0.5854083713097575	0.5222910057527762	0.4927462250826468	0.29368448333372815	0.35213736584664784	0.29844803011067766	0.28218646381386875	0.3475610585111864	0.3506442305522928	0.28853101008804793	0.32344565431057226	0.25686049489392004	0.19930099391863204	0.1793962194363209	0.2706009476747571	0.2812262651319919	0.22907325562978278	0.2862883238088806	0.2705436450455778	0.2760237646163337	0.23891060854046486	0.26015484633215985	0.262160461304243	0.3351550022556636	0.2649518355447995
