	530119	31129	530451	530163	w14pp	f11pp	w20pp	f16ppA	f20ppA	w26pp	w2pp	w16pp	w32pp	w11pp	w17pp	w21pp	31749	w19pp	f2pp	w18pp	f7pp	f8pp	f14ppB	530364	31416	31232	F8H1	31333	531424	31700	530050	31328	S28Hp	S19H1	530075	F3H1	31009	s24H1	31160	530315	31452	31600	530052	530215	31766	S1Hp	31750	530444	530295	S29H1	530177	31723	31714	31267	530055	530258	31428	31512	31300	S26Hp	31360	31071	F22HpB	31519	S21H1	530368	31379	31343	530074	31021
530119	0.0	0.14852387863418912	0.32094998119460016	0.3569182504759268	0.3442255407577299	0.3523441575505234	0.3479203855265509	0.3634180709346714	0.35566008991914566	0.3593258858279276	0.3578937308227075	0.36437531791377054	0.3764138231634751	0.35436363065719323	0.3568653590185966	0.3762234064200499	0.39024667530356494	0.36246863756599557	0.3617637710963293	0.34512329619015647	0.35057565706341026	0.35045108537903824	0.33663379466263926	0.37156202017863593	0.37167072303044935	0.35656651886818796	0.3917807842831015	0.40535396744338104	0.367954900232329	0.36491177387024765	0.369635173957958	0.3657382183817362	0.3771554509521161	0.3919426974949831	0.38542716463706866	0.35820741989720367	0.34506890668563817	0.3881504189558437	0.35830142873722143	0.41556864513928593	0.3541652421288698	0.3591618658730476	0.40905512143257505	0.41889160425235317	0.41687573780355547	0.4000472924645232	0.3887111871917488	0.3774017016576135	0.39680427631241744	0.41004280367068646	0.396396263143004	0.39613658690222847	0.3933712516688279	0.3771205401774853	0.3986385722381232	0.3780288768651384	0.37799991471717503	0.39530605855845635	0.3606747996600534	0.3834515570079364	0.4038446116571316	0.34757778522172267	0.4094507051791232	0.3967354299823498	0.4011782725994732	0.3673454029931945	0.3414256874908513	0.24845668488327183	0.1415775964621484	0.10782048949894546
31129	0.14852387863418912	0.0	0.33036257478992853	0.36633084407125516	0.35363813435305824	0.36175675114585176	0.3573329791218793	0.37283066452999974	0.36507268351447403	0.368738479423256	0.36730632441803585	0.3737879115090989	0.38582641675880347	0.3637762242525216	0.366277952613925	0.3856360000153783	0.3996592688988933	0.37188123116132393	0.37117636469165766	0.35453588978548484	0.35998825065873863	0.3598636789743666	0.34604638825796763	0.3809746137739643	0.3810833166257777	0.36597911246351633	0.40119337787842985	0.4147665610387094	0.3773674938276574	0.374324367465576	0.37904776755328634	0.37515081197706457	0.3865680445474445	0.4013552910903115	0.39483975823239703	0.36762001349253204	0.35448150028096653	0.39756301255117205	0.3677140223325498	0.4249812387346143	0.36357783572419816	0.36857445946837597	0.4184677150279034	0.42830419784768153	0.42628833139888384	0.40945988605985156	0.39812378078707716	0.38681429525294186	0.4062168699077458	0.41945539726601483	0.4058088567383324	0.40554918049755684	0.4027838452641563	0.3865331337728137	0.4080511658334516	0.3874414704604668	0.3874125083125034	0.4047186521537847	0.37008739325538176	0.3928641506032648	0.41325720525245996	0.35699037881705104	0.41886329877445155	0.40614802357767815	0.41059086619480156	0.3767579965885229	0.35083828108617965	0.2578692784786002	0.15099019005747677	0.11723308309427383
530451	0.32094998119460016	0.33036257478992853	0.0	0.19566003627813355	0.18296732655993664	0.19108594335273016	0.18666217132875768	0.20215985673687814	0.19440187572135242	0.1980676716301344	0.19663551662491424	0.2031171037159773	0.21515560896568187	0.19310541645940002	0.1956071448208034	0.21496519222225668	0.22898846110577165	0.20121042336820227	0.20050555689853605	0.18386508199236323	0.18931744286561702	0.189192871181245	0.17537558046484603	0.2103038059808427	0.2104125088326561	0.20818597782117343	0.24340024323608694	0.25697342639636656	0.2195743591853145	0.21653123282323314	0.22125463291094347	0.2173576773347217	0.22877490990510163	0.24356215644796858	0.23704662359005416	0.20982687885018916	0.19668836563862363	0.2397698779088292	0.20992088769020692	0.26718810409227145	0.2057847010818553	0.21078132482603307	0.2606745803855605	0.27051106320533863	0.268495196756541	0.25166675141750866	0.24033064614473432	0.229021160610599	0.24842373526540293	0.2616622626236719	0.24801572209598954	0.24775604585521396	0.24499071062181338	0.2287399991304708	0.2502580311911087	0.2296483358181239	0.22961937367016053	0.24692551751144184	0.21229425861303888	0.23507101596092195	0.25546407061011706	0.19919724417470813	0.2610701641321087	0.24835488893533525	0.25279773155245866	0.21896486194618	0.19304514644383675	0.20462406100902303	0.2761231843298982	0.2638196294197276
530163	0.3569182504759268	0.36633084407125516	0.19566003627813355	0.0	0.060144662433290016	0.06826327922608354	0.0638395072021111	0.07933719261023153	0.07157921159470582	0.07524500750348777	0.07381285249826763	0.08029443958933066	0.09233294483903523	0.07028275233275341	0.0727844806941568	0.09214252809561008	0.10616579697912504	0.07838775924155567	0.07768289277188943	0.06104241786571662	0.06649477873897039	0.06637020705459842	0.05255291633819943	0.1286764375262728	0.20384380037403355	0.24415424710250005	0.27936851251741357	0.2929416956776931	0.2555426284666411	0.25249950210455974	0.25722290219227006	0.2533259466160483	0.2647431791864282	0.2795304257292952	0.27301489287138075	0.24579514813151576	0.2326566349199502	0.27573814719015577	0.24588915697153352	0.303156373373598	0.24175297036318188	0.2467495941073597	0.29664284966688714	0.30647933248666526	0.30446346603786756	0.2876350206988353	0.2762989154260609	0.2649894298919256	0.2843920045467295	0.29763053190499855	0.2839839913773161	0.28372431513654056	0.28095897990314	0.2647082684117974	0.2862263004724353	0.2656166050994505	0.2655876429514871	0.28289378679276844	0.24826252789436548	0.2710392852422485	0.2914323398914437	0.23516551345603473	0.2970384334134353	0.2843231582166619	0.2887660008337853	0.2549331312275066	0.22901341572516337	0.24059233029034963	0.3120914536112248	0.29978789870105416
w14pp	0.3442255407577299	0.35363813435305824	0.18296732655993664	0.060144662433290016	0.0	0.030098830235628385	0.0299834916067619	0.04548117701488234	0.03772319599935663	0.04138899190813858	0.03995683690291844	0.04643842399398147	0.05847692924368604	0.03642673673740422	0.03892846509880761	0.058286512500260894	0.07230978138377585	0.044531743646206476	0.04382687717654024	0.027186402270367428	0.032638763143621206	0.032514191459249234	0.02615101036691992	0.11598372780807586	0.19115109065583663	0.2314615373843031	0.2666758027992166	0.2802489859594962	0.2428499187484442	0.23980679238636282	0.24453019247407315	0.24063323689785138	0.2520504694682313	0.26683771601109824	0.26032218315318384	0.23310243841331885	0.21996392520175329	0.26304543747195885	0.2331964472533366	0.2904636636554011	0.22906026064498497	0.23405688438916275	0.2839501399486902	0.2937866227684683	0.29177075631967064	0.2749423109806383	0.26360620570786397	0.2522967201737287	0.2716992948285326	0.2849378221868016	0.2712912816591192	0.27103160541834365	0.26826627018494303	0.2520155586936005	0.2735335907542384	0.2529238953812536	0.2528949332332902	0.2702010770745715	0.23556981817616857	0.2583465755240516	0.2787396301732467	0.2224728037378378	0.28434572369523836	0.2716304484984649	0.27607329111558837	0.2422404215093097	0.21632070600696643	0.2278996205721527	0.2993987438930279	0.28709518898285724
f11pp	0.3523441575505234	0.36175675114585176	0.19108594335273016	0.06826327922608354	0.030098830235628385	0.0	0.03810210839955542	0.05359979380767586	0.045841812792150154	0.0495076087009321	0.04807545369571196	0.05455704078677499	0.06659554603647956	0.04454535353019774	0.04704708189160113	0.06640512929305442	0.08042839817656937	0.052650360438999996	0.05194549396933376	0.03530501906316095	0.04075737993641473	0.040632808252042754	0.03426962715971344	0.12410234460086939	0.19926970744863015	0.23958015417709663	0.2747944195920101	0.28836760275228973	0.2509685355412377	0.24792540917915634	0.25264880926686667	0.2487518536906449	0.2601690862610248	0.27495633280389176	0.26844079994597736	0.24122105520611237	0.2280825419945468	0.2711640542647524	0.24131506404613012	0.2985822804481946	0.2371788774377785	0.24217550118195627	0.2920687567414837	0.3019052395612618	0.29988937311246416	0.28306092777343184	0.2717248225006575	0.2604153369665222	0.27981791162132613	0.2930564389795951	0.2794098984519127	0.27915022221113717	0.27638488697773655	0.260134175486394	0.2816522075470319	0.2610425121740471	0.26101355002608373	0.27831969386736505	0.2436884349689621	0.2664651923168451	0.28685824696604023	0.2305914205306313	0.2924643404880319	0.2797490652912584	0.2841919079083819	0.2503590383021032	0.22443932279975995	0.23601823736494623	0.3075173606858214	0.29521380577565076
w20pp	0.3479203855265509	0.3573329791218793	0.18666217132875768	0.0638395072021111	0.0299834916067619	0.03810210839955542	0.0	0.02410489995601756	0.016346918940491846	0.030596322712176362	0.02916416770695622	0.03564575479801926	0.047684260047723824	0.025634067541442006	0.028135795902845394	0.04749384330429868	0.06151711218781363	0.03373907445024426	0.033034207980578024	0.025650409758777457	0.031102770632031235	0.03097819894765926	0.029845855135740992	0.11967857257689694	0.19484593542465767	0.23515638215312418	0.2703706475680377	0.2839438307283173	0.24654476351726523	0.24350163715518386	0.2482250372428942	0.24432808166667241	0.2557453142370524	0.27053256077991933	0.2640170279220049	0.23679728318213988	0.22365876997057435	0.26674028224077995	0.23689129202215764	0.29415850842422214	0.232755105413806	0.23775172915798382	0.28764498471751127	0.2974814675372894	0.2954656010884917	0.2786371557494594	0.26730105047668506	0.2559915649425497	0.27539413959735365	0.2886326669556227	0.2749861264279403	0.2747264501871647	0.2719611149537641	0.2557104034624215	0.2772284355230594	0.25661874015007463	0.25658977800211125	0.27389592184339256	0.2392646629449896	0.2620414202928727	0.2824344749420678	0.22616764850665888	0.2880405684640594	0.275325293267286	0.2797681358844094	0.24593526627813073	0.2200155507757875	0.23159446534097378	0.30309358866184893	0.2907900337516783
f16ppA	0.3634180709346714	0.37283066452999974	0.20215985673687814	0.07933719261023153	0.04548117701488234	0.05359979380767586	0.02410489995601756	0.0	0.02028881676921304	0.046094008120296806	0.04466185311507667	0.0511434402061397	0.06318194545584427	0.04113175294956245	0.04363348131096584	0.06299152871241913	0.07701479759593408	0.049236759858364704	0.04853189338869847	0.0411480951668979	0.046600456040151686	0.046475884355779706	0.045343540543861444	0.1351762579850174	0.21034362083277813	0.25065406756124464	0.28586833297615816	0.29944151613643777	0.26204244892538575	0.2589993225633044	0.2637227226510147	0.2598257670747929	0.27124299964517284	0.2860302461880398	0.27951471333012534	0.25229496859026035	0.23915645537869484	0.2822379676489004	0.2523889774302781	0.30965619383234266	0.2482527908219265	0.2532494145661043	0.30314267012563173	0.31297915294540984	0.3109632864966122	0.2941348411575799	0.28279873588480553	0.2714892503506702	0.29089182500547417	0.30413035236374314	0.29048381183606076	0.29022413559528515	0.2874588003618846	0.27120808887054204	0.2927261209311799	0.27211642555819515	0.2720874634102317	0.2893936072515131	0.25476234835311007	0.27753910570099316	0.29793216035018827	0.24166533391477935	0.3035382538721799	0.29082297867540646	0.2952658212925299	0.26143295168625125	0.23551323618390796	0.24709215074909424	0.3185912740699694	0.30628771915979874
f20ppA	0.35566008991914566	0.36507268351447403	0.19440187572135242	0.07157921159470582	0.03772319599935663	0.045841812792150154	0.016346918940491846	0.02028881676921304	0.0	0.038336027104771096	0.036903872099550955	0.04338545919061399	0.05542396444031856	0.03337377193403674	0.03587550029544013	0.05523354769689341	0.06925681658040836	0.041478778842838994	0.04077391237317276	0.03339011415137219	0.03884247502462597	0.03871790334025399	0.03758555952833573	0.12741827696949168	0.20258563981725242	0.24289608654571893	0.27811035196063244	0.29168353512091205	0.25428446790986	0.2512413415477786	0.25596474163548893	0.25206778605926716	0.2634850186296471	0.2782722651725141	0.2717567323145996	0.24453698757473463	0.2313984743631691	0.2744799866333747	0.2446309964147524	0.3018982128168169	0.24049480980640076	0.24549143355057856	0.295384689110106	0.3052211719298841	0.30320530548108643	0.28637686014205416	0.2750407548692798	0.26373126933514446	0.2831338439899484	0.2963723713482174	0.28272583082053504	0.28246615457975943	0.2797008193463589	0.26345010785501627	0.2849681399156542	0.2643584445426694	0.264329482394706	0.2816356262359873	0.24700436733758435	0.26978112468546744	0.29017417933466255	0.23390735289925363	0.29578027285665415	0.28306499765988075	0.28750784027700416	0.2536749706707255	0.22775525516838224	0.23933416973356852	0.3108332930544437	0.298529738144273
w26pp	0.3593258858279276	0.368738479423256	0.1980676716301344	0.07524500750348777	0.04138899190813858	0.0495076087009321	0.030596322712176362	0.046094008120296806	0.038336027104771096	0.0	0.025026391604256487	0.03150797869531952	0.0484419770028993	0.02639178449661748	0.034534369612983534	0.05389241701443682	0.06791568589795177	0.0401376481603824	0.039432781690716165	0.037055910060154136	0.042508270933407914	0.04238369924903594	0.04125135543711768	0.13108407287827362	0.20625143572603438	0.24656188245450086	0.28177614786941435	0.29534933102969396	0.25795026381864194	0.2549071374565606	0.2596305375442709	0.25573358196804913	0.26715081453842904	0.281938061081296	0.2754225282233816	0.2482027834835166	0.23506427027195104	0.2781457825421566	0.24829679232353435	0.30556400872559886	0.24416060571518272	0.2491572294593605	0.2990504850188879	0.30888696783866604	0.3068711013898684	0.29004265605083607	0.2787065507780617	0.2673970652439264	0.28679963989873036	0.30003816725699933	0.28639162672931695	0.2861319504885414	0.2833666152551408	0.26711590376379823	0.28863393582443614	0.26802424045145135	0.26799527830348796	0.2853014221447693	0.2506701632463663	0.27344692059424935	0.29383997524344446	0.23757314880803554	0.2994460687654361	0.28673079356866266	0.2911736361857861	0.25734076657950744	0.23142105107716418	0.24299996564235046	0.31449908896322565	0.302195534053055
