	S2Hp	31379	S23Hp	530368	31537	530451	31700	31714	31600	S12Hp	S26Hp	31021	F22H1A	S19H1	31512	31749	S7Hp	S27H1	F1H1	31750	31452	S6Hp	530444	530295	31360	S18H1	S29H1	S4Hp	531414	S28Hp	530177	530258	F14H1A	S1Hp	S3Hp	F3H1	F23HpA	530075	31267	530052	31766	530394	F32H1	S22Hp	F6H1	S17H1	31328	S30H1	530074	F7H1	31129	31219	S13Hp	F14H1B	31333	31160	F8H1	S25Hp	530055	S20H1	S31Hp	530331	31416	s24H1	31637	530315	31723	S14Hp	w17pp	w20pp	w2pp	S21H1	S9H1	31519	31009	31300	31428	31071	530119	F22HpB	S16H2	S15Hp
S2Hp	0.0	0.07231963623064662	0.08237632807868014	0.08752231155214729	0.12862148004763624	0.12229478164567274	0.12960089928150428	0.12942198592835916	0.08874031363841331	0.12302134557000573	0.11283591741480951	0.12994607600795116	0.1500935257327236	0.13148302127640216	0.1301282771964629	0.1307145584407368	0.13358774456695763	0.12575044176357936	0.1316635870467133	0.0949040340311187	0.12042304038198233	0.1262118729551857	0.13725760473443915	0.12998681573783114	0.14915647451914577	0.09054676817303849	0.10157589977507528	0.08884490645574572	0.13157291795428788	0.11298486270957832	0.14808460956434275	0.10818368272375121	0.10573094045043831	0.10903520206298288	0.11564570135892223	0.11780568455021222	0.15635641403300368	0.1589155357052168	0.1730673413765416	0.1813905208811504	0.18301448670317613	0.17943326238042137	0.16622186406456285	0.09586066661363157	0.12700607508586606	0.1414349345438127	0.1580801458905397	0.17761393158792374	0.16417107265511452	0.1457365771530027	0.19046496162318058	0.15742001063625663	0.11479043638552937	0.14582044060159097	0.14935247195489626	0.18614383254028685	0.19558233009727619	0.13849325610535815	0.11130561400059465	0.14814801987200257	0.33303090539106806	1.07602493923485	1.0769254725530975	1.0036623172708594	0.29031936585526535	0.30607938979675636	0.3099347624548852	0.3310711644435119	0.31002625484670965	0.30201800811128093	0.2817269077669547	0.15594562993915165	0.1362896292882036	0.10710646945393039	0.18270788202654317	0.10974422045870301	0.119951741107708	0.11978602900611372	0.12760218217372046	0.10445316079029539	0.04585648835904737	0.0637521265168356
31379	0.07231963623064662	0.0	0.12656022861963317	0.13170621209310032	0.1728053805885893	0.16647868218662576	0.17378479982245731	0.1736058864693122	0.13292421417936634	0.16720524611095877	0.15701981795576253	0.17412997654890422	0.19427742627367664	0.17566692181735521	0.17431217773741592	0.17489845898168982	0.17777164510791066	0.16993434230453242	0.17584748758766633	0.13908793457207175	0.16460694092293537	0.17039577349613877	0.1814415052753922	0.17417071627878417	0.19334037506009882	0.13473066871399153	0.1457598003160283	0.13302880699669875	0.17575681849524094	0.15716876325053136	0.19226851010529578	0.15236758326470423	0.14991484099139135	0.1532191026039359	0.15982960189987527	0.16198958509116523	0.2005403145739567	0.20309943624616983	0.21725124191749462	0.22557442142210343	0.22719838724412916	0.2236171629213744	0.21040576460551588	0.1400445671545846	0.1711899756268191	0.18561883508476573	0.20226404643149273	0.22179783212887677	0.20835497319606755	0.18992047769395576	0.2346488621641336	0.20160391117720966	0.15897433692648238	0.190004341142544	0.19353637249584932	0.23032773308123988	0.23976623063822922	0.18267715664631118	0.1554895145415477	0.1923319204129556	0.37721480593202106	1.120208839775803	1.1211093730940505	1.0478462178118124	0.3345032663962184	0.3502632903377094	0.3541186629958383	0.3752550649844649	0.35421015538766265	0.346201908652234	0.32591080830790775	0.20012953048010468	0.18047352982915665	0.15129036999488343	0.2268917825674962	0.15392812099965603	0.164135641648661	0.16396992954706674	0.1717860827146735	0.14863706133124843	0.0900403889000004	0.10793602705778862
S23Hp	0.08237632807868014	0.12656022861963317	0.0	0.09163803907833956	0.1327372075738285	0.126410509171865	0.13371662680769655	0.13353771345455143	0.09285604116460557	0.12713707309619798	0.11695164494100177	0.13406180353414343	0.15420925325891585	0.13559874880259443	0.13424400472265516	0.13483028596692906	0.1377034720931499	0.12986616928977163	0.13577931457290557	0.09901976155731097	0.12453876790817459	0.13032760048137798	0.14137333226063142	0.1341025432640234	0.15327220204533804	0.09466249569923074	0.10569162730126755	0.09296063398193799	0.13568864548048015	0.11710059023577057	0.15220033709053502	0.11229941024994347	0.10984666797663056	0.11315092958917514	0.11976142888511448	0.12192141207640447	0.16047214155919592	0.16303126323140904	0.17718306890273383	0.18550624840734264	0.18713021422936837	0.1835489899066136	0.1703375915907551	0.09997639413982384	0.13112180261205833	0.14555066207000497	0.16219587341673194	0.18172965911411598	0.16828680018130676	0.14985230467919497	0.19458068914937282	0.16153573816244887	0.11890616391172162	0.14993616812778324	0.15346819948108853	0.1902595600664791	0.19969805762346843	0.14260898363155042	0.1154213415267869	0.15226374739819484	0.3371466329172603	1.0801406667610423	1.0810412000792897	1.0077780447970517	0.2944350933814576	0.31019511732294863	0.3140504899810775	0.3351868919697042	0.3141419823729019	0.3061337356374732	0.28584263529314696	0.1600613574653439	0.14040535681439587	0.11122219698012265	0.18682360955273541	0.11385994798489527	0.12406746863390025	0.12390175653230598	0.13171790969991273	0.10856888831648764	0.06347733272276128	0.09612739308919474
530368	0.08752231155214729	0.13170621209310032	0.09163803907833956	0.0	0.07582511870453651	0.06949842030257299	0.07680453793840454	0.07662562458525941	0.05977672032983855	0.09405775226143097	0.08387232410623477	0.10098248269937642	0.12112993242414885	0.10251942796782743	0.10116468388788814	0.10175096513216206	0.10462415125838288	0.09678684845500461	0.10269999373813855	0.06594044072254396	0.10874978444089045	0.11453861701409385	0.1255843487933473	0.11831355979673927	0.1374832185780539	0.07887351223194661	0.0899026438339834	0.07717165051465384	0.11989966201319602	0.10131160676848644	0.13641135362325088	0.09651042678265935	0.09405768450934643	0.09736194612189102	0.10397244541783035	0.10613242860912034	0.1446831580919118	0.1472422797641249	0.16139408543544972	0.16971726494005854	0.17134123076208427	0.1677600064393295	0.15454860812347096	0.08418741067253971	0.1153328191447742	0.12976167860272084	0.1464068899494478	0.16594067564683188	0.15249781671402263	0.13406332121191084	0.17879170568208871	0.14574675469516474	0.10311718044443749	0.1341471846604991	0.1376792160138044	0.174470576599195	0.18390907415618432	0.12682000016426628	0.09963235805950278	0.1364747639309107	0.32135764944997613	1.0643516832937583	1.0652522166120058	0.9919890613297676	0.2786461099141735	0.29440613385566444	0.2982615065137933	0.31939790850242	0.29835299890561773	0.290344752170189	0.27005365182586283	0.14427237399805976	0.12461637334711173	0.09543321351283851	0.1710346260854513	0.09807096451761114	0.10827848516661612	0.10811277306502184	0.12617274748294943	0.10302372609952434	0.06862331619622843	0.10127337656266189
31537	0.12862148004763624	0.1728053805885893	0.1327372075738285	0.07582511870453651	0.0	0.08631068017172272	0.09361679780755428	0.09343788445440915	0.10087588882532753	0.13515692075691993	0.12497149260172374	0.14208165119486538	0.16222910091963783	0.1436185964633164	0.14226385238337713	0.14285013362765103	0.14572331975387187	0.13788601695049357	0.14379916223362754	0.10703960921803293	0.1498489529363794	0.15563778550958282	0.16668351728883626	0.15941272829222825	0.17858238707354285	0.11997268072743558	0.13100181232947236	0.1182708190101428	0.16099883050868496	0.1424107752639754	0.17751052211873986	0.1376095952781483	0.13515685300483538	0.13846111461737998	0.1450716139133193	0.1472315971046093	0.18578232658740076	0.18834144825961385	0.2024932539309387	0.2108164334355475	0.21244039925757324	0.20885917493481848	0.19564777661895993	0.12528657916802866	0.15643198764026317	0.1708608470982098	0.18750605844493679	0.20703984414232085	0.1935969852095116	0.1751624897073998	0.2198908741775777	0.1868459231906537	0.14421634893992646	0.17524635315598808	0.17877838450929334	0.21556974509468396	0.2250082426516733	0.16791916865975526	0.14073152655499174	0.17757393242639968	0.36245681794546514	1.1054508517892472	1.1063513851074946	1.0330882298252566	0.31974527840966244	0.33550530235115344	0.3393606750092823	0.360497076997909	0.33945216740110673	0.331443920665678	0.3111528203213518	0.18537154249354873	0.16571554184260068	0.13653238200832749	0.21213379458094028	0.1391701330131001	0.1493776536621051	0.14921194156051082	0.1672719159784384	0.14412289459501332	0.10972248469171739	0.14237254505815086
530451	0.12229478164567274	0.16647868218662576	0.126410509171865	0.06949842030257299	0.08631068017172272	0.0	0.020175283080584784	0.01999636972743966	0.094549190423364	0.12883022235495642	0.1186447941997602	0.13575495279290187	0.1559024025176743	0.1372918980613529	0.1359371539814136	0.1365234352256875	0.13939662135190833	0.13155931854853006	0.137472463831664	0.10071291081606941	0.1435222545344159	0.1493110871076193	0.16035681888687275	0.1530860298902647	0.17225568867157934	0.11364598232547204	0.12467511392750885	0.11194412060817929	0.15467213210672145	0.13608407686201188	0.17118382371677632	0.1312828968761848	0.12883015460287187	0.13213441621541647	0.1387449155113558	0.14090489870264578	0.17945562818543725	0.18201474985765034	0.19616655552897516	0.20448973503358397	0.2061137008556097	0.20253247653285494	0.1893210782169964	0.11895988076606515	0.15010528923829963	0.16453414869624627	0.18117936004297325	0.2007131457403573	0.1872702868075481	0.1688357913054363	0.21356417577561415	0.1805192247886902	0.13788965053796293	0.16891965475402454	0.17245168610732983	0.20924304669272042	0.21868154424970976	0.16159247025779172	0.13440482815302823	0.17124723402443615	0.3561301195435016	1.0991241533872835	1.100024686705531	1.026761531423293	0.31341858000769895	0.3291786039491899	0.33303397660731876	0.35417037859594547	0.3331254689991432	0.3251172222637145	0.3048261219193883	0.17904484409158522	0.15938884344063717	0.13020568360636398	0.20580709617897675	0.1328434346111366	0.14305095526014155	0.14288524315854728	0.1609452175764749	0.13779619619304978	0.10339578628975388	0.13604584665618735
31700	0.12960089928150428	0.17378479982245731	0.13371662680769655	0.07680453793840454	0.09361679780755428	0.020175283080584784	0.0	0.004726471379967001	0.10185530805919556	0.13613633999078797	0.12595091183559176	0.14306107042873342	0.16320852015350584	0.14459801569718445	0.14324327161724515	0.14382955286151905	0.1467027389877399	0.13886543618436162	0.14477858146749556	0.10801902845190096	0.15082837217024744	0.15661720474345087	0.1676629365227043	0.16039214752609626	0.1795618063074109	0.1209520999613036	0.1319812315633404	0.11925023824401085	0.161978249742553	0.14339019449784343	0.17848994135260787	0.13858901451201636	0.13613627223870342	0.13944053385124802	0.14605103314718734	0.14821101633847733	0.1867617458212688	0.1893208674934819	0.20347267316480672	0.21179585266941553	0.21341981849144126	0.2098385941686865	0.19662719585282795	0.1262659984018967	0.1574114068741312	0.17184026633207783	0.1884854776788048	0.20801926337618887	0.19457640444337965	0.17614190894126786	0.2208702934114457	0.18782534242452176	0.14519576817379448	0.1762257723898561	0.1797578037431614	0.21654916432855198	0.2259876618855413	0.16889858789362328	0.1417109457888598	0.1785533516602677	0.36343623717933315	1.106430271023115	1.1073308043413626	1.0340676490591245	0.3207246976435305	0.33648472158502146	0.3403400942431503	0.361476496231777	0.34043158663497475	0.33242333989954603	0.31213223955521985	0.18635096172741678	0.16669496107646872	0.13751180124219553	0.2131132138148083	0.14014955224696815	0.1503570728959731	0.15019136079437884	0.16825133521230645	0.14510231382888134	0.11070190392558543	0.1433519642920189
31714	0.12942198592835916	0.1736058864693122	0.13353771345455143	0.07662562458525941	0.09343788445440915	0.01999636972743966	0.004726471379967001	0.0	0.10167639470605043	0.13595742663764285	0.12577199848244663	0.1428821570755883	0.16302960680036072	0.14441910234403932	0.14306435826410002	0.14365063950837392	0.14652382563459476	0.1386865228312165	0.14459966811435043	0.10784011509875584	0.15064945881710232	0.15643829139030574	0.16748402316955918	0.16021323417295114	0.17938289295426577	0.12077318660815847	0.13180231821019528	0.11907132489086572	0.16179933638940788	0.1432112811446983	0.17831102799946275	0.13841010115887123	0.1359573588855583	0.1392616204981029	0.14587211979404222	0.1480321029853322	0.18658283246812368	0.18914195414033677	0.2032937598116616	0.2116169393162704	0.21324090513829613	0.20965968081554137	0.19644828249968282	0.12608708504875157	0.15723249352098606	0.1716613529789327	0.18830656432565968	0.20784035002304374	0.19439749109023452	0.17596299558812273	0.22069138005830058	0.18764642907137663	0.14501685482064935	0.17604685903671097	0.17957889039001626	0.21637025097540685	0.2258087485323962	0.16871967454047815	0.14153203243571466	0.17837443830712257	0.363257323826188	1.10625135766997	1.1071518909882174	1.0338887357059794	0.3205457842903854	0.33630580823187634	0.3401611808900052	0.3612975828786319	0.3402526732818296	0.3322444265464009	0.3119533262020747	0.18617204837427165	0.1665160477233236	0.1373328878890504	0.21293430046166317	0.13997063889382302	0.15017815954282798	0.1500124474412337	0.16807242185916133	0.1449234004757362	0.1105229905724403	0.14317305093887378
31600	0.08874031363841331	0.13292421417936634	0.09285604116460557	0.05977672032983855	0.10087588882532753	0.094549190423364	0.10185530805919556	0.10167639470605043	0.0	0.07408897594705946	0.06390354779186326	0.08101370638500492	0.10116115610977736	0.08255065165345593	0.08119590757351665	0.08178218881779056	0.08465537494401139	0.07681807214063312	0.08273121742376706	0.045971664408172457	0.10996778652715646	0.11575661910035986	0.1268023508796133	0.11953156188300529	0.1387012206643199	0.08009151431821263	0.0911206459202494	0.07838965260091985	0.12111766409946202	0.10252960885475244	0.1376293557095169	0.09772842886892535	0.09527568659561243	0.09857994820815702	0.10519044750409635	0.10735043069538636	0.1459011601781778	0.1484602818503909	0.16261208752171574	0.17093526702632456	0.17255923284835029	0.16897800852559552	0.15576661020973698	0.08540541275880571	0.1165508212310402	0.13097968068898685	0.14762489203571383	0.1671586777330979	0.15371581880028864	0.13528132329817685	0.18000970776835473	0.14696475678143076	0.1043351825307035	0.13536518674676512	0.13889721810007039	0.175688578685461	0.18512707624245034	0.1280380022505323	0.10085036014576879	0.13769276601717673	0.3225756515362422	1.0655696853800243	1.0664702186982717	0.9932070634160336	0.2798641120004395	0.2956241359419305	0.29947950860005934	0.32061591058868605	0.2995710009918838	0.29156275425645506	0.2712716539121288	0.14549037608432577	0.12583437543337772	0.09665121559910453	0.17225262817171733	0.09928896660387715	0.10949648725288214	0.10933077515128786	0.12739074956921545	0.10424172818579035	0.06984131828249444	0.1024913786489279
S12Hp	0.12302134557000573	0.16720524611095877	0.12713707309619798	0.09405775226143097	0.13515692075691993	0.12883022235495642	0.13613633999078797	0.13595742663764285	0.07408897594705946	0.0	0.08646254003461641	0.10357269862775806	0.12372014835253049	0.10510964389620908	0.10375489981626979	0.10434118106054371	0.10721436718676453	0.09937706438338627	0.1052902096665202	0.0685306566509256	0.14424881845874887	0.15003765103195227	0.1610833828112057	0.15381259381459772	0.17298225259591232	0.11437254624980503	0.12540167785184184	0.11267068453251228	0.15539869603105444	0.13681064078634486	0.17191038764110933	0.13200946080051779	0.12955671852720485	0.13286098013974945	0.13947147943568877	0.1416314626269788	0.1801821921097702	0.18274131378198333	0.19689311945330815	0.20521629895791696	0.2068402647799427	0.20325904045718793	0.19004764214132938	0.11968644469039813	0.15083185316263262	0.1652607126205793	0.18190592396730626	0.2014397096646903	0.18799685073188105	0.16956235522976926	0.21429073969994714	0.18124578871302316	0.1386162144622959	0.16964621867835755	0.17317825003166282	0.2099696106170534	0.21940810817404274	0.16231903418212473	0.13513139207736122	0.17197379794876913	0.3568566834678346	1.0998507173116165	1.100751250629864	1.027488095347626	0.3141451439320319	0.32990516787352286	0.3337605405316517	0.3548969425202785	0.3338520329234762	0.32584378618804744	0.30555268584372125	0.17977140801591818	0.16011540736497015	0.13093224753069693	0.20653366010330973	0.13356999853546958	0.14377751918447457	0.1436118070828803	0.16167178150080785	0.13852276011738276	0.10412235021408686	0.13677241058052034
