	w2pp	f2pp	w23pp	w1pp	w21pp	w20pp	w26pp	w15pp	f20ppA	f30pp	f16ppA	f1pp	f23ppA	f21pp	F6H1	531414	S21H1	31160	31766	S14Hp	530368	31343	31300	530394	31452	530163	31129	530050	31600	S15Hp	31009	S18H1	S27H1	S13Hp	S26Hp	530215	31428	S28Hp	31700	31416	S6Hp	530258	S23Hp	S12Hp	S4Hp	530364	31071	F32H1	31267	31512	31714	530074	530444	S29H1	S30H1	F14H1A	S3Hp	F3H1	530331	31379	S8Hp	S16H2	S1Hp	530075	31750	31360	31637	530052	S7Hp	31328	S11Hp	S17H1	s24H1	F8H1	530055	31219	F23HpA	530451	530119	F14H1B	S22Hp	S19H1	530295	S2Hp	31333	S31Hp	F22HpB	S9H1	F7H1	31519	31021	530315	f14ppB	w32pp	f12ppB	w27pp	w18pp	w28pp	w14pp	w3pp	w17pp	w31pp	w8pp	f25pp	w19pp	w11pp	w24pp	w7pp	f7pp
w2pp	0.0	0.031204594039710223	0.06565701331411515	0.07418186975629466	0.06444549781726218	0.04687809311075507	0.05216315328898222	0.06431169358013908	0.07639159654051231	0.08987596532498515	0.09361601328642	0.11207262837977594	0.12017515980748975	0.08927412099619365	0.26297253514645996	0.31702510003807244	0.2901414858803722	0.32680754271530504	0.3233475495405565	0.3248463843054153	0.32644835146587164	0.2976028647975923	0.32631606748762926	0.3518457355764614	0.33579985847765	0.35153281536960074	0.3587006705430125	0.3501924531331713	0.2974562366784738	0.35214017759501376	0.35895356289668207	0.34560767529013464	0.35351550818281857	0.2974375399395987	0.26846107983060746	0.3483877829741859	0.40043255100173986	0.3088635791642707	0.3037768276386928	0.3604659151297233	0.33033109915516407	0.2950929521124304	0.28924092982226174	0.32633801034419213	0.3038807093715667	0.35630087933898696	0.3120252646512052	0.31215445642074585	0.27585531448306166	0.3820686964757272	0.2975873667284114	0.3476345370339832	0.3689565798514702	0.3613387292584012	0.3697527872303869	0.42538018092278235	0.3953890794989528	0.39444166436327815	0.387301637561645	0.3423321041061172	0.3559300019211274	0.35484562880647813	0.3570028543956099	0.3435998944433862	0.33861459442694125	0.36549038125587	0.35207096677063726	0.35794162556768355	0.34139337577761314	0.31962657272859324	0.34943237050540127	0.31865093260045235	0.3998621124394675	0.37525941308977956	0.39522970272769115	0.3604266137292393	0.3313427531190463	0.36137521911997034	0.34711421532922154	0.2999751544082994	0.3001337112857116	0.3101384671854516	0.3617216610375931	0.3283974260398575	0.3204254728425198	0.3283979003261967	0.329814369894422	0.30241272425069915	0.32333054063992467	0.30610294530892584	0.33976244139979833	0.3128774887993478	0.07360110829726685	0.08139012713752682	0.0912458921361924	0.07291274858478242	0.06832081134341407	0.07349693067568829	0.059709728819830624	0.06407205059692865	0.05664575398032062	0.06444330125400881	0.05002161935729589	0.05663045136348173	0.050201330151940324	0.052040278647340954	0.06319713863653674	0.05173013480636234	0.024448222916818783
f2pp	0.031204594039710223	0.0	0.05717638953776428	0.06570124597994378	0.05596487404091131	0.038397469334404195	0.043682529512631345	0.05583106980378821	0.06791097276416143	0.08139534154863427	0.08513538951006912	0.10359200460342506	0.11169453603113887	0.08079349721984277	0.25449191137010907	0.30854447626172155	0.2816608621040213	0.31832691893895415	0.3148669257642056	0.3163657605290644	0.31796772768952075	0.2891222410212414	0.31783544371127836	0.34336511180011053	0.3273192347012991	0.34305219159324984	0.35022004676666163	0.34171182935682043	0.2889756129021229	0.34365955381866287	0.3504729391203312	0.33712705151378375	0.3450348844064677	0.2889569161632478	0.25998045605425657	0.339907159197835	0.39195192722538896	0.3003829553879198	0.2952962038623419	0.3519852913533724	0.3218504753788132	0.2866123283360795	0.28076030604591085	0.31785738656784124	0.2954000855952158	0.34782025556263607	0.30354464087485433	0.30367383264439496	0.26737469070671077	0.37358807269937633	0.2891067429520605	0.33915391325763233	0.3604759560751193	0.3528581054820503	0.361272163454036	0.41689955714643145	0.3869084557226019	0.38596104058692726	0.3788210137852941	0.3338514803297663	0.3474493781447765	0.34636500503012724	0.348522230619259	0.3351192706670353	0.33013397065059036	0.35700975747951913	0.34359034299428637	0.34946100179133266	0.33291275200126225	0.31114594895224235	0.3409517467290504	0.31017030882410146	0.3913814886631166	0.36677878931342867	0.38674907895134025	0.3519459899528884	0.3228621293426954	0.35289459534361944	0.33863359155287065	0.2914945306319485	0.2916530875093607	0.30165784340910073	0.35324103726124223	0.3199168022635066	0.3119448490661689	0.3199172765498458	0.3213337461180711	0.29393210047434826	0.3148499168635738	0.29762232153257495	0.33128181762344744	0.3043968650229969	0.06512048452091597	0.07290950336117594	0.08276526835984152	0.06443212480843154	0.0598401875670632	0.06501630689933742	0.051229105043479745	0.05559142682057777	0.04816513020396975	0.05596267747765793	0.04154099558094501	0.04814982758713085	0.04172070637558945	0.04355965487099008	0.05471651486018587	0.04324951103001147	0.01596759914046791
w23pp	0.06565701331411515	0.05717638953776428	0.0	0.026085519047243606	0.03641238870025002	0.023737890065767795	0.029022950243994948	0.04345099429170601	0.05553089725207923	0.06901526603655207	0.07275531399798692	0.09121192909134287	0.09931446051905667	0.06841342170776057	0.24211183585802687	0.29616440074963934	0.26928078659193905	0.3059468434268719	0.3024868502521234	0.30398568501698214	0.30558765217743855	0.27674216550915914	0.30545536819919616	0.3309850362880283	0.31493915918921683	0.3306721160811676	0.3378399712545794	0.3293317538447382	0.2765955373900407	0.3312794783065806	0.3380928636082489	0.3247469760017015	0.3326548088943854	0.27657684065116556	0.24760038054217437	0.32752708368575273	0.3795718517133067	0.2880028798758376	0.28291612835025964	0.33960521584129016	0.3094703998667309	0.27423225282399727	0.26838023053382865	0.30547731105575904	0.28302001008313354	0.3354401800505538	0.29116456536277213	0.2912937571323127	0.25499461519462857	0.36120799718729407	0.2767266674399783	0.32677383774555013	0.34809588056303703	0.34047802996996807	0.34889208794195375	0.4045194816343492	0.3745283802105197	0.373580965074845	0.36644093827321184	0.32147140481768405	0.33506930263269424	0.333984929518045	0.33614215510717677	0.3227391951549531	0.3177538951385081	0.3446296819674369	0.3312102674822041	0.3370809262792504	0.32053267648918	0.2987658734401601	0.3285716712169681	0.29779023331201926	0.3790014131510344	0.3543987138013464	0.374369003439258	0.33956591444080614	0.31048205383061317	0.3405145198315372	0.32625351604078845	0.2791144551198663	0.27927301199727844	0.28927776789701853	0.34086096174916	0.30753672675142435	0.29956477355408667	0.30753720103776355	0.30895367060598883	0.281552024962266	0.3024698413514916	0.28524224602049275	0.3189017421113652	0.29201678951091464	0.052740409008833776	0.060529427849093737	0.07038519284775932	0.06194718528581296	0.057355248044444626	0.06253136737671884	0.048744165520861166	0.05310648729795919	0.04568019068135118	0.05347773795503935	0.05041531886112116	0.057024150867307	0.050595029655765594	0.052433978151166225	0.06359083814036201	0.06430365912056339	0.04463903949278908
w1pp	0.07418186975629466	0.06570124597994378	0.026085519047243606	0.0	0.044937245142429534	0.032262746507947304	0.03754780668617446	0.051975850733885526	0.06405575369425874	0.07754012247873159	0.08128017044016643	0.09973678553352239	0.10783931696123618	0.07693827814994009	0.2506366923002064	0.3046892571918189	0.2778056430341186	0.31447169986905144	0.31101170669430295	0.3125105414591617	0.3141125086196181	0.2852670219513387	0.3139802246413757	0.3395098927302078	0.3234640156313964	0.33919697252334713	0.3463648276967589	0.3378566102869177	0.28512039383222026	0.33980433474876015	0.34661772005042846	0.33327183244388103	0.34117966533656496	0.2851016970933451	0.2561252369843539	0.33605194012793227	0.38809670815548625	0.29652773631801715	0.2914409847924392	0.3481300722834697	0.31799525630891046	0.2827571092661768	0.2769050869760082	0.3140021674979386	0.2915448665253131	0.34396503649273336	0.2996894218049517	0.29981861357449224	0.2635194716368081	0.3697328536294736	0.28525152388215785	0.3352986941877297	0.35662073700521657	0.3490028864121476	0.3574169443841333	0.41304433807652874	0.38305323665269925	0.38210582151702455	0.3749657947153914	0.3299962612598636	0.3435941590748738	0.3425097859602245	0.3446670115493563	0.3312640515971326	0.32627875158068764	0.3531545384096164	0.33973512392438365	0.34560578272142994	0.32905753293135953	0.30729072988233963	0.33709652765914766	0.3063150897541988	0.38752626959321396	0.36292357024352595	0.38289385988143754	0.3480907708829857	0.3190069102727927	0.34903937627371673	0.334778372482968	0.28763931156204586	0.287797868439458	0.2978026243391981	0.3493858181913395	0.3160615831936039	0.3080896299962662	0.3160620574799431	0.31747852704816837	0.29007688140444554	0.3109946977936711	0.2937671024626723	0.3274265985535447	0.3005416459530942	0.06126526545101329	0.06905428429127325	0.07891004928993883	0.07047204172799247	0.06588010448662412	0.07105622381889834	0.05726902196304068	0.061631343740138705	0.054205047123530685	0.06200259439721886	0.05894017530330066	0.0655490073094865	0.05911988609794511	0.06095883459334574	0.07211569458254152	0.0728285155627429	0.053163895934968584
w21pp	0.06444549781726218	0.05596487404091131	0.03641238870025002	0.044937245142429534	0.0	0.02252637456891483	0.027811434747141983	0.04223947879485304	0.05431938175522627	0.06780375053969911	0.07154379850113396	0.09000041359448992	0.09810294502220371	0.06720190621090762	0.2409003203611739	0.2949528852527864	0.2680692710950861	0.30473532793001895	0.30127533475527046	0.3027741695201292	0.3043761366805856	0.2755306500123062	0.3042438527023432	0.32977352079117533	0.3137276436923639	0.32946060058431464	0.33662845575772643	0.32812023834788523	0.2753840218931878	0.33006796280972767	0.336881348111396	0.32353546050484855	0.3314432933975325	0.2753653251543126	0.2463888650453214	0.3263155681888998	0.37836033621645376	0.28679136437898467	0.2817046128534067	0.3383937003444372	0.308258884369878	0.2730207373271443	0.2671687150369757	0.3042657955589061	0.2818084945862806	0.33422866455370087	0.2899530498659192	0.29008224163545976	0.2537830996977756	0.35999648169044113	0.27551515194312537	0.3255623222486972	0.3468843650661841	0.3392665144731151	0.3476805724451008	0.40330796613749625	0.37331686471366676	0.37236944957799206	0.3652294227763589	0.3202598893208311	0.3338577871358413	0.33277341402119204	0.3349306396103238	0.32152767965810014	0.31654237964165516	0.34341816647058393	0.32999875198535117	0.33586941078239746	0.31932116099232705	0.29755435794330715	0.3273601557201152	0.2965787178151663	0.3777898976541815	0.35318719830449347	0.37315748794240505	0.3383543989439532	0.3092705383337602	0.33930300433468424	0.3250420005439355	0.2779029396230134	0.2780614965004255	0.2880662524001656	0.33964944625230703	0.3063252112545714	0.29835325805723373	0.3063256855409106	0.3077421551091359	0.28034050946541306	0.30125832585463863	0.2840307305236398	0.31769022661451224	0.2908052740140617	0.05152889351198081	0.05931791235224078	0.06917367735090636	0.06073566978896	0.056143732547591654	0.06131985187986587	0.04753265002400821	0.051894971801106235	0.04446867518449821	0.05226622245818639	0.04920380336426819	0.05581263537045403	0.04938351415891262	0.05122246265431325	0.06237932264350904	0.06309214362371042	0.04342752399593611
w20pp	0.04687809311075507	0.038397469334404195	0.023737890065767795	0.032262746507947304	0.02252637456891483	0.0	0.00804396027908106	0.02467207408834593	0.03675197704871915	0.050236345833191996	0.05397639379462684	0.07243300888798279	0.0805355403156966	0.0496345015044005	0.22333291565466679	0.27738548054627926	0.25050186638857896	0.2871679232235118	0.2837079300487633	0.28520676481362206	0.28680873197407847	0.25796324530579906	0.2866764479958361	0.3122061160846682	0.29616023898585675	0.3118931958778075	0.3190610510512193	0.3105528336413781	0.25781661718668064	0.3125005581032205	0.31931394340488883	0.3059680557983414	0.31387588869102534	0.2577979204478055	0.2288214603388143	0.30874816348239265	0.3607929315099466	0.26922395967247753	0.26413720814689956	0.3208262956379301	0.29069147966337083	0.2554533326206372	0.24960131033046856	0.28669839085239895	0.26424108987977346	0.31666125984719373	0.27238564515941205	0.2725148369289526	0.2362156949912685	0.342429076983934	0.25794774723661823	0.30799491754219005	0.32931696035967695	0.321699109766608	0.33011316773859367	0.3857405614309891	0.3557494600071596	0.3548020448714849	0.34766201806985175	0.30269248461432396	0.31629038242933416	0.3152060093146849	0.3173632349038167	0.303960274951593	0.298974974935148	0.3258507617640768	0.31243134727884403	0.3183020060758903	0.3017537562858199	0.2799869532368	0.30979275101360804	0.2790113131086592	0.36022249294767433	0.3356197935979863	0.3555900832358979	0.32078699423744605	0.2917031336272531	0.3217355996281771	0.30747459583742837	0.26033553491650624	0.26049409179391836	0.27049884769365845	0.3220820415457999	0.28875780654806427	0.2807858533507266	0.28875828083440347	0.29017475040262874	0.2627731047589059	0.2836909211481315	0.26646332581713267	0.3001228219080051	0.27323786930755456	0.0339614888054737	0.04175050764573366	0.051606272644399244	0.04316826508245288	0.03857632784108454	0.04375244717335876	0.02996524531750109	0.03432756709459912	0.026901270477991096	0.034698817751679274	0.03163639865776108	0.038245230663946916	0.03181610945240551	0.03365505794780614	0.04481191793700193	0.04552473891720331	0.025860119289428996
w26pp	0.05216315328898222	0.043682529512631345	0.029022950243994948	0.03754780668617446	0.027811434747141983	0.00804396027908106	0.0	0.02995713426657308	0.0420370372269463	0.055521406011419146	0.05926145397285399	0.07771806906620995	0.08582060049392375	0.05491956168262765	0.22861797583289395	0.2826705407245064	0.2557869265668061	0.292452983401739	0.2889929902269905	0.2904918249918492	0.29209379215230563	0.2632483054840262	0.29196150817406324	0.31749117626289536	0.3014452991640839	0.31717825605603467	0.32434611122944645	0.31583789381960525	0.2631016773649078	0.3177856182814477	0.324599003583116	0.3112531159765686	0.3191609488692525	0.26308298062603264	0.23410652051704145	0.3140332236606198	0.3660779916881738	0.2745090198507047	0.2694222683251267	0.32611135581615724	0.295976539841598	0.26073839279886435	0.2548863705086957	0.2919834510306261	0.2695261500580006	0.3219463200254209	0.2776707053376392	0.2777998971071798	0.24150075516949565	0.34771413716216115	0.2632328074148454	0.3132799777204172	0.3346020205379041	0.32698416994483515	0.33539822791682083	0.3910256216092163	0.3610345201853868	0.3600871050497121	0.3529470782480789	0.30797754479255113	0.3215754426075613	0.32049106949291206	0.32264829508204385	0.30924533512982016	0.3042600351133752	0.33113582194230395	0.3177164074570712	0.3235870662541175	0.30703881646404707	0.28527201341502717	0.3150778111918352	0.28429637328688634	0.3655075531259015	0.3409048537762135	0.3608751434141251	0.3260720544156732	0.29698819380548025	0.32702065980640427	0.31275965601565553	0.2656205950947334	0.2657791519721455	0.2757839078718856	0.32736710172402705	0.29404286672629143	0.28607091352895375	0.29404334101263063	0.2954598105808559	0.2680581649371331	0.28897598132635866	0.27174838599535983	0.30540788208623226	0.2785229294857817	0.03924654898370085	0.04703556782396081	0.05689133282262639	0.04845332526068003	0.04386138801931169	0.04903750735158591	0.03525030549572824	0.039612627272826266	0.032186330656218246	0.039983877929906424	0.03692145883598823	0.043530290842174066	0.03710116963063266	0.03894011812603329	0.05009697811522908	0.05080979909543046	0.031145179467656145
w15pp	0.06431169358013908	0.05583106980378821	0.04345099429170601	0.051975850733885526	0.04223947879485304	0.02467207408834593	0.02995713426657308	0.0	0.04802728043812374	0.06151164922259658	0.06525169718403143	0.08370831227738738	0.09181084370510117	0.06090980489380508	0.23460821904407136	0.2886607839356839	0.26177716977798354	0.29844322661291645	0.29498323343816796	0.2964820682030267	0.2980840353634831	0.2692385486952037	0.2979517513852407	0.32348141947407283	0.3074355423752614	0.32316849926721214	0.3303363544406239	0.3218281370307827	0.2690919205760853	0.32377586149262516	0.33058924679429347	0.31724335918774604	0.32515119208043	0.2690732238372101	0.24009676372821886	0.3200234668717973	0.37206823489935126	0.28049926306188216	0.2754125115363042	0.3321015990273347	0.30196678305277547	0.2667286360100418	0.26087661371987314	0.2979736942418036	0.2755163932691781	0.32793656323659837	0.2836609485488167	0.28379014031835725	0.24749099838067307	0.3537043803733386	0.26922305062602286	0.3192702209315947	0.3405922637490816	0.3329744131560126	0.3413884711279983	0.39701586482039375	0.36702476339656426	0.36607734826088956	0.3589373214592564	0.3139677880037286	0.3275656858187388	0.32648131270408953	0.3286385382932213	0.31523557834099764	0.31025027832455265	0.3371260651534814	0.32370665066824866	0.32957730946529495	0.31302905967522454	0.29126225662620464	0.32106805440301267	0.2902866164980638	0.37149779633707897	0.34689509698739096	0.36686538662530255	0.3320622976268507	0.3029784370166577	0.33301090301758174	0.318749899226833	0.2716108383059109	0.271769395183323	0.2817741510830631	0.3333573449352045	0.3000331099374689	0.2920611567401312	0.3000335842238081	0.3014500537920334	0.27404840814831055	0.2949662245375361	0.2777386292065373	0.31139812529740973	0.2845131726969592	0.04523679219487828	0.053025811035138246	0.06288157603380383	0.06060186555183689	0.056009928310468554	0.06118604764274277	0.0473988457868851	0.05176116756398313	0.04433487094737511	0.052132418221063286	0.04906999912714509	0.05567883113333093	0.04924970992178952	0.05108865841719015	0.06224551840638594	0.06295833938658732	0.04329371975881301
f20ppA	0.07639159654051231	0.06791097276416143	0.05553089725207923	0.06405575369425874	0.05431938175522627	0.03675197704871915	0.0420370372269463	0.04802728043812374	0.0	0.033894747956556184	0.04970922623056964	0.0681658413239256	0.07626837275163939	0.0453673339403433	0.21906574809060955	0.27311831298222206	0.24623469882452173	0.2829007556594546	0.2794407624847061	0.28093959724956485	0.28254156441002126	0.2536960777417419	0.2824092804317789	0.307938948520611	0.29189307142179954	0.3076260283137503	0.3147938834871621	0.3062856660773209	0.2535494496226235	0.3082333905391633	0.3150467758408316	0.3017008882342842	0.30960872112696813	0.2535307528837483	0.22455429277475705	0.30448099591833544	0.3565257639458894	0.2649567921084204	0.25987004058284235	0.3165591280738729	0.2864243120993136	0.25118616505658	0.24533414276641133	0.28243122328834175	0.2599739223157163	0.3123940922831365	0.26811847759535484	0.2682476693648954	0.23194852742721125	0.3381619094198768	0.2536805796725611	0.30372774997813284	0.32504979279561974	0.3174319422025508	0.32584600017453647	0.3814733938669319	0.3514822924431024	0.3505348773074277	0.34339485050579455	0.29842531705026676	0.31202321486527695	0.3109388417506277	0.3130960673397595	0.2996931073875358	0.2947078073710908	0.3215835942000196	0.3081641797147868	0.3140348385118331	0.2974865887217627	0.2757197856727428	0.30552558344955083	0.27474414554460197	0.3559553253836171	0.3313526260339291	0.3513229156718407	0.31651982667338885	0.2874359660631959	0.3174684320641199	0.30320742827337116	0.2560683673524491	0.2562269242298612	0.2662316801296013	0.3178148739817427	0.28449063898400706	0.2765186857866694	0.28449111327034626	0.28590758283857154	0.25850593719484877	0.2794237535840743	0.2621961582530755	0.2958556543439479	0.26897070174349735	0.04966339497147332	0.057452413811733286	0.06730817881039887	0.07268176851221012	0.06808983127084178	0.073265950603116	0.05947874874725832	0.06384107052435635	0.05641477390774833	0.06421232118143651	0.061149902087518304	0.06775873409370414	0.06132961288216275	0.06316856137756338	0.07432542136675915	0.07503824234696055	0.05537362271918623
f30pp	0.08987596532498515	0.08139534154863427	0.06901526603655207	0.07754012247873159	0.06780375053969911	0.050236345833191996	0.055521406011419146	0.06151164922259658	0.033894747956556184	0.0	0.06319359501504249	0.08165021010839843	0.08975274153611223	0.058851702724816136	0.2325501168750824	0.2866026817666949	0.2597190676089946	0.29638512444392745	0.29292513126917896	0.2944239660340377	0.2960259331944941	0.26718044652621475	0.2958936492162517	0.32142331730508383	0.3053774402062724	0.32111039709822314	0.32827825227163493	0.31977003486179373	0.26703381840709633	0.32171775932363617	0.32853114462530447	0.31518525701875705	0.323093089911441	0.26701512166822117	0.2380386615592299	0.3179653647028083	0.37001013273036226	0.2784411608928932	0.2733544093673152	0.3300434968583457	0.29990868088378647	0.2646705338410528	0.2588185115508842	0.2959155920728146	0.27345829110018915	0.32587846106760937	0.2816028463798277	0.28173203814936826	0.2454328962116841	0.3516462782043496	0.2671649484570339	0.3172121187626057	0.3385341615800926	0.3309163109870236	0.3393303689590093	0.39495776265140475	0.36496666122757526	0.36401924609190056	0.3568792192902674	0.3119096858347396	0.3255075836497498	0.32442321053510054	0.3265804361242323	0.31317747617200864	0.30819217615556366	0.33506796298449243	0.32164854849925967	0.32751920729630596	0.31097095750623555	0.28920415445721565	0.3190099522340237	0.2882285143290748	0.36943969416808997	0.34483699481840197	0.36480728445631355	0.3300041954578617	0.3009203348476687	0.33095280084859274	0.316691797057844	0.26955273613692193	0.26971129301433405	0.27971604891407414	0.33129924276621553	0.2979750077684799	0.2900030545711422	0.2979754820548191	0.2993919516230444	0.2719903059793216	0.29290812236854713	0.27568052703754836	0.30934002312842074	0.2824550705279702	0.06314776375594616	0.07093678259620613	0.0807925475948717	0.08616613729668296	0.08157420005531463	0.08675031938758884	0.07296311753173117	0.0773254393088292	0.06989914269222117	0.07769668996590935	0.07463427087199115	0.08124310287817699	0.0748139816666356	0.07665293016203623	0.087809790151232	0.08852261113143339	0.06885799150365908
