	31637	31416	31557	31700	S29H1	530163	31723	S28Hp	31232	31129	531424	S7Hp	530050	530075	31112	530154	31711	530052	s10pp	s20pp	530251	31379	S6Hp	s21pp	31450
31637	0.0	0.1876745015365679	0.20299059769422445	0.3907888920999099	0.4065312549435282	0.38879299926779576	0.3643188769924295	0.5123976668925884	0.46682346814307457	0.44058609045013086	0.44228748013030866	0.4827212237408635	0.4723017131857128	0.49162704124025464	0.4946194961674171	0.436359457295067	0.4127792093085502	0.4358215609333859	1.3995699225964724	1.316762759576041	0.4967430124185117	0.4279613163130103	0.4137601925944227	0.4436495782321402	0.30623368161055076
31416	0.1876745015365679	0.0	0.09236016533313995	0.42258638944987426	0.43832875229349255	0.4205904966177601	0.39611637434239383	0.5441951642425527	0.4986209654930389	0.4723835878000952	0.474084977480273	0.5145187210908279	0.5040992105356772	0.523424538590219	0.5264169935173815	0.4681569546450313	0.44457670665851456	0.46761905828335026	1.4313674199464366	1.3485602569260053	0.5285405097684761	0.45975881366297466	0.44555768994438705	0.47544707558210453	0.3380311789605151
31557	0.20299059769422445	0.09236016533313995	0.0	0.4379024856075308	0.4536448484511491	0.43590659277541666	0.4114324705000504	0.5595112604002093	0.5139370616506955	0.48769968395775176	0.48940107363792956	0.5298348172484844	0.5194153066933337	0.5387406347478756	0.5417330896750381	0.4834730508026879	0.4598928028161711	0.4829351544410068	1.4466835161040932	1.3638763530836617	0.5438566059261326	0.4750749098206312	0.4608737861020436	0.4907631717397611	0.35334727511817166
31700	0.3907888920999099	0.42258638944987426	0.4379024856075308	0.0	0.12121693882119881	0.18212007242521383	0.15764595014984756	0.573471444087368	0.5278972453378543	0.5016598676449107	0.5033612573250884	0.5437950009356433	0.5333754903804926	0.5527008184350344	0.5556932733621969	0.4974332344898467	0.47385298650332996	0.49689533812816566	1.4606436997912522	1.3778365367708205	0.5578167896132915	0.48903509350779006	0.47483396978920245	0.5047233554269199	0.3673074588053305
S29H1	0.4065312549435282	0.43832875229349255	0.4536448484511491	0.12121693882119881	0.0	0.19786243526883215	0.17338831299346585	0.5892138069309865	0.5436396081814726	0.5174022304885288	0.5191036201687067	0.5595373637792616	0.5491178532241108	0.5684431812786527	0.5714356362058152	0.5131755973334651	0.48959534934694826	0.512637700971784	1.4763860626348704	1.393578899614439	0.5735591524569097	0.5047774563514084	0.49057633263282074	0.5204657182705382	0.3830498216489488
530163	0.38879299926779576	0.4205904966177601	0.43590659277541666	0.18212007242521383	0.19786243526883215	0.0	0.08388416297455363	0.571475551255254	0.5259013525057401	0.49966397481279645	0.5013653644929743	0.5417991081035292	0.5313795975483784	0.5507049256029202	0.5536973805300827	0.49543734165773257	0.4718570936712158	0.4948994452960515	1.458647806959138	1.3758406439387065	0.5558208967811773	0.4870392006756759	0.4728380769570883	0.5027274625948057	0.36531156597321635
31723	0.3643188769924295	0.39611637434239383	0.4114324705000504	0.15764595014984756	0.17338831299346585	0.08388416297455363	0.0	0.5470014289798877	0.5014272302303739	0.4751898525374302	0.476891242217608	0.5173249858281628	0.5069054752730121	0.526230803327554	0.5292232582547165	0.4709632193823663	0.44738297139584954	0.47042532302068524	1.4341736846837716	1.3513665216633401	0.531346774505811	0.46256507840030964	0.448363954681722	0.4782533403194395	0.3408374436978501
S28Hp	0.5123976668925884	0.5441951642425527	0.5595112604002093	0.573471444087368	0.5892138069309865	0.571475551255254	0.5470014289798877	0.0	0.5016370289019434	0.47539965120899974	0.47710104088917754	0.5175347844997324	0.5071152739445817	0.5264406019991235	0.529433056926286	0.47117301805393585	0.4475927700674191	0.4706351216922548	1.4343834833553413	1.3515763203349098	0.5315565731773806	0.4627748770718792	0.4485737533532916	0.47846313899100906	0.34104724236941963
31232	0.46682346814307457	0.4986209654930389	0.5139370616506955	0.5278972453378543	0.5436396081814726	0.5259013525057401	0.5014272302303739	0.5016370289019434	0.0	0.14110508076964934	0.14280647044982714	0.18324021406038202	0.17282070350523127	0.1921460315597731	0.1951384864869356	0.13687844761458545	0.11329819962806868	0.1363405512529044	1.1000889129159905	1.0172817498955593	0.1972620027380302	0.1284803066325288	0.19336982945203504	0.22325921508975255	0.1795538788455418
31129	0.44058609045013086	0.4723835878000952	0.48769968395775176	0.5016598676449107	0.5174022304885288	0.49966397481279645	0.4751898525374302	0.47539965120899974	0.14110508076964934	0.0	0.009571158233017345	0.10936925441806289	0.09894974386291214	0.11827507191745398	0.12126752684461645	0.06300748797226632	0.04983822787936121	0.07288057950419694	1.0366289411672833	0.9538217781468519	0.13380203098932275	0.06502033488382133	0.16713245175909133	0.19702183739680884	0.1533165011525981
