	31452	S25Hp	S3Hp	S7Hp	S18H1	31219	530451	S28Hp	530394	S23Hp	31300	31160	s24H1	F14H1B	S26Hp	31328	S13Hp	S20H1	S1Hp	S4Hp
31452	0.0	0.08939899537154247	0.1280144782747707	0.1938113014059838	0.21417626681030838	0.1519903387501084	0.3029628559777026	0.31450798697394217	0.2539265724614769	0.328353223646515	0.38939164026976536	0.3735746528915391	0.6924823843775201	0.5540343316639246	0.21757195146729597	0.26466492702105593	0.29366093591148246	0.32134492145557936	0.24373618941539638	0.1865468936253295
S25Hp	0.08939899537154247	0.0	0.11830545543784059	0.18410227856905365	0.20446724397337826	0.14228131591317827	0.29325383314077247	0.304798964137012	0.24421754962454673	0.31864420080958483	0.37968261743283527	0.36386563005460903	0.68277336154059	0.5443253088269944	0.20786292863036585	0.25495590418412584	0.28395191307455236	0.31163589861864927	0.23402716657846626	0.17683787078839938
S3Hp	0.1280144782747707	0.11830545543784059	0.0	0.13590430653368	0.15626927193800458	0.11322496506392822	0.27892316599368683	0.2904682969899264	0.22988688247746109	0.3043135336624992	0.3653519502857496	0.3495349629075234	0.6684426943935043	0.5299946416799087	0.19353226148328018	0.2406252370370402	0.2696212459274667	0.2973052314715636	0.2196964994313806	0.1625072036413137
S7Hp	0.1938113014059838	0.18410227856905365	0.13590430653368	0.0	0.0726430838995965	0.1790217881951413	0.34471998912489993	0.3562651201211395	0.2956837056086742	0.3701103567937123	0.43114877341696267	0.41533178603873644	0.7342395175247174	0.5957914648111219	0.2593290846144933	0.30642206016825324	0.33541806905867977	0.36310205460277667	0.2854933225625937	0.2283040267725268
S18H1	0.21417626681030838	0.20446724397337826	0.15626927193800458	0.0726430838995965	0.0	0.1993867535994659	0.3650849545292245	0.37663008552546406	0.3160486710129987	0.3904753221980368	0.4515137388212873	0.4356967514430611	0.754604482929042	0.6161564302154464	0.27969405001881786	0.3267870255725779	0.3557830344630044	0.3834670200071013	0.3058582879669183	0.2486689921768514
31219	0.1519903387501084	0.14228131591317827	0.11322496506392822	0.1790217881951413	0.1993867535994659	0.0	0.30289902646902456	0.3144441574652641	0.25386274295279876	0.32828939413783687	0.3893278107610873	0.37351082338286107	0.692418554868842	0.5539705021552465	0.21750812195861788	0.26460109751237787	0.2935971064028044	0.3212810919469013	0.2436723599067183	0.18648306411665141
530451	0.3029628559777026	0.29325383314077247	0.27892316599368683	0.34471998912489993	0.3650849545292245	0.30289902646902456	0.0	0.281907612769293	0.2667488903710354	0.37999285404946104	0.44103127067271153	0.4252142832944853	0.7441220147804662	0.6056739620668707	0.2692115818702421	0.3163045574240021	0.3453005663144286	0.3729845518585255	0.2953758198183425	0.2841718618900628
S28Hp	0.31450798697394217	0.304798964137012	0.2904682969899264	0.3562651201211395	0.37663008552546406	0.3144441574652641	0.281907612769293	0.0	0.27829402136727494	0.3915379850457006	0.4525764016689511	0.43675941429072485	0.7556671457767058	0.6172190930631103	0.28075671286648163	0.32784968842024165	0.3568456973106682	0.3845296828547651	0.30692095081458204	0.2957169928863024
530394	0.2539265724614769	0.24421754962454673	0.22988688247746109	0.2956837056086742	0.3160486710129987	0.25386274295279876	0.2667488903710354	0.27829402136727494	0.0	0.3309565705332353	0.39199498715648573	0.3761779997782595	0.6950857312642404	0.5566376785506449	0.22017529835401634	0.2672682739077763	0.2962642827982028	0.32394826834229973	0.24633953630211675	0.23513557837383706
S23Hp	0.328353223646515	0.31864420080958483	0.3043135336624992	0.3701103567937123	0.3904753221980368	0.32828939413783687	0.37999285404946104	0.3915379850457006	0.3309565705332353	0.0	0.3937582311992375	0.3779412438210112	0.6968489753069922	0.5584009225933966	0.2527804503470431	0.29987342590080307	0.3484411930458908	0.3761251785899877	0.2985164465498047	0.30956222955887513
