	530075	S21H1	S31Hp	530177	530444	S9H1	530167	F29H1	F14H1A	S19H1	31750	S25Hp	S2Hp	F23HpA	31537	S3Hp	F14H1B	s24H1	31236	F6H1	S26Hp	S1Hp	S7Hp	31300	31009	S10H1	31232	31360
530075	0.0	0.0907769558653285	0.1086329113019058	0.16835168316955043	0.1738606782864268	0.1681885989681388	0.18929150419021595	0.20811454791725015	0.21854827239458888	0.21348977068019928	0.28891117341605704	0.27230334748630486	0.33593822239319254	0.34096487517422747	0.3708358415976906	0.4456565129317437	0.3862836699419675	0.37539591134448236	0.27419884991455273	0.3009290353438423	0.285121579791483	0.3326859286650304	0.6714546705216944	0.28898847813307643	0.25713056636458553	0.2579704011508239	0.28337340697808083	0.09245068819551122
S21H1	0.0907769558653285	0.0	0.07001558403430037	0.129734355901945	0.13524335101882135	0.15519159744513178	0.17629450266720892	0.1951175463942431	0.20555127087158181	0.20049276915719222	0.27591417189305	0.2593063459632978	0.3229412208701855	0.32796787365122043	0.3578388400746836	0.43265951140873665	0.37328666841896047	0.3623989098214753	0.2612018483915457	0.28793203382083526	0.27212457826847597	0.31968892714202335	0.6584576689986874	0.2759914766100694	0.2441335648415785	0.2449733996278169	0.2703764054550738	0.10209944028471221
S31Hp	0.1086329113019058	0.07001558403430037	0.0	0.10550336198195646	0.14360967395167784	0.1730475528817091	0.19415045810378623	0.21297350183082042	0.22340722630815912	0.21834872459376953	0.2937701273296273	0.27716230139987513	0.3407971763067628	0.34582382908779774	0.3756947955112609	0.45051546684531396	0.3911426238555378	0.38025486525805263	0.279057803828123	0.3057879892574126	0.2899805337050533	0.33754488257860066	0.6763136244352648	0.2938474320466467	0.2619895202781558	0.2628293550643942	0.2882323608916511	0.11995539572128952
530177	0.16835168316955043	0.129734355901945	0.10550336198195646	0.0	0.20332844581932247	0.2327663247493537	0.2538692299714308	0.27269227369846505	0.28312599817580375	0.27806749646141415	0.3534888991972719	0.3368810732675197	0.40051594817440744	0.40554260095544237	0.4354135673789055	0.5102342387129586	0.4508613957231824	0.43997363712569726	0.3387765756957676	0.3655067611250572	0.3496993055726979	0.3972636544462453	0.7360323963029094	0.3535662039142913	0.32170829214580043	0.3225481269320388	0.3479511327592957	0.17967416758893415
530444	0.1738606782864268	0.13524335101882135	0.14360967395167784	0.20332844581932247	0.0	0.23827531986623007	0.2593782250883072	0.2782012688153414	0.2886349932926801	0.2835764915782905	0.3589978943141483	0.3423900683843961	0.4060249432912838	0.4110515960723187	0.4409225624957819	0.515743233829835	0.45637039084005876	0.4454826322425736	0.344285570812644	0.37101575624193356	0.35520830068957426	0.40277264956312164	0.7415413914197857	0.3590751990311677	0.3272172872626768	0.3280571220489152	0.3534601278761721	0.1851831627058105
S9H1	0.1681885989681388	0.15519159744513178	0.1730475528817091	0.2327663247493537	0.23827531986623007	0.0	0.22258599630262754	0.24140904002966174	0.2518427645070005	0.24678426279261087	0.32220566552846863	0.30559783959871645	0.3692327145056042	0.3742593672866391	0.40413033371010226	0.47895100504415533	0.41957816205437914	0.408690403456894	0.3074933420269643	0.33422352745625394	0.3184160719038946	0.36598042077744203	0.704749162634106	0.322282970245488	0.2904250584769971	0.2912648932632355	0.3166678990904924	0.17951108338752253
530167	0.18929150419021595	0.17629450266720892	0.19415045810378623	0.2538692299714308	0.2593782250883072	0.22258599630262754	0.0	0.24844899837576312	0.2588827228531019	0.2538242211387123	0.32924562387457	0.31263779794481783	0.37627267285170557	0.3812993256327405	0.41117029205620365	0.4859909633902567	0.4266181204004805	0.4157303618029954	0.3145333003730657	0.3412634858023553	0.325456030249996	0.3730203791235434	0.7117891209802074	0.3293229285915894	0.2974650168230985	0.2983048516093369	0.3237078574365938	0.20061398860959967
F29H1	0.20811454791725015	0.1951175463942431	0.21297350183082042	0.27269227369846505	0.2782012688153414	0.24140904002966174	0.24844899837576312	0.0	0.13913386752612533	0.13407536581173574	0.2794924093866437	0.26288458345689153	0.32651945836377927	0.33154611114481425	0.36141707756827735	0.4362377489023304	0.3768649059125542	0.3659771473150691	0.2647800858851394	0.29151027131442897	0.2757028157620697	0.3232671646356171	0.6620359064922812	0.2795697141036631	0.2477118023351722	0.2485516371214106	0.2739546429486675	0.21943703233663386
F14H1A	0.21854827239458888	0.20555127087158181	0.22340722630815912	0.28312599817580375	0.2886349932926801	0.2518427645070005	0.2588827228531019	0.13913386752612533	0.0	0.04699850528431394	0.28992613386398247	0.2733183079342303	0.33695318284111797	0.34197983562215295	0.37185080204561605	0.44667147337966917	0.387298630389893	0.37641087179240784	0.27521381036247816	0.3019439957917677	0.2861365402394084	0.3337008891129558	0.6724696309696199	0.29000343858100186	0.2581455268125109	0.2589853615987493	0.28438836742600626	0.2298707568139726
S19H1	0.21348977068019928	0.20049276915719222	0.21834872459376953	0.27806749646141415	0.2835764915782905	0.24678426279261087	0.2538242211387123	0.13407536581173574	0.04699850528431394	0.0	0.2848676321495929	0.2682598062198407	0.3318946811267284	0.33692133390776335	0.36679230033122645	0.4416129716652796	0.3822401286755034	0.37135237007801825	0.27015530864808857	0.29688549407737813	0.2810780385250188	0.3286423873985662	0.6674111292552303	0.28494493686661226	0.2530870250981213	0.2539268598843597	0.27932986571161667	0.224812255099583
