	w32pp	w29pp	w23pp	w26pp	w11pp	w24pp	w13pp	w14pp	w27pp	w12pp	S27H1	S26Hp	F23HpA	w31pp	w3pp	f17ppB
w32pp	0.0	0.08011418084954777	0.09164035107293009	0.08242356327238898	0.12036235570831563	0.10453620949326214	0.10278329938104402	0.09305946919134031	0.09527079964256747	0.08813810002144609	1.3131464841769942	1.3609225332142114	1.3493807468427204	0.11158031473208546	0.09590335650753329	0.06686580964810182
w29pp	0.08011418084954777	0.0	0.07701660759680548	0.06779981979626437	0.10573861223219105	0.10426351095950125	0.10251060084728311	0.0927867706575794	0.09499810110880656	0.08786540148768518	1.3128737856432333	1.3606498346804505	1.3491080483089595	0.11130761619832456	0.107767934885368	0.07873038802593654
w23pp	0.09164035107293009	0.07701660759680548	0.0	0.06152757776426382	0.0994663702001905	0.11578968118288355	0.11403677107066543	0.1043129408809617	0.10652427133218886	0.0993915717110675	1.3243999558666155	1.3721760049038327	1.3606342185323417	0.12283378642170686	0.1192941051087503	0.09025655824931884
w26pp	0.08242356327238898	0.06779981979626437	0.06152757776426382	0.0	0.08946942317963422	0.10657289338234244	0.10481998327012432	0.09509615308042059	0.09730748353164775	0.09017478391052638	1.3151831680660744	1.3629592171032916	1.3514174307318005	0.11361699862116575	0.11007731730820919	0.08103977044877773
w11pp	0.12036235570831563	0.10573861223219105	0.0994663702001905	0.08946942317963422	0.0	0.14451168581826912	0.142758775706051	0.13303494551634726	0.13524627596757444	0.12811357634645304	1.353121960502001	1.4008980095392183	1.3893562231677272	0.15155579105709244	0.14801610974413587	0.1189785628847044
w24pp	0.10453620949326214	0.10426351095950125	0.11578968118288355	0.10657289338234244	0.14451168581826912	0.0	0.09790391143885208	0.08818008124914836	0.09039141170037554	0.09422309421754291	1.3216250036288182	1.3694010526660354	1.3578592662945443	0.12005883418390959	0.13218996352908235	0.10315241666965091
w13pp	0.10278329938104402	0.10251060084728311	0.11403677107066543	0.10481998327012432	0.142758775706051	0.09790391143885208	0.0	0.05725238669391822	0.07463848048275751	0.09247018410532476	1.3198720935166	1.3676481425538172	1.3561063561823261	0.11830592407169144	0.13043705341686423	0.10139950655743278
w14pp	0.09305946919134031	0.0927867706575794	0.1043129408809617	0.09509615308042059	0.13303494551634726	0.08818008124914836	0.05725238669391822	0.0	0.0649146502930538	0.08274635391562105	1.3101482633268964	1.3579243123641136	1.3463825259926225	0.10858209388198772	0.12071322322716052	0.09167567636772907
w27pp	0.09527079964256747	0.09499810110880656	0.10652427133218886	0.09730748353164775	0.13524627596757444	0.09039141170037554	0.07463848048275751	0.0649146502930538	0.0	0.08495768436684822	1.3123595937781236	1.3601356428153408	1.3485938564438498	0.1107934243332149	0.12292455367838769	0.09388700681895623
w12pp	0.08813810002144609	0.08786540148768518	0.0993915717110675	0.09017478391052638	0.12811357634645304	0.09422309421754291	0.09247018410532476	0.08274635391562105	0.08495768436684822	0.0	1.3052268941570022	1.3530029431942194	1.3414611568227284	0.10366072471209352	0.11579185405726632	0.08675430719783486
S27H1	1.3131464841769942	1.3128737856432333	1.3243999558666155	1.3151831680660744	1.353121960502001	1.3216250036288182	1.3198720935166	1.3101482633268964	1.3123595937781236	1.3052268941570022	0.0	0.37892403402791	0.5658930904573487	1.3151080393179109	1.3408002382128144	1.3117626913533829
S26Hp	1.3609225332142114	1.3606498346804505	1.3721760049038327	1.3629592171032916	1.4008980095392183	1.3694010526660354	1.3676481425538172	1.3579243123641136	1.3601356428153408	1.3530029431942194	0.37892403402791	0.0	0.6136691394945659	1.362884088355128	1.3885762872500316	1.3595387403906
F23HpA	1.3493807468427204	1.3491080483089595	1.3606342185323417	1.3514174307318005	1.3893562231677272	1.3578592662945443	1.3561063561823261	1.3463825259926225	1.3485938564438498	1.3414611568227284	0.5658930904573487	0.6136691394945659	0.0	1.351342301983637	1.3770345008785405	1.347996954019109
w31pp	0.11158031473208546	0.11130761619832456	0.12283378642170686	0.11361699862116575	0.15155579105709244	0.12005883418390959	0.11830592407169144	0.10858209388198772	0.1107934243332149	0.10366072471209352	1.3151080393179109	1.362884088355128	1.351342301983637	0.0	0.13923406876790567	0.11019652190847423
w3pp	0.09590335650753329	0.107767934885368	0.1192941051087503	0.11007731730820919	0.14801610974413587	0.13218996352908235	0.13043705341686423	0.12071322322716052	0.12292455367838769	0.11579185405726632	1.3408002382128144	1.3885762872500316	1.3770345008785405	0.13923406876790567	0.0	0.0611400016658384
f17ppB	0.06686580964810182	0.07873038802593654	0.09025655824931884	0.08103977044877773	0.1189785628847044	0.10315241666965091	0.10139950655743278	0.09167567636772907	0.09388700681895623	0.08675430719783486	1.3117626913533829	1.3595387403906	1.347996954019109	0.11019652190847423	0.0611400016658384	0.0
