	530315	F8H1	F14H1A	31512	31750	531414	F3H1	31428	S26Hp	S19H1	F22H1A	S1Hp	S27H1	S15Hp	530368	31267	31766	31379	530167	S18H1	S16H2	S28Hp	31236	31600	530119	31519	530258	S12Hp	S21H1	31700	530451	530075	31360	530055	31009	31300	31328	31071	31452	31219	w2pp	f11pp	w19pp	f15pp	f22ppA	f14ppB	f12ppA	f29pp	w23pp	31129	f25pp	f2pp	w32pp	w29pp	w7pp	f24pp	f20ppB	f17ppA	f16ppB	f32pp	w10pp	f19pp	w26pp	31232	f22ppB	w15pp	w20pp	w1pp	f9pp	f6ppA	f16ppA	w11pp	f7pp	w8pp	w6pp	w18pp	w16pp	w12pp	w21pp	w14pp	530050	530215	w9pp	31723	530154	31021
530315	0.0	0.16979648079036302	0.17165745205301303	0.14098199406555229	0.2140779257165098	0.22865132103667268	0.21718218172983622	0.2125809872870964	0.20244304858973455	0.20852912686855662	0.21673866544220632	0.21459016219274968	0.2216381041010011	0.21710900773114467	0.23032678104416576	0.15665230603806518	0.21588036150191714	0.21197527866261334	0.22203453083577201	0.20904005835042466	0.20278956253498015	0.22145894909402192	0.21717918343576087	0.23830045817004436	0.23880000595217454	0.2400264758506988	0.18506776722579438	0.24751007708152528	0.23324001630759755	0.22492751934231547	0.25182704146725254	0.24585168380756423	0.2163257818428745	0.2345452547429397	0.1817075665188177	0.20374877313338052	0.21825787766130517	0.22312355899752306	0.2246059767044939	0.22037012988753335	0.24032521747716196	0.2527697152266593	0.2530774237860165	0.2456331000953954	0.24973898801166383	0.24346519999384547	0.2593402906597067	0.2574741958770801	0.2639022630671976	0.28318435831473	0.25569341100905735	0.27212096852330186	0.2546885283840547	0.2666880017896264	0.2500958947817649	0.24924642396531688	0.24839582960203627	0.26140397620032807	0.24704642601730975	0.25608375642591547	0.25646105306535444	0.2507078021977277	0.2543428779629721	0.2788229824455663	0.26016176338957214	0.24087881951097273	0.2415572998963822	0.2515212881173304	0.24494999516953775	0.26170349024942163	0.24694546872170375	0.24223882294126126	0.24460437646011624	0.25844860013514354	0.24423973480246658	0.23782839857880217	0.24478685131126254	0.25972328215787244	0.25697363193956424	0.2521506570388126	0.29439486985677893	0.2776810478741233	0.2608315246544399	0.28247729012587736	0.3463037513684751	0.11175441559659972
F8H1	0.16979648079036302	0.0	0.15141578129851374	0.12074032331105299	0.21313078259966037	0.22770417791982325	0.21623503861298676	0.21163384417024697	0.2014959054728851	0.2075819837517072	0.2157915223253569	0.21364301907590025	0.22069096098415167	0.21616186461429523	0.22937963792731633	0.15570516292121572	0.2149332183850677	0.21102813554576388	0.22108738771892256	0.20809291523357523	0.20184241941813072	0.2205118059771725	0.21623204031891144	0.2373533150531949	0.2378528628353251	0.23907933273384935	0.18412062410894495	0.24656293396467585	0.23229287319074812	0.22398037622546602	0.2508798983504031	0.24490454069071477	0.21537863872602506	0.23359811162609023	0.18076042340196824	0.20280163001653106	0.21731073454445574	0.22217641588067363	0.22365883358764446	0.21942298677068392	0.2393780743603125	0.25182257210980985	0.2521302806691671	0.24468595697854595	0.2487918448948144	0.242518056876996	0.25839314754285725	0.2565270527602307	0.26295511995034815	0.2822372151978806	0.2547462678922079	0.2711738254064524	0.25374138526720524	0.26574085867277697	0.24914875166491546	0.24829928084846742	0.2474486864851868	0.2604568330834786	0.2460992829004603	0.255136613309066	0.255513909948505	0.24976065908087824	0.25339573484612266	0.27787583932871684	0.2592146202727227	0.23993167639412327	0.24061015677953276	0.2505741450004809	0.24400285205268832	0.26075634713257223	0.24599832560485432	0.2412916798244118	0.24365723334326678	0.2575014570182941	0.24329259168561712	0.2368812554619527	0.2438397081944131	0.258776139041023	0.2560264888227148	0.25120351392196316	0.29344772673992947	0.2767339047572739	0.2598843815375904	0.2815301470090279	0.3453566082516256	0.1645303722304832
F14H1A	0.17165745205301303	0.15141578129851374	0.0	0.10128436348665013	0.21499175386231037	0.22956514918247325	0.21809600987563676	0.21349481543289697	0.2033568767355351	0.2094429550143572	0.2176524935880069	0.21550399033855025	0.22255193224680167	0.21802283587694524	0.23124060918996633	0.15756613418386572	0.2167941896477177	0.21288910680841389	0.22294835898157256	0.20995388649622523	0.20370339068078072	0.2223727772398225	0.21809301158156144	0.2392142863158449	0.23971383409797511	0.24094030399649935	0.18598159537159495	0.24842390522732585	0.23415384445339812	0.22584134748811602	0.2527408696130531	0.24676551195336477	0.21723960998867506	0.23545908288874023	0.18262139466461824	0.20466260127918107	0.21917170580710574	0.22403738714332364	0.22551980485029446	0.22128395803333392	0.2412390456229625	0.2536835433724599	0.25399125193181704	0.24654692824119595	0.2506528161574644	0.24437902813964602	0.2602541188055073	0.25838802402288064	0.2648160912129982	0.28409818646053053	0.2566072391548579	0.2730347966691024	0.2556023565298553	0.267601829935427	0.25100972292756546	0.2501602521111174	0.2493096577478368	0.2623178043461286	0.2479602541631103	0.256997584571716	0.257374881211155	0.25162163034352825	0.25525670610877266	0.2797368105913669	0.2610755915353727	0.24179264765677327	0.24247112804218277	0.252435116263131	0.24586382331533832	0.2626173183952222	0.24785929686750433	0.2431526510870618	0.24551820460591678	0.25936242828094414	0.24515356294826712	0.2387422267246027	0.24570067945706311	0.260637110303673	0.2578874600853648	0.25306448518461316	0.29530869800257953	0.27859487601992383	0.2617453528002404	0.2833911182716779	0.34721757951427556	0.1663913434931332
31512	0.14098199406555229	0.12074032331105299	0.10128436348665013	0.0	0.18431629587484963	0.1988896911950125	0.18742055188817602	0.18281935744543623	0.17268141874807436	0.17876749702689645	0.18697703560054615	0.1848285323510895	0.19187647425934093	0.1873473778894845	0.2005651512025056	0.12689067619640498	0.18611873166025697	0.18221364882095314	0.19227290099411182	0.1792784285087645	0.17302793269331998	0.19169731925236175	0.1874175535941007	0.20853882832838416	0.20903837611051437	0.2102648460090386	0.1553061373841342	0.2177484472398651	0.20347838646593738	0.19516588950065528	0.22206541162559235	0.21609005396590403	0.18656415200121432	0.2047836249012795	0.1519459366771575	0.17398714329172035	0.188496247819645	0.1933619291558629	0.19484434686283372	0.19060850004587318	0.21056358763550176	0.22300808538499914	0.22331579394435633	0.2158714702537352	0.21997735817000366	0.21370357015218527	0.22957866081804654	0.22771256603541992	0.23414063322553744	0.25342272847306985	0.22593178116739715	0.24235933868164167	0.22492689854239453	0.23692637194796626	0.22033426494010472	0.21948479412365668	0.21863419976037607	0.23164234635866787	0.21728479617564955	0.22632212658425527	0.22669942322369424	0.2209461723560675	0.22458124812131192	0.24906135260390613	0.23040013354791194	0.21111718966931253	0.21179567005472202	0.2217596582756702	0.21518836532787758	0.23194186040776146	0.21718383888004358	0.21247719309960106	0.21484274661845604	0.22868697029348337	0.21447810496080638	0.20806676873714197	0.21502522146960237	0.22996165231621224	0.22721200209790404	0.22238902719715242	0.2646332400151188	0.24791941803246312	0.23106989481277967	0.25271566028421716	0.3165421215268149	0.13571588550567248
31750	0.2140779257165098	0.21313078259966037	0.21499175386231037	0.18431629587484963	0.0	0.21233785764983942	0.2008687183430029	0.1962675239002631	0.18612958520290124	0.20264331132165925	0.21085284989530895	0.2087043466458523	0.21575228855410372	0.21122319218424726	0.22444096549726839	0.16005874992571464	0.21928680538956663	0.2153817225502628	0.22544097472342148	0.21244650223807415	0.20619600642262964	0.2248653929816714	0.22058562732341036	0.24170690205769382	0.24220644983982403	0.24343291973834827	0.18847421111344387	0.25091652096917477	0.23664646019524704	0.22833396322996496	0.255233485354902	0.2492581276952137	0.21973222573052398	0.23795169863058915	0.18511401040646716	0.20715521702103	0.22166432154895466	0.22653000288517255	0.22801242059214338	0.22377657377518284	0.24373166136481142	0.2561761591143088	0.256483867673666	0.24903954398304487	0.2531454318993133	0.24687164388149493	0.2627467345473562	0.2608806397647296	0.2673087069548471	0.2865908022023795	0.25909985489670684	0.27552741241095136	0.2580949722717042	0.2700944456772759	0.2535023386694144	0.25265286785296637	0.25180227348968576	0.2648104200879775	0.2504528699049592	0.25949020031356496	0.25986749695300393	0.25411424608537714	0.2577493218506216	0.2822294263332158	0.26356820727722163	0.2442852633986222	0.24496374378403168	0.25492773200497987	0.24835643905718724	0.2651099341370711	0.25035191260935324	0.24564526682891072	0.2480108203477657	0.261855044022793	0.24764617869011604	0.24123484246645163	0.24819329519891203	0.2631297260455219	0.2603800758272137	0.2555571009264621	0.2978013137444284	0.2810874917617728	0.26423796854208936	0.28588373401352685	0.3497101952561245	0.20881181715663
531414	0.22865132103667268	0.22770417791982325	0.22956514918247325	0.1988896911950125	0.21233785764983942	0.0	0.07110432759250998	0.17650911326888025	0.18111228227837034	0.21721670664182213	0.22542624521547183	0.2232777419660152	0.2303256838742666	0.22579658750441017	0.23901436081743127	0.17463214524587753	0.23386020070972952	0.22995511787042572	0.2400143700435844	0.22701989755823707	0.22076940174279255	0.2394387883018343	0.23515902264357325	0.25628029737785674	0.2567798451599869	0.2580063150585112	0.20304760643360678	0.26548991628933766	0.25121985551540993	0.24290735855012785	0.2698068806750649	0.2638315230153766	0.23430562105068686	0.25252509395075207	0.19968740572663007	0.2217286123411929	0.23623771686911757	0.24110339820533544	0.2425858159123063	0.23834996909534573	0.25830505668497433	0.2707495544344717	0.2710572629938289	0.2636129393032078	0.2677188272194762	0.26144503920165785	0.2773201298675191	0.27545403508489247	0.28188210227501	0.30116419752254237	0.2736732502168697	0.29010080773111424	0.2726683675918671	0.2846678409974388	0.2680757339895773	0.26722626317312925	0.26637566880984864	0.27938381540814045	0.2650262652251221	0.27406359563372784	0.2744408922731668	0.2686876414055401	0.2723227171707845	0.2968028216533787	0.2781416025973845	0.2588586587187851	0.25953713910419457	0.26950112732514275	0.2629298343773501	0.279683329457234	0.26492530792951613	0.26021866214907363	0.2625842156679286	0.2764284393429559	0.26221957401027896	0.25580823778661455	0.2627666905190749	0.2777031213656848	0.2749534711473766	0.270130496246625	0.3123747090645913	0.29566088708193566	0.27881136386225225	0.30045712933368973	0.3642835905762874	0.22338521247679288
F3H1	0.21718218172983622	0.21623503861298676	0.21809600987563676	0.18742055188817602	0.2008687183430029	0.07110432759250998	0.0	0.16503997396204373	0.16964314297153388	0.20574756733498564	0.21395710590863534	0.2118086026591787	0.21885654456743012	0.21432744819757366	0.22754522151059478	0.16316300593904104	0.22239106140289305	0.2184859785635892	0.22854523073674787	0.21555075825140058	0.20930026243595606	0.22796964899499783	0.22368988333673678	0.24481115807102022	0.24531070585315046	0.24653717575167466	0.1915784671267703	0.2540207769825012	0.23975071620857347	0.23143821924329136	0.2583377413682284	0.2523623837085401	0.2228364817438504	0.24105595464391555	0.18821826641979356	0.21025947303435644	0.22476857756228108	0.22963425889849898	0.2311166766054698	0.22688082978850926	0.24683591737813781	0.2592804151276352	0.2595881236869924	0.25214379999637127	0.25624968791263975	0.24997589989482133	0.2658509905606826	0.263984895778056	0.2704129629681735	0.2896950582157059	0.2622041109100332	0.2786316684242777	0.2611992282850306	0.27319870169060234	0.2566065946827408	0.25575712386629273	0.2549065295030121	0.26791467610130393	0.2535571259182856	0.2625944563268913	0.2629717529663303	0.25721850209870356	0.26085357786394797	0.2853336823465422	0.266672463290548	0.2473895194119486	0.2480679997973581	0.2580319880183063	0.25146069507051366	0.26821419015039755	0.25345616862267967	0.24874952284223711	0.2511150763610921	0.26495930003611945	0.25075043470344244	0.24433909847977803	0.25129755121223846	0.2662339820588483	0.2634843318405401	0.2586613569397885	0.30090556975775484	0.2841917477750992	0.26734222455541573	0.2889879900268532	0.35281445126945093	0.2119160731699564
31428	0.2125809872870964	0.21163384417024697	0.21349481543289697	0.18281935744543623	0.1962675239002631	0.17650911326888025	0.16503997396204373	0.0	0.16504194852879406	0.20114637289224585	0.20935591146589555	0.2072074082164389	0.21425535012469032	0.20972625375483386	0.222944027067855	0.15856181149630125	0.21778986696015323	0.2138847841208494	0.22394403629400808	0.21094956380866076	0.20469906799321624	0.223368454552258	0.21908868889399696	0.24020996362828043	0.24070951141041064	0.24193598130893487	0.18697727268403047	0.24941958253976138	0.23514952176583365	0.22683702480055157	0.25373654692548864	0.2477611892658003	0.21823528730111058	0.23645476020117576	0.18361707197705376	0.20565827859161662	0.22016738311954126	0.22503306445575916	0.22651548216273	0.22227963534576944	0.24223472293539802	0.2546792206848954	0.2549869292442526	0.24754260555363147	0.2516484934698999	0.24537470545208154	0.2612497961179428	0.2593837013353162	0.2658117685254337	0.2850938637729661	0.2576029164672934	0.2740304739815379	0.2565980338422908	0.2685975072478625	0.25200540024000095	0.2511559294235529	0.2503053350602723	0.26331348165856416	0.24895593147554582	0.2579932618841515	0.2583705585235905	0.2526173076559638	0.25625238342120815	0.2807324879038024	0.2620712688478082	0.2427883249692088	0.2434668053546183	0.25343079357556647	0.24685950062777384	0.2636129957076577	0.24885497417993985	0.24414832839949732	0.2465138819183523	0.26035810559337963	0.24614924026070265	0.23973790403703824	0.24669635676949864	0.26163278761610853	0.25888313739780033	0.25406016249704866	0.296304375315015	0.2795905533323594	0.2627410301126759	0.2843867955841134	0.3482132568267111	0.2073148787272166
S26Hp	0.20244304858973455	0.2014959054728851	0.2033568767355351	0.17268141874807436	0.18612958520290124	0.18111228227837034	0.16964314297153388	0.16504194852879406	0.0	0.19100843419488395	0.19921797276853365	0.197069469519077	0.20411741142732842	0.199588315057472	0.21280608837049309	0.14842387279893937	0.20765192826279136	0.20374684542348753	0.2138060975966462	0.2008116251112989	0.1945611292958544	0.21323051585489614	0.2089507501966351	0.23007202493091855	0.23057157271304876	0.231798042611573	0.17683933398666862	0.2392816438423995	0.22501158306847177	0.21669908610318966	0.24359860822812673	0.23762325056843842	0.2080973486037487	0.22631682150381388	0.1734791332796919	0.19552033989425474	0.2100294444221794	0.21489512575839728	0.21637754346536814	0.21214169664840757	0.23209678423803615	0.24454128198753353	0.24484899054689072	0.2374046668562696	0.24151055477253805	0.23523676675471966	0.25111185742058095	0.2492457626379543	0.25567382982807185	0.2749559250756042	0.24746497776993154	0.26389253528417606	0.24646009514492892	0.2584595685505007	0.2418674615426391	0.24101799072619107	0.24016739636291046	0.25317554296120226	0.23881799277818394	0.24785532318678966	0.24823261982622863	0.2424793689586019	0.2461144447238463	0.27059454920644055	0.25193333015044633	0.23265038627184692	0.2333288666572564	0.2432928548782046	0.23672156193041197	0.2534750570102958	0.23871703548257797	0.23401038970213545	0.23637594322099043	0.2502201668960178	0.23601130156334077	0.22959996533967636	0.23655841807213676	0.2514948489187466	0.24874519870043843	0.2439222237996868	0.2861664366176532	0.2694526146349975	0.25260309141531406	0.27424885688675155	0.3380753181293492	0.19717694002985472
S19H1	0.20852912686855662	0.2075819837517072	0.2094429550143572	0.17876749702689645	0.20264331132165925	0.21721670664182213	0.20574756733498564	0.20114637289224585	0.19100843419488395	0.0	0.17999676484621918	0.17784826159676254	0.2028152745278279	0.19828617815797145	0.21150395147099257	0.15450995107776147	0.21373800654161346	0.20983292370230966	0.21989217587546833	0.206897703390121	0.2006472075746765	0.21931659413371823	0.2150368284754572	0.23615810320974068	0.23665765099187086	0.23788412089039512	0.18292541226549072	0.2453677221212216	0.23109766134729387	0.2227851643820118	0.24968468650694886	0.24370932884726054	0.2141834268825708	0.232402899782636	0.17956521155851402	0.20160641817307684	0.2161155227010015	0.22098120403721938	0.22246362174419024	0.21822777492722967	0.23818286251685827	0.2506273602663556	0.2509350688257128	0.24349074513509172	0.24759663305136015	0.2413228450335418	0.257197935699403	0.2553318409167764	0.2617599081068939	0.2810420033544263	0.25355105604875366	0.2699786135629982	0.252546173423751	0.26454564682932274	0.24795353982146123	0.2471040690050132	0.24625347464173258	0.2592616212400244	0.24490407105700607	0.2539414014656118	0.25431869810505076	0.24856544723742402	0.25220052300266843	0.2766806274852626	0.25801940842926846	0.23873646455066905	0.2394149449360785	0.2493789331570267	0.24280764020923407	0.25956113528911795	0.24480311376140007	0.24009646798095757	0.24246202149981255	0.25630624517483985	0.2420973798421629	0.2356860436184985	0.24264449635095886	0.25758092719756875	0.25483127697926056	0.25000830207850894	0.29225251489647525	0.2755386929138196	0.2586891696941362	0.2803349351655737	0.34416139640817134	0.20326301830867682
