	F22HpB	S17H1	530055	531424	S27H1	530451	31236	S15Hp	S3Hp	S21H1	31232	S28Hp	F22H1A	530050	S30H1	S31Hp	S7Hp	F8H1	S29H1	S19H1	w11pp	w2pp	s24H1	S10H1	F23HpA	F1H1	530394	S1Hp	F32H1	S9H1	F6H1	S22Hp	31328	S16H2	F14H1A	530075	31071	F3H1	S26Hp
F22HpB	0.0	0.19774422986677048	0.20804797523243718	0.2690482470351021	0.2185207981732013	0.2654700303480645	0.2845468600200554	0.20917945756985407	0.2297478135006526	0.21530724706592946	0.2787614189467419	0.2421887222436706	0.47810983312482136	0.4335949646661185	0.47202700661911756	0.19326651051400529	0.20371063299159065	0.21234225126534217	0.2716612192594283	0.286142171922232	0.2741810076399463	0.32195468793513854	0.2496177938900907	0.2883607235269057	0.2894793693139388	0.21008999935399675	0.22518161768379014	0.20119945481165752	0.20162965759699586	0.19295066635423763	0.20312616220347718	0.1962878787127787	0.23670780633783345	0.16486592525845717	0.14072399608475916	0.14639844231926136	0.1983964852823023	0.10667245387467107	0.13100604364113766
S17H1	0.19774422986677048	0.0	0.15291676930611742	0.21391704110878235	0.20297339847566231	0.24992263065052547	0.28368127940596244	0.2083138769557611	0.22888223288655962	0.21444166645183646	0.27789583833264886	0.24132314162957763	0.47724425251072833	0.4327293840520255	0.47116142600502453	0.19240092989991228	0.20284505237749767	0.21147667065124914	0.2707956386453353	0.28527659130813904	0.2733154270258533	0.32108910732104556	0.24875221327599772	0.28749514291281275	0.28861378869984583	0.22506755713681675	0.2401591754666102	0.21617701259447758	0.22605182101518623	0.217372829772428	0.22754832562166752	0.22071004213096906	0.26112996975602376	0.2071701708947918	0.18302824172109383	0.188702687955596	0.24070073091863695	0.14897669951100573	0.18942845480416398
530055	0.20804797523243718	0.15291676930611742	0.0	0.1769372088729958	0.213277143841329	0.26022637601619214	0.29398502477162913	0.21861762232142778	0.23918597825222632	0.22474541181750315	0.28819958369831555	0.2516268869952443	0.487547997876395	0.4430331294176922	0.4814651713706912	0.20270467526557898	0.21314879774316436	0.22178041601691584	0.281099384011002	0.29558033667380573	0.28361917239152	0.33139285268671226	0.2590559586416644	0.29779888827847945	0.2989175340655125	0.23537130250248345	0.2504629208322769	0.22648075796014427	0.23635556638085292	0.2276765751380947	0.2378520709873342	0.23101378749663576	0.27143371512169046	0.2174739162604585	0.19333198708676053	0.1990064333212627	0.25100447628430367	0.15928044487667242	0.19973220016983068
531424	0.2690482470351021	0.21391704110878235	0.1769372088729958	0.0	0.27427741564399394	0.3212266478188571	0.35498529657429406	0.2796178941240927	0.30018625005489125	0.28574568362016806	0.34919985550098054	0.31262715879790925	0.54854826967906	0.5040334012203571	0.5424654431733562	0.2637049470682439	0.2741490695458293	0.28278068781958077	0.34209965581366697	0.35658060847647066	0.34461944419418494	0.39239312448937724	0.32005623044432935	0.3587991600811444	0.35991780586817745	0.2963715743051484	0.3114631926349418	0.2874810297628092	0.29735583818351785	0.2886768469407596	0.29885234278999917	0.2920140592993007	0.33243398692435544	0.2784741880631234	0.25433225888942546	0.26000670512392765	0.31200474808696854	0.22028071667933735	0.2607324719724956
S27H1	0.2185207981732013	0.20297339847566231	0.213277143841329	0.27427741564399394	0.0	0.2499706045966686	0.30445784771239326	0.2290904452621919	0.24965880119299044	0.23521823475826728	0.2986724066390797	0.26209970993600845	0.49802082081715915	0.4535059523584563	0.49193799431145535	0.2131774982063431	0.2236216206839285	0.23225323895767996	0.2915722069517661	0.30605315961456986	0.29409199533228414	0.3418656756274764	0.26952878158242854	0.30827171121924357	0.30939035700627665	0.24584412544324757	0.260935743773041	0.2369535809009084	0.24682838932161705	0.23814939807885882	0.24832489392809834	0.24148661043739988	0.2819065380624546	0.22794673920122263	0.20380481002752465	0.20947925626202682	0.2614772992250678	0.16975326781743655	0.2102050231105948
530451	0.2654700303480645	0.24992263065052547	0.26022637601619214	0.3212266478188571	0.2499706045966686	0.0	0.3514070798872564	0.27603967743705504	0.2966080333678536	0.28216746693313044	0.34562163881394287	0.30904894211087164	0.5449700529920223	0.5004551845333195	0.5388872264863185	0.26012673038120626	0.2705708528587917	0.27920247113254315	0.3385214391266293	0.35300239178943305	0.34104122750714727	0.38881490780233957	0.3164780137572917	0.3552209433941067	0.35633958918113984	0.29279335761811076	0.3078849759479042	0.28390281307577153	0.29377762149648023	0.28509863025372195	0.2952741261029615	0.288435842612263	0.32885577023731777	0.2748959713760858	0.2507540422023878	0.25642848843689	0.3084265313999309	0.2167024999922997	0.25715425528545793
31236	0.2845468600200554	0.28368127940596244	0.29398502477162913	0.35498529657429406	0.30445784771239326	0.3514070798872564	0.0	0.23143806754247995	0.2685537214991993	0.2541131550644761	0.31756732694528855	0.2809946302422173	0.5415162410412215	0.4970013725825187	0.5354334145355177	0.25667291843040546	0.2671170409079909	0.27574865918174235	0.3350676271758285	0.34954857983863225	0.3375874155563465	0.38536109585153877	0.31302420180649093	0.35176713144330596	0.35288577723033904	0.3118701872901017	0.32696180561989513	0.3029796427477625	0.31285445116847116	0.30417545992571293	0.3143509557749524	0.307512672284254	0.3479325999093087	0.29397280104807677	0.26983087187437876	0.2755053181088809	0.3275033610719219	0.23577932966429066	0.2762310849574489
S15Hp	0.20917945756985407	0.2083138769557611	0.21861762232142778	0.2796178941240927	0.2290904452621919	0.27603967743705504	0.23143806754247995	0.0	0.19318631904899794	0.17874575261427478	0.2421999244950872	0.20562722779201592	0.4661488385910202	0.4216339701323173	0.4600660120853164	0.1813055159802041	0.19174963845778947	0.20038125673154097	0.25970022472562715	0.27418117738843084	0.2622200131061452	0.3099936934013374	0.23765679935628956	0.2763997289931046	0.27751837478013763	0.23650278483990034	0.2515944031696938	0.22761224029756114	0.2374870487182698	0.22880805747551158	0.23898355332475107	0.23214526983405262	0.27256519745910734	0.2186053985978754	0.19446346942417742	0.20013791565867958	0.25213595862172056	0.1604119272140893	0.20086368250724757
S3Hp	0.2297478135006526	0.22888223288655962	0.23918597825222632	0.30018625005489125	0.24965880119299044	0.2966080333678536	0.2685537214991993	0.19318631904899794	0.0	0.11823990944815946	0.23002230480789698	0.1934496081048257	0.4867171945218187	0.4422023260631159	0.4806343680161149	0.20187387191100264	0.21231799438858806	0.22094961266233953	0.2802685806564257	0.29474953331922943	0.2827883690369437	0.33056204933213595	0.2582251552870881	0.29696808492390314	0.2980867307109362	0.25707114077069887	0.2721627591004923	0.2481805962283597	0.25805540464906834	0.24937641340631012	0.2595519092555496	0.2527136257648512	0.2931335533899059	0.23917375452867393	0.21503182535497595	0.22070627158947811	0.2727043145525191	0.18098028314488784	0.2214320384380461
S21H1	0.21530724706592946	0.21444166645183646	0.22474541181750315	0.28574568362016806	0.23521823475826728	0.28216746693313044	0.2541131550644761	0.17874575261427478	0.11823990944815946	0.0	0.21558173837317382	0.17900904167010254	0.47227662808709553	0.4277617596283927	0.46619380158139173	0.18743330547627948	0.19787742795386487	0.20650904622761634	0.26582801422170255	0.28030896688450624	0.2683478026022205	0.3161214828974128	0.24378458885236493	0.28252751848917995	0.28364616427621303	0.24263057433597573	0.2577221926657691	0.2337400297936365	0.2436148382143452	0.23493584697158695	0.24511134282082647	0.238273059330128	0.27869298695518274	0.22473318809395076	0.20059125892025276	0.20626570515475495	0.2582637481177959	0.16653971671016468	0.20699147200332293
