	w1pp	w23pp	f19pp	w14pp	S18H1	S19H1	F3H1	S3Hp	S23Hp	S30H1	S25Hp	S16H2	S1Hp	F14H1A	S17H1	S13Hp	F22H1A	w32pp	w3pp	w10pp	w16pp	w29pp	f24pp	w17pp	s28pp	f20ppA	f12ppB	w24pp	w11pp	w8pp	f2pp	w19pp	w26pp
w1pp	0.0	0.09730913589703058	0.09762234431269823	0.12155086392449593	0.3741615932333974	0.38436119680233827	0.5021398610226531	0.515430441722357	0.5004061844251475	0.4520150589512115	0.5157774742403218	0.5616885785939978	0.3981635499215874	0.40389733768020925	0.6469465994948033	0.4544528795011066	0.4570549993849995	0.12053120092487069	0.11146656192934917	0.1083614395561375	0.1246878363143328	0.11150347090715995	0.12773355885880672	0.14218573809148544	0.13624857452414457	0.13435995722085528	0.12829831578005632	0.0938349071503718	0.10394710311019684	0.09850241266109683	0.08384948374287683	0.12884108961723684	0.08513544405063553
w23pp	0.09730913589703058	0.0	0.05621992874443339	0.08014844835623111	0.3417876176125942	0.351987221181535	0.4697658854018498	0.4830564661015537	0.4680322088043442	0.4196410833304083	0.4834034986195186	0.5293146029731945	0.3657895743007842	0.371523362059406	0.614572623874	0.42207890388030334	0.42468102376419625	0.09536788889688132	0.08630324990135982	0.08319812752814815	0.09952452428634342	0.09512947792273349	0.11135956587438026	0.12581174510705898	0.11987458153971811	0.11798596423642882	0.11192432279562986	0.07746091416594533	0.08757311012577038	0.08212841967667037	0.06747549075845037	0.11246709663281038	0.06876145106620907
f19pp	0.09762234431269823	0.05621992874443339	0.0	0.05876888947042702	0.3421008260282618	0.35230042959720265	0.47007909381751745	0.48336967451722135	0.46834541722001183	0.4199542917460759	0.4837167070351862	0.5296278113888622	0.3661027827164518	0.3718365704750736	0.6148858322896676	0.42239211229597096	0.4249942321798639	0.09568109731254895	0.08661645831702745	0.08351133594381578	0.09983773270201107	0.09544268633840114	0.1116727742900479	0.12612495352272662	0.12018778995538576	0.11829917265209647	0.1122375312112975	0.07777412258161298	0.08788631854143802	0.08244162809233802	0.067788699174118	0.11278030504847802	0.0690746594818767
w14pp	0.12155086392449593	0.08014844835623111	0.05876888947042702	0.0	0.3660293456400595	0.37622894920900035	0.49400761342931515	0.5072981941290191	0.49227393683180953	0.4438828113578736	0.507645226646984	0.5535563310006599	0.3900313023282495	0.39576509008687133	0.6388143519014653	0.44632063190776866	0.4489227517916616	0.11960961692434666	0.11054497792882516	0.10743985555561349	0.12376625231380878	0.11937120595019884	0.1356012939018456	0.15005347313452433	0.14411630956718346	0.14222769226389417	0.13616605082309519	0.10170264219341069	0.11181483815323573	0.10637014770413572	0.09171721878591571	0.13670882466027573	0.0930031790936744
S18H1	0.3741615932333974	0.3417876176125942	0.3421008260282618	0.3660293456400595	0.0	0.19622376789157164	0.34503088687157873	0.35832146757128264	0.3432972102740731	0.2949060848001372	0.3586685000892475	0.40457960444292346	0.24105457577051304	0.2467883635291349	0.48983762534372893	0.29734390535003224	0.2999460252339251	0.3722203462332481	0.3631557072377266	0.36005058486451497	0.37637698162271027	0.37198193525910034	0.3882120232107471	0.4026642024434258	0.39672703887608496	0.3948384215727957	0.3887767801319967	0.3543133715023122	0.3644255674621372	0.3589808770130372	0.34432794809481726	0.3893195539691772	0.34561390840257594
S19H1	0.38436119680233827	0.351987221181535	0.35230042959720265	0.37622894920900035	0.19622376789157164	0.0	0.3552304904405196	0.3685210711402235	0.3534968138430139	0.30510568836907803	0.36886810365818834	0.4147792080118643	0.2512541793394539	0.2569879670980757	0.5000372289126698	0.3075435089189731	0.31014562880286595	0.38241994980218896	0.3733553108066675	0.3702501884334558	0.3865765851916511	0.3821815388280412	0.39841162677968794	0.41286380601236666	0.4069266424450258	0.4050380251417365	0.3989763837009375	0.364512975071253	0.37462517103107806	0.36918048058197805	0.35452755166375804	0.39951915753811806	0.3558135119715168
F3H1	0.5021398610226531	0.4697658854018498	0.47007909381751745	0.49400761342931515	0.34503088687157873	0.3552304904405196	0.0	0.18643641660610052	0.3342660126028401	0.33638348650328875	0.40014590179239906	0.446057006146075	0.3259460148822947	0.33167980264091657	0.5747290644555106	0.38223534446181395	0.38483746434570676	0.5001986140225038	0.4911339750269823	0.4880288526537706	0.5043552494119659	0.499960203048356	0.5161902910000027	0.5306424702326815	0.5247053066653407	0.5228166893620513	0.5167550479212524	0.4822916392915678	0.49240383525139286	0.48695914480229285	0.47230621588407284	0.5172978217584329	0.4735921761918316
S3Hp	0.515430441722357	0.4830564661015537	0.48336967451722135	0.5072981941290191	0.35832146757128264	0.3685210711402235	0.18643641660610052	0.0	0.34755659330254407	0.3496740672029927	0.413436482492103	0.4593475868457789	0.33923659558199865	0.34497038334062047	0.5880196451552145	0.39552592516151786	0.3981280450454107	0.5134891947222077	0.5044245557266862	0.5013194333534745	0.5176458301116698	0.5132507837480599	0.5294808716997066	0.5439330509323854	0.5379958873650446	0.5361072700617552	0.5300456286209563	0.4955822199912717	0.5056944159510968	0.5002497255019968	0.48559679658377675	0.5305884024581368	0.4868827568915355
S23Hp	0.5004061844251475	0.4680322088043442	0.46834541722001183	0.49227393683180953	0.3432972102740731	0.3534968138430139	0.3342660126028401	0.34755659330254407	0.0	0.3346498099057832	0.3984122251948935	0.4443233295485694	0.3242123382847891	0.32994612604341095	0.572995387858005	0.3805016678643083	0.3831037877482012	0.49846493742499814	0.48940029842947663	0.486295176056265	0.5026215728144603	0.49822652645085036	0.5144566144024971	0.5289087936351758	0.522971630067835	0.5210830127645457	0.5150213713237467	0.4805579626940622	0.49067015865388725	0.48522546820478724	0.4705725392865673	0.5155641451609273	0.47185849959432596
S30H1	0.4520150589512115	0.4196410833304083	0.4199542917460759	0.4438828113578736	0.2949060848001372	0.30510568836907803	0.33638348650328875	0.3496740672029927	0.3346498099057832	0.0	0.30578038094338766	0.36578640090415104	0.2758212128108532	0.281555000569475	0.5246042623840691	0.3321105423903724	0.33471266227426527	0.4500738119510622	0.44100917295554076	0.43790405058232906	0.45423044734052437	0.44983540097691443	0.4660654889285612	0.4805176681612399	0.47458050459389906	0.47269188729060974	0.4666302458498108	0.4321668372201263	0.4422790331799513	0.4368343427308513	0.4221814138126313	0.4671730196869913	0.42346737412039004
