	S31Hp	S14Hp	S29H1	S10H1	F22H1A	S4Hp	F3H1	S6Hp	S27H1	S22Hp	s24H1	F8H1	F23HpA	S19H1	S7Hp	S25Hp	F16H1	S3Hp	S13Hp	F22HpB	F14H1A	S1Hp	31450	S16H2	F1H1
S31Hp	0.0	0.20323659606094985	0.28148181620852014	0.3882324153055146	0.35633842157324364	0.21078158732712599	0.19335138056713636	0.26841949203692483	0.25830380638759454	0.2788247082207538	0.3251978932721897	0.25863382771759397	0.30972868702245543	0.2900084905989481	0.248329762684792	0.30497239243275887	0.38098245456016827	0.20119632498329443	0.26480186737461886	0.20680742075081193	0.23975364965990298	0.24067569011134388	0.48314020896319904	0.4110394722297083	0.18857253229069282
S14Hp	0.20323659606094985	0.0	0.2906687459028102	0.3974193449998047	0.3655253512675337	0.2705906682401232	0.25316046148013355	0.328228572949922	0.31811288730059173	0.338633789133751	0.3850069741851868	0.31844290863059116	0.36953776793545257	0.34981757151194537	0.3081388435977892	0.36478147334575606	0.4407915354731654	0.2610054058962916	0.35259701640444	0.29460256978063315	0.3275487986897242	0.32847083914116504	0.5709353579930202	0.4988346212595295	0.276367681320514
S29H1	0.28148181620852014	0.2906687459028102	0.0	0.436989574924855	0.40509558119258404	0.34883588838769347	0.33140568162770384	0.4064737930974923	0.396358107448162	0.41687900928132127	0.4632521943327571	0.39668812877816145	0.44778298808302286	0.42806279165951566	0.3863840637453595	0.44302669349332635	0.5190367556207357	0.3392506260438619	0.4308422365520103	0.37284778992820344	0.4057940188372945	0.40671605928873533	0.6491805781405905	0.5770798414070998	0.3546129014680843
S10H1	0.3882324153055146	0.3974193449998047	0.436989574924855	0.0	0.4039858758631487	0.4555864874846879	0.43815628072469825	0.5132243921944868	0.5031087065451565	0.5236296083783157	0.5700027934297516	0.5034387278751559	0.5545335871800173	0.53481339075651	0.49313466284235397	0.5497772925903208	0.6257873547177302	0.4460012251408564	0.5375928356490047	0.4795983890251979	0.512544617934289	0.5134666583857298	0.755931177237585	0.6838304405040943	0.46136350056507874
F22H1A	0.35633842157324364	0.3655253512675337	0.40509558119258404	0.4039858758631487	0.0	0.4236924937524169	0.4062622869924273	0.4813303984622158	0.4712147128128855	0.49173561464604476	0.5381087996974806	0.4715447341428849	0.5226395934477464	0.5029193970242392	0.461240669110083	0.5178832988580498	0.5938933609854592	0.4141072314085854	0.5056988419167339	0.44770439529292694	0.480650624202018	0.4815726646534588	0.724037183505314	0.6519364467718233	0.42946950683280777
S4Hp	0.21078158732712599	0.2705906682401232	0.34883588838769347	0.4555864874846879	0.4236924937524169	0.0	0.17977492056511485	0.29641604345395167	0.2863003578046214	0.3068212596377806	0.35319444468921646	0.2866303791346208	0.3377252384394822	0.318005042015975	0.27632631410181885	0.3329689438497857	0.40897900597719505	0.2291928764003213	0.36014200767061616	0.3021475610468093	0.33509378995590033	0.3360158304073412	0.5784803492591963	0.5063796125257056	0.2839126725866901
F3H1	0.19335138056713636	0.25316046148013355	0.33140568162770384	0.43815628072469825	0.4062622869924273	0.17977492056511485	0.0	0.27898583669396204	0.26887015104463174	0.28939105287779104	0.3357642379292269	0.2692001723746312	0.32029503167949264	0.3005748352559854	0.2588961073418292	0.3155387370897961	0.3915487992172055	0.2117626696403317	0.34271180091062653	0.28471735428681966	0.3176635831959107	0.31858562364735155	0.5610501424992067	0.488949405765716	0.2664824658267005
S6Hp	0.26841949203692483	0.328228572949922	0.4064737930974923	0.5132243921944868	0.4813303984622158	0.29641604345395167	0.27898583669396204	0.0	0.0913700032092177	0.34126252592505957	0.3876357109764954	0.3210716454218997	0.37216650472676116	0.35244630830325385	0.31076758038909774	0.3674102101370646	0.443420272264474	0.2636341426876002	0.417779912380415	0.3597854657566081	0.3927316946656991	0.3936537351171401	0.6361182539689951	0.5640175172355044	0.34155057729648897
S27H1	0.25830380638759454	0.31811288730059173	0.396358107448162	0.5031087065451565	0.4712147128128855	0.2863003578046214	0.26887015104463174	0.0913700032092177	0.0	0.33114684027572927	0.3775200253271651	0.3109559597725694	0.36205081907743086	0.34233062265392356	0.30065189473976744	0.3572945244877343	0.4333045866151437	0.2535184570382699	0.4076642267310847	0.3496697801072778	0.38261600901636883	0.3835380494678098	0.6260025683196648	0.5539018315861741	0.33143489164715867
S22Hp	0.2788247082207538	0.338633789133751	0.41687900928132127	0.5236296083783157	0.49173561464604476	0.3068212596377806	0.28939105287779104	0.34126252592505957	0.33114684027572927	0.0	0.3980389271593243	0.3314748616047286	0.38256972090959007	0.3628495244860828	0.3211707965719267	0.37781342631989356	0.4538234884473029	0.2740373588704291	0.42818512856424396	0.3701906819404371	0.40313691084952813	0.404058951300969	0.6465234701528242	0.5744227334193335	0.35195579348031797
s24H1	0.3251978932721897	0.3850069741851868	0.4632521943327571	0.5700027934297516	0.5381087996974806	0.35319444468921646	0.3357642379292269	0.3876357109764954	0.3775200253271651	0.3980389271593243	0.0	0.2767390935941328	0.4018284154002408	0.3821082189767335	0.34042949106257736	0.3970721208105442	0.47308218293795357	0.3164312593372275	0.47455831361567985	0.416563866991873	0.449510095900964	0.45043213635240487	0.69289665520426	0.6207959184707693	0.3983289785317538
F8H1	0.25863382771759397	0.31844290863059116	0.39668812877816145	0.5034387278751559	0.4715447341428849	0.2866303791346208	0.2692001723746312	0.3210716454218997	0.3109559597725694	0.3314748616047286	0.2767390935941328	0.0	0.3352643498456451	0.3155441534221378	0.2738654255079817	0.33050805525594856	0.4065181173833579	0.24986719378263178	0.40799424806108414	0.34999980143727727	0.3829460303463683	0.38386807079780916	0.6263325896496643	0.5542318529161736	0.3317649129771581
F23HpA	0.30972868702245543	0.36953776793545257	0.44778298808302286	0.5545335871800173	0.5226395934477464	0.3377252384394822	0.32029503167949264	0.37216650472676116	0.36205081907743086	0.38256972090959007	0.4018284154002408	0.3352643498456451	0.0	0.2885734385230782	0.2925877525631303	0.34923038231109715	0.4252404444385065	0.30096205308749324	0.4590891073659456	0.40109466074213873	0.4340408896512298	0.4349629301026706	0.6774274489545258	0.6053267122210351	0.38285977228201956
S19H1	0.2900084905989481	0.34981757151194537	0.42806279165951566	0.53481339075651	0.5029193970242392	0.318005042015975	0.3005748352559854	0.35244630830325385	0.34233062265392356	0.3628495244860828	0.3821082189767335	0.3155441534221378	0.2885734385230782	0.0	0.272867556139623	0.32951018588758985	0.4055202480149992	0.281241856663986	0.43936891094243835	0.3813744643186314	0.41432069322772247	0.41524273367916337	0.6577072525310185	0.5856065157975278	0.3631395758585123
S7Hp	0.248329762684792	0.3081388435977892	0.3863840637453595	0.49313466284235397	0.461240669110083	0.27632631410181885	0.2588961073418292	0.31076758038909774	0.30065189473976744	0.3211707965719267	0.34042949106257736	0.2738654255079817	0.2925877525631303	0.272867556139623	0.0	0.26243059147738235	0.3384406536047917	0.23956312874982982	0.3976901830282822	0.33969573640447526	0.3726419653135663	0.37356400576500726	0.6160285246168624	0.5439277878833717	0.32146084794435614
