	w11pp	f20ppA	w26pp	f11pp	w29pp	w6pp	w32pp	w16pp	S11Hp	S27H1	F14H1A	S16H2	F22H1A	S23Hp	S26Hp	F1H1	S13Hp	S4Hp	F6H1	S14Hp	s24H1	F23HpA	S1Hp	S19H1	F8H1	F22HpB	S8Hp	S10H1	S25Hp	S17H1	w23pp	s12pp	w24pp	w14pp	w1pp	w3pp	w19pp	w8pp	w2pp
w11pp	0.0	0.04852120178614305	0.04457371800599127	0.05619186630567488	0.06404264562047372	0.05800643793859029	0.044936208401710656	0.05912650237343284	0.3476225170704635	0.2864220793992138	0.30241675598285117	0.33830921722827195	0.4427335643437423	0.38707428077573197	0.29520708485325264	0.3421089320363982	0.39779737936931703	0.3454930441979831	0.32812864693009514	0.3325168533118849	0.30585735937763237	0.3438650096300113	0.3775114458594374	0.33800245401514567	0.3636337802719246	0.3236334665559321	0.3181030370781818	0.2934787068669324	0.3095268395795048	0.19388265295188448	0.053634311077936384	0.09638939520150334	0.042771590958052406	0.04710704244898363	0.062446160682566754	0.06008302186298285	0.0492364710081547	0.05124842639395734	0.05559540965129514
f20ppA	0.04852120178614305	0.0	0.059512386156678976	0.07113053445636258	0.07898131377116142	0.07294510608927798	0.05987487655239836	0.07406517052412054	0.36256118522115116	0.3013607475499015	0.31735542413353884	0.3532478853789596	0.45767223249442995	0.40201294892641964	0.3101457530039403	0.35704760018708587	0.4127360475200047	0.3604317123486708	0.3430673150807828	0.3474555214625726	0.32079602752832004	0.358803677780699	0.3924501140101251	0.35294112216583334	0.3785724484226123	0.3385721347066198	0.3330417052288695	0.30841737501762007	0.32446550773019245	0.20882132110257218	0.06857297922862408	0.11798485940323421	0.06436705515978328	0.06870250665071449	0.08404162488429762	0.08167848606471372	0.07083193520988557	0.0728438905956882	0.077190873853026
w26pp	0.04457371800599127	0.059512386156678976	0.0	0.05610129755124038	0.06395207686603922	0.0579158691841558	0.04484563964727617	0.0628307903423168	0.35132680503934743	0.29012636736809777	0.3061210439517351	0.3420135051971559	0.4464378523126262	0.3907785687446159	0.2989113728221366	0.34581322000528214	0.401501667338201	0.34919733216686705	0.3318329348989791	0.33622114128076885	0.3095616473465163	0.34756929759889527	0.38121573382832136	0.3417067419840296	0.36733806824080856	0.32733775452481606	0.3218073250470658	0.29718299483581634	0.3132311275483887	0.19758694092076845	0.05733859904682034	0.11403737562308242	0.060419571379631484	0.06475502287056271	0.08009414110414584	0.07773100228456192	0.06688445142973379	0.06889640681553641	0.07324339007287423
f11pp	0.05619186630567488	0.07113053445636258	0.05610129755124038	0.0	0.05726613959900839	0.06303436707675991	0.0499641375398803	0.0744489386420004	0.36294495333903104	0.3017445156677814	0.3177391922514187	0.3536316534968395	0.45805600061230983	0.4023967170442995	0.3105295211218202	0.35743136830496575	0.4131198156378846	0.36081548046655065	0.3434510831986627	0.34783928958045246	0.3211797956461999	0.35918744589857887	0.39283388212800496	0.3533248902837132	0.37895621654049216	0.33895590282449967	0.3334254733467494	0.30880114313549994	0.3248492758480723	0.20920508922045206	0.06895674734650395	0.12565552392276602	0.0720377196793151	0.07637317117024632	0.09171228940382944	0.08934915058424554	0.0785025997294174	0.08051455511522003	0.08486153837255783
w29pp	0.06404264562047372	0.07898131377116142	0.06395207686603922	0.05726613959900839	0.0	0.07088514639155877	0.05781491685467914	0.08229971795679925	0.3707957326538299	0.30959529498258026	0.3255899715662176	0.3614824328116384	0.4659067799271087	0.4102474963590984	0.3183803004366191	0.36528214761976463	0.42097059495268346	0.36866625978134954	0.35130186251346157	0.35569006889525134	0.3290305749609988	0.36703822521337776	0.40068466144280385	0.3611756695985121	0.38680699585529105	0.34680668213929855	0.34127625266154826	0.31665192245029883	0.3327000551628712	0.21705586853525088	0.07680752666130279	0.13350630323756488	0.07988849899411393	0.08422395048504516	0.09956306871862829	0.09719992989904438	0.08635337904421624	0.08836533443001887	0.09271231768735669
w6pp	0.05800643793859029	0.07294510608927798	0.0579158691841558	0.06303436707675991	0.07088514639155877	0.0	0.039910760008559656	0.07626351027491582	0.36475952497194647	0.3035590873006968	0.31955376388433415	0.35544622512975493	0.45987057224522526	0.40421128867721495	0.3123440927547356	0.3592459399378812	0.4149343872708	0.3626300520994661	0.3452656548315781	0.3496538612133679	0.32299436727911535	0.3610020175314943	0.3946484537609204	0.35513946191662865	0.3807707881734076	0.3407704744574151	0.3352400449796648	0.3106157147684154	0.32666384748098776	0.21101966085336746	0.07077131897941935	0.12747009555568145	0.0738522913122305	0.07818774280316174	0.09352686103674485	0.09116372221716096	0.08031717136233281	0.08232912674813544	0.08667611000547325
w32pp	0.044936208401710656	0.05987487655239836	0.04484563964727617	0.0499641375398803	0.05781491685467914	0.039910760008559656	0.0	0.06319328073803618	0.35168929543506683	0.29048885776381717	0.3064835343474545	0.3423759955928753	0.4468003427083456	0.3911410591403353	0.299273863217856	0.34617571040100154	0.40186415773392037	0.34955982256258644	0.3321954252946985	0.33658363167648825	0.3099241377422357	0.34793178799461466	0.38157822422404075	0.342069232379749	0.36770055863652795	0.32770024492053546	0.32216981544278517	0.29754548523153573	0.3135936179441081	0.19794943131648784	0.05770108944253973	0.11439986601880181	0.06078206177535087	0.0651175132662821	0.08045663149986522	0.07809349268028132	0.06724694182545317	0.0692588972112558	0.07360588046859362
w16pp	0.05912650237343284	0.07406517052412054	0.0628307903423168	0.0744489386420004	0.08229971795679925	0.07626351027491582	0.06319328073803618	0.0	0.35364664928392725	0.2924462116126776	0.30844088819631493	0.3443333494417357	0.44875769655720604	0.39309841298919573	0.3012312170667164	0.34813306424986196	0.4038215115827808	0.35151717641144686	0.3341527791435589	0.33854098552534867	0.3118814915910961	0.3498891418434751	0.3835355780729012	0.34402658622860943	0.3696579124853884	0.3296575987693959	0.3241271692916456	0.29950283908039615	0.31555097179296854	0.19990678516534827	0.059658443291400146	0.12859015999052398	0.07497235574707306	0.07930780723800428	0.0946469254715874	0.0922837866520035	0.08143723579717535	0.08344919118297799	0.08779617444031579
S11Hp	0.3476225170704635	0.36256118522115116	0.35132680503934743	0.36294495333903104	0.3707957326538299	0.36475952497194647	0.35168929543506683	0.35364664928392725	0.0	0.19461120517042804	0.23136233540746445	0.26725479665288526	0.37167914376835554	0.3160198602003453	0.22415266427786595	0.27105451146101145	0.32674295879393034	0.2744386236225964	0.25707422635470845	0.26146243273649816	0.23480293880224565	0.27281058905462463	0.3064570252840507	0.2669480334397589	0.2925793596965379	0.2525790459805454	0.24704861650279514	0.23684474247568632	0.2667221079510951	0.31624706068757236	0.3378628542901686	0.41708617468755466	0.3634683704441037	0.3678038219350349	0.38314294016861805	0.38077980134903416	0.369933250494206	0.3719452058800086	0.37629218913734647
S27H1	0.2864220793992138	0.3013607475499015	0.29012636736809777	0.3017445156677814	0.30959529498258026	0.3035590873006968	0.29048885776381717	0.2924462116126776	0.19461120517042804	0.0	0.17016189773621476	0.20605435898163557	0.31047870609710587	0.2548194225290956	0.16295222660661624	0.20985407378976179	0.2655425211226806	0.2132381859513467	0.19587378868345873	0.2002619950652485	0.17360250113099596	0.21161015138337494	0.24525658761280103	0.20574759576850926	0.23137892202528823	0.1913786083092957	0.18584817883154542	0.17564430480443666	0.20552167027984536	0.2550466230163227	0.27666241661891894	0.355885737016305	0.302267932772854	0.30660338426378525	0.3219425024973684	0.3195793636777845	0.30873281282295634	0.31074476820875896	0.3150917514660968
