	S4Hp	F22HpB	S18H1	F6H1	S31Hp	S19H1	s24H1	w11pp	w17pp	w14pp	w10pp	w26pp	w8pp	f20ppA	w24pp	w19pp	w1pp	f24pp	w32pp	w23pp	w3pp	S10H1	S11Hp	S25Hp	F7H1	F14H1A	S16H2	S27H1	S1Hp	S14Hp	S13Hp	S8Hp
S4Hp	0.0	0.1803936848953771	0.2847868270754425	0.29084411476013555	0.2394871550945507	0.2888875951481367	0.41152065527266996	0.4080018111548399	0.47182111047234554	0.42215618703153013	0.42767858485114707	0.39328206994085735	0.37467943293332545	0.42476144800972543	0.4280334910184682	0.45195918495564824	0.42936510415328744	0.42821797672697537	0.4901645747153853	0.4378706633525722	0.4167306479780031	0.3778009155758042	0.2838887822523011	0.282693434434352	0.2702630003493999	0.28417069962821484	0.24780176898037437	0.22698044107024593	0.32613474306524093	0.24723819814862927	0.3080402987426595	0.3072853190657121
F22HpB	0.1803936848953771	0.0	0.2959046637577063	0.30196195144239935	0.2506049917768145	0.3000054318304005	0.42263849195493375	0.41911964783710365	0.4829389471546093	0.43327402371379387	0.4387964215334108	0.4043999066231211	0.38579726961558924	0.4358792846919892	0.43915132770073195	0.463077021637912	0.4404829408355512	0.4393358134092391	0.5012824113976491	0.4489885000348359	0.4278484846602668	0.38891875225806793	0.2950066189345648	0.29381127111661576	0.2813808370316636	0.2952885363104786	0.25891960566263816	0.2380982777525097	0.33725257974750467	0.25835603483089303	0.3191581354249233	0.3184031557479759
S18H1	0.2847868270754425	0.2959046637577063	0.0	0.2211701923781729	0.33573528116900975	0.38513572122259576	0.507768781347129	0.504249937229299	0.5680692365468045	0.5184043131059892	0.523926710925606	0.4895301960153164	0.4709275590077845	0.5210095740841845	0.5242816170929272	0.5482073110301073	0.5256132302277465	0.5244661028014344	0.5864127007898443	0.5341187894270312	0.5129787740524621	0.47404904165026324	0.38013690832676006	0.37894156050881106	0.36651112642385886	0.3804188257026738	0.3440498950548334	0.32322856714470494	0.4223828691396999	0.34348632422308834	0.4042884248171186	0.4035334451401712
F6H1	0.29084411476013555	0.30196195144239935	0.2211701923781729	0.0	0.3417925688537028	0.3911930089072888	0.513826069031822	0.5103072249139919	0.5741265242314977	0.5244616007906822	0.5299839986102992	0.49558748370000943	0.47698484669247754	0.5270668617688775	0.5303389047776204	0.5542645987148003	0.5316705179124395	0.5305233904861275	0.5924699884745375	0.5401760771117243	0.5190360617371552	0.4801063293349563	0.3861941960114531	0.3849988481935041	0.3725684141085519	0.38647611338736687	0.35010718273952646	0.329285854829398	0.42844015682439296	0.3495436119077814	0.4103457125018116	0.40959073282486425
S31Hp	0.2394871550945507	0.2506049917768145	0.33573528116900975	0.3417925688537028	0.0	0.31150219088092135	0.4341352510054546	0.4306164068876246	0.4944357062051302	0.4447707827643148	0.45029318058393175	0.41589666567364203	0.3972940286661101	0.44737604374251005	0.4506480867512529	0.4745737806884329	0.4519796998860721	0.45083257245976005	0.51277917044817	0.46048525908535687	0.43934524371078776	0.4004155113085889	0.3065033779850857	0.3053080301671367	0.2928775960821845	0.30678529536099947	0.270416364713159	0.24959503680303058	0.34874933879802555	0.2698527938814139	0.33065489447544416	0.3298999147984968
S19H1	0.2888875951481367	0.3000054318304005	0.38513572122259576	0.3911930089072888	0.31150219088092135	0.0	0.45623526037284845	0.4527164162550184	0.5165357155725241	0.4668707921317086	0.47239318995132557	0.43799667504103584	0.41939403803350395	0.4694760531099039	0.4727480961186467	0.49667379005582674	0.47407970925346593	0.47293258182715386	0.5348791798155639	0.4825852684527507	0.46144525307818157	0.4225155206759827	0.3286033873524795	0.3274080395345305	0.3247380044452409	0.3386457037240559	0.3022767730762155	0.281455445166087	0.380609747161082	0.3017132022444704	0.36251530283850064	0.36176032316155327
s24H1	0.41152065527266996	0.42263849195493375	0.507768781347129	0.513826069031822	0.4341352510054546	0.45623526037284845	0.0	0.15992995545126537	0.22374925476877097	0.17408433132795553	0.1796067291475725	0.1452102142372828	0.12660757722975088	0.17668959230615083	0.17996163531489368	0.2038873292520737	0.18129324844971287	0.1801461210234008	0.24209271901181076	0.1897988076489976	0.16865879227442848	0.17693938859483815	0.424356735177276	0.423161387359327	0.44737106456977416	0.4612787638485891	0.4249098332007487	0.40408850529062024	0.5032428072856152	0.42434626236900364	0.4851483629630339	0.4843933832860865
w11pp	0.4080018111548399	0.41911964783710365	0.504249937229299	0.5103072249139919	0.4306164068876246	0.4527164162550184	0.15992995545126537	0.0	0.16077468690033225	0.1111097634595168	0.11663216127913377	0.08223564636884406	0.0892304574652971	0.13931247254169707	0.14258451555043988	0.1665102094876199	0.1439161286852591	0.14276900125894704	0.20471559924735697	0.1524216878845438	0.13128167250997472	0.17342054447700816	0.420837891059446	0.41964254324149697	0.44385222045194417	0.45775991973075913	0.42139098908291867	0.40056966117279025	0.4997239631677852	0.42082741825117354	0.4816295188452038	0.4808745391682564
w17pp	0.47182111047234554	0.4829389471546093	0.5680692365468045	0.5741265242314977	0.4944357062051302	0.5165357155725241	0.22374925476877097	0.16077468690033225	0.0	0.12788748960187077	0.16139795249923772	0.12700143758894802	0.1530497567828027	0.20313177185920267	0.20640381486794548	0.2303295088051255	0.20773542800276468	0.2065883005764526	0.26853489856486257	0.21624098720204943	0.19510097182748032	0.2372398437945138	0.48465719037695165	0.4834618425590026	0.5076715197694498	0.5215792190482648	0.4852102884004243	0.4643889604902959	0.5635432624852909	0.48464671756867916	0.5454488181627094	0.544693838485762
w14pp	0.42215618703153013	0.43327402371379387	0.5184043131059892	0.5244616007906822	0.4447707827643148	0.4668707921317086	0.17408433132795553	0.1111097634595168	0.12788748960187077	0.0	0.11173302905842228	0.07733651414813257	0.10338483334198728	0.15346684841838726	0.15673889142713004	0.18066458536431007	0.15807050456194927	0.1569233771356372	0.21886997512404716	0.166576063761234	0.1454360483866649	0.18757492035369833	0.43499226693613624	0.4337969191181872	0.4580065963286344	0.47191429560744935	0.4355453649596089	0.41472403704948047	0.5138783390444754	0.43498179412786375	0.495783894721894	0.4950289150449466
