	s9pp	s7pp	s22pp	s17pp	s27pp	s19pp	s24pp	s25pp	s18pp	s14pp	s6pp	w27pp	w6pp	s29pp	s28pp	f3pp	s16pp	s26pp	s30pp	w30pp	s3pp	s31pp	s13pp	w12pp	s32pp	s11pp	s12pp	s1pp	s2pp	s23pp	s4pp	s20pp	s15pp
s9pp	0.0	0.2901491077790539	0.2630393250653987	0.3044963226155303	0.30575368554870647	0.2112074969292071	0.23860347040975405	0.24181274722938967	0.3699729514663667	0.45676001204147154	0.45507595032920056	0.6942610417788581	0.6229995459865002	0.5276108138187072	0.5552577499047262	0.6351151555759648	0.6108097149226742	0.5945496368322627	0.5074297156242074	0.5057988389291377	0.5150962331088688	0.36131197771617757	0.4834581987099513	0.5638671966968068	0.3586338446808854	0.3449236535556738	0.274975411990746	0.2242828145139451	0.24596622673485435	0.35760617250009946	0.19887045333363285	0.10371903111965822	0.14558510742760483
s7pp	0.2901491077790539	0.0	0.33855109536126293	0.44244598382624845	0.4437033467594246	0.3491571581399252	0.3765531316204722	0.37976240844010783	0.5079226126770848	0.5947096732521897	0.5930256115399187	0.8322107029895762	0.7609492071972184	0.6655604750294253	0.6932074111154443	0.7730648167866829	0.7487593761333924	0.7324992980429808	0.6453793768349254	0.6437485001398559	0.6530458943195869	0.49926163892689573	0.6214078599206695	0.701816857907525	0.49658350589160355	0.48287331476639195	0.41292507320146415	0.36223247572466327	0.3839158879455725	0.49555583371081763	0.336820114544351	0.3733806498578991	0.41524672616584574
s22pp	0.2630393250653987	0.33855109536126293	0.0	0.4153362011125932	0.4165935640457694	0.32204737542627004	0.349443348906817	0.3526526257264526	0.48081282996342967	0.5675998905385344	0.5659158288262636	0.805100920275921	0.7338394244835631	0.6384506923157701	0.6660976284017891	0.7459550340730277	0.7216495934197371	0.7053895153293256	0.6182695941212702	0.6166387174262007	0.6259361116059317	0.4721518562132405	0.5942980772070143	0.6747070751938697	0.46947372317794833	0.45576353205273673	0.38581529048780894	0.33512269301100805	0.3568061052319173	0.4684460509971624	0.3097103318306958	0.3462708671442439	0.3881369434521905
s17pp	0.3044963226155303	0.44244598382624845	0.4153362011125932	0.0	0.08351328178284864	0.1954224383282102	0.2228184118087572	0.22602768862839281	0.45760001114659055	0.5443870717216954	0.5427030100094244	0.7818881014590818	0.7106266056667241	0.615237873498931	0.64288480958495	0.7227422152561885	0.6984367746028981	0.6821766965124865	0.5950567753044311	0.5934258986093616	0.6027232927890925	0.4489390373964014	0.5710852583901752	0.6514942563770306	0.4462609043611092	0.43255071323589767	0.3626024716709698	0.311909874194169	0.33359328641507824	0.4452332321803233	0.2864975130138567	0.3877278646943755	0.4295939410023221
s27pp	0.30575368554870647	0.4437033467594246	0.4165935640457694	0.08351328178284864	0.0	0.1966798012613864	0.22407577474193338	0.227285051561569	0.4588573740797668	0.5456444346548716	0.5439603729426006	0.783145464392258	0.7118839685999002	0.6164952364321072	0.6441421725181262	0.7239995781893647	0.6996941375360742	0.6834340594456627	0.5963141382376074	0.5946832615425377	0.6039806557222688	0.45019640032957764	0.5723426213233513	0.6527516193102069	0.44751826729428545	0.4338080761690738	0.36385983460414606	0.3131672371273452	0.33485064934825437	0.44649059511349953	0.28775487594703286	0.38898522762755167	0.4308513039354983
s19pp	0.2112074969292071	0.3491571581399252	0.32204737542627004	0.1954224383282102	0.1966798012613864	0.0	0.043697365548132416	0.04690664236776802	0.3643111854602674	0.4510982460353722	0.4494141843231012	0.6885992757727586	0.6173377799804008	0.5219490478126079	0.5495959838986268	0.6294533895698653	0.6051479489165749	0.5888878708261633	0.501767949618108	0.5001370729230383	0.5094344671027694	0.35565021171007827	0.47779643270385197	0.5582054306907075	0.3529720786747861	0.3392618875495744	0.2693136459846467	0.2186210485078458	0.24030446072875503	0.35194440649400016	0.1932086873275335	0.2944390390080523	0.33630511531599894
s24pp	0.23860347040975405	0.3765531316204722	0.349443348906817	0.2228184118087572	0.22407577474193338	0.043697365548132416	0.0	0.05024481239949494	0.39170715894081437	0.4784942195159192	0.4768101578036482	0.7159952492533056	0.6447337534609479	0.5493450212931548	0.5769919573791737	0.6568493630504123	0.6325439223971219	0.6162838443067102	0.5291639230986549	0.5275330464035853	0.5368304405833164	0.3830461851906252	0.505192406184399	0.5856014041712545	0.38036805215533304	0.36665786103012143	0.29670961946519364	0.24601702198839276	0.267700434209302	0.3793403799745471	0.2206046608080805	0.32183501248859925	0.3637010887965459
s25pp	0.24181274722938967	0.37976240844010783	0.3526526257264526	0.22602768862839281	0.227285051561569	0.04690664236776802	0.05024481239949494	0.0	0.39491643576045	0.4817034963355548	0.48001943462328384	0.7192045260729412	0.6479430302805835	0.5525542981127904	0.5802012341988094	0.6600586398700479	0.6357531992167575	0.6194931211263459	0.5323731999182906	0.5307423232232209	0.540039717402952	0.38625546201026084	0.5084016830040345	0.5888106809908901	0.38357732897496866	0.36986713784975705	0.29991889628482926	0.24922629880802838	0.2709097110289376	0.38254965679418274	0.22381393762771612	0.32504428930823487	0.3669103656161815
s18pp	0.3699729514663667	0.5079226126770848	0.48081282996342967	0.45760001114659055	0.4588573740797668	0.3643111854602674	0.39170715894081437	0.39491643576045	0.0	0.34695872109086245	0.3452746593785915	0.5844597508282489	0.5131982550358911	0.417809522868098	0.445456458954117	0.5253138646253556	0.5010084239720651	0.4847483458816535	0.39762842467359816	0.3959975479785286	0.40529494215825956	0.2515106867655685	0.37365690775934224	0.45406590574619765	0.24883255373027627	0.2351223626050647	0.16517412104013693	0.16360418055947662	0.22613870804736033	0.44224506005765324	0.2835093408911866	0.4532044935452119	0.49507056985315856
s14pp	0.45676001204147154	0.5947096732521897	0.5675998905385344	0.5443870717216954	0.5456444346548716	0.4510982460353722	0.4784942195159192	0.4817034963355548	0.34695872109086245	0.0	0.172013392612051	0.41119848406170845	0.33993698826935076	0.24454825610155767	0.2721951921875767	0.35205259785881515	0.3277471572055247	0.3114870791151131	0.2243671579070578	0.22273628121198816	0.2320336753917192	0.15648945728407135	0.2786356782778451	0.3916123070338362	0.18637895501791485	0.22224594015918886	0.21889055266234472	0.25039124113458144	0.31292576862246513	0.5290321206327581	0.3702964014662914	0.5399915541203167	0.5818576304282633
s6pp	0.45507595032920056	0.5930256115399187	0.5659158288262636	0.5427030100094244	0.5439603729426006	0.4494141843231012	0.4768101578036482	0.48001943462328384	0.3452746593785915	0.172013392612051	0.0	0.34202590682257766	0.27076441103022	0.1753756788624269	0.2030226149484459	0.28288002061968437	0.25857457996639394	0.24231450187598227	0.15519458066792702	0.15356370397285737	0.16286109815258842	0.15480539557180034	0.2769516165655741	0.3899282453215652	0.18469489330564384	0.22056187844691785	0.21720649095007372	0.24870717942231044	0.31124170691019415	0.5273480589204871	0.3686123397540204	0.5383074924080458	0.5801735687159923
w27pp	0.6942610417788581	0.8322107029895762	0.805100920275921	0.7818881014590818	0.783145464392258	0.6885992757727586	0.7159952492533056	0.7192045260729412	0.5844597508282489	0.41119848406170845	0.34202590682257766	0.0	0.2802036126283452	0.3120597751166031	0.33970671120262214	0.4195641168738606	0.39525867622057015	0.3789985981301585	0.3534067745263804	0.3517758978313108	0.3610732920110418	0.3939904870214577	0.5161367080152315	0.6291133367712226	0.42387998475530125	0.45974696989657526	0.45639158239973115	0.4878922708719679	0.5504267983598516	0.7665331503701445	0.6077974312036778	0.7774925838577033	0.8193586601656498
w6pp	0.6229995459865002	0.7609492071972184	0.7338394244835631	0.7106266056667241	0.7118839685999002	0.6173377799804008	0.6447337534609479	0.6479430302805835	0.5131982550358911	0.33993698826935076	0.27076441103022	0.2802036126283452	0.0	0.2407982793242454	0.26844521541026445	0.3483026210815029	0.32399718042821246	0.3077371023378008	0.28214527873402273	0.28051440203895306	0.28981179621868414	0.32272899122910004	0.4448752122228738	0.557851840978865	0.35261848896294357	0.3884854741042176	0.3851300866073734	0.41663077507961016	0.47916530256749384	0.6952716545777867	0.5365359354113202	0.7062310880653454	0.748097164373292
s29pp	0.5276108138187072	0.6655604750294253	0.6384506923157701	0.615237873498931	0.6164952364321072	0.5219490478126079	0.5493450212931548	0.5525542981127904	0.417809522868098	0.24454825610155767	0.1753756788624269	0.3120597751166031	0.2407982793242454	0.0	0.11470038668805105	0.1945577923592895	0.17025235170599906	0.15399227361558743	0.18675654656622964	0.18512566987116	0.19442306405089105	0.22734025906130698	0.3494864800550807	0.4624631088110719	0.2572297567951505	0.2930967419364245	0.2897413544395803	0.32124204291181707	0.38377657039970076	0.5998829224099936	0.441147203243527	0.6108423558975524	0.652708432205499
s28pp	0.5552577499047262	0.6932074111154443	0.6660976284017891	0.64288480958495	0.6441421725181262	0.5495959838986268	0.5769919573791737	0.5802012341988094	0.445456458954117	0.2721951921875767	0.2030226149484459	0.33970671120262214	0.26844521541026445	0.11470038668805105	0.0	0.10904048335607786	0.15656228711602957	0.14030220902561796	0.21440348265224868	0.21277260595717903	0.22207000013691008	0.254987195147326	0.37713341614109974	0.49011004489709087	0.28487669288116946	0.32074367802244347	0.3173882905255993	0.34888897899783605	0.41142350648571974	0.6275298584960126	0.468794139329546	0.6384892919835714	0.680355368291518
f3pp	0.6351151555759648	0.7730648167866829	0.7459550340730277	0.7227422152561885	0.7239995781893647	0.6294533895698653	0.6568493630504123	0.6600586398700479	0.5253138646253556	0.35205259785881515	0.28288002061968437	0.4195641168738606	0.3483026210815029	0.1945577923592895	0.10904048335607786	0.0	0.23641969278726804	0.2201596146968564	0.2942608883234871	0.2926300116284175	0.30192740580814853	0.33484460081856443	0.4569908218123382	0.5699674505683293	0.36473409855240796	0.40060108369368197	0.39724569619683786	0.4287463846690746	0.4912809121569583	0.7073872641672512	0.5486515450007845	0.71834669765481	0.7602127739627565
s16pp	0.6108097149226742	0.7487593761333924	0.7216495934197371	0.6984367746028981	0.6996941375360742	0.6051479489165749	0.6325439223971219	0.6357531992167575	0.5010084239720651	0.3277471572055247	0.25857457996639394	0.39525867622057015	0.32399718042821246	0.17025235170599906	0.15656228711602957	0.23641969278726804	0.0	0.13949570818595142	0.2699554476701967	0.2683245709751271	0.2776219651548581	0.310539160165274	0.43268538115904775	0.5456620099150389	0.3404286578991175	0.37629564304039154	0.3729402555435474	0.4044409440157842	0.46697547150366786	0.6830818235139607	0.5243461043474942	0.6940412570015194	0.735907333309466
s26pp	0.5945496368322627	0.7324992980429808	0.7053895153293256	0.6821766965124865	0.6834340594456627	0.5888878708261633	0.6162838443067102	0.6194931211263459	0.4847483458816535	0.3114870791151131	0.24231450187598227	0.3789985981301585	0.3077371023378008	0.15399227361558743	0.14030220902561796	0.2201596146968564	0.13949570818595142	0.0	0.25369536957978506	0.25206449288471544	0.26136188706444646	0.29427908207486236	0.4164253030686361	0.5294019318246272	0.3241685798087059	0.3600355649499799	0.3566801774531358	0.38818086592537254	0.4507153934132562	0.6668217454235491	0.5080860262570825	0.6777811789111079	0.7196472552190545
s30pp	0.5074297156242074	0.6453793768349254	0.6182695941212702	0.5950567753044311	0.5963141382376074	0.501767949618108	0.5291639230986549	0.5323731999182906	0.39762842467359816	0.2243671579070578	0.15519458066792702	0.3534067745263804	0.28214527873402273	0.18675654656622964	0.21440348265224868	0.2942608883234871	0.2699554476701967	0.25369536957978506	0.0	0.0039202675156813326	0.13045484981448183	0.2071591608668071	0.32930538186058084	0.442282010616572	0.2370486586006506	0.2729156437419246	0.26956025624508045	0.3010609447173172	0.3635954722052009	0.5797018242154938	0.42096610504902715	0.5906612577030526	0.6325273340109991
w30pp	0.5057988389291377	0.6437485001398559	0.6166387174262007	0.5934258986093616	0.5946832615425377	0.5001370729230383	0.5275330464035853	0.5307423232232209	0.3959975479785286	0.22273628121198816	0.15356370397285737	0.3517758978313108	0.28051440203895306	0.18512566987116	0.21277260595717903	0.2926300116284175	0.2683245709751271	0.25206449288471544	0.0039202675156813326	0.0	0.12882397311941218	0.20552828417173746	0.3276745051655112	0.44065113392150235	0.23541778190558096	0.271284767046855	0.26792937955001084	0.2994300680222476	0.36196459551013127	0.5780709475204242	0.41933522835395753	0.5890303810079829	0.6308964573159295
