	F3H1	530055	S23Hp	31160	31333	530394	S26Hp	S16H2	31512	31700	31637	S21H1	530258	530177	31714	530451	f7pp	31267	F32H1	530251	S10H1	F22H1A	31236	530154	31009	530167	530331	530368	S15Hp	530444	31021	31600	31750	530050	S17H1	530215	31452	31766	S19H1	31537	530074	31749	31428	31723	31232	530163	530052	31129	530075	530315	530295	31360	31450	31519	530364	31071	S28Hp	531414
F3H1	0.0	0.17999205003813423	0.11405755845416485	0.22811602079529578	0.20711584991038534	0.14719158383368242	0.1786644262292112	0.2420332803570499	0.2425194568908211	0.2835575858346504	0.2760823959310441	0.23609365475705213	0.2688775636841883	0.2654611759516528	0.25958107345691467	0.27032035727054493	0.32984170972932925	0.24781735463792998	0.2357582735705111	0.24400069051357104	0.2222274444119883	0.2631720285450716	0.24949195540172536	2.020088814972123	0.2291425153221703	0.2475539458136861	0.2565168761511081	0.25674834713912165	0.19965416444904704	0.20585295736567985	0.24366670312010882	0.2139004909034947	0.18655020861445312	0.1948245583477395	0.1979611976939854	0.10524797005095354	0.23000548572082996	0.23545107608517485	0.22751276720128377	0.2968315788211561	0.24582301093540168	0.2594639311823869	0.26301157168402406	0.2673410388517884	0.25284327112166616	0.258442381888346	0.2496956643633284	0.24920695087439304	0.15597890982128315	0.17211695015595052	0.21779097392481891	0.13801197727488507	0.23546137550230523	0.21033831130078146	0.25688847657824065	0.14193100352715965	0.19890030694728122	0.2060688209141352
530055	0.17999205003813423	0.0	0.18653417932643365	0.3168968162014385	0.29589664531652804	0.23597237923982511	0.2674452216353539	0.3308140757631926	0.3313002522969638	0.3723383812407931	0.3648631913371868	0.32487445016319483	0.357658359090331	0.3542419713577955	0.34836186886305737	0.35910115267668763	0.41862250513547195	0.3365981500440727	0.3245390689766538	0.33278148591971374	0.31100823981813097	0.3519528239512143	0.33827275080786806	2.108869610378266	0.31792331072831304	0.33633474121982876	0.3452976715572508	0.34552914254526435	0.28843495985518974	0.2946337527718226	0.33244749852625155	0.3026812863096374	0.27533100402059585	0.2836053537538822	0.2867419931001281	0.19402876545709624	0.31878628112697266	0.32423187149131755	0.31629356260742647	0.38561237422729877	0.3346038063415444	0.3482447265885296	0.35179236709016676	0.3561218342579311	0.34162406652780886	0.3472231772944887	0.3384764597694711	0.33798774628053574	0.24475970522742585	0.2608977455620932	0.30657176933096164	0.22679277268102777	0.3242421709084479	0.29911910670692415	0.34566927198438335	0.23071179893330235	0.2876811023534239	0.2948496163202779
S23Hp	0.11405755845416485	0.18653417932643365	0.0	0.2509623246174691	0.22996215373255866	0.17003788765585576	0.2015107300513845	0.2648795841792232	0.26536576071299445	0.30640388965682375	0.29892869975321745	0.25893995857922547	0.2917238675063616	0.2883074797738261	0.28242737727908795	0.2931666610927183	0.3526880135515026	0.2706636584601033	0.2586045773926844	0.2668469943357443	0.24507374823416161	0.2860183323672449	0.27233825922389865	2.0429351187942966	0.2519888191443436	0.2704002496358594	0.2793631799732814	0.279594650961295	0.22250046827122036	0.22869926118785316	0.26651300694228214	0.236746794725668	0.20939651243662644	0.21767086216991283	0.22080750151615872	0.12809427387312686	0.25285178954300325	0.25829737990734813	0.2503590710234571	0.3196778826433294	0.268669314757575	0.2823102350045602	0.28585787550619735	0.29018734267396173	0.27568957494383944	0.28128868571051935	0.2725419681855017	0.2720532546965664	0.17882521364345644	0.1949632539781238	0.24063727774699223	0.16085828109705835	0.2583076793244785	0.23318461512295477	0.279734780400414	0.164777307349333	0.2217466107694545	0.22891512473630848
31160	0.22811602079529578	0.3168968162014385	0.2509623246174691	0.0	0.26046475813031944	0.2280413229819398	0.2874946584008041	0.3508635125286429	0.35134968906241404	0.39238781800624334	0.38491262810263704	0.34492388692864506	0.3777077958557813	0.3742914081232458	0.36841130562850766	0.37915058944213786	0.43867194190092224	0.3566475868095229	0.3445885057421041	0.35283092268516403	0.33105767658358126	0.37200226071666453	0.35832218757331835	2.1289190471437163	0.33797274749376327	0.35638417798527905	0.365347108322701	0.3655785793107146	0.30848439662064	0.3146831895372728	0.3524969352917018	0.32273072307508766	0.2953804407860461	0.3036547905193325	0.3067914298655784	0.2140782022225465	0.33883571789242295	0.34428130825676784	0.3363429993728767	0.40566181099274906	0.35465324310699464	0.3682941633539799	0.37184180385561705	0.3761712710233813	0.3616735032932591	0.367272614059939	0.3585258965349214	0.358037183045986	0.2648091419928761	0.28094718232754345	0.3266212060964119	0.24684220944647803	0.3442916076738982	0.31916854347237444	0.36571870874983364	0.25076123569875264	0.32015088755799137	0.3273194015248453
31333	0.20711584991038534	0.29589664531652804	0.22996215373255866	0.26046475813031944	0.0	0.20704115209702934	0.2664944875158937	0.32986334164373243	0.33034951817750363	0.37138764712133293	0.36391245721772664	0.32392371604373466	0.35670762497087083	0.35329123723833533	0.3474111347435972	0.35815041855722746	0.41767177101601183	0.3356474159246125	0.3235883348571936	0.33183075180025356	0.31005750569867085	0.35100208983175407	0.3373220166884079	2.1079188762588057	0.3169725766088528	0.33538400710036864	0.3443469374377906	0.3445784084258042	0.28748422573572957	0.29368301865236235	0.3314967644067913	0.3017305521901772	0.2743802699011356	0.28265461963442207	0.28579125898066793	0.19307803133763607	0.3178355470075125	0.3232811373718574	0.3153428284879663	0.38466164010783865	0.3336530722220842	0.34729399246906945	0.3508416329707066	0.3551711001384709	0.34067333240834863	0.3462724431750286	0.33752572565001093	0.33703701216107557	0.24380897110796568	0.25994701144263305	0.3056210352115014	0.2258420385615676	0.32329143678898775	0.298168372587464	0.34471853786492324	0.2297610648138422	0.2991507166730809	0.3063192306399349
530394	0.14719158383368242	0.23597237923982511	0.17003788765585576	0.2280413229819398	0.20704115209702934	0.0	0.20657022143919082	0.26993907556702956	0.2704252521008007	0.31146338104463	0.3039881911410237	0.26399944996703173	0.29678335889416796	0.29336697116163246	0.2874868686668943	0.29822615248052453	0.3577475049393089	0.2757231498479096	0.26366406878049076	0.2719064857235507	0.25013323962196793	0.2910778237550512	0.277397750611705	2.0479946101821027	0.25704831053214994	0.2754597410236657	0.2844226713610877	0.28465414234910125	0.22755995965902667	0.23375875257565948	0.27157249833008845	0.24180628611347432	0.21445600382443275	0.22273035355771914	0.22586699290396503	0.13315376526093317	0.2579112809308096	0.2633568712951545	0.2554185624112634	0.32473737403113573	0.2737288061453813	0.2873697263923666	0.2909173668940037	0.295246834061768	0.28074906633164576	0.28634817709832566	0.27760145957330806	0.27711274608437264	0.18388470503126278	0.20002274536593015	0.24569676913479854	0.1659177724848647	0.2633671707122849	0.23824410651076108	0.2847942717882203	0.1698367987371393	0.23922645059637798	0.24639496456323196
S26Hp	0.1786644262292112	0.2674452216353539	0.2015107300513845	0.2874946584008041	0.2664944875158937	0.20657022143919082	0.0	0.19695902515727556	0.1974452016910468	0.28882079640927183	0.28134560650566554	0.24135686533167355	0.2741407742588097	0.27072438652627423	0.2648442840315361	0.27558356784516636	0.3351049203039507	0.2530805652125514	0.24102148414513253	0.2635395740287457	0.241766327927163	0.28271091206024623	0.26903083891690005	2.056784614719863	0.26583831506991007	0.2842497455614258	0.2932126758988478	0.2934441468868614	0.23634996419678678	0.24254875711341958	0.2803625028678486	0.25059629065123445	0.22324600836219285	0.23152035809547925	0.24682199554886086	0.154108767905829	0.2788662835757054	0.2843118739400503	0.27637356505615923	0.3456923766760316	0.2946838087902771	0.3083247290372624	0.3118723695388995	0.31620183670666385	0.30170406897654156	0.3073031797432215	0.29855646221820387	0.2980677487292685	0.2048397076761586	0.22097774801082598	0.26665177177969435	0.18687277512976053	0.2843221733571807	0.2591991091556569	0.30574927443311617	0.19079180138203514	0.27069929299190676	0.27786780695876073
S16H2	0.2420332803570499	0.3308140757631926	0.2648795841792232	0.3508635125286429	0.32986334164373243	0.26993907556702956	0.19695902515727556	0.0	0.22216904867293408	0.35218965053711054	0.34471446063350425	0.30472571945951227	0.33750962838664844	0.33409324065411294	0.3282131381593748	0.33895242197300507	0.39847377443178944	0.3164494193403901	0.30439033827297124	0.32690842815658444	0.3051351820550017	0.346079766188085	0.33239969304473876	2.1201534688477017	0.32920716919774873	0.34761859968926456	0.3565815300266865	0.3568130010147001	0.2997188183246255	0.30591761124125827	0.34373135699568724	0.3139651447790731	0.28661486249003154	0.294889212223318	0.3101908496766996	0.21747762203366772	0.34223513770354413	0.347680728067889	0.33974241918399795	0.40906123080387025	0.3580526629181159	0.3716935831651011	0.37524122366673823	0.37957069083450257	0.36507292310438033	0.3706720338710602	0.3619253163460426	0.3614366028571072	0.2682085618039973	0.2843466021386647	0.3300206259075331	0.25024162925759924	0.3476910274850194	0.32256796328349563	0.36911812856095483	0.2541606555098739	0.3340681471197455	0.34123666108659945
31512	0.2425194568908211	0.3313002522969638	0.26536576071299445	0.35134968906241404	0.33034951817750363	0.2704252521008007	0.1974452016910468	0.22216904867293408	0.0	0.35267582707088174	0.34520063716727545	0.30521189599328347	0.33799580492041964	0.33457941718788414	0.328699314693146	0.33943859850677627	0.39895995096556064	0.3169355958741613	0.30487651480674244	0.32739460469035564	0.30562135858877293	0.34656594272185615	0.33288586957850996	2.120639645381473	0.32969334573152	0.3481047762230357	0.3570677065604577	0.3572991775484713	0.3002049948583967	0.3064037877750295	0.3442175335294585	0.31445132131284437	0.2871010390238028	0.29537538875708913	0.3106770262104708	0.21796379856743892	0.34272131423731533	0.3481669046016602	0.34022859571776914	0.4095474073376415	0.358538839451887	0.3721797596988723	0.37572740020050943	0.38005686736827377	0.3655590996381515	0.37115821040483143	0.3624114928798138	0.3619227793908784	0.2686947383377685	0.2848327786724359	0.33050680244130426	0.25072780579137044	0.3481772040187906	0.3230541398172668	0.3696043050947261	0.254646832043645	0.33455432365351667	0.34172283762037065
31700	0.2835575858346504	0.3723383812407931	0.30640388965682375	0.39238781800624334	0.37138764712133293	0.31146338104463	0.28882079640927183	0.35218965053711054	0.35267582707088174	0.0	0.3149216038361149	0.2749328626621229	0.34483383765932885	0.34141744992679335	0.3355373474320552	0.3462766312456855	0.42266191952355237	0.3406375644321531	0.32857848336473416	0.36843273363418494	0.34665948753260223	0.38760407166568545	0.37392399852233926	2.161677774325302	0.3707314746753493	0.389142905166865	0.398105835504287	0.3983373064923006	0.341243123802226	0.3474419167188588	0.3852556624732878	0.35548945025667367	0.3281391679676321	0.33641351770091843	0.3517151551543001	0.2590019275112682	0.38375944318114463	0.3892050335454895	0.38126672466159844	0.4505855362814708	0.3995769683957163	0.4132178886427016	0.41676552914433873	0.42109499631210306	0.4065972285819808	0.41219633934866073	0.4034496218236431	0.4029609083347077	0.3097328672815978	0.3258709076162652	0.37154493138513356	0.29176593473519974	0.3892153329626199	0.3640922687610961	0.4106424340385554	0.2956849609874743	0.37559245259734597	0.38276096656419994
