	S4Hp	530075	530119	530055	S26Hp	530258	31009	530163	31300	S25Hp	S8Hp	f7pp	f14ppB	w20pp	S6Hp	F3H1	530315	31519	S17H1	S19H1	31700	530331	31071
S4Hp	0.0	0.2143579738733476	0.24532569662228337	0.23684667602180526	0.36782894671291116	0.3167781678438158	0.3288314607729458	0.38243460370456234	0.39761842430926564	0.4258183779938126	0.6888570169872003	0.7289407793334399	0.7305445957161537	0.7477053396286916	0.6308011847012147	0.59772083753131	1.0487730492429388	0.4728155022356253	0.2701713620259115	0.28170817186672703	0.2349283044228203	0.2557355289797869	0.3298858322686338
530075	0.2143579738733476	0.0	0.10475088169737702	0.09627186109689889	0.2272541317880048	0.17620335291890943	0.18825664584803942	0.24185978877965597	0.2570436093843593	0.28524356306890625	0.5482822020622939	0.5883659644085336	0.5899697807912474	0.6071305247037853	0.49022636977630835	0.45714602260640363	0.9081982343180324	0.33224068731071893	0.12959654710100516	0.14113335694182066	0.09435348949791397	0.11516071405488054	0.31996301877704386
530119	0.24532569662228337	0.10475088169737702	0.0	0.09222068085860607	0.22320295154971198	0.1721521726806166	0.18420546560974665	0.23780860854136315	0.25299242914606646	0.28119238283061343	0.5442310218240012	0.5843147841702409	0.5859186005529546	0.6030793444654925	0.4861751895380156	0.4530948423681109	0.9041470540797396	0.32818950707242617	0.12554536686271234	0.13708217670352785	0.09030230925962117	0.11110953381658774	0.3509307415259796
530055	0.23684667602180526	0.09627186109689889	0.09222068085860607	0.0	0.17862617311357998	0.12757539424448458	0.13962868717361462	0.19323183010523115	0.20841565070993445	0.23661560439448143	0.4996542433878692	0.5397380057341088	0.5413418221168226	0.5585025660293604	0.4415984111018836	0.40851806393197887	0.8595702756436076	0.28361272863629416	0.08096858842658033	0.09250539826739583	0.04572553082348915	0.06653275538045572	0.34245172092550147
S26Hp	0.36782894671291116	0.2272541317880048	0.22320295154971198	0.17862617311357998	0.0	0.2074329473465954	0.21948624027572544	0.27308938320734194	0.28827320381204524	0.3164731574965922	0.57951179648998	0.6195955588362196	0.6211993752189334	0.6383601191314713	0.5214559642039944	0.4883756170340897	0.9394278287457184	0.363470281738405	0.20482993407605038	0.2163667439168659	0.1695868764729592	0.19039410102992577	0.4734339916166074
530258	0.3167781678438158	0.17620335291890943	0.1721521726806166	0.12757539424448458	0.2074329473465954	0.0	0.07013052355126304	0.16541188955613748	0.1805957101608408	0.20879566384538778	0.47183430283877553	0.5119180651850151	0.5135218815677289	0.5306826254802668	0.41377847055278993	0.3806981233828852	0.8317503350945139	0.2557927880872005	0.153779155206955	0.1653159650477705	0.11853609760386383	0.1393433221608304	0.422383212747512
31009	0.3288314607729458	0.18825664584803942	0.18420546560974665	0.13962868717361462	0.21948624027572544	0.07013052355126304	0.0	0.17746518248526752	0.19264900308997085	0.22084895677451782	0.4838875957679056	0.5239713581141452	0.525575174496859	0.5427359184093968	0.42583176348192	0.39275141631201527	0.843803628023644	0.26784608101633056	0.16583244813608505	0.17736925797690054	0.13058939053299387	0.15139661508996044	0.43443650567664205
530163	0.38243460370456234	0.24185978877965597	0.23780860854136315	0.19323183010523115	0.27308938320734194	0.16541188955613748	0.17746518248526752	0.0	0.06497714733938034	0.22915467874030865	0.4921933177336964	0.5322770800799361	0.5338808964626498	0.5510416403751877	0.4341374854477108	0.4010571382778061	0.8521093499894348	0.2761518029821214	0.21943559106770155	0.23097240090851706	0.18419253346461037	0.20499975802157694	0.48803964860825855
31300	0.39761842430926564	0.2570436093843593	0.25299242914606646	0.20841565070993445	0.28827320381204524	0.1805957101608408	0.19264900308997085	0.06497714733938034	0.0	0.24433849934501195	0.5073771383383997	0.5474609006846394	0.5490647170673532	0.566225460979891	0.4493213060524141	0.4162409588825094	0.8672931705941381	0.29133562358682474	0.23461941167240485	0.24615622151322036	0.19937635406931367	0.22018357862628024	0.5032234692129619
S25Hp	0.4258183779938126	0.28524356306890625	0.28119238283061343	0.23661560439448143	0.3164731574965922	0.20879566384538778	0.22084895677451782	0.22915467874030865	0.24433849934501195	0.0	0.48604261186831266	0.5261263742145523	0.5277301905972661	0.544890934509804	0.4279867795823271	0.3949064324124224	0.8459586441240511	0.2700010971167377	0.26281936535695183	0.27435617519776734	0.22757630775386065	0.24838353231082722	0.5314234228975089
