	F3H1	31009	530154	31267	31328	31333	31600	530444	530331	S6Hp	530119	S27H1	31700	530295	31750	530258	F7H1	S15Hp	31219	31071
F3H1	0.0	0.9820412255529724	0.5472473226851896	0.2632683910174365	0.33239247370122144	0.3199756060412269	0.43524963735031663	0.36679697984617576	0.33148926851331145	0.3119006962223173	0.4076594368545494	0.3275168612366305	0.276972699021658	0.30435119054661686	0.2777239877088507	0.299277875947796	0.319110644891089	0.30296439500997385	0.2956840123127247	0.24749367476770093
31009	0.9820412255529724	0.0	0.9709712949616638	0.875066177628699	0.944190260312484	0.9317733926524894	1.0470474239615792	0.9785947664574384	0.9604821476486063	0.9408935753576121	1.0366523159898442	0.9565097403719253	0.9266983887290264	0.9618147851543022	0.9351875823165361	0.9748391389557198	0.9946719078990129	0.9785256580178978	0.9712452753206485	0.9681147273207957
530154	0.5472473226851896	0.9709712949616638	0.0	0.4402722747609164	0.5093963574447014	0.49697948978470685	0.6122535210937965	0.5438008635896557	0.5256882447808235	0.5060996724898295	0.6018584131220615	0.5217158375041426	0.4919044858612438	0.5270208822865197	0.5003936794487535	0.5400452360879372	0.5598780050312302	0.5437317551501151	0.5364513724528659	0.5333208244530131
31267	0.2632683910174365	0.875066177628699	0.4402722747609164	0.0	0.2095705041692113	0.19715363650921675	0.31242766781830644	0.24397501031416563	0.24170931311307042	0.22212074082207628	0.31787948145430833	0.23773690583638946	0.20792555419349062	0.24304195061876643	0.21641474778100028	0.256066304420184	0.275899073363477	0.2597528234823619	0.25247244078511266	0.24934189278525992
31328	0.33239247370122144	0.944190260312484	0.5093963574447014	0.2095705041692113	0.0	0.1774578149749138	0.33506478044923643	0.2666121229450956	0.3108333957968554	0.2912448235058613	0.38700356413809334	0.30686098852017446	0.27704963687727563	0.31216603330255144	0.2855388304647853	0.32519038710396897	0.34502315604726197	0.32887690616614684	0.32159652346889767	0.31846597546904487
31333	0.3199756060412269	0.9317733926524894	0.49697948978470685	0.19715363650921675	0.1774578149749138	0.0	0.3226479127892419	0.25419525528510106	0.29841652813686087	0.2788279558458667	0.3745866964780988	0.2944441208601799	0.26463276921728107	0.2997491656425568	0.27312196280479073	0.31277351944397447	0.33260628838726747	0.31646003850615234	0.3091796558089031	0.30604910780905037
31600	0.43524963735031663	1.0470474239615792	0.6122535210937965	0.31242766781830644	0.33506478044923643	0.3226479127892419	0.0	0.20469873306729974	0.41369055944595057	0.3941019871549564	0.4898607277871885	0.4097181521692696	0.37990680052637077	0.4150231969516466	0.3883959941138804	0.42804755075306417	0.44788031969635717	0.43173406981524204	0.4244536871179928	0.42132313911814007
530444	0.36679697984617576	0.9785947664574384	0.5438008635896557	0.24397501031416563	0.2666121229450956	0.25419525528510106	0.20469873306729974	0.0	0.34523790194180975	0.3256493296508156	0.42140807028304766	0.3412654946651288	0.31145414302222996	0.3465705394475057	0.3199433366097396	0.35959489324892335	0.37942766219221635	0.3632814123111012	0.356001029613852	0.35287048161399925
530331	0.33148926851331145	0.9604821476486063	0.5256882447808235	0.24170931311307042	0.3108333957968554	0.29841652813686087	0.41369055944595057	0.34523790194180975	0.0	0.2761855629732663	0.37194430360549835	0.2918017279875795	0.27614643168936565	0.31126282811464145	0.2846356252768753	0.324287181916059	0.344119950859352	0.32797370097823686	0.3206933182809877	0.3175627702811349
S6Hp	0.3119006962223173	0.9408935753576121	0.5060996724898295	0.22212074082207628	0.2912448235058613	0.2788279558458667	0.3941019871549564	0.3256493296508156	0.2761855629732663	0.0	0.2621763196492817	0.18203374403136277	0.2565578593983715	0.29167425582364725	0.26504705298588116	0.3046986096250649	0.3245313785683579	0.30838512868724277	0.30110474598999354	0.2979741979901408
