	31766	S10H1	S20H1	31711	530167	31519	530119	31749	31300	31512	530227	31236	31452	31557	31537	S17H1	S23Hp	31232	31129	530258	S30H1	31219	530331	31600	S28Hp	31160	31343	31637	31021	S19H1	31267	530075	31328	530394	31416	530177	S27H1	31333	530154	31071	31723	530444	530052	530055	31360	S25Hp	S8Hp	530315	530050	S1Hp	F8H1	S9H1	31750	S16H2	S21H1	S3Hp	S6Hp	31700	F3H1	S29H1	F32H1	S18H1	31112	S26Hp	F22HpB	F7H1	F14H1B	s24H1	S13Hp	31379	31714	531414	530163	31450	530074	530364	530215	530451	530251	530368	31428	S15Hp	31009
31766	0.0	0.21308807033379382	0.30444995283520593	0.436901976657468	0.25225162814961555	0.25012067812241	0.37566051402639766	0.4108555643455112	0.2920007814494262	0.29414855225910075	0.49409180779907336	0.3061804941327986	0.300589480729872	0.3955924678443554	0.2771434430745179	0.32205671931932833	0.26169817720279287	0.3080176508144583	0.27794668246942944	0.25010086121557895	0.3541646895853312	0.2681894446570538	0.2640883880548768	0.2798198512715121	0.3943535657544375	0.3078276894674886	0.29116153754231255	0.31478266729048676	0.29752415728077963	0.36996165366430844	0.27740652764033935	0.2937895055521647	0.3254613169352719	0.3414232497166171	0.4265268336279102	0.4473839273050595	0.36110420701949	0.30768368398391166	0.28756522394300554	0.2844822508249677	0.30134274933692495	0.26993381513688197	0.36476666403850855	0.3690792887522736	0.3445341646075305	0.40783026338530615	0.4171559504484043	0.427631788444962	0.30146930568914543	0.3793793135872683	0.45388791548821383	0.4387363929138093	0.47447571796773785	0.4781508799995022	0.31019371390953876	0.4384007365758981	0.31104172781546097	0.3458714262408642	0.3129876610000148	0.4250731910112177	0.36155852647775205	0.4410154609783733	0.502392827533582	0.4541864096811662	0.36399689006304325	0.3962017908599069	0.3316176339128918	0.38593699103624046	0.38084490466757237	0.29564836466895333	0.3283898208609398	0.39339093449021956	0.42007169508157916	0.4124993419812012	0.2721551792985836	0.38154965725966317	0.27918229569311903	0.2239971291951166	0.29467742198469365	0.2003341718217465	0.3339385960259697	0.32378105162023574	0.18071440423079202
S10H1	0.21308807033379382	0.0	0.2395145471931454	0.37196657101540753	0.18731622250755509	0.1851852724803495	0.3107251083843372	0.3459201587034507	0.2270653758073657	0.22921314661704023	0.4291564021570129	0.24124508849073806	0.23565407508781153	0.33065706220229496	0.2122080374324574	0.25712131367726787	0.1967627715607324	0.24308224517239782	0.21301127682736892	0.18516545557351846	0.28922928394327074	0.2032540390149933	0.19915298241281632	0.2148844456294516	0.329418160112377	0.2428922838254281	0.22622613190025204	0.24984726164842627	0.23258875163871912	0.305026248022248	0.21247112199827883	0.22885409991010422	0.26052591129321145	0.27648784407455657	0.36159142798584976	0.38244852166299903	0.2961688013774295	0.24274827834185114	0.22262981830094505	0.2195468451829072	0.2364073436948645	0.20499840949482145	0.29983125839644803	0.3041438831102131	0.27959875896547	0.34289485774324563	0.3522205448063438	0.3626963828029015	0.23653390004708494	0.31444390794520777	0.38895250984615337	0.3738009872717488	0.40954031232567734	0.41321547435744166	0.24525830826747827	0.3734653309338376	0.24610632217340048	0.2809360205988037	0.2480522553579543	0.3601377853691572	0.29662312083569153	0.37608005533631284	0.4374574218915215	0.38925100403910573	0.29906148442098274	0.3312663852178464	0.2666822282708313	0.32100158539417994	0.3159094990255119	0.23071295902689284	0.2634544152188793	0.3284555288481591	0.3551362894395187	0.3475639363391407	0.20721977365652314	0.3166142516176027	0.21424689005105857	0.15906172355305614	0.22974201634263317	0.135398766179686	0.2690031903839092	0.2588456459781753	0.11577899858873153
S20H1	0.30444995283520593	0.2395145471931454	0.0	0.3150772950395345	0.13958639954095342	0.15275903712948688	0.2871138399988088	0.32230889031792226	0.20345410742183723	0.20560187823151177	0.40554513377148443	0.2176338201052096	0.2120428067022831	0.30704579381676655	0.18859676904692896	0.2335100452917394	0.17315150317520397	0.2194709767868694	0.18940000844184046	0.16155418718799003	0.2656180155577423	0.17964277062946488	0.17554171402728785	0.19127317724392318	0.3058068917268486	0.21928101543989964	0.20261486351472358	0.22623599326289784	0.20897748325319065	0.2814149796367196	0.1888598536127504	0.2052428315245758	0.236914642907683	0.2528765756890281	0.3379801596003213	0.35883725327747057	0.2725575329919011	0.21913700995632268	0.19901854991541662	0.19593557679737877	0.21279607530933603	0.181387141109293	0.27621999001091957	0.2805326147246847	0.2559874905799415	0.31928358935771717	0.3286092764208154	0.3390851144173731	0.2129226316615565	0.2908326395596793	0.3653412414606249	0.3501897188862203	0.38592904394014893	0.38960420597191325	0.22164703988194984	0.3498540625483092	0.22249505378787204	0.2573247522132752	0.22444098697242587	0.3365265169836288	0.27301185245016313	0.3524687869507843	0.4138461535059931	0.36563973565357727	0.2754502160354543	0.30765511683231794	0.24307095988530286	0.2973903170086515	0.2922982306399835	0.2071016906413644	0.23984314683335087	0.30484426046263063	0.33152502105399023	0.3239526679536122	0.1836085052709947	0.2930029832320743	0.1906356216655301	0.13545045516752768	0.20613074795710473	0.13882866097191987	0.2951093886746017	0.28495184426886777	0.15862507099844236
31711	0.436901976657468	0.37196657101540753	0.3150772950395345	0.0	0.27203842336321554	0.285211060951749	0.41956586382107086	0.4547609141401844	0.33590613124409935	0.3380539020537739	0.5379971575937466	0.3500858439274717	0.34449483052454516	0.4394978176390286	0.321048792869191	0.36596206911400153	0.30560352699746607	0.35192300060913145	0.3218520322641026	0.2940062110102521	0.3980700393800044	0.31209479445172694	0.30799373784955	0.32372520106618524	0.4382589155491107	0.35173303926216176	0.3350668873369857	0.3586880170851599	0.3414295070754528	0.41386700345898164	0.3213118774350125	0.33769485534683785	0.3693666667299451	0.3853285995112902	0.4704321834225834	0.4912892770997327	0.4050095568141632	0.3515890337785848	0.3314705737376787	0.32838760061964084	0.34524809913159815	0.3138391649315551	0.4086720138331817	0.4129846385469468	0.38843951440220365	0.4517356131799793	0.4610613002430775	0.47153713823963517	0.34537465548381857	0.42328466338194143	0.49779326528288703	0.4826417427084824	0.518381067762411	0.5220562297941753	0.3540990637042119	0.48230608637057126	0.3549470776101341	0.38977677603553734	0.35689301079468794	0.46897854080589085	0.4054638762724252	0.48492081077304644	0.5462981773282551	0.4980917594758394	0.4079022398577164	0.44010714065458006	0.375522983707565	0.4298423408309136	0.42475025446224557	0.3395537144636265	0.37229517065561296	0.43729628428489276	0.46397704487625235	0.45640469177587434	0.31606052909325677	0.42545500705433636	0.32308764548779223	0.2679024789897898	0.3385827717793668	0.271280684794182	0.4275614124968638	0.41740386809112984	0.29107709482070443
530167	0.25225162814961555	0.18731622250755509	0.13958639954095342	0.27203842336321554	0.0	0.10056071244389661	0.23491551531321847	0.270110565632332	0.15125578273624696	0.1534035535459215	0.35334680908589416	0.16543549541961933	0.1598444820166928	0.25484746913117623	0.13639844436133866	0.1813117206061491	0.12095317848961368	0.1672726521012791	0.1372016837562502	0.10935586250239973	0.21341969087215198	0.12744444594387458	0.12334338934169758	0.13907485255833288	0.2536085670412583	0.16708269075430937	0.1504165388291333	0.17403766857730754	0.15677915856760039	0.22921665495112925	0.1366615289271601	0.1530445068389855	0.1847163182220927	0.20067825100343784	0.285781834914731	0.3066389285918803	0.22035920830631078	0.1669386852707324	0.14682022522982632	0.14373725211178848	0.16059775062374576	0.12918881642370272	0.2240216653253293	0.2283342900390944	0.20378916589435125	0.2670852646721269	0.2764109517352251	0.2868867897317828	0.1607243069759662	0.23863431487408904	0.31314291677503464	0.29799139420063003	0.33373071925455866	0.337405881286323	0.16944871519635954	0.29765573786271887	0.17029672910228175	0.20512642752768495	0.17224266228683557	0.28432819229803846	0.22081352776457283	0.30027046226519405	0.3616478288204028	0.313441410967987	0.223251891349864	0.2554567921467277	0.19087263519971256	0.24519199232306121	0.24009990595439318	0.1549033659557741	0.18764482214776057	0.25264593577704036	0.27932669636839996	0.27175434326802195	0.1314101805854044	0.24080465854648397	0.13843729697993984	0.0832521304819374	0.15393242327151443	0.08663033628632957	0.2429110639890114	0.23275351958327745	0.10642674631285204
31519	0.25012067812241	0.1851852724803495	0.15275903712948688	0.285211060951749	0.10056071244389661	0.0	0.23278456528601288	0.2679796156051264	0.14912483270904137	0.1512726035187159	0.3512158590586886	0.16330454539241374	0.15771353198948718	0.25271651910397064	0.13426749433413304	0.17918077057894352	0.11882222846240809	0.16514170207407347	0.1350707337290446	0.10722491247519413	0.2112887408449464	0.125313495916669	0.12121243931449198	0.13694390253112726	0.2514776170140527	0.16495174072710378	0.14828558880192771	0.17190671855010192	0.1546482085403948	0.22708570492392366	0.1345305788999545	0.15091355681177987	0.1825853681948871	0.19854730097623224	0.28365088488752543	0.3045079785646747	0.2182282582791052	0.16480773524352682	0.1446892752026207	0.14160630208458286	0.15846680059654017	0.12705786639649713	0.2218907152981237	0.2262033400118888	0.20165821586714566	0.2649543146449213	0.2742800017080195	0.2847558397045772	0.1585933569487606	0.23650336484688345	0.31101196674782905	0.29586044417342444	0.331599769227353	0.33527493125911734	0.16731776516915392	0.2955247878355133	0.16816577907507613	0.20299547750047936	0.17011171225962995	0.28219724227083287	0.21868257773736724	0.29813951223798846	0.35951687879319716	0.3113104609407814	0.22112094132265842	0.2533258421195221	0.18874168517250697	0.24306104229585562	0.2379689559271876	0.1527724159285685	0.18551387212055498	0.2505149857498348	0.27719574634119437	0.26962339324081636	0.12927923055819882	0.23867370851927838	0.13630634695273425	0.0811211804547318	0.15180147324430884	0.08449938625912398	0.24078011396180582	0.23062256955607185	0.10429579628564645
530119	0.37566051402639766	0.3107251083843372	0.2871138399988088	0.41956586382107086	0.23491551531321847	0.23278456528601288	0.0	0.2934749877698941	0.20805067335763677	0.21019844416731132	0.43074435113397636	0.24283303746770157	0.23724202406477504	0.3322450111792585	0.2208625886852485	0.265775864930059	0.20541732281352354	0.2517367964251889	0.22166582808016005	0.1938200068263096	0.2978838351960619	0.21190859026778444	0.20780753366560745	0.2235389968822427	0.33807271136516814	0.25154683507821923	0.23488068315304317	0.2585018129012174	0.24124330289151025	0.3136807992750391	0.22112567325106997	0.23750865116289532	0.26918046254600253	0.2851423953273477	0.3702459792386409	0.39110307291579016	0.30482335263022065	0.2514028295946423	0.23128436955373616	0.2282013964356983	0.24506189494765562	0.21365296074761259	0.30848580964923916	0.31279843436300425	0.2882533102182611	0.35154940899603676	0.360875096059135	0.37135093405569264	0.24518845129987604	0.3230984591979989	0.3976070610989445	0.3824555385245399	0.41819486357846847	0.4218700256102328	0.2539128595202694	0.38211988218662873	0.2547608734261916	0.2895905718515948	0.2567068066107454	0.3687923366219483	0.30527767208848267	0.3847346065891039	0.4461119731443126	0.39790555529189686	0.30771603567377387	0.33992093647063754	0.2753367795236224	0.3296561366469711	0.32456405027830304	0.23936751027968395	0.27210896647167043	0.3539380766378416	0.3806188372292012	0.37304648412882324	0.23270232144620573	0.34209679940728527	0.23972943784074113	0.1845442713427387	0.25522456413231576	0.2100392221631117	0.3663199498657935	0.3561624054600595	0.22983563218963415
31749	0.4108555643455112	0.3459201587034507	0.32230889031792226	0.4547609141401844	0.270110565632332	0.2679796156051264	0.2934749877698941	0.0	0.2432457236767503	0.2453934944864248	0.4659394014530899	0.2780280877868151	0.27243707438388853	0.36744006149837194	0.256057639004362	0.30097091524917247	0.24061237313263703	0.28693184674430244	0.2568608783992735	0.22901505714542308	0.33307888551517534	0.24710364058689793	0.24300258398472094	0.25873404720135623	0.37326776168428166	0.2867418853973327	0.27007573347215663	0.2936968632203309	0.2764383532106237	0.34887584959415263	0.2563207235701835	0.27270370148200884	0.30437551286511605	0.32033744564646116	0.40544102955775435	0.4262981232349036	0.34001840294933416	0.28659787991375574	0.2664794198728497	0.26339644675481183	0.2802569452667691	0.24884801106672608	0.3436808599683526	0.34799348468211777	0.3234483605373746	0.3867444593151502	0.39607014637824844	0.40654598437480616	0.28038350161898956	0.35829350951711236	0.432802111418058	0.41765058884365336	0.453389913897582	0.4570650759293463	0.2891079098393829	0.41731493250574225	0.2899559237453051	0.3247856221707083	0.2919018569298589	0.40398738694106184	0.3404727224075962	0.4199296569082174	0.48130702346342613	0.4331006056110104	0.34291108599288733	0.375115986789751	0.3105318298427359	0.36485118696608454	0.35975910059741656	0.27456256059879747	0.3073040167907839	0.3891331269569551	0.4158138875483147	0.40824153444793676	0.2678973717653192	0.37729184972639873	0.2749244881598546	0.2197393216618522	0.2904196144514292	0.24523427248222518	0.401515000184907	0.391357455779173	0.2650306825087476
31300	0.2920007814494262	0.2270653758073657	0.20345410742183723	0.33590613124409935	0.15125578273624696	0.14912483270904137	0.20805067335763677	0.2432457236767503	0.0	0.07053348967088323	0.3470846185570049	0.1591733048907301	0.15358229148780356	0.24858527860228696	0.13720285610827698	0.18211613235308746	0.12175759023655203	0.1680770638482174	0.13800609550318854	0.11016027424933808	0.21422410261909033	0.12824885769081293	0.12414780108863593	0.1398792643052712	0.25441297878819663	0.16788710250124772	0.15122095057607166	0.17484208032424586	0.15758357031453873	0.2300210666980676	0.13746594067409845	0.1538489185859238	0.18552072996903102	0.20148266275037618	0.2865862466616693	0.3074433403388186	0.22116362005324913	0.16774309701767076	0.14762463697676464	0.1445416638587268	0.1614021623706841	0.12999322817064107	0.22482607707226765	0.22913870178603274	0.2045935776412896	0.26788967641906525	0.27721536348216347	0.2876912014787211	0.16152871872290453	0.2394387266210274	0.313947328521973	0.2987958059475684	0.33453513100149695	0.3382102930332613	0.17025312694329786	0.2984601496096572	0.17110114084922007	0.2059308392746233	0.1730470740337739	0.2851326040449768	0.22161793951151118	0.3010748740121324	0.3624522405673411	0.31424582271492535	0.22405630309680236	0.256261203893666	0.1916770469466509	0.24599640406999956	0.24090431770133153	0.15570777770271244	0.18844923389469892	0.27027834406087015	0.29695910465222974	0.28938675155185173	0.14904258886923422	0.25843706683031376	0.15606970526376962	0.10088453876576718	0.17156483155534424	0.12637948958614018	0.28266021728882196	0.27250267288308805	0.14617589961266264
31512	0.29414855225910075	0.22921314661704023	0.20560187823151177	0.3380539020537739	0.1534035535459215	0.1512726035187159	0.21019844416731132	0.2453934944864248	0.07053348967088323	0.0	0.34923238936667944	0.1613210757004046	0.15573006229747807	0.2507330494119615	0.13935062691795153	0.18426390316276198	0.12390536104622656	0.17022483465789195	0.14015386631286308	0.1123080450590126	0.21637187342876485	0.13039662850048747	0.12629557189831045	0.14202703511494574	0.2565607495978712	0.17003487331092224	0.15336872138574617	0.1769898511339204	0.15973134112421325	0.23216883750774214	0.139613711483773	0.15599668939559835	0.18766850077870556	0.20363043356005073	0.28873401747134386	0.30959111114849314	0.22331139086292368	0.16989086782734528	0.1497724077864392	0.14668943466840134	0.16354993318035863	0.1321409989803156	0.2269738478819422	0.23128647259570728	0.20674134845096415	0.2700374472287398	0.279363134291838	0.28983897228839567	0.16367648953257907	0.24158649743070193	0.31609509933164753	0.3009435767572429	0.3366829018111715	0.3403580638429358	0.1724008977529724	0.30060792041933176	0.1732489116588946	0.20807861008429784	0.17519484484344844	0.28728037485465135	0.2237657103211857	0.30322264482180694	0.36460001137701564	0.3163935935245999	0.2262040739064769	0.25840897470334057	0.19382481775632543	0.2481441748796741	0.24305208851100607	0.15785554851238698	0.19059700470437344	0.2724261148705447	0.2991068754619043	0.29153452236152627	0.15119035967890876	0.2605848376399883	0.15821747607344416	0.10303230957544172	0.1737126023650188	0.12852726039581472	0.2848079880984965	0.2746504436927626	0.14832367042233718
