	31232	31021	31071	31333	530075	S21H1	530055	530315	F22HpB	S8Hp	31379	530295	S1Hp	31452	S31Hp	F32H1	31723	f8pp	w26pp	w18pp	w32pp	w14pp	w8pp	w21pp	f1pp	f12ppB	f19pp	f21pp	f14ppB	f24pp	f2pp	w20pp	f7pp	w24pp	w23pp	31766	S17H1	F14H1B	31714	F23HpA	31428	S15Hp	S6Hp	530074	530215	F6H1	530364	530451	S18H1	31009	F3H1	31267	S13Hp	F7H1	S19H1	S7Hp	31519	531414	31512	S4Hp	31700	31750	530444	530394	S30H1	530368	530177	31300	31343	31236	31129	530167	31360	S28Hp	31219	31537	F29H1	31160	530050	530163	31749	31328	530331	530258	31637
31232	0.0	0.08250267544949327	0.09655636618320723	0.14019362420869183	0.1331413918593386	0.2851237787738437	0.25365629610256446	0.2721870172168211	0.29310825075777286	0.3102488317269629	0.2306013739706519	0.32500939857626127	0.2561955976624174	0.35246770761934276	0.2691584609862277	0.276309043588352	0.2635852565723151	0.3565450664800904	0.36282885025948497	0.38504186497394094	0.3855409704304872	0.38326099073373826	0.3810019214530059	0.384953681784908	0.40204987252911434	0.39166023481700013	0.3945572588313114	0.40212246173731353	0.3865538288111223	0.3817338561099683	0.39241723117159205	0.3742972898353964	0.37000009897122116	0.37210939593703857	0.3714828210347095	0.31066127085348527	0.33913493150096025	0.34655374016895435	0.33599789710090744	0.34169322030380556	0.35928200670735266	0.3152026865096004	0.30637520855967154	0.2753955401218607	0.2908867894996959	0.3502170488026003	0.3196163536279149	0.31480625047124183	0.30618387290527266	0.3437640630278568	0.2961206851990686	0.33137178231826697	0.31402069005549005	0.29284477392233216	0.32986330332411345	0.27145742400176937	0.27106966755234435	0.26826620513883587	0.18730377165199413	0.25179574296641005	0.2900719274850229	0.2471957700152823	0.21882741383522536	0.32191304720116476	0.2648891122930583	0.22251192832479583	0.35033981613714815	0.2564784770910592	0.3005473690950581	0.2959948154893899	0.3239092421476289	0.30776689187059536	0.2726279049591103	0.2569808739876543	0.26023696972380406	0.318105795843003	0.2887468676666716	0.2801371246544601	0.28200330508083427	0.26851271264643056	0.2731721921360574	0.23329240205873614	0.18075511167536668	0.17736358947069797	0.20844878000642292
31021	0.08250267544949327	0.0	0.045012646905726	0.0886499049312106	0.08159767258185735	0.23358005949636246	0.20211257682508324	0.22064329793933987	0.24156453148029164	0.25870511244948163	0.17905765469317067	0.27346567929878	0.20465187838493615	0.3009239883418615	0.21761474170874648	0.2247653243108708	0.21204153729483385	0.30500134720260913	0.3112851309820037	0.3334981456964597	0.33399725115300594	0.331717271456257	0.32945820217552463	0.33340996250742677	0.3505061532516331	0.3401165155395189	0.3430135395538301	0.3505787424598323	0.3350101095336411	0.33019013683248705	0.3408735118941108	0.32275357055791515	0.3184563796937399	0.3205656766595573	0.31993910175722823	0.259117551576004	0.287591212223479	0.2950100208914731	0.2844541778234262	0.2901495010263243	0.3077382874298714	0.2636589672321192	0.2548314892821903	0.22385182084437946	0.23934307022221465	0.29867332952511905	0.26807263435043366	0.2632625311937606	0.2546401536277914	0.29222034375037553	0.24457696592158737	0.2798280630407857	0.2624769707780088	0.2413010546448509	0.2783195840466322	0.21991370472428812	0.21952594827486313	0.21672248586135465	0.13576005237451289	0.20025202368892883	0.2385282082075417	0.1956520507378011	0.16728369455774414	0.2703693279236835	0.21334539301557706	0.1709682090473146	0.2987960968596669	0.20493475781357798	0.24900364981757686	0.24445109621190866	0.27236552287014765	0.2562231725931141	0.22108418568162908	0.20543715471017304	0.2086932504463228	0.2665620765655218	0.23720314838919038	0.2285934053769789	0.23045958580335305	0.21696899336894934	0.22162847285857618	0.18174868278125492	0.12921139239788543	0.12581987019321675	0.1569050607289417
31071	0.09655636618320723	0.045012646905726	0.0	0.0711410135281049	0.06408878117875164	0.21607116809325674	0.18460368542197753	0.20313440653623416	0.22405564007718592	0.24119622104637595	0.16154876329006496	0.25595678789567433	0.18714298698183043	0.28341509693875583	0.20010585030564076	0.20725643290776508	0.19453264589172814	0.28749245579950344	0.29377623957889804	0.315989254293354	0.31648835974990025	0.3142083800531513	0.31194931077241894	0.3159010711043211	0.3329972618485274	0.3226076241364132	0.32550464815072444	0.3330698510567266	0.3175012181305354	0.31268124542938136	0.3233646204910051	0.30524467915480946	0.3009474882906342	0.30305678525645163	0.30243021035412254	0.24160866017289834	0.2700823208203733	0.2775011294883674	0.2669452864203205	0.2726406096232186	0.29022939602676573	0.2461500758290135	0.2373225978790846	0.20634292944127375	0.22183417881910894	0.28116443812201336	0.25056374294732797	0.2457536397906549	0.23713126222468572	0.27471145234726985	0.22706807451848166	0.26231917163768004	0.24496807937490309	0.2237921632417452	0.2608106926435265	0.2024048133211824	0.20201705687175742	0.19921359445824893	0.11825116097140717	0.18274313228582312	0.22101931680443598	0.17814315933469538	0.14977480315463843	0.2528604365205778	0.19583650161247135	0.1534593176442089	0.2812872054565612	0.18742586641047226	0.23149475841447115	0.22694220480880295	0.25485663146704196	0.23871428119000843	0.20357529427852336	0.18792826330706733	0.1911843590432171	0.2490531851624161	0.21969425698608466	0.21108451397387318	0.21295069440024733	0.19946010196584363	0.20411958145547046	0.1642397913781492	0.11170250099477971	0.10831097879011103	0.13939616932583598
31333	0.14019362420869183	0.0886499049312106	0.0711410135281049	0.0	0.012927902231106039	0.1763770209674364	0.1449095382961572	0.16344025941041382	0.18436149295136559	0.2015020739205556	0.12185461616424462	0.216262640769854	0.1474488398560101	0.24372094981293546	0.16041170317982043	0.16756228578194474	0.1548384987659078	0.24779830867368308	0.25408209245307767	0.27629510716753364	0.2767942126240799	0.27451423292733096	0.2722551636465986	0.2762069239785007	0.29330311472270704	0.28291347701059283	0.2858105010249041	0.29337570393090623	0.277807071004715	0.272987098303561	0.28367047336518475	0.26555053202898915	0.2612533411648139	0.26336263813063127	0.26273606322830223	0.201914513047078	0.23038817369455297	0.23780698236254708	0.22725113929450014	0.23294646249739825	0.25053524890094536	0.20645592870319315	0.19762845075326427	0.1666487823154534	0.1821400316932886	0.241470290996193	0.2108695958215076	0.20605949266483456	0.19743711509886538	0.23501730522144948	0.18737392739266132	0.22262502451185967	0.20527393224908275	0.18409801611592486	0.22111654551770615	0.16271066619536206	0.16232290974593708	0.1595194473324286	0.07855701384558685	0.14304898516000278	0.18132516967861564	0.13844901220887507	0.1100806560288181	0.21316628939475746	0.156142354486651	0.11376517051838857	0.24159305833074088	0.14773171928465192	0.1918006112886508	0.1872480576829826	0.21516248434122162	0.1990201340641881	0.16388114715270302	0.148234116181247	0.15149021191739676	0.20935903803659575	0.18000010986026432	0.17139036684805284	0.173256547274427	0.1597659548400233	0.16442543432965012	0.12454564425232888	0.07200835386895937	0.0686168316642907	0.1534790082892696
530075	0.1331413918593386	0.08159767258185735	0.06408878117875164	0.012927902231106039	0.0	0.16932478861808314	0.13785730594680393	0.15638802706106056	0.17730926060201233	0.19444984157120235	0.11480238381489136	0.20921040842050073	0.14039660750665683	0.2366687174635822	0.15335947083046716	0.16051005343259148	0.14778626641655454	0.24074607632432982	0.2470298601037244	0.2692428748181804	0.2697419802747266	0.2674620005779777	0.2652029312972453	0.26915469162914746	0.2862508823733538	0.27586124466123957	0.2787582686755508	0.28632347158155297	0.27075483865536176	0.26593486595420773	0.2766182410158315	0.2584982996796359	0.25420110881546065	0.256310405781278	0.25568383087894897	0.19486228069772474	0.2233359413451997	0.23075475001319382	0.22019890694514688	0.225894230148045	0.24348301655159213	0.1994036963538399	0.190576218403911	0.15959654996610015	0.17508779934393534	0.23441805864683973	0.20381736347215434	0.1990072603154813	0.19038488274951212	0.22796507287209622	0.18032169504330806	0.2155727921625064	0.1982216998997295	0.1770457837665716	0.2140643131683529	0.1556584338460088	0.15527067739658382	0.15246721498307533	0.07150478149623359	0.13599675281064952	0.17427293732926238	0.1313967798595218	0.10302842367946484	0.2061140570454042	0.14909012213729775	0.1067129381690353	0.23454082598138762	0.14067948693529866	0.18474837893929755	0.18019582533362935	0.20811025199186836	0.19196790171483483	0.15682891480334976	0.14118188383189373	0.1444379795680435	0.2023068056872425	0.17294787751091106	0.16433813449869958	0.16620431492507373	0.15271372249067003	0.15737320198029686	0.11749341190297562	0.06495612151960613	0.06156459931493745	0.14642677593991635
S21H1	0.2851237787738437	0.23358005949636246	0.21607116809325674	0.1763770209674364	0.16932478861808314	0.0	0.133141735742191	0.1953991063132502	0.2163203398542019	0.25374063346079234	0.17409317570448135	0.2685012003100907	0.19968739939624686	0.29595950935317217	0.21265026272005716	0.21980084532218147	0.20707705830614453	0.3000368682139198	0.3063206519933144	0.32853366670777034	0.3290327721643166	0.3267527924675677	0.3244937231868353	0.3284454835187375	0.34554167426294374	0.3351520365508296	0.33804906056514084	0.345614263471143	0.33004563054495173	0.3252256578437977	0.3359090329054215	0.31778909156922586	0.3134919007050506	0.315601197670868	0.31497462276853894	0.25415307258731473	0.2826267332347897	0.2900455419027838	0.27948969883473684	0.28518502203763496	0.3027738084411821	0.2586944882434299	0.249867010293501	0.21888734185569014	0.23437859123352534	0.2937088505364297	0.2631081553617443	0.2582980522050713	0.24967567463910212	0.2872558647616862	0.23961248693289805	0.2748635840520964	0.25751249178931945	0.2363365756561616	0.27335510505794286	0.21494922573559883	0.238085557542614	0.23528209512910553	0.15431966164226377	0.24142379326015243	0.2796999777787653	0.2368238203090247	0.20845546412896776	0.3115410974949071	0.2545171625868007	0.21213997861853823	0.3399678664308905	0.24610652738480157	0.2901754193888004	0.28562286578313223	0.3135372924413713	0.2973949421643377	0.26225595525285267	0.24660892428139664	0.2498650200175464	0.30773384613674537	0.27837491796041397	0.27956853127481884	0.28143471170119294	0.296673779769281	0.30133325925890786	0.26145346918158663	0.20891617879821714	0.20552465659354846	0.29840916285442143
530055	0.25365629610256446	0.20211257682508324	0.18460368542197753	0.1449095382961572	0.13785730594680393	0.133141735742191	0.0	0.16393162364197095	0.18485285718292271	0.2222731507895131	0.14262569303320213	0.23703371763881148	0.1682199167249676	0.264492026681893	0.18118278004877794	0.18833336265090225	0.17560957563486532	0.2685693855426406	0.2748531693220352	0.2970661840364911	0.2975652894930374	0.2952853097962885	0.29302624051555604	0.29697800084745823	0.3140741915916645	0.30368455387955035	0.30658157789386165	0.3141467807998638	0.29857814787367254	0.2937581751725185	0.30444155023414227	0.2863216088979466	0.2820244180337714	0.2841337149995888	0.2835071400972597	0.2226855899160355	0.25115925056351046	0.25857805923150456	0.24802221616345765	0.25371753936635577	0.2713063257699029	0.22722700557215064	0.21839952762222176	0.18741985918441093	0.20291110856224612	0.2622413678651505	0.23164067269046512	0.22683056953379205	0.21820819196782287	0.255788382090407	0.2081450042616188	0.2433961013808172	0.22604500911804026	0.20486909298488237	0.24188762238666367	0.18348174306431958	0.20661807487133477	0.20381461245782628	0.12285217897098455	0.2099563105888732	0.24823249510748607	0.2053563376377455	0.17698798145768854	0.2800736148236279	0.22304967991552144	0.180672495947259	0.3085003837596113	0.21463904471352235	0.25870793671752124	0.25415538311185304	0.28206980977009205	0.2659274594930585	0.23078847258157345	0.21514144161011742	0.2183975373462672	0.2762663634654662	0.24690743528913475	0.2481010486035396	0.24996722902991375	0.2652062970980018	0.26986577658762867	0.2299859865103074	0.17744869612693792	0.17405717392226924	0.26694168018314224
530315	0.2721870172168211	0.22064329793933987	0.20313440653623416	0.16344025941041382	0.15638802706106056	0.1953991063132502	0.16393162364197095	0.0	0.16263928426180055	0.24080387190376976	0.1611564141474588	0.2555644387530681	0.18675063783922427	0.2830227477961496	0.1997135011630346	0.2068640837651589	0.19414029674912198	0.2871001066568972	0.2933838904362918	0.3155969051507478	0.31609601060729403	0.3138160309105451	0.3115569616298127	0.31550872196171487	0.3326049127059212	0.322215274993807	0.3251122990081183	0.33267750191412043	0.31710886898792917	0.31228889628677514	0.3229722713483989	0.30485233001220324	0.300555139148028	0.3026644361138454	0.3020378612115163	0.24121631103029215	0.2696899716777671	0.27710878034576125	0.2665529372777143	0.2722482604806124	0.28983704688415957	0.2457577266864073	0.23693024873647842	0.20595058029866758	0.22144182967650278	0.28077208897940714	0.25017139380472175	0.2453612906480487	0.23673891308207953	0.27431910320466363	0.22667572537587546	0.2619268224950738	0.2445757302322969	0.223399814099139	0.2604183435009203	0.20201246417857624	0.22514879598559143	0.22234533357208294	0.1413829000852412	0.22848703170312984	0.2667632162217427	0.22388705875200215	0.1955187025719452	0.29860433593788455	0.24158040102977807	0.19920321706151567	0.32703110487386794	0.23316976582777899	0.27723865783177787	0.27268610422610967	0.3006005308843487	0.28445818060731515	0.2493191936958301	0.23367216272437408	0.23692825846052384	0.2947970845797228	0.2654381564033914	0.26663176971779623	0.2684979501441704	0.28373701821225844	0.28839649770188525	0.24851670762456404	0.19597941724119455	0.19258789503652587	0.28547240129739887
F22HpB	0.29310825075777286	0.24156453148029164	0.22405564007718592	0.18436149295136559	0.17730926060201233	0.2163203398542019	0.18485285718292271	0.16263928426180055	0.0	0.2617251054447215	0.18207764768841053	0.2764856722940199	0.207671871380176	0.3039439813371013	0.2206347347039863	0.22778531730611062	0.2150615302900737	0.308021340197849	0.31430512397724353	0.3365181386916995	0.33701724414824574	0.3347372644514969	0.33247819517076443	0.33642995550266663	0.3535261462468729	0.34313650853475874	0.34603353254907	0.35359873545507214	0.3380301025288809	0.3332101298277269	0.34389350488935067	0.325773563553155	0.3214763726889798	0.3235856696547972	0.3229590947524681	0.2621375445712439	0.29061120521871886	0.29803001388671296	0.287474170818666	0.2931694940215641	0.3107582804251113	0.26667896022735904	0.25785148227743016	0.2268718138396193	0.2423630632174545	0.30169332252035885	0.2710926273456735	0.26628252418900045	0.25766014662303127	0.29524033674561534	0.2475969589168272	0.2828480560360256	0.2654969637732486	0.24432104764009077	0.28133957704187207	0.22293369771952798	0.24607002952654317	0.24326656711303468	0.16230413362619295	0.2494082652440816	0.28768444976269447	0.2448082922929539	0.21643993611289694	0.31952556947883626	0.26250163457072984	0.2201244506024674	0.3479523384148197	0.25409099936873075	0.29815989137272964	0.29360733776706144	0.32152176442530045	0.3053794141482669	0.2702404272367819	0.25459339626532584	0.2578494920014756	0.3157183181206746	0.2863593899443432	0.287553003258748	0.28941918368512215	0.3046582517532102	0.309317731242837	0.2694379411655158	0.21690065078214632	0.21350912857747764	0.30639363483835064
S8Hp	0.3102488317269629	0.25870511244948163	0.24119622104637595	0.2015020739205556	0.19444984157120235	0.25374063346079234	0.2222731507895131	0.24080387190376976	0.2617251054447215	0.0	0.12884753265402088	0.22325555725963026	0.17126109012828655	0.26753320008521186	0.18422395345209686	0.1963082382950206	0.18358445127898365	0.2915756548543443	0.29785943863373887	0.3200724533481948	0.3205715588047411	0.31829157910799216	0.3160325098272597	0.3199842701591619	0.3370804609033682	0.32669082319125403	0.32958784720556533	0.3371530501115675	0.3215844171853762	0.3167644444842222	0.32744781954584595	0.3093278782096503	0.30503068734547506	0.30713998431129247	0.3065134094089634	0.24569185922773917	0.2862919778952832	0.2937107865632773	0.2831549434952304	0.2888502666981285	0.30643905310167563	0.2623597329039234	0.2535322549539945	0.22255258651618365	0.23804383589401884	0.29737409519692326	0.2667734000222378	0.2619632968655648	0.2533409192995956	0.29092110942217975	0.24327773159339156	0.2785288287125899	0.261177736449813	0.2400018203166551	0.27702034971843637	0.21861447039609233	0.2632106104957332	0.2604071480822247	0.17944471459538297	0.26654884621327163	0.3048250307318845	0.2619488732621439	0.23358051708208696	0.3366661504480263	0.27964221553991986	0.23726503157165743	0.36509291938400973	0.2712315803379208	0.31530047234191966	0.31074791873625146	0.33866234539449047	0.32251999511745694	0.2873810082059719	0.27173397723451587	0.27499007297066563	0.3328588990898646	0.3034999709135332	0.304693584227938	0.3065597646543122	0.32179883272240023	0.32645831221202704	0.2865785221347058	0.23404123175133634	0.23064970954666766	0.32353421580754066
