	S6Hp	S11Hp	S26Hp	S18H1	S15Hp	S25Hp	F1H1	F23HpA	S23Hp	S4Hp
S6Hp	0.0	0.6222484562603787	0.8578173417619677	0.8142944711035497	0.7264204595315382	0.8921986502065014	0.8949120848501774	1.1077613349619937	0.8767364291744828	0.9072180046837446
S11Hp	0.6222484562603787	0.0	0.7633413150320295	0.7198184443736115	0.6319444328016001	0.7977226234765631	0.8004360581202391	1.0132853082320554	0.7822604024445445	0.8127419779538063
S26Hp	0.8578173417619677	0.7633413150320295	0.0	0.7641948694937157	0.6763208579217043	0.8420990485966673	0.8448124832403434	1.0576617333521598	0.8266368275646488	0.8571184030739106
S18H1	0.8142944711035497	0.7198184443736115	0.7641948694937157	0.0	0.4937385385673404	0.6595167292423034	0.6622301638859796	0.875079413997796	0.644054508210285	0.6745360837195468
S15Hp	0.7264204595315382	0.6319444328016001	0.6763208579217043	0.4937385385673404	0.0	0.45090435014312663	0.4536177847868027	0.666467034898619	0.4354421291111081	0.4659237046203699
S25Hp	0.8921986502065014	0.7977226234765631	0.8420990485966673	0.6595167292423034	0.45090435014312663	0.0	0.39331334584426714	0.6959064800186541	0.4648815742311431	0.49536314974040496
F1H1	0.8949120848501774	0.8004360581202391	0.8448124832403434	0.6622301638859796	0.4536177847868027	0.39331334584426714	0.0	0.6986199146623302	0.4675950088748192	0.49807658438408103
F23HpA	1.1077613349619937	1.0132853082320554	1.0576617333521598	0.875079413997796	0.666467034898619	0.6959064800186541	0.6986199146623302	0.0	0.5345890355734221	0.5650706110826839
S23Hp	0.8767364291744828	0.7822604024445445	0.8266368275646488	0.644054508210285	0.4354421291111081	0.4648815742311431	0.4675950088748192	0.5345890355734221	0.0	0.07264740953094456
S4Hp	0.9072180046837446	0.8127419779538063	0.8571184030739106	0.6745360837195468	0.4659237046203699	0.49536314974040496	0.49807658438408103	0.5650706110826839	0.07264740953094456	0.0
