	S31Hp	S19H1	530055	w1pp	f10pp	w19pp	w15pp	w32pp	f28pp	f13pp	w21pp	f24pp	w25pp	w31pp	f11pp	w22pp	w28pp	f12ppB	w17pp	w29pp	w12pp	f30pp	f26pp	f2pp	w11pp	w18pp	w23pp	f15pp	w8pp	f17ppB	w13pp	w10pp	w3pp	w26pp	f14ppA	w27pp	w2pp	f12ppA	31009
S31Hp	0.0	0.4230027410224403	0.4354831151133214	0.8627219183623748	0.8737860056980874	0.8953705033833037	0.9236122738155964	0.909052104650826	0.9297172669703041	0.9075165165057993	0.945750017687863	0.8919471395034747	0.9018497242211465	0.8930481335407631	0.8877443651174729	0.872511160015807	0.9000411231641166	0.9022163222508947	0.9134971943572116	0.8913539724553449	0.8863077801067992	0.9264289777477507	0.8830240332264715	0.8927280019097681	0.9220936081697513	0.908066330381426	0.8796886800764987	0.9062538050924261	0.9075381967563979	0.8997450213354562	0.8693660440760018	0.868140903758383	0.8825206592965124	0.869393968408986	0.8811663092728583	0.8669190321531182	0.874880900727913	0.8580746540060651	0.4064610648490359
S19H1	0.4230027410224403	0.0	0.38650337385275524	0.8916487575815533	0.9027128449172659	0.9242973426024822	0.9525391130347749	0.9379789438700045	0.9586441061894826	0.9364433557249778	0.9746768569070415	0.9208739787226532	0.930776563440325	0.9219749727599416	0.9166712043366514	0.9014379992349855	0.928967962383295	0.9311431614700731	0.94242403357639	0.9202808116745234	0.9152346193259777	0.9553558169669292	0.91195087244565	0.9216548411289466	0.9510204473889298	0.9369931696006045	0.9086155192956772	0.9351806443116046	0.9364650359755764	0.9286718605546347	0.8982928832951803	0.8970677429775615	0.9114474985156908	0.8983208076281645	0.9100931484920368	0.8958458713722967	0.9038077399470915	0.8870014932252436	0.43538790406821437
530055	0.4354831151133214	0.38650337385275524	0.0	0.9041291316724344	0.915193219008147	0.9367777166933633	0.965019487125656	0.9504593179608856	0.9711244802803637	0.9489237298158589	0.9871572309979226	0.9333543528135343	0.9432569375312061	0.9344553468508227	0.9291515784275325	0.9139183733258666	0.9414483364741761	0.9436235355609542	0.9549044076672711	0.9327611857654045	0.9277149934168588	0.9678361910578103	0.9244312465365311	0.9341352152198277	0.9635008214798109	0.9494735436914856	0.9210958933865583	0.9476610184024857	0.9489454100664575	0.9411522346455158	0.9107732573860614	0.9095481170684426	0.9239278726065719	0.9108011817190456	0.9225735225829179	0.9083262454631778	0.9162881140379726	0.8994818673161247	0.44786827815909547
w1pp	0.8627219183623748	0.8916487575815533	0.9041291316724344	0.0	0.03591165548146233	0.057496153166678644	0.08573792359897128	0.07117775443420091	0.091842916753679	0.06964216628917425	0.10787566747123797	0.05407278928684966	0.06397537400452141	0.05517378332413797	0.04987001490084778	0.03463680979918186	0.06216677294749148	0.06434197203426958	0.07562284414058643	0.05347962223871982	0.048433429890174094	0.08855462753112561	0.04514968300984646	0.05485365169314298	0.08421925795312624	0.07019198016480098	0.04181432985987358	0.06837945487580106	0.06966384653977287	0.061870671118831086	0.03149169385937679	0.030266553541757966	0.04464630907988731	0.031519618192360856	0.04329195905623327	0.03523310880718516	0.05061203599340289	0.03380578927155499	0.839426551988283
f10pp	0.8737860056980874	0.9027128449172659	0.915193219008147	0.03591165548146233	0.0	0.02922367436635924	0.057465444798651885	0.042905275633881496	0.06357043795335962	0.041369687488854834	0.07960318867091858	0.025800310486530253	0.035702895204202	0.026901304523818566	0.03088822928619478	0.01565502418452885	0.05049193657129358	0.052667135658071684	0.06394800776438851	0.04180478586252192	0.036758593513976194	0.07687979115492773	0.03347484663364856	0.04317881531694508	0.07254442157692835	0.05851714378860308	0.03013949348367568	0.05670461849960316	0.05798901016357497	0.050195834742633186	0.024635689659219973	0.02341054934160114	0.03779030487973048	0.024663613992204028	0.036435954856076445	0.04629719614289776	0.06167612332911549	0.0448698766072676	0.8504906393239956
w19pp	0.8953705033833037	0.9242973426024822	0.9367777166933633	0.057496153166678644	0.02922367436635924	0.0	0.05809288054554307	0.04353271138077268	0.07730681407657639	0.0551060636120716	0.09333956479413535	0.03953668660974702	0.049439271327418766	0.04063768064703534	0.0524727269714111	0.03723952186974517	0.07207643425650989	0.07425163334328799	0.08553250544960483	0.06338928354773823	0.05834309119919251	0.09846428884014405	0.055059344318864875	0.0647633130021614	0.09412891926214467	0.0801016414738194	0.051723991168891995	0.07828911618481948	0.07957350784879128	0.07178033242784951	0.046220187344436295	0.04499504702681746	0.0593748025649468	0.04624811167742035	0.05802045254129276	0.06788169382811408	0.08326062101433182	0.06645437429248392	0.8720751370092119
w15pp	0.9236122738155964	0.9525391130347749	0.965019487125656	0.08573792359897128	0.057465444798651885	0.05809288054554307	0.0	0.0439549251558733	0.10554858450886903	0.08334783404436424	0.121581335226428	0.06777845704203966	0.07768104175971141	0.06887945107932798	0.08071449740370375	0.06548129230203782	0.10031820468880255	0.10249340377558065	0.11377427588189748	0.09163105398003088	0.08658486163148515	0.1267060592724367	0.08330111475115753	0.09300508343445404	0.12237068969443732	0.10834341190611205	0.07996576160118465	0.10653088661711213	0.10781527828108393	0.10002210286014215	0.07446195777672894	0.0732368174591101	0.08761657299723945	0.074489882109713	0.0862622229735854	0.09612346426040674	0.11150239144662447	0.09469614472477657	0.9003169074415046
w32pp	0.909052104650826	0.9379789438700045	0.9504593179608856	0.07117775443420091	0.042905275633881496	0.04353271138077268	0.0439549251558733	0.0	0.09098841534409864	0.06878766487959385	0.1070211660616576	0.053218287877269274	0.06312087259494102	0.05431928191455759	0.06615432823893336	0.05092112313726743	0.08575803552403216	0.08793323461081026	0.0992141067171271	0.0770708848152605	0.07202469246671478	0.1121458901076663	0.06874094558638713	0.07844491426968365	0.10781052052966693	0.09378324274134166	0.06540559243641425	0.09197071745234174	0.09325510911631354	0.08546193369537176	0.05990178861195855	0.058676648294339724	0.07305640383246906	0.05992971294494261	0.07170205380881503	0.08156329509563634	0.09694222228185408	0.08013597556000618	0.8857567382767342
f28pp	0.9297172669703041	0.9586441061894826	0.9711244802803637	0.091842916753679	0.06357043795335962	0.07730681407657639	0.10554858450886903	0.09098841534409864	0.0	0.055596778181304776	0.10694855026384563	0.05314567207945731	0.06851733445842259	0.05971574377803916	0.08681949055841148	0.07158628545674554	0.10642319784351027	0.10859839693028837	0.1198792690366052	0.0977360471347386	0.09268985478619288	0.13281105242714442	0.08940610790586526	0.09911007658916177	0.12847568284914504	0.11444840506081977	0.08607075475589238	0.11263587977181985	0.11392027143579166	0.10612709601484988	0.08056695093143666	0.07934181061381783	0.09372156615194717	0.08059487526442072	0.09236721612829313	0.10222845741511447	0.11760738460133219	0.10080113787948429	0.9064219005962123
f13pp	0.9075165165057993	0.9364433557249778	0.9489237298158589	0.06964216628917425	0.041369687488854834	0.0551060636120716	0.08334783404436424	0.06878766487959385	0.055596778181304776	0.0	0.08474779979934084	0.030944921614952527	0.046316583993917804	0.037514993313534375	0.0646187400939067	0.04938553499224077	0.0842224473790055	0.0863976464657836	0.09767851857210044	0.07553529667023384	0.07048910432168812	0.11061030196263964	0.06720535744136047	0.076909326124657	0.10627493238464027	0.092247654596315	0.06387000429138759	0.09043512930731508	0.09171952097128688	0.0839263455503451	0.05836620046693189	0.05714106014931306	0.0715208156874424	0.05839412479991595	0.07016646566378837	0.08002770695060968	0.09540663413682741	0.07860038741497952	0.8842211501317075
