	31160	F7H1	S26Hp	F23HpA	S15Hp	S23Hp	S17H1	S28Hp	31267	F6H1	S18H1	S13Hp	S19H1	S6Hp	530295	S3Hp	S9H1	S4Hp	S20H1	F14H1B
31160	0.0	0.24974726512422613	0.3129903675296233	0.3887488447784139	0.36568590689247354	0.3955627583191824	0.4459917745695114	0.397099288523792	0.43202914181105406	0.4027075222118667	0.39900122303760127	0.31919933760083297	0.4493430139801459	0.43939496182497545	0.3537958549195802	0.28999402454649864	0.3986195415544895	0.3904619039398768	0.39047714656043475	0.23680527046416316
F7H1	0.24974726512422613	0.0	0.33555760695574527	0.4113160842045359	0.38825314631859553	0.4181299977453044	0.4685590139956334	0.419666527949914	0.45459638123717605	0.42527476163798866	0.42156846246372326	0.34176657702695495	0.4719102534062679	0.46196220125109744	0.3763630943457022	0.31256126397262063	0.42118678098061146	0.4130291433659988	0.41304438598655674	0.25937250989028515
S26Hp	0.3129903675296233	0.33555760695574527	0.0	0.43096449690270755	0.40790155901676717	0.43777841044347604	0.488207426693805	0.43931494064808563	0.4742447939353477	0.4449231743361603	0.4412168751618949	0.3614149897251266	0.49155866610443955	0.4816106139492691	0.39601150704387383	0.33220967667079226	0.4408351936787831	0.4326775560641704	0.4326927986847284	0.2790209225884568
F23HpA	0.3887488447784139	0.4113160842045359	0.43096449690270755	0.0	0.3583372972219194	0.38821414864862824	0.43864316489895716	0.38975067885323783	0.46690498190563084	0.43758336230644346	0.4338770631321781	0.3540751776954098	0.4842188540747227	0.47427080191955223	0.4178609552875978	0.3540591249145162	0.4626846419225071	0.4545270043078944	0.45454224692845235	0.31860498224312794
S15Hp	0.36568590689247354	0.38825314631859553	0.40790155901676717	0.3583372972219194	0.0	0.12857159634592785	0.17900061259625677	0.30464051377382484	0.44384204401969046	0.4145204244205031	0.4108141252462377	0.3310122398094694	0.4611559161887823	0.45120786403361185	0.39479801740165743	0.3309961870285758	0.4396217040365667	0.431464066421954	0.43147930904251197	0.29554204435718756
S23Hp	0.3955627583191824	0.4181299977453044	0.43777841044347604	0.38821414864862824	0.12857159634592785	0.0	0.14791942075754289	0.3345173652005337	0.47371889544639934	0.444397275847212	0.44069097667294654	0.3608890912361783	0.4910327676154912	0.4810847154603207	0.4246748688283663	0.36087303845528473	0.46949855546327557	0.4613409178486629	0.46135616046922084	0.32541889578389643
S17H1	0.4459917745695114	0.4685590139956334	0.488207426693805	0.43864316489895716	0.17900061259625677	0.14791942075754289	0.0	0.3849463814508627	0.5241479116967283	0.4948262920975409	0.49111999292327546	0.4113181074865072	0.5414617838658201	0.5315137317106496	0.4751038850786953	0.41130205470561365	0.5199275717136045	0.5117699340989919	0.5117851767195498	0.3758479120342254
S28Hp	0.397099288523792	0.419666527949914	0.43931494064808563	0.38975067885323783	0.30464051377382484	0.3345173652005337	0.3849463814508627	0.0	0.4752554256510089	0.44593380605182154	0.4422275068775562	0.3624256214407879	0.4925692978201008	0.4826212456649303	0.4262113990329759	0.36240956865989427	0.47103508566788516	0.46287744805327247	0.46289269067383043	0.326955425988506
31267	0.43202914181105406	0.45459638123717605	0.4742447939353477	0.46690498190563084	0.44384204401969046	0.47371889544639934	0.5241479116967283	0.4752554256510089	0.0	0.43875284733926695	0.43504654816500155	0.3552446627282333	0.4853883391075462	0.4754402869523757	0.46114125232023795	0.3973394219471563	0.5059649389551472	0.4978073013405345	0.4978225439610925	0.3618852792757681
F6H1	0.4027075222118667	0.42527476163798866	0.4449231743361603	0.43758336230644346	0.4145204244205031	0.444397275847212	0.4948262920975409	0.44593380605182154	0.43875284733926695	0.0	0.37212147654788297	0.29231959111111466	0.4224632674904276	0.42934525780086674	0.4318196327210505	0.36801780234796894	0.4766433193559598	0.4684856817413471	0.46850092436190505	0.3325636596765807
