	w8pp	w18pp	S23Hp	S17H1	S15Hp	s24H1	S9H1	S7Hp	F8H1	S1Hp	S26Hp	F14H1A	F7H1	S4Hp	S25Hp	S13Hp	S3Hp	w21pp	w32pp	w14pp	w29pp	w13pp	w24pp	w17pp	w1pp
w8pp	0.0	0.0398498931373199	0.6869270725748877	0.7081703624186235	0.8129308315450319	0.8046359395828314	0.7299431661472925	0.7266198221432415	0.8075116003074897	0.8429036432913096	0.8305857023477612	0.8888737646918915	0.8226775363673015	0.7888428997057259	0.7841253112149705	0.8049787981822126	0.6274957605818433	0.08638168545080799	0.08949084529215848	0.09370409212057404	0.12807638977256866	0.09111721474960593	0.09726274799844548	0.08377897939384439	0.04542575687225408
w18pp	0.0398498931373199	0.0	0.6790808613688849	0.7003241512126207	0.8050846203390291	0.7967897283768286	0.7220969549412897	0.7187736109372387	0.7996653891014869	0.8350574320853068	0.8227394911417584	0.8810275534858887	0.8148313251612986	0.780996688499723	0.7762791000089677	0.7971325869762098	0.6196495493758405	0.07853547424480524	0.08164463408615574	0.08585788091457129	0.12023017856656593	0.0832710035436032	0.08941653679244273	0.07593276818784164	0.03757954566625134
S23Hp	0.6869270725748877	0.6790808613688849	0.0	0.23065013829301217	0.3354106074194205	0.32711571545722007	0.25242294202168114	0.3021883210012245	0.38308009916547264	0.4184721421492927	0.4061542012057442	0.4644422635498745	0.3982460352252845	0.36441139856370885	0.3596938100729536	0.3805472970401957	0.29056849179789146	0.6562276818592013	0.6826501050985978	0.6868633519270133	0.721235649579008	0.6842764745560452	0.6904220078048848	0.6769382392002837	0.6573667867206633
S17H1	0.7081703624186235	0.7003241512126207	0.23065013829301217	0.0	0.11289999087357071	0.10460509891137026	0.20341883499031155	0.3234316108449603	0.40432338900920844	0.4397154319930285	0.42739749104948	0.4856855533936103	0.4194893250690203	0.38565468840744466	0.3809370999166894	0.4017905868839315	0.31181178164162726	0.6774709717029371	0.7038933949423336	0.7081066417707491	0.7424789394227438	0.705519764399781	0.7116652976486206	0.6981815290440195	0.6786100765643991
S15Hp	0.8129308315450319	0.8050846203390291	0.3354106074194205	0.11289999087357071	0.0	0.084212257729953	0.3081793041167199	0.42819207997136866	0.5090838581356167	0.5444759011194369	0.5321579601758883	0.5904460225200187	0.5242497941954287	0.490415157533853	0.48569756904309774	0.5065510560103399	0.4165722507680356	0.7822314408293455	0.808653864068742	0.8128671108971575	0.8472394085491521	0.8102802335261894	0.816425766775029	0.8029419981704279	0.7833705456908074
s24H1	0.8046359395828314	0.7967897283768286	0.32711571545722007	0.10460509891137026	0.084212257729953	0.0	0.29988441215451944	0.4198971880091682	0.5007889661734164	0.5361810091572363	0.5238630682136879	0.5821511305578182	0.5159549022332282	0.48212026557165255	0.4774026770808973	0.4982561640481394	0.40827735880583516	0.773936548867145	0.8003589721065415	0.804572218934957	0.8389445165869517	0.8019853415639889	0.8081308748128285	0.7946471062082274	0.775075653728607
S9H1	0.7299431661472925	0.7220969549412897	0.25242294202168114	0.20341883499031155	0.3081793041167199	0.29988441215451944	0.0	0.34520441457362927	0.42609619273787736	0.4614882357216974	0.44917029477814896	0.5074583571222793	0.4412621287976892	0.4074274921361136	0.4027099036453583	0.4235633906126004	0.33358458537029617	0.6992437754316061	0.7256661986710026	0.7298794454994181	0.7642517431514128	0.72729256812845	0.7334381013772896	0.7199543327726885	0.700382880293068
S7Hp	0.7266198221432415	0.7187736109372387	0.3021883210012245	0.3234316108449603	0.42819207997136866	0.4198971880091682	0.34520441457362927	0.0	0.2354575546273716	0.2708495976111916	0.25853165666764316	0.3709519322794461	0.3047557039548561	0.27092106729328047	0.34558833204963846	0.36644181901688055	0.33026124136624524	0.6959204314275551	0.7223428546669516	0.7265561014953671	0.7609283991473618	0.723969224124399	0.7301147573732386	0.7166309887686375	0.6970595362890171
F8H1	0.8075116003074897	0.7996653891014869	0.38308009916547264	0.40432338900920844	0.5090838581356167	0.5007889661734164	0.42609619273787736	0.2354575546273716	0.0	0.1962505022601837	0.2278511089155209	0.4518437104436943	0.38564748211910427	0.35181284545752867	0.4264801102138866	0.4473335971811287	0.4111530195304934	0.7768122095918033	0.8032346328311998	0.8074478796596153	0.84182017731161	0.8048610022886472	0.8110065355374868	0.7975227669328857	0.7779513144532653
S1Hp	0.8429036432913096	0.8350574320853068	0.4184721421492927	0.4397154319930285	0.5444759011194369	0.5361810091572363	0.4614882357216974	0.2708495976111916	0.1962505022601837	0.0	0.2632431518993409	0.4872357534275143	0.4210395251029243	0.3872048884413487	0.4618721531977066	0.4827256401649487	0.4465450625143134	0.8122042525756232	0.8386266758150197	0.8428399226434352	0.8772122202954299	0.8402530452724671	0.8463985785213067	0.8329148099167056	0.8133433574370852
S26Hp	0.8305857023477612	0.8227394911417584	0.4061542012057442	0.42739749104948	0.5321579601758883	0.5238630682136879	0.44917029477814896	0.25853165666764316	0.2278511089155209	0.2632431518993409	0.0	0.4749178124839658	0.4087215841593759	0.3748869474978002	0.44955421225415815	0.47040769922140024	0.43422712157076493	0.7998863116320748	0.8263087348714713	0.8305219816998868	0.8648942793518815	0.8279351043289187	0.8340806375777583	0.8205968689731572	0.8010254164935368
F14H1A	0.8888737646918915	0.8810275534858887	0.4644422635498745	0.4856855533936103	0.5904460225200187	0.5821511305578182	0.5074583571222793	0.3709519322794461	0.4518437104436943	0.4872357534275143	0.4749178124839658	0.0	0.32231521790914985	0.36307924085645915	0.5078422745982885	0.5286957615655306	0.49251518391489524	0.8581743739762051	0.8845967972156016	0.8888100440440171	0.9231823416960118	0.886223166673049	0.8923686999218886	0.8788849313172875	0.8593134788376671
F7H1	0.8226775363673015	0.8148313251612986	0.3982460352252845	0.4194893250690203	0.5242497941954287	0.5159549022332282	0.4412621287976892	0.3047557039548561	0.38564748211910427	0.4210395251029243	0.4087215841593759	0.32231521790914985	0.0	0.2968830125318691	0.4416460462736984	0.4624995332409405	0.42631895559030525	0.7919781456516151	0.8184005688910115	0.822613815719427	0.8569861133714217	0.820026938348459	0.8261724715972986	0.8126887029926975	0.793117250513077
S4Hp	0.7888428997057259	0.780996688499723	0.36441139856370885	0.38565468840744466	0.490415157533853	0.48212026557165255	0.4074274921361136	0.27092106729328047	0.35181284545752867	0.3872048884413487	0.3748869474978002	0.36307924085645915	0.2968830125318691	0.0	0.4078114096121228	0.4286648965793649	0.3924843189287296	0.7581435089900395	0.7845659322294359	0.7887791790578514	0.8231514767098461	0.7861923016868834	0.792337834935723	0.7788540663311219	0.7592826138515014
S25Hp	0.7841253112149705	0.7762791000089677	0.3596938100729536	0.3809370999166894	0.48569756904309774	0.4774026770808973	0.4027099036453583	0.34558833204963846	0.4264801102138866	0.4618721531977066	0.44955421225415815	0.5078422745982885	0.4416460462736984	0.4078114096121228	0.0	0.2174165291470008	0.3877667304379743	0.7534259204992841	0.7798483437386806	0.7840615905670961	0.8184338882190908	0.781474713196128	0.7876202464449676	0.7741364778403665	0.7545650253607461
S13Hp	0.8049787981822126	0.7971325869762098	0.3805472970401957	0.4017905868839315	0.5065510560103399	0.4982561640481394	0.4235633906126004	0.36644181901688055	0.4473335971811287	0.4827256401649487	0.47040769922140024	0.5286957615655306	0.4624995332409405	0.4286648965793649	0.2174165291470008	0.0	0.4086202174052164	0.7742794074665262	0.8007018307059227	0.8049150775343382	0.8392873751863329	0.8023282001633701	0.8084737334122097	0.7949899648076086	0.7754185123279882
S3Hp	0.6274957605818433	0.6196495493758405	0.29056849179789146	0.31181178164162726	0.4165722507680356	0.40827735880583516	0.33358458537029617	0.33026124136624524	0.4111530195304934	0.4465450625143134	0.43422712157076493	0.49251518391489524	0.42631895559030525	0.3924843189287296	0.3877667304379743	0.4086202174052164	0.0	0.5967963698661569	0.6232187931055534	0.6274320399339689	0.6618043375859636	0.6248451625630008	0.6309906958118404	0.6175069272072393	0.5979354747276189
w21pp	0.08638168545080799	0.07853547424480524	0.6562276818592013	0.6774709717029371	0.7822314408293455	0.773936548867145	0.6992437754316061	0.6959204314275551	0.7768122095918033	0.8122042525756232	0.7998863116320748	0.8581743739762051	0.7919781456516151	0.7581435089900395	0.7534259204992841	0.7742794074665262	0.5967963698661569	0.0	0.08210471797451814	0.08631796480293369	0.12069026245492832	0.0837310874319656	0.08987662068080512	0.07639285207620405	0.05682139959658354
w32pp	0.08949084529215848	0.08164463408615574	0.6826501050985978	0.7038933949423336	0.808653864068742	0.8003589721065415	0.7256661986710026	0.7223428546669516	0.8032346328311998	0.8386266758150197	0.8263087348714713	0.8845967972156016	0.8184005688910115	0.7845659322294359	0.7798483437386806	0.8007018307059227	0.6232187931055534	0.08210471797451814	0.0	0.04284678129797927	0.0772190789499739	0.0609353921800507	0.06708092542889023	0.05359715682428916	0.059930559437934044
w14pp	0.09370409212057404	0.08585788091457129	0.6868633519270133	0.7081066417707491	0.8128671108971575	0.804572218934957	0.7298794454994181	0.7265561014953671	0.8074478796596153	0.8428399226434352	0.8305219816998868	0.8888100440440171	0.822613815719427	0.7887791790578514	0.7840615905670961	0.8049150775343382	0.6274320399339689	0.08631796480293369	0.04284678129797927	0.0	0.0677992550151476	0.06514863900846625	0.07129417225730578	0.0578104036527047	0.06414380626634959
w29pp	0.12807638977256866	0.12023017856656593	0.721235649579008	0.7424789394227438	0.8472394085491521	0.8389445165869517	0.7642517431514128	0.7609283991473618	0.84182017731161	0.8772122202954299	0.8648942793518815	0.9231823416960118	0.8569861133714217	0.8231514767098461	0.8184338882190908	0.8392873751863329	0.6618043375859636	0.12069026245492832	0.0772190789499739	0.0677992550151476	0.0	0.09952093666046088	0.10566646990930041	0.09218270130469933	0.09851610391834423
w13pp	0.09111721474960593	0.0832710035436032	0.6842764745560452	0.705519764399781	0.8102802335261894	0.8019853415639889	0.72729256812845	0.723969224124399	0.8048610022886472	0.8402530452724671	0.8279351043289187	0.886223166673049	0.820026938348459	0.7861923016868834	0.781474713196128	0.8023282001633701	0.6248451625630008	0.0837310874319656	0.0609353921800507	0.06514863900846625	0.09952093666046088	0.0	0.058401978249462846	0.044918209644861776	0.0615569288953815
w24pp	0.09726274799844548	0.08941653679244273	0.6904220078048848	0.7116652976486206	0.816425766775029	0.8081308748128285	0.7334381013772896	0.7301147573732386	0.8110065355374868	0.8463985785213067	0.8340806375777583	0.8923686999218886	0.8261724715972986	0.792337834935723	0.7876202464449676	0.8084737334122097	0.6309906958118404	0.08987662068080512	0.06708092542889023	0.07129417225730578	0.10566646990930041	0.058401978249462846	0.0	0.03538034753265152	0.06770246214422103
w17pp	0.08377897939384439	0.07593276818784164	0.6769382392002837	0.6981815290440195	0.8029419981704279	0.7946471062082274	0.7199543327726885	0.7166309887686375	0.7975227669328857	0.8329148099167056	0.8205968689731572	0.8788849313172875	0.8126887029926975	0.7788540663311219	0.7741364778403665	0.7949899648076086	0.6175069272072393	0.07639285207620405	0.05359715682428916	0.0578104036527047	0.09218270130469933	0.044918209644861776	0.03538034753265152	0.0	0.05421869353961995
w1pp	0.04542575687225408	0.03757954566625134	0.6573667867206633	0.6786100765643991	0.7833705456908074	0.775075653728607	0.700382880293068	0.6970595362890171	0.7779513144532653	0.8133433574370852	0.8010254164935368	0.8593134788376671	0.793117250513077	0.7592826138515014	0.7545650253607461	0.7754185123279882	0.5979354747276189	0.05682139959658354	0.059930559437934044	0.06414380626634959	0.09851610391834423	0.0615569288953815	0.06770246214422103	0.05421869353961995	0.0
