	S27H1	S11Hp	31232	530050	S30H1	S15Hp	S21H1	31379	S23Hp	530055	530163	31452	S12Hp	31750	S3Hp	S7Hp	F22HpB	S16H2	S19H1	S14Hp	31700	F8H1	S1Hp	S6Hp	F1H1	F14H1A	F6H1	F16H1	F14H1B	F7H1	31021	S2Hp	S22Hp	31749	31009	f15pp	w24pp	w32pp	w16pp	w15pp	s23pp	w29pp	f11pp	w3pp	w31pp	w23pp	w10pp	w1pp	w26pp	w19pp	w14pp	f30pp	f26pp	w27pp	w22pp	w7pp	w25pp	f24pp	w11pp	S25Hp	31160	s24H1	F22H1A	S13Hp	530295	F29H1	S10H1	S4Hp	S26Hp
S27H1	0.0	0.17557289572923623	0.16999562711651683	0.1796690137382482	0.20961890753970297	0.14908837332855385	0.26352972725891566	0.29033749682817955	0.17081850440559268	0.26784322356003476	0.2843318275212348	0.31469447892610825	0.2843777084507976	0.2691292558951821	0.31017224147671785	0.3021698366541748	0.2592675297920581	0.34318008495123375	0.2974882131059212	0.30753483826978945	0.26058618287910484	0.28049460412981286	0.21863510156150995	0.3009915452341004	0.3396575798681685	0.29875093300226363	0.2875860890718104	0.3192793823146734	0.2575937148461217	0.3138105071897606	0.3146602907508073	0.3044334683239926	0.33594250330360764	0.35620951987206473	0.1900028144362763	0.5451814388023947	0.538742969029449	0.5557030778938203	0.538895244859674	0.5576567451938064	0.5982833130966176	0.5643081193575024	0.5646789104375279	0.5553514829555256	0.5503717580219322	0.5385451020011577	0.5552073206979272	0.5375689574656893	0.5253558520462898	0.5547446930599249	0.5543766488707668	0.553003185906219	0.553269701154464	0.5565169080477348	0.5519023033590632	0.5488123958718695	0.5560793764401122	0.5530370102798322	0.5457094735192156	0.2117723651909399	0.29916933001465107	0.2841143030960557	0.3209123667174293	0.2877580557248163	0.2513561110986836	0.22085480728196982	0.1958079909678691	0.21348336746462016	0.1464254161101427
S11Hp	0.17557289572923623	0.0	0.1489955110493167	0.1888984349500801	0.23309502146352148	0.17256448725237233	0.2870058411827342	0.31381361075199804	0.1942946183294112	0.29131933748385325	0.3078079414450533	0.33817059284992673	0.30785382237461606	0.2926053698190006	0.33364835540053633	0.3256459505779933	0.2827436437158766	0.36665619887505224	0.3209643270297397	0.33101095219360793	0.28406229680292333	0.30397071805363135	0.24211121548532846	0.32446765915791886	0.363133693791987	0.3222270469260821	0.31106220299562887	0.3427554962384919	0.28106982876994024	0.3372866211135791	0.3381364046746258	0.3279095822478111	0.35941861722742613	0.3796856337958832	0.21347892836009486	0.5686575527262132	0.5622190829532675	0.5791791918176389	0.5623713587834925	0.5811328591176249	0.6217594270204362	0.5877842332813209	0.5881550243613465	0.5788275968793442	0.5738478719457507	0.5620212159249762	0.5786834346217458	0.5610450713895079	0.5488319659701083	0.5782208069837435	0.5778527627945853	0.5764792998300375	0.5767458150782826	0.5799930219715533	0.5753784172828817	0.572288509795688	0.5795554903639307	0.5765131242036508	0.5691855874430342	0.23524847911475838	0.32264544393846956	0.30759041701987416	0.34438848064124783	0.3112341696486348	0.2748322250225021	0.24433092120578837	0.2192841048916876	0.23695948138843864	0.16990153003396122
31232	0.16999562711651683	0.1489955110493167	0.0	0.18332116633736067	0.22751775285080206	0.16698721863965293	0.28142857257001475	0.30823634213927864	0.1887173497166918	0.28574206887113385	0.3022306728323339	0.33259332423720733	0.30227655376189666	0.2870281012062812	0.32807108678781693	0.3200686819652739	0.2771663751031572	0.36107893026233284	0.3153870584170203	0.32543368358088853	0.27848502819020393	0.29839344944091195	0.23653394687260904	0.31889039054519946	0.3575564251792676	0.3166497783133627	0.30548493438290947	0.3371782276257725	0.2754925601572208	0.3317093525008597	0.3325591360619064	0.3223323136350917	0.35384134861470673	0.3741083651831638	0.20790165974737543	0.5630802841134938	0.556641814340548	0.5736019232049194	0.5567940901707731	0.5755555905049055	0.6161821584077167	0.5822069646686014	0.582577755748627	0.5732503282666247	0.5682706033330313	0.5564439473122568	0.5731061660090263	0.5554678027767884	0.5432546973573888	0.572643538371024	0.5722754941818659	0.5709020312173181	0.5711685464655631	0.5744157533588339	0.5698011486701623	0.5667112411829686	0.5739782217512113	0.5709358555909313	0.5636083188303147	0.22967121050203898	0.31706817532575016	0.30201314840715476	0.3388112120285284	0.30565690103591536	0.2692549564097827	0.23875365259306894	0.2137068362789682	0.23138221277571924	0.1643242614212418
530050	0.1796690137382482	0.1888984349500801	0.18332116633736067	0.0	0.23719113947253345	0.17666060526138433	0.29110195919174614	0.31790972876101004	0.19839073633842316	0.29541545549286524	0.3119040594540653	0.3422667108589387	0.31194994038362805	0.2967014878280126	0.33774447340954833	0.3297420685870053	0.28683976172488856	0.37075231688406424	0.3250604450387517	0.3351070702026199	0.2881584148119353	0.30806683606264335	0.24620733349434043	0.32856377716693086	0.367229811800999	0.3263231649350941	0.31515832100464086	0.3468516142475039	0.2851659467789522	0.3413827391225911	0.3422325226836378	0.3320057002568231	0.3635147352364381	0.3837817518048952	0.2175750463691068	0.5727536707352251	0.5663152009622794	0.5832753098266508	0.5664674767925044	0.5852289771266368	0.6258555450294481	0.5918803512903328	0.5922511423703584	0.582923714888356	0.5779439899547626	0.5661173339339881	0.5827795526307576	0.5651411893985198	0.5529280839791202	0.5823169249927553	0.5819488808035972	0.5805754178390494	0.5808419330872945	0.5840891399805652	0.5794745352918936	0.5763846278046999	0.5836516083729426	0.5806092422126626	0.573281705452046	0.23934459712377038	0.32674156194748155	0.31168653502888616	0.34848459865025977	0.31533028765764676	0.2789283430315141	0.2484270392148003	0.2233802229006996	0.24105559939745064	0.17399764804297319
S30H1	0.20961890753970297	0.23309502146352148	0.22751775285080206	0.23719113947253345	0.0	0.13813040642993082	0.3039319991434142	0.330739768712678	0.21122077629009117	0.3082454954445332	0.3247340994057333	0.3550967508106067	0.32477998033529604	0.30953152777968057	0.3505745133612163	0.34257210853867326	0.29966980167655655	0.3835823568357322	0.3378904849904197	0.3479371101542879	0.3009884547636033	0.3208968760143113	0.2590373734460084	0.34139381711859884	0.380059851752667	0.3391532048867621	0.32798836095630884	0.35968165419917186	0.2979959867306202	0.3542127790742591	0.3550625626353058	0.34483574020849106	0.3763447751881061	0.3966117917565632	0.2304050863207748	0.5855837106868931	0.5791452409139475	0.5961053497783189	0.5792975167441725	0.5980590170783049	0.6386855849811162	0.6047103912420009	0.6050811823220263	0.595753754840024	0.5907740299064306	0.5789473738856561	0.5956095925824256	0.5779712293501877	0.5657581239307883	0.5951469649444234	0.5947789207552652	0.5934054577907175	0.5936719730389626	0.5969191799322333	0.5923045752435616	0.5892146677563679	0.5964816483246107	0.5934392821643306	0.5861117454037141	0.25217463707543836	0.33957160189914953	0.32451657498055414	0.3613146386019278	0.3281603276093148	0.2917583829831821	0.26125707916646834	0.23621026285236757	0.2538856393491186	0.18682768799464117
S15Hp	0.14908837332855385	0.17256448725237233	0.16698721863965293	0.17666060526138433	0.13813040642993082	0.0	0.243401464932265	0.2702092345015289	0.150690242078942	0.24771496123338407	0.2642035651945841	0.2945662165994576	0.2642494461241469	0.24900099356853142	0.2900439791500672	0.2820415743275241	0.23913926746540742	0.3230518226245831	0.27735995077927056	0.2874065759431388	0.24045792055245416	0.2603663418031622	0.1985068392348593	0.28086328290744966	0.3195293175415178	0.27862267067561297	0.2674578267451597	0.2991511199880227	0.23746545251947104	0.2936822448631099	0.2945320284241566	0.2843052059973419	0.315814240976957	0.33608125754541407	0.16987455210962565	0.525053176475744	0.5186147067027983	0.5355748155671697	0.5187669825330233	0.5375284828671557	0.578155050769967	0.5441798570308517	0.5445506481108773	0.535223220628875	0.5302434956952815	0.518416839674507	0.5350790583712766	0.5174406951390387	0.5052275897196391	0.5346164307332743	0.5342483865441161	0.5328749235795683	0.5331414388278134	0.5363886457210841	0.5317740410324125	0.5286841335452188	0.5359511141134615	0.5329087479531815	0.525581211192565	0.1916441028642892	0.2790410676880004	0.263986040769405	0.30078410439077863	0.2676297933981656	0.23122784877203292	0.20072654495531916	0.17567972864121842	0.19335510513796947	0.12629715378349202
S21H1	0.26352972725891566	0.2870058411827342	0.28142857257001475	0.29110195919174614	0.3039319991434142	0.243401464932265	0.0	0.26408307354298066	0.1445640811203938	0.260349669222225	0.27683827318342513	0.3072009245882985	0.27688415411298783	0.26163570155737237	0.3026786871389081	0.2946762823163651	0.2517739754542484	0.335686530613424	0.2899946587681115	0.3000412839319797	0.2530926285412951	0.2730010497920031	0.21114154722370024	0.2934979908962907	0.33216402553035884	0.2912573786644539	0.28009253473400064	0.3117858279768637	0.250100160508312	0.30631695285195093	0.30716673641299763	0.2969399139861829	0.3284489489657979	0.348715965534255	0.20826645991611786	0.5634450842822362	0.5570066145092905	0.5739667233736618	0.5571588903395155	0.5759203906736479	0.6165469585764591	0.5825717648373439	0.5829425559173694	0.5736151284353671	0.5686354035017737	0.5568087474809992	0.5734709661777687	0.5558326029455308	0.5436194975261313	0.5730083385397664	0.5726402943506083	0.5712668313860605	0.5715333466343056	0.5747805535275763	0.5701659488389047	0.567076041351711	0.5743430219199537	0.5713006557596737	0.5639731189990571	0.2300360106707814	0.31743297549449256	0.30237794857589717	0.33917601219727084	0.3060217012046578	0.2696197565785251	0.269138461510411	0.24409164519631021	0.26176702169306126	0.2198721186432199
31379	0.29033749682817955	0.31381361075199804	0.30823634213927864	0.31790972876101004	0.330739768712678	0.2702092345015289	0.26408307354298066	0.0	0.14172771899088785	0.2871574387914889	0.30364604275268897	0.3340086941575624	0.30369192368225173	0.28844347112663626	0.329486456708172	0.32148405188562895	0.2785817450235123	0.3624943001826879	0.3168024283373754	0.3268490535012436	0.279900398110559	0.299808819361267	0.2379493167929641	0.32030576046555453	0.3589717950996227	0.3180651482337178	0.30690030430326454	0.33859359754612756	0.27690793007757586	0.33312472242121477	0.33397450598226147	0.32374768355544675	0.3552567185350618	0.3755237351035189	0.2350742294853817	0.5902528538515	0.5838143840785543	0.6007744929429257	0.5839666599087794	0.6027281602429118	0.643354728145723	0.6093795344066077	0.6097503254866332	0.6004228980046309	0.5954431730710374	0.583616517050263	0.6002787357470325	0.5826403725147946	0.5704272670953952	0.5998161081090303	0.599448063919872	0.5980746009553244	0.5983411162035694	0.6015883230968402	0.5969737184081685	0.5938838109209748	0.6011507914892176	0.5981084253289375	0.590780888568321	0.2568437802400453	0.34424074506375646	0.32918571814516107	0.3659837817665347	0.33282947077392167	0.296427526147789	0.2959462310796748	0.2708994147655741	0.28857479126232516	0.24667988821248377
S23Hp	0.17081850440559268	0.1942946183294112	0.1887173497166918	0.19839073633842316	0.21122077629009117	0.150690242078942	0.1445640811203938	0.14172771899088785	0.0	0.16763844636890204	0.1841270503301021	0.21448970173497553	0.18417293125966486	0.1689244787040494	0.20996746428558513	0.20196505946304208	0.1590627526009254	0.24297530776010104	0.1972834359147885	0.20733006107865673	0.16038140568797213	0.18028982693868015	0.11843032437037723	0.20078676804296766	0.2394528026770358	0.19854615581113091	0.18738131188067766	0.21907460512354068	0.15738893765498901	0.2136057299986279	0.2144555135596746	0.20422869113285988	0.23573772611247493	0.25600474268093204	0.11555523706279486	0.47073386142891316	0.46429539165596745	0.48125550052033883	0.4644476674861925	0.48320916782032486	0.5238357357231361	0.48986054198402085	0.4902313330640464	0.4809039055820441	0.47592418064845066	0.4640975246276762	0.4807597433244457	0.4631213800922078	0.45090827467280825	0.4802971156864434	0.47992907149728525	0.4785556085327375	0.47882212378098254	0.4820693306742533	0.4774547259855817	0.47436481849838796	0.4816317990666307	0.4785894329063507	0.4712618961457341	0.1373247878174584	0.2247217526411696	0.2096667257225742	0.24646478934394783	0.21331047835133482	0.17690853372520213	0.17642723865708798	0.1513804223429872	0.16905579883973826	0.12716089578989692
530055	0.26784322356003476	0.29131933748385325	0.28574206887113385	0.29541545549286524	0.3082454954445332	0.24771496123338407	0.260349669222225	0.2871574387914889	0.16763844636890204	0.0	0.19745950101319287	0.25370364246047006	0.22338687198515936	0.20813841942954392	0.26772335257301494	0.25972094775047194	0.21681864088835523	0.3302769391833966	0.2845850673380841	0.2946316925019523	0.2476830371112677	0.26759145836197573	0.20573195579367282	0.2880883994662632	0.32675443410033134	0.2858477872344265	0.27468294330397325	0.3063762365468362	0.24469056907828457	0.3009073614219234	0.3017571449829701	0.2915303225561554	0.3230393575357705	0.3433063741042276	0.2125799562172369	0.5677585805833552	0.5613201108104096	0.5782802196747809	0.5614723866406346	0.580233886974767	0.6208604548775782	0.586885261138463	0.5872560522184884	0.5779286247364861	0.5729488998028927	0.5611222437821182	0.5777844624788877	0.5601460992466498	0.5479329938272504	0.5773218348408855	0.5769537906517272	0.5755803276871796	0.5758468429354247	0.5790940498286954	0.5744794451400237	0.57138953765283	0.5786565182210728	0.5756141520607927	0.5682866153001762	0.2343495069719005	0.32174647179561167	0.3066914448770163	0.3434895084983899	0.31033519750577687	0.2739332528796442	0.27345195781153003	0.24840514149742932	0.26608051799418037	0.22418561494433897
