	w31pp	w21pp	w15pp	w9pp	w4pp	w14pp	f4pp	w10pp	w7pp	w16pp	f32pp	f2pp	f19pp	f6ppA	w22pp	w28pp	w26pp	f12ppA	f10pp	f1pp	f15pp	f12ppB	w20pp	f20ppA	f18pp	w13pp	31021	31360	S14Hp	31300	31519	S4Hp	530364	S30H1	f26pp	f7pp	f6ppB	f24pp	w3pp	w27pp	w23pp	f14ppA	w18pp	f8pp	f30pp	f14ppB	f13pp	f23ppA	w8pp	w12pp	f17ppB	w17pp	w2pp	w1pp	f21pp	w32pp	w6pp	w11pp	f11pp	w24pp	w25pp	w19pp
w31pp	0.0	0.0901593185657745	0.07167902971418727	0.06569790243062976	0.06846282802231624	0.09443933344460778	0.08480493766156061	0.08628833562350449	0.12546109939902608	0.10556672564679306	0.12277789694157323	0.11441875496899359	0.13640152740723932	0.12456112521941912	0.14276002282723146	0.1340827069480766	0.11959567389284767	0.13285662875261628	0.12052943950425454	0.13447746175199538	0.11906911278233437	0.13304818914631655	0.09428549144116732	0.09831417496974967	0.12954649496857665	0.12043386140510418	0.7918752941973684	0.7704906888804017	0.8340239228618449	0.8247028508137603	0.8614742824714284	0.814794187065879	0.8810983578505889	0.8385851064915473	0.15169212422561099	0.15835995253682547	0.19713153365128133	0.13949404206990215	0.12866079629217173	0.1789996441826115	0.10929165866302185	0.12915453591228357	0.11222267982057646	0.14758682562283154	0.10915040853713662	0.14081530970943398	0.09670554085330213	0.1179451488324218	0.09915301408484564	0.10877917348840749	0.10091269177810588	0.08466219764576272	0.11325007208173962	0.09795065144491158	0.0738373055240659	0.08435819074769826	0.06978688491927573	0.07291079464805081	0.06986708552265064	0.06636888406433869	0.062356471444148125	0.038788121065761134
w21pp	0.0901593185657745	0.0	0.028146589739449265	0.06870727098641101	0.07147219657809746	0.09744870200038902	0.08781430621734185	0.08929770417928572	0.12847046795480732	0.1085760942025743	0.12578726549735447	0.11742812352477483	0.13941089596302056	0.12757049377520036	0.1457693913830127	0.13709207550385785	0.12260504244862891	0.13586599730839752	0.12353880806003578	0.13748683030777661	0.12207848133811561	0.1360575577020978	0.09729485999694856	0.10132354352553091	0.1325558635243579	0.12344322996088541	0.7948846627531496	0.773500057436183	0.8370332914176262	0.8277122193695415	0.8644836510272097	0.8178035556216603	0.8841077264063701	0.8415944750473285	0.15470149278139222	0.1613693210926067	0.20014090220706257	0.1425034106256834	0.13167016484795296	0.18200901273839273	0.11230102721880307	0.1321639044680648	0.1152320483763577	0.15059619417861278	0.11215977709291786	0.14382467826521522	0.09971490940908337	0.12095451738820304	0.10216238264062687	0.11178854204418873	0.10392206033388712	0.08767156620154395	0.11625944063752086	0.10096002000069282	0.07684667407984713	0.0873675593034795	0.07279625347505697	0.07592016320383205	0.07287645407843188	0.08039829244045102	0.07638587982026045	0.062196781597740336
w15pp	0.07167902971418727	0.028146589739449265	0.0	0.05022698213482378	0.052991907726510246	0.0789684131488018	0.06933401736575462	0.0708174153276985	0.10999017910322009	0.09009580535098707	0.10730697664576724	0.0989478346731876	0.12093060711143333	0.10909020492361313	0.12728910253142547	0.11861178665227062	0.10412475359704168	0.11738570845681029	0.10505851920844855	0.11900654145618939	0.10359819248652838	0.11757726885051056	0.07881457114536133	0.08284325467394368	0.11407557467277066	0.10496294110929819	0.7764043739015624	0.7550197685845957	0.8185530025660389	0.8092319305179543	0.8460033621756224	0.799323266770073	0.8656274375547829	0.8231141861957413	0.136221203929805	0.14288903224101948	0.18166061335547534	0.12402312177409616	0.11318987599636574	0.1635287238868055	0.09382073836721586	0.11368361561647758	0.09675175952477047	0.13211590532702555	0.09367948824133063	0.125344389413628	0.08123462055749614	0.10247422853661581	0.08368209378903965	0.0933082531926015	0.0854417714822999	0.06919127734995674	0.09777915178593363	0.0824797311491056	0.058366385228259904	0.06888727045189229	0.05431596462346974	0.05743987435224482	0.054396165226844664	0.06191800358886379	0.05790559096867322	0.04371649274615311
w9pp	0.06569790243062976	0.06870727098641101	0.05022698213482378	0.0	0.028474946549496054	0.05445145197178762	0.044817056188740434	0.04630045415068431	0.08547321792620592	0.0655788441739729	0.08279001546875306	0.07443087349617343	0.09641364593441916	0.08457324374659894	0.10277214135441129	0.09409482547525644	0.07960779242002751	0.0928687472797961	0.08054155803143437	0.0944895802791752	0.07908123130951421	0.09306030767349638	0.054297609968347156	0.058326293496929506	0.08955861349575647	0.08044597993228401	0.7518874127245482	0.7305028074075816	0.7940360413890247	0.7847149693409401	0.8214864009986083	0.7748063055930589	0.8411104763777687	0.7985972250187271	0.11170424275279081	0.1183720710640053	0.15714365217846116	0.09950616059708198	0.08867291481935156	0.13901176270979132	0.06930377719020167	0.08916665443946341	0.07223479834775628	0.10759894415001138	0.06916252706431646	0.10082742823661382	0.05671765938048196	0.07795726735960164	0.05916513261202546	0.06879129201558733	0.060924810305285716	0.044674316172942555	0.07326219060891945	0.05796276997209142	0.03384942405124572	0.0443703092748781	0.03732335127380539	0.04044726100258046	0.03740355187718031	0.05593687630530628	0.05192446368511572	0.037735365462595594
w4pp	0.06846282802231624	0.07147219657809746	0.052991907726510246	0.028474946549496054	0.0	0.043695798926338535	0.03406140314329135	0.035544801105235224	0.07471756488075683	0.05482319112852381	0.07203436242330397	0.06367522045072434	0.08565799288897007	0.07381759070114985	0.0920164883089622	0.08333917242980735	0.06885213937457842	0.08211309423434701	0.06978590498598528	0.08373392723372611	0.0683255782640651	0.08230465462804729	0.04354195692289807	0.04757064045148042	0.07880296045030738	0.06969032688683491	0.7411317596790991	0.7197471543621324	0.7832803883435756	0.773959316295491	0.8107307479531591	0.7640506525476097	0.8303548233323196	0.787841571973278	0.10094858970734172	0.1076164180185562	0.14638799913301204	0.08875050755163288	0.07791726177390247	0.12825610966434223	0.05854812414475258	0.07841100139401432	0.0614791453023072	0.09684329110456229	0.058406874018867364	0.09007177519116473	0.045962006335032876	0.06720161431415254	0.048409479566576374	0.058035638970138234	0.05016915725983663	0.03391866312749347	0.06250653756347035	0.04720711692664233	0.023093771005796633	0.03361465622942902	0.04008827686549185	0.04321218659426693	0.04016847746886677	0.05870180189699274	0.05468938927680217	0.04050029105428206
w14pp	0.09443933344460778	0.09744870200038902	0.0789684131488018	0.05445145197178762	0.043695798926338535	0.0	0.05016082769017962	0.051644225652123496	0.0908169894276451	0.07092261567541208	0.08813378697019224	0.07977464499761261	0.10175741743585834	0.08991701524803812	0.10811591285585047	0.09943859697669562	0.08495156392146669	0.09821251878123528	0.08588532953287355	0.09983335178061438	0.08442500281095339	0.09840407917493556	0.05964138146978634	0.06367006499836869	0.09490238499719565	0.0857897514337232	0.7572311842259873	0.7358465789090207	0.7993798128904639	0.7900587408423793	0.8268301725000474	0.780150077094498	0.8464542478792079	0.8039409965201663	0.11704801425422999	0.12371584256544448	0.16248742367990032	0.10484993209852116	0.09401668632079074	0.1443555342112305	0.07464754869164085	0.09451042594090259	0.07757856984919548	0.11294271565145056	0.07450629856575564	0.106171199738053	0.06206143088192115	0.08330103886104082	0.06450890411346465	0.0741350635170265	0.0662685818067249	0.05001808767438175	0.07860596211035864	0.06330654147353061	0.039193195552684905	0.049714080776317296	0.06606478228778341	0.06918869201655849	0.06614498289115833	0.0846783073192843	0.08066589469909373	0.06647679647657362
f4pp	0.08480493766156061	0.08781430621734185	0.06933401736575462	0.044817056188740434	0.03406140314329135	0.05016082769017962	0.0	0.012689233435703492	0.05186199721122509	0.03196762345899208	0.04917879475377224	0.04081965278119261	0.06280242521943834	0.05096202303161811	0.06916092063943047	0.06048360476027561	0.04599657170504669	0.05925752656481528	0.046930337316453546	0.06087835956419437	0.04547001059453338	0.05944908695851556	0.02068638925336634	0.024715072781948687	0.05594739278077565	0.046834759217303186	0.7182761920095673	0.6968915866926007	0.7604248206740438	0.7511037486259592	0.7878751802836274	0.741195084878078	0.8074992556627878	0.7649860043037462	0.07809302203780999	0.08476085034902447	0.12353243146348031	0.06589493988210116	0.055061694104370736	0.1054005419948105	0.03569255647522085	0.055555433724482586	0.03862357763277547	0.07398772343503056	0.035551306349335635	0.067216207521633	0.023106438665501147	0.044346046644620815	0.025553911897044642	0.035180071300606505	0.0273135895903049	0.011063095457961735	0.047015023057448126	0.040753618156332716	0.01664227223648707	0.03602057899136213	0.056430386504736224	0.0595542962335113	0.056510587108111146	0.07504391153623712	0.07103149891604654	0.05684240069352643
w10pp	0.08628833562350449	0.08929770417928572	0.0708174153276985	0.04630045415068431	0.035544801105235224	0.051644225652123496	0.012689233435703492	0.0	0.04485826141529057	0.024963887663057557	0.04217505895783771	0.033815916985258085	0.055798689423503814	0.04395828723568359	0.062157184843495944	0.053479868964341086	0.038992835909112164	0.05225379076888076	0.03992660152051902	0.05387462376825985	0.038466274798598855	0.05244535116258103	0.013682653457431816	0.017711336986014167	0.04894365698484113	0.03983102342136866	0.7112724562136327	0.689887850896666	0.7534210848781092	0.7441000128300246	0.7808714444876927	0.7341913490821433	0.8004955198668532	0.7579822685078116	0.07108928624187547	0.07775711455308995	0.11652869566754578	0.058891204086166625	0.04805795830843621	0.09839680619887597	0.028688820679286325	0.04855169792854806	0.031619841836840946	0.06698398763909603	0.02854757055340111	0.06021247172569848	0.016102702869566624	0.03734231084868629	0.018550176101110122	0.02817633550467198	0.020309853794370378	0.012544493418905556	0.048498421019392	0.04223701611827659	0.01812567019843095	0.037503976953306005	0.05791378446668011	0.061037694195455176	0.05799398507005502	0.076527309498181	0.07251489687799043	0.058325798655470315
w7pp	0.12546109939902608	0.12847046795480732	0.10999017910322009	0.08547321792620592	0.07471756488075683	0.0908169894276451	0.05186199721122509	0.04485826141529057	0.0	0.047957304557690664	0.06516847585247082	0.05680933387989119	0.0787921063181369	0.06695170413031669	0.08515060173812905	0.07647328585897419	0.06198625280374527	0.07524720766351387	0.06292001841515213	0.07686804066289295	0.061459691693231955	0.07543876805721414	0.0406198444195521	0.044648527948134446	0.0758808479469614	0.06676821438348894	0.738209647175753	0.7168250418587864	0.7803582758402295	0.7710372037921449	0.8078086354498131	0.7611285400442637	0.8274327108289735	0.7849194594699319	0.09802647720399575	0.10469430551521022	0.14346588662966606	0.0858283950482869	0.07499514927055649	0.12533399716099625	0.05562601164140661	0.07548888889066835	0.058557032798961225	0.09392117860121632	0.05548476151552139	0.08714966268781876	0.04303989383168691	0.06427950181080658	0.0454873670632304	0.05511352646679226	0.047247044756490664	0.05171725719442716	0.0876711847949136	0.08140977989379819	0.057298433973952546	0.0766767407288276	0.09708654824220171	0.10021045797097679	0.09716674884557663	0.1157000732737026	0.11168766065351203	0.09749856243099192
w16pp	0.10556672564679306	0.1085760942025743	0.09009580535098707	0.0655788441739729	0.05482319112852381	0.07092261567541208	0.03196762345899208	0.024963887663057557	0.047957304557690664	0.0	0.022846758734714964	0.02504300305671516	0.047025775494960884	0.03518537330714066	0.053384270914953014	0.044706955035798156	0.03021992198056924	0.04348087684033783	0.031153687591976092	0.04510170983971692	0.029693360870055932	0.0436724372340381	0.020725470667319088	0.024754154195901438	0.055986474194728394	0.046873840631255936	0.71831527342352	0.6969306681065534	0.7604639020879965	0.7511428300399119	0.78791426169758	0.7412341662920306	0.8075383370767405	0.7650250857176989	0.07813210345176275	0.08479993176297722	0.12357151287743305	0.0659340212960539	0.055100775518323486	0.10543962340876324	0.0357316378891736	0.05559451513843533	0.03866265904672822	0.0740268048489833	0.03559038776328838	0.06725528893558574	0.023145520079453898	0.04438512805857356	0.025592993310997396	0.03521915271455925	0.027352671004257652	0.031822883442194146	0.0677768110426806	0.06151540614156518	0.037404060221719534	0.05678236697659459	0.07719217448996869	0.08031608421874376	0.07727237509334361	0.09580569952146958	0.09179328690127901	0.0776041886787589
