	s24H1	F7H1	530050	S14Hp	S29H1	F6H1	S23Hp	F22H1A	530075	S6Hp	S13Hp	S4Hp	31766	31071	S15Hp	S31Hp	S10H1	530258	S28Hp	31300	31112	530154	S30H1	530119	31714	530394	31428	S21H1	S16H2	F14H1A	31749	31519	31021	31232	31267	F3H1	S26Hp	31700	S11Hp	31129	S18H1	31328	S8Hp	S19H1	530052	530167	530315	530368	530251	530055	31360	F14H1B	530444	31236	F32H1	F23HpA	S2Hp	31637	31343	530177	S3Hp	31750	S12Hp	F1H1	F22HpB	31160	530451	w29pp	w24pp	w25pp	w15pp	w27pp	w12pp	f11pp	w10pp	w23pp	f24pp	w8pp	f12ppA	f19pp	w16pp	w2pp	f26pp	w11pp	w1pp	f23ppA	w6pp	w17pp	w22pp	w13pp	f2pp	f30pp	f17ppB	f20ppA	f8pp	f16ppA	f4pp	f6ppA	w3pp	f25pp	w9pp	f15pp	f1pp	f14ppA	w28pp	w31pp	w4pp	w21pp	w18pp	w14pp	w26pp	w19pp	w32pp	w20pp	S27H1	S25Hp	S1Hp	S7Hp	530215	F8H1
s24H1	0.0	0.19854929865560927	0.2865031089724932	0.28687003283847995	0.3018486254077098	0.2784706648602104	0.243845189424574	0.3197042052369318	0.29692722580189757	0.3069192207726817	0.23571203721250278	0.21655410423424398	0.30327456581452994	0.30926632804834336	0.3084600014299989	0.24190807053644925	0.31813958505116813	0.32382776628100357	0.31507620248742546	0.23940103847051775	0.31731404829737525	0.3502261966211717	0.3572507107897724	0.33774401236239304	0.29048242137837427	0.29971492300581837	0.31801982763938463	0.3432468549581951	0.35222375105479015	0.34133864996608376	0.24590504264845797	0.33786173833737154	0.3431074615451739	0.3492298449770271	0.34348663373516475	0.3446753639794037	0.25880135366004475	0.33869447068179753	0.3431106834824595	0.3145271026525892	0.360194708250696	0.3397018658367148	0.27066144220625277	0.33639157833483546	0.3402471781120701	0.35147937578689087	0.3305589658883127	0.32882073078697943	0.3549957376569311	0.2940252720256179	0.31644770804947964	0.27802614671368225	0.32953670525734297	0.33154326679133117	0.324892902168254	0.33811858582301213	0.35072391830236055	0.3244968220105455	0.32732160604443944	0.30863703898071876	0.30896280496896866	0.29363838291874095	0.2935401180763584	0.3144476600253593	0.3139085184480174	0.28173975857401845	0.47351579269060945	0.4663700140137414	0.47079272647918674	0.4804065516153257	0.4948580518642502	0.4904829180247154	0.4974119506284033	0.5203610019850718	0.5280119970510486	0.5187627961990497	0.5370852044523166	0.5135967073086344	0.5470536961539241	0.5487489553724922	0.524454882835282	0.5393808877518173	0.5450369754498532	0.512819053781739	0.5418824104110774	0.5497518557874552	0.5515436236011885	0.5463846598653904	0.551186886795186	0.5152521600890173	0.5737116074947823	0.5514158596819544	0.5871725297804131	0.6042404182035633	0.6355350272919335	0.6150624864482082	0.598962469538349	0.5224186355104506	0.5305845260852153	0.5559960504601835	0.5531125005853125	0.54545501649376	0.5323894522229207	0.528162635658619	0.5334075521606353	0.5372164358313691	0.5056817346226378	0.509720003696606	0.5197158774817665	0.4977569839538441	0.5032996704289141	0.49760426903298355	0.49263176385881763	0.4989522132951015	0.3498444890017588	0.30802301583866515	0.2871730413770711	0.1909580616692922	0.2269300693150072	0.21268279009587038
F7H1	0.19854929865560927	0.0	0.17641137700727974	0.17677830087326646	0.19175689344249633	0.16837893289499692	0.1499386427340589	0.22579765854641673	0.20302067911138244	0.2130126740821666	0.14180549052198765	0.12264755754372886	0.20936801912401484	0.21535978135782827	0.21455345473948378	0.14800152384593412	0.224233038360653	0.22992121959048845	0.22116965579691036	0.14549449178000262	0.22340750160686013	0.2563196499306566	0.26334416409925726	0.24383746567187792	0.19657587468785914	0.20580837631530327	0.2241132809488695	0.24934030826768003	0.2583172043642751	0.24743210327556864	0.15199849595794288	0.24395519164685645	0.2492009148546588	0.255323298286512	0.24958008704464962	0.25076881728888856	0.16489480696952966	0.24478792399128244	0.2492041367919444	0.22062055596207408	0.26628816156018087	0.2457953191461997	0.17675489551573764	0.24248503164432036	0.24634063142155502	0.2575728290963758	0.2366524191977976	0.23491418409646433	0.26108919096641603	0.20011872533510278	0.22254116135896454	0.18411960002316713	0.23563015856682787	0.23763672010081605	0.2309863554777389	0.24421203913249703	0.2568173716118455	0.2305902753200304	0.23341505935392434	0.21473049229020363	0.21505625827845357	0.19973183622822582	0.19963357138584328	0.22054111333484416	0.22000197175750233	0.18783321188350333	0.3796092460000944	0.3724634673232262	0.37688617978867156	0.3865000049248105	0.4009515051737351	0.3965763713342002	0.40350540393788825	0.4264544552945566	0.4341054503605335	0.4248562495085346	0.4431786577618013	0.41969016061811915	0.45314714946340884	0.4548424086819771	0.43054833614476684	0.4454743410613021	0.45113042875933806	0.41891250709122374	0.4479758637205622	0.45584530909694	0.45763707691067335	0.4524781131748752	0.4572803401046708	0.4213456133985022	0.4798050608042672	0.45750931299143915	0.493265983089898	0.5103338715130482	0.5416284806014182	0.521155939757693	0.5050559228478338	0.4285120888199355	0.4366779793947002	0.4620895037696684	0.45920595389479735	0.4515484698032449	0.43848290553240543	0.43425608896810386	0.43950100547012017	0.443309889140854	0.41177518793212253	0.41581345700609085	0.4258093307912514	0.4038504372633289	0.40939312373839887	0.4036977223424685	0.39872521716830256	0.4050456666045864	0.25593794231124367	0.21411646914815005	0.193266494686556	0.11303505681687745	0.18493523504774692	0.2073287075053527
530050	0.2865031089724932	0.17641137700727974	0.0	0.21772031896156263	0.2663819284866044	0.243003967939105	0.23789245305094286	0.3137514688633007	0.2909744894282664	0.30096648439905055	0.22975930083887164	0.21060136786061281	0.2973218294408988	0.3033135916747122	0.3025072650563677	0.23595533416281808	0.312186848677537	0.3178750299073724	0.3091234661137943	0.2334483020968866	0.31136131192374406	0.3442734602475406	0.3512979744161412	0.3317912759887619	0.28452968500474307	0.2937621866321872	0.3120670912657535	0.337294118584564	0.346271014681159	0.3353859135924526	0.23995230627482683	0.3319090019637404	0.33715472517154277	0.34327710860339594	0.3375338973615336	0.33872262760577254	0.2528486172864136	0.3327417343081664	0.33715794710882835	0.30857436627895807	0.35424197187706485	0.33374912946308366	0.2647087058326216	0.3304388419612043	0.334294441738439	0.34552663941325973	0.32460622951468154	0.3228679944133483	0.34904300128329996	0.28807253565198676	0.3104949716758485	0.27207341034005106	0.3235839688837118	0.32559053041770003	0.31894016579462287	0.332165849449381	0.3447711819287294	0.3185440856369144	0.3213688696708083	0.30268430260708756	0.3030100685953375	0.28768564654510975	0.28758738170272724	0.30849492365172815	0.3079557820743863	0.2757870222003873	0.4675630563169783	0.4604172776401102	0.46483999010555554	0.4744538152416945	0.48890531549061905	0.4845301816510842	0.4914592142547722	0.5144082656114406	0.5220592606774175	0.5128100598254186	0.5311324680786853	0.5076439709350031	0.5411009597802928	0.5427962189988611	0.5185021464616508	0.533428151378186	0.539084239076222	0.5068663174081077	0.5359296740374462	0.543799119413824	0.5455908872275572	0.5404319234917592	0.5452341504215548	0.5092994237153861	0.5677588711211512	0.5454631233083231	0.581219793406782	0.5982876818299321	0.6295822909183022	0.609109750074577	0.5930097331647177	0.5164658991368194	0.5246317897115842	0.5500433140865524	0.5471597642116812	0.5395022801201288	0.5264367158492894	0.5222098992849877	0.527454815787004	0.531263699457738	0.4997289982490065	0.5037672673229747	0.5137631411081354	0.4918042475802129	0.49734693405528285	0.4916515326593524	0.4866790274851865	0.49299947692147034	0.34389175262812766	0.302070279465034	0.28122030500344	0.2009888671337614	0.2728890453646309	0.29528251782223663
S14Hp	0.28687003283847995	0.17677830087326646	0.21772031896156263	0.0	0.26674885235259116	0.24337089180509175	0.23825937691692958	0.31411839272928743	0.2913414132942531	0.3013334082650373	0.23012622470485833	0.21096829172659953	0.2976887533068855	0.30368051554069897	0.30287418892235446	0.2363222580288048	0.3125537725435237	0.3182419537733591	0.30949038997978107	0.2338152259628733	0.3117282357897308	0.34464038411352726	0.35166489828212794	0.3321581998547486	0.2848966088707298	0.2941291104981739	0.3124340151317402	0.33766104245055073	0.34663793854714575	0.3357528374584393	0.24031923014081355	0.3322759258297271	0.33752164903752946	0.3436440324693827	0.3379008212275203	0.33908955147175923	0.2532155411524003	0.33310865817415314	0.3375248709748151	0.30894129014494476	0.35460889574305154	0.33411605332907035	0.2650756296986083	0.330805765827191	0.3346613656044257	0.3458935632792465	0.32497315338066823	0.32323491827933504	0.3494099251492867	0.28843945951797345	0.3108618955418352	0.2724403342060378	0.32395089274969857	0.3259574542836867	0.3193070896606096	0.3325327733153677	0.34513810579471615	0.3189110095029011	0.32173579353679505	0.3030512264730743	0.3033769924613242	0.2880525704110965	0.28795430556871393	0.30886184751771484	0.30832270594037303	0.276153946066374	0.46792998018296506	0.4607842015060969	0.46520691397154224	0.4748207391076812	0.4892722393566058	0.4848971055170709	0.4918261381207589	0.5147751894774273	0.5224261845434042	0.5131769836914053	0.531499391944672	0.5080108948009898	0.5414678836462795	0.5431631428648478	0.5188690703276375	0.5337950752441728	0.5394511629422087	0.5072332412740944	0.5362965979034329	0.5441660432798107	0.545957811093544	0.5407988473577459	0.5456010742875415	0.5096663475813729	0.5681257949871379	0.5458300471743098	0.5815867172727687	0.5986546056959189	0.6299492147842889	0.6094766739405637	0.5933766570307045	0.5168328230028062	0.5249987135775709	0.5504102379525391	0.547526688077668	0.5398692039861156	0.5268036397152761	0.5225768231509745	0.5278217396529908	0.5316306233237247	0.5000959221149932	0.5041341911889615	0.5141300649741221	0.4921711714461996	0.49771385792126954	0.49201845652533915	0.48704595135117323	0.4933664007874571	0.34425867649411435	0.30243720333102075	0.28158722886942666	0.2013557909997481	0.27325596923061757	0.2956494416882234
S29H1	0.3018486254077098	0.19175689344249633	0.2663819284866044	0.26674885235259116	0.0	0.23090536640181558	0.25323796948615945	0.3290969852985173	0.30632000586348296	0.31631200083426714	0.24510481727408823	0.2259468842958294	0.3126673458761154	0.3186591081099288	0.31785278149158436	0.25130085059803464	0.3275323651127535	0.333220546342589	0.3244689825490109	0.2487938185321032	0.3267068283589607	0.35961897668275716	0.36664349085135783	0.34713679242397844	0.2998752014399597	0.3091077030674038	0.32741260770097	0.3526396350197806	0.3616165311163756	0.35073143002766916	0.2552978227100434	0.347254518398957	0.35250024160675936	0.35862262503861253	0.35287941379675014	0.35406814404098913	0.2681941337216302	0.348087250743383	0.35250346354404494	0.3239198827141746	0.36958748831228144	0.34909464589830025	0.28005422226783816	0.3457843583964209	0.34963995817365556	0.3608721558484763	0.33995174594989813	0.3382135108485649	0.36438851771851655	0.3034180520872033	0.3258404881110651	0.2874189267752677	0.3389294853189284	0.34093604685291656	0.33428568222983945	0.3475113658845976	0.360116698363946	0.3338896020721309	0.3367143861060249	0.3180298190423042	0.3183555850305541	0.3030311629803264	0.30293289813794383	0.3238404400869447	0.3233012985096029	0.29113253863560384	0.4829085727521949	0.4757627940753268	0.48018550654077213	0.4897993316769111	0.5042508319258356	0.4998756980863008	0.5068047306899888	0.5297537820466571	0.537404777112634	0.5281555762606351	0.5464779845139018	0.5229894873702197	0.5564464762155095	0.5581417354340776	0.5338476628968674	0.5487736678134026	0.5544297555114386	0.5222118338433244	0.5512751904726627	0.5591446358490406	0.5609364036627739	0.5557774399269757	0.5605796668567713	0.5246449401506027	0.5831043875563677	0.5608086397435397	0.5965653098419985	0.6136331982651487	0.6449278073535187	0.6244552665097935	0.6083552495999344	0.531811415572036	0.5399773061468007	0.5653888305217689	0.5625052806468979	0.5548477965553454	0.5417822322845061	0.5375554157202044	0.5428003322222207	0.5466092158929545	0.515074514684223	0.5191127837581914	0.5291086575433519	0.5071497640154294	0.5126924504904995	0.506997049094569	0.5020245439204031	0.5083449933566869	0.3592372690633442	0.3174157959002506	0.2965658214386565	0.216334383568978	0.28823456179984747	0.3106280342574532
F6H1	0.2784706648602104	0.16837893289499692	0.243003967939105	0.24337089180509175	0.23090536640181558	0.0	0.22986000893866004	0.30571902475101786	0.28294204531598355	0.2929340402867677	0.22172685672658882	0.20256892374833	0.289289385328616	0.2952811475624294	0.29447482094408495	0.22792289005053526	0.3041544045652541	0.3098425857950896	0.3010910220015115	0.22541585798460378	0.3033288678114613	0.33624101613525775	0.3432655303038584	0.323758831876479	0.2764972408924603	0.2857297425199044	0.3040346471534706	0.32926167447228116	0.3382385705688762	0.32735346948016975	0.231919862162544	0.3238765578514576	0.32912228105925995	0.3352446644911131	0.32950145324925073	0.3306901834934897	0.2448161731741308	0.32470929019588357	0.3291255029965455	0.3005419221666752	0.34620952776478203	0.32571668535080084	0.25667626172033875	0.3224063978489215	0.32626199762615615	0.3374941953009769	0.3165737854023987	0.31483555030106547	0.34101055717101714	0.2800400915397039	0.3024625275635657	0.2640409662277683	0.315551524771429	0.31755808630541715	0.31090772168234004	0.32413340533709817	0.3367387378164466	0.3105116415246315	0.3133364255585255	0.2946518584948048	0.2949776244830547	0.279653202432827	0.2795549375904444	0.30046247953944527	0.29992333796210346	0.26775457808810443	0.4595306122046955	0.4523848335278274	0.4568075459932727	0.4664213711294117	0.48087287137833623	0.47649773753880137	0.48342677014248936	0.5063758214991578	0.5140268165651346	0.5047776157131357	0.5231000239664025	0.4996115268227203	0.53306851566801	0.5347637748865782	0.510469702349368	0.5253957072659032	0.5310517949639392	0.4988338732958249	0.5278972299251634	0.5357666753015411	0.5375584431152745	0.5323994793794764	0.537201706309272	0.5012669796031033	0.5597264270088683	0.5374306791960404	0.5731873492944991	0.5902552377176493	0.6215498468060194	0.6010773059622941	0.584977289052435	0.5084334550245366	0.5165993455993013	0.5420108699742695	0.5391273200993985	0.531469836007846	0.5184042717370065	0.514177455172705	0.5194223716747213	0.5232312553454551	0.4916965541367237	0.49573482321069195	0.5057306969958525	0.4837718034679301	0.48931448994300003	0.4836190885470696	0.47864658337290367	0.4849670328091875	0.3358593085158448	0.2940378353527512	0.2731878608911571	0.19295642302147858	0.26485660125234806	0.2872500737099538
S23Hp	0.243845189424574	0.1499386427340589	0.23789245305094286	0.23825937691692958	0.25323796948615945	0.22986000893866004	0.0	0.1527896280422147	0.15515761200200995	0.16514960697279407	0.12509757149197104	0.10593963851371221	0.22878144830126618	0.2347732105350796	0.23396688391673512	0.16741495302318546	0.24364646753790434	0.24933464876773978	0.2405830849741617	0.16490792095725398	0.24282093078411146	0.27573307910790795	0.2827575932765086	0.2632508948491292	0.21598930386511048	0.2252218054925546	0.24352671012612084	0.26875373744493136	0.2777306335415264	0.26684553245281994	0.1714119251351942	0.2633686208241078	0.26861434403191015	0.2747367274637633	0.26899351622190093	0.2701822464661399	0.184308236146781	0.26420135316853377	0.2686175659691957	0.24003398513932542	0.28570159073743223	0.26520874832345104	0.19616832469298898	0.2618984608215717	0.26575406059880635	0.2769862582736271	0.2560658483750489	0.25432761327371567	0.28050262014366734	0.2195321545123541	0.24195459053621587	0.20353302920041846	0.2550435877440792	0.25705014927806735	0.25039978465499024	0.26362546830974837	0.2762308007890968	0.2500037044972817	0.2528284885311757	0.23414392146745497	0.2344696874557049	0.21914526540547716	0.21904700056309462	0.2399545425120955	0.23941540093475366	0.2072466410607547	0.3990226751773457	0.39187689650047763	0.396299608965923	0.40591343410206193	0.42036493435098643	0.4159898005114516	0.42291883311513956	0.44586788447180803	0.4535188795377848	0.44426967868578593	0.46259208693905274	0.43910358979537056	0.47256057864066026	0.4742558378592284	0.44996176532201815	0.46488777023855343	0.47054385793658937	0.43832593626847516	0.4673892928978136	0.4752587382741914	0.47705050608792465	0.4718915423521266	0.4766937692819222	0.4407590425757535	0.4992184899815185	0.47692274216869057	0.5126794122671493	0.5297473006902995	0.5610419097786696	0.5405693689349443	0.5244693520250852	0.44792551799718683	0.4560914085719515	0.4815029329469197	0.47861938307204865	0.47096189898049623	0.45789633470965685	0.45366951814535517	0.45891443464737147	0.4627233183181053	0.43118861710937395	0.43522688618334215	0.4452227599685027	0.42326386644058034	0.4288065529156503	0.4231111515197198	0.41813864634555387	0.4244590957818377	0.275351371488495	0.23352989832540139	0.21267992386380732	0.1583309475858422	0.23023112581671168	0.25262459827431744
F22H1A	0.3197042052369318	0.22579765854641673	0.3137514688633007	0.31411839272928743	0.3290969852985173	0.30571902475101786	0.1527896280422147	0.0	0.23101662781436777	0.2410086227851519	0.20095658730432886	0.18179865432607004	0.304640464113624	0.3106322263474374	0.3098258997290929	0.24327396883554328	0.3195054833502622	0.3251936645800976	0.3164421007865195	0.2407669367696118	0.31867994659646925	0.3515920949202658	0.3586166090888664	0.3391099106614871	0.29184831967746827	0.3010808213049124	0.3193857259384787	0.3446127532572892	0.3535896493538842	0.3427045482651778	0.24727094094755203	0.3392276366364656	0.34447335984426797	0.35059574327612114	0.3448525320342588	0.34604126227849774	0.2601672519591388	0.3400603689808916	0.34447658178155355	0.31589300095168327	0.36156060654979005	0.34106776413580886	0.2720273405053468	0.3377574766339295	0.3416130764111642	0.35284527408598493	0.33192486418740674	0.3301866290860735	0.35636163595602516	0.29539117032471196	0.3178136063485737	0.27939204501277626	0.330902603556437	0.33290916509042523	0.32625880046734806	0.3394844841221062	0.3520898166014546	0.3258627203096396	0.3286875043435335	0.31000293727981276	0.3103287032680627	0.29500428121783495	0.29490601637545244	0.31581355832445335	0.3152744167471115	0.2831056568731125	0.47488169098970356	0.4677359123128354	0.47215862477828074	0.4817724499144197	0.4962239501633443	0.4918488163238094	0.49877784892749744	0.5217269002841658	0.5293778953501427	0.5201286944981438	0.5384511027514105	0.5149626056077283	0.548419594453018	0.5501148536715863	0.525820781134376	0.5407467860509113	0.5464028737489472	0.5141849520808329	0.5432483087101714	0.5511177540865492	0.5529095219002825	0.5477505581644844	0.55255278509428	0.5166180583881114	0.5750775057938764	0.5527817579810483	0.5885384280795072	0.6056063165026574	0.6369009255910274	0.6164283847473022	0.600328367837443	0.5237845338095447	0.5319504243843094	0.5573619487592776	0.5544783988844065	0.5468209147928541	0.5337553505220146	0.529528533957713	0.5347734504597293	0.5385823341304632	0.5070476329217317	0.5110859019957	0.5210817757808606	0.4991228822529381	0.504665568728008	0.49897016733207766	0.49399766215791174	0.5003181115941956	0.35121038730085286	0.3093889141377592	0.2885389396761652	0.23418996339820003	0.3060901416290695	0.32848361408667526
530075	0.29692722580189757	0.20302067911138244	0.2909744894282664	0.2913414132942531	0.30632000586348296	0.28294204531598355	0.15515761200200995	0.23101662781436777	0.0	0.17173896898813934	0.17817960786929457	0.15902167489103575	0.2818634846785897	0.28785524691240316	0.28704892029405865	0.220496989400509	0.29672850391522787	0.3024166851450633	0.29366512135148526	0.2179899573345775	0.295902967161435	0.32881511548523146	0.33583962965383213	0.3163329312264528	0.269071340242434	0.2783038418698781	0.2966087465034444	0.3218357738222549	0.33081266991884994	0.3199275688301435	0.22449396151251774	0.3164506572014313	0.32169638040923365	0.3278187638410869	0.3220755525992245	0.3232642828434634	0.23739027252410452	0.31728338954585733	0.3216996023465193	0.29311602151664895	0.33878362711475574	0.31829078470077454	0.2492503610703125	0.3149804971988952	0.3188360969761299	0.33006829465095067	0.3091478847523724	0.30740964965103923	0.3335846565209909	0.27261419088967764	0.2950366269135394	0.256615065577742	0.30812562412140276	0.3101321856553909	0.3034818210323138	0.3167075046870719	0.32931283716642035	0.30308574087460527	0.30591052490849924	0.2872259578447785	0.2875517238330284	0.2722273017828007	0.2721290369404181	0.29303657888941903	0.2924974373120772	0.2603286774380782	0.45210471155466925	0.44495893287780114	0.4493816453432465	0.45899547047938544	0.47344697072831	0.46907183688877513	0.4760008694924631	0.49894992084913153	0.5066009159151084	0.4973517150631095	0.5156741233163762	0.49218562617269407	0.5256426150179838	0.527337874236552	0.5030438016993417	0.517969806615877	0.5236258943139129	0.49140797264579866	0.5204713292751371	0.528340774651515	0.5301325424652482	0.52497357872945	0.5297758056592456	0.49384107895307705	0.5523005263588421	0.530004778546014	0.5657614486444729	0.5828293370676231	0.6141239461559931	0.5936514053122679	0.5775513884024087	0.5010075543745104	0.5091734449492751	0.5345849693242433	0.5317014194493722	0.5240439353578198	0.5109783710869804	0.5067515545226787	0.511996471024695	0.5158053546954289	0.48427065348669746	0.4883089225606657	0.49830479634582625	0.47634590281790384	0.4818885892929738	0.47619318789704335	0.4712206827228774	0.4775411321591613	0.32843340786581854	0.28661193470272495	0.26576196024113086	0.2114129839631657	0.2833131621940352	0.30570663465164094
S6Hp	0.3069192207726817	0.2130126740821666	0.30096648439905055	0.3013334082650373	0.31631200083426714	0.2929340402867677	0.16514960697279407	0.2410086227851519	0.17173896898813934	0.0	0.18817160284007872	0.1690136698618199	0.29185547964937386	0.2978472418831873	0.2970409152648428	0.23048898437129314	0.30672049888601205	0.31240868011584744	0.3036571163222694	0.22798195230536167	0.3058949621322191	0.33880711045601564	0.34583162462461625	0.32632492619723696	0.27906333521321813	0.2882958368406623	0.30660074147422856	0.33182776879303905	0.34080466488963407	0.3299195638009277	0.2344859564833019	0.32644265217221546	0.33168837538001783	0.337810758811871	0.33206754757000867	0.3332562778142476	0.24738226749488867	0.32727538451664145	0.3316915973173034	0.30310801648743313	0.3487756220855399	0.3282827796715587	0.2592423560410967	0.3249724921696794	0.32882809194691404	0.3400602896217348	0.3191398797231566	0.31740164462182335	0.343576651491775	0.2826061858604618	0.30502862188432356	0.2666070605485261	0.3181176190921869	0.3201241806261751	0.3134738160030979	0.32669949965785605	0.33930483213720447	0.31307773584538945	0.31590251987928336	0.2972179528155626	0.2975437188038126	0.2822192967535848	0.2821210319112023	0.3030285738602032	0.30248943228286135	0.2703206724088624	0.4620967065254534	0.45495092784858526	0.4593736403140306	0.46898746545016956	0.48343896569909417	0.47906383185955925	0.4859928644632473	0.5089419158199157	0.5165929108858925	0.5073437100338937	0.5256661182871604	0.5021776211434782	0.5356346099887679	0.5373298692073362	0.5130357966701259	0.5279618015866612	0.5336178892846971	0.5013999676165828	0.5304633242459212	0.538332769622299	0.5401245374360324	0.5349655737002342	0.5397678006300298	0.5038330739238612	0.5622925213296263	0.5399967735167982	0.575753443615257	0.5928213320384073	0.6241159411267773	0.6036434002830521	0.5875433833731929	0.5109995493452946	0.5191654399200593	0.5445769642950274	0.5416934144201564	0.534035930328604	0.5209703660577645	0.5167435494934629	0.5219884659954792	0.525797349666213	0.4942626484574816	0.4983009175314499	0.5082967913166104	0.48633789778868797	0.4918805842637579	0.4861851828678275	0.4812126776936616	0.48753312712994545	0.3384254028366027	0.29660392967350907	0.27575395521191504	0.2214049789339499	0.29330515716481936	0.3156986296224251
