	f8pp	f10pp	f16ppA	f2pp	f7pp	f19pp	w18pp	w22pp	w21pp	f23ppB	f25pp	w29pp	w14pp	f6ppA	w16pp	w28pp	w11pp	w4pp	w24pp	w1pp	w17pp	w2pp	f11pp	w10pp	w32pp	f15pp	w13pp	w8pp	w31pp	w12pp	w15pp	w26pp	f24pp	w3pp	w9pp	w19pp	w20pp	w25pp	f16ppB	w27pp	f6ppB	f14ppA	f14ppB	f13pp	S2Hp	530394	530119	S19H1	530055	S15Hp	F14H1A	F23HpA	530052	31519	31009	31129	31714	530050	31021	31723	31750	530368	F1H1	31360	F22HpB	S14Hp	F16H1	31512	31328	S6Hp	S20H1	530215	31600	S12Hp	S8Hp	S10H1	530295	530364	31333	31428	F8H1	31071	F3H1	S26Hp	530331	530315	S9H1	S30H1	S11Hp	S29H1	S31Hp	530075	S25Hp	S16H2	31537	F14H1B	F29H1	S28Hp	S3Hp	S18H1	F32H1	31637	530074	S21H1	S23Hp	F22H1A	31219	31300	31700	530258	F6H1	31379	31267	S27H1	530163	31766	530251	31232	31452	S13Hp	S1Hp	S17H1	s24H1	S4Hp	S7Hp	F7H1	f26pp	f32pp	f12ppA	w23pp	f17ppB	f12ppB	f1pp	f4pp	f23ppA	f30pp	f18pp	f20ppA	f21pp
f8pp	0.0	0.021219119013899078	0.03110118197984817	0.03583282285912366	0.0322390052011023	0.03260976159315504	0.03410090694294665	0.038828992225881834	0.05856405673372039	0.05134953909228167	0.06164163397439501	0.050205164893959736	0.04029738958603156	0.04750841351161929	0.04439777743657246	0.04914043095169747	0.04433235011313888	0.04576425492598958	0.04053068620976909	0.03811534683441532	0.03738173992570232	0.04769062879589911	0.04119318943485603	0.041864106123503414	0.04729624378334467	0.04055385859675245	0.042148925482740726	0.04233144002845819	0.048117010800199825	0.053370916143287206	0.05406422374825655	0.03551826790527829	0.040322411877039166	0.04103323289174236	0.04457040655984788	0.03460268576548661	0.03330732784988172	0.04981113563386727	0.0413289655662311	0.04683166909670215	0.054565057527331956	0.037810624478638824	0.037552479122648655	0.04814624897972655	0.3875190041787444	0.375953706067203	0.47678945199148814	0.4636819746433788	0.4791362075014378	0.4848055534569662	0.5043037421712411	0.5153096155565502	0.5192639344502659	0.5059058010971832	0.5092562771046528	0.5096465831470779	0.5093028064493466	0.5192926392286427	0.5050955970937068	0.4968823830903643	0.5049132120937531	0.5186707840926458	0.5115965104124067	0.5041939985938969	0.5139984996334132	0.48753840852072433	0.5000605412400239	0.5159093974886888	0.5046261062931144	0.4487607073971245	0.4613904743901546	0.45910933440533686	0.5225715907110959	0.5284811640697258	0.5178192309285424	0.5213363202933207	0.49241060360681166	0.5212907129885601	0.5067529211810997	0.5160066742814862	0.5268952766587084	0.4412951735970145	0.3868732512209283	0.391163396437839	0.41293050911867246	0.4157248479480749	0.4185094857119239	0.4020383225357308	0.44951887413397296	0.4323548317273432	0.43969698340065233	0.4313906262512239	0.4456232361335158	0.45406610080190035	0.5669133767995592	0.5360505030571404	0.5625805206054821	0.5762834198412741	0.5737396301542365	0.565100588590497	0.5830521444114743	0.5869918389712289	0.5806331368578032	0.4888278064207459	0.5746326212991701	0.588304673706036	0.5637742339482594	0.5997945840200197	0.5896256441128854	0.5993624214513188	0.5862116245544786	0.6166015857493908	0.5877091234765314	0.596987862431227	0.5323614394327362	0.5856907591554338	0.594767479340322	0.5781758786212677	0.5841972503226213	0.5776161878884025	0.5751709717923972	0.5953744503462195	0.5783689151842287	0.4398054209731225	0.4370840261499377	0.4229294995111031	0.05408652206835532	0.06394445824938153	0.04607824767587318	0.030259715826765576	0.025690580772604766	0.019920903724084525	0.030028862323954054	0.02677826507361806	0.03910081192674064	0.02701904339614037	0.034075945033986546	0.017069842654602586	0.025046606447242416
f10pp	0.021219119013899078	0.0	0.0126875670195832	0.017419207898858684	0.013825390240837331	0.014196146632890061	0.01568729198268168	0.020415377265616857	0.04015044177345543	0.0329359241320167	0.043228019014130044	0.03179154993369476	0.02188377462576659	0.02909479855135431	0.02598416247630748	0.030726815991432493	0.02591873515287391	0.027350639965724604	0.02211707124950411	0.019701731874150346	0.018968124965437348	0.029277013835634132	0.02277957447459106	0.023450491163238444	0.02888262882307969	0.022140243636487474	0.02373531052247575	0.023917825068193222	0.029703395839934848	0.03495730118302224	0.03565060878799158	0.01710465294501332	0.02190879691677419	0.022619617931477386	0.026156791599582913	0.016189070805221646	0.014893712889616748	0.031397520673602304	0.022915350605966122	0.028418054136437183	0.03615144256706698	0.019397009518373847	0.019138864162383678	0.029732634019461576	0.3691053892184794	0.357540091106938	0.45837583703122314	0.4452683596831138	0.4607225925411728	0.4663919384967012	0.4858901272109761	0.4968960005962852	0.5008503194900008	0.4874921861369182	0.4908426621443878	0.4912329681868129	0.49088919148908156	0.5008790242683776	0.48668198213344177	0.4784687681300993	0.48649959713348806	0.5002571691323807	0.4931828954521417	0.48578038363363196	0.49558488467314815	0.46912479356045933	0.48164692627975886	0.4974957825284238	0.48621249133284944	0.4303470924368595	0.4429768594298896	0.44069571944507185	0.504157975750831	0.5100675491094608	0.4994056159682775	0.5029227053330557	0.47399698864654666	0.5028770980282952	0.4883393062208347	0.49759305932122117	0.5084816616984434	0.4228815586367495	0.3684596362606633	0.372749781477574	0.39451689415840746	0.3973112329878099	0.4000958707516589	0.3836247075754658	0.43110525917370796	0.4139412167670782	0.42128336844038733	0.4129770112909589	0.4272096211732508	0.43565248584163535	0.5484997618392943	0.5176368880968755	0.5441669056452172	0.5578698048810091	0.5553260151939715	0.5466869736302321	0.5646385294512094	0.5685782240109639	0.5622195218975382	0.4704141914604809	0.5562190063389052	0.5698910587457711	0.5453606189879945	0.5813809690597548	0.5712120291526205	0.5809488064910538	0.5677980095942137	0.5981879707891259	0.5692955085162664	0.5785742474709621	0.5139478244724712	0.5672771441951688	0.5763538643800571	0.5597622636610028	0.5657836353623563	0.5592025729281376	0.5567573568321322	0.5769608353859546	0.5599553002239638	0.4213918060128575	0.4186704111896727	0.4045158845508381	0.035672907108090346	0.04553084328911656	0.027664632715608203	0.011846100866500604	0.007276965812339793	0.00501628738088978	0.01512424598075931	0.011873648730423314	0.03005550818898781	0.017973739658387534	0.025030641296233704	0.008024538916849748	0.0212328263205716
f16ppA	0.03110118197984817	0.0126875670195832	0.0	0.016227776224273845	0.01263395856625249	0.015237048488278846	0.016728193838070466	0.021456279121005638	0.041191343628844204	0.03397682598740548	0.04426892086951882	0.03283245178908354	0.02292467648115537	0.030135700406743092	0.027025064331696266	0.031767717846821274	0.026959637008262694	0.028391541821113385	0.02315797310489289	0.020742633729539127	0.02000902682082613	0.030317915691022913	0.023820476329979846	0.02449139301862723	0.029923530678468473	0.02318114549187626	0.024776212377864534	0.024958726923582007	0.03074429769532363	0.03599820303841102	0.03669151064338036	0.0181455548004021	0.022949698772162973	0.02366051978686617	0.027197693454971694	0.01722997266061043	0.015934614745005533	0.03243842252899108	0.023956252461354906	0.029458955991825964	0.03719234442245576	0.020437911373762628	0.02017976601777246	0.030773535874850357	0.3701462910738682	0.3585809929623268	0.45941673888661194	0.4463092615385026	0.4617634943965616	0.46743284035209	0.4869310290663649	0.497936902451674	0.5018912213453897	0.488533087992307	0.4918835639997766	0.4922738700422017	0.49193009334447035	0.5019199261237665	0.48772288398883057	0.4795096699854881	0.48754049898887686	0.5012980709877696	0.4942237973075305	0.48682128548902076	0.49662578652853695	0.47016569541584813	0.48268782813514766	0.4985366843838126	0.48725339318823824	0.4313879942922483	0.4440177612852784	0.44173662130046065	0.5051988776062198	0.5111084509648496	0.5004465178236662	0.5039636071884445	0.47503789050193546	0.5039179998836839	0.4893802080762235	0.49863396117660996	0.5095225635538322	0.4239224604921383	0.3695005381160521	0.3737906833329628	0.39555779601379626	0.3983521348431987	0.4011367726070477	0.3846656094308546	0.43214616102909675	0.414982118622467	0.4223242702957761	0.41401791314634767	0.4282505230286396	0.43669338769702415	0.549540663694683	0.5186777899522642	0.5452078075006059	0.5589107067363979	0.5563669170493603	0.5477278754856209	0.5656794313065981	0.5696191258663527	0.563260423752927	0.4714550933158697	0.5572599081942939	0.5709319606011598	0.5464015208433832	0.5824218709151435	0.5722529310080092	0.5819897083464426	0.5688389114496024	0.5992288726445146	0.5703364103716552	0.5796151493263508	0.51498872632786	0.5683180460505576	0.5773947662354458	0.5608031655163915	0.5668245372177451	0.5602434747835263	0.557798258687521	0.5780017372413433	0.5609962020793525	0.42243270786824627	0.4197113130450615	0.4055567864062269	0.03671380896347912	0.046571745144505336	0.028705534570996987	0.012887002721889388	0.01293258774035285	0.014898350346838875	0.025006308946708404	0.021755711696372408	0.0399375711549369	0.027855802624336626	0.03491270426218279	0.017906601882798842	0.031114889286520696
f2pp	0.03583282285912366	0.017419207898858684	0.016227776224273845	0.0	0.013570335850881347	0.019968689367554332	0.02145983471734595	0.026187920000281126	0.04592298450811969	0.03870846686668097	0.04900056174879431	0.03756409266835903	0.02765631736043086	0.03486734128601858	0.03175670521097175	0.03649935872609676	0.03169127788753818	0.03312318270038887	0.02788961398416838	0.025474274608814615	0.024740667700101616	0.0350495565702984	0.02855211720925533	0.029223033897902713	0.03465517155774396	0.027912786371151743	0.029507853257140018	0.02969036780285749	0.03547593857459912	0.040729843917686505	0.04142315152265585	0.022877195679677588	0.027681339651438458	0.028392160666141655	0.03192933433424718	0.02196161353988592	0.020666255624281017	0.03717006340826657	0.02868789334063039	0.03419059687110145	0.04192398530173125	0.025169552253038116	0.024911406897047947	0.035505176754125845	0.3748779319531437	0.3633126338416023	0.4641483797658874	0.45104090241777806	0.4664951352758371	0.47216448123136545	0.49166266994564034	0.5026685433309495	0.5066228622246651	0.49326472887158246	0.4966152048790521	0.49700551092147716	0.4966617342237458	0.5066515670030419	0.49245452486810604	0.4842413108647636	0.4922721398681523	0.506029711867045	0.498955438186806	0.49155292636829623	0.5013574274078124	0.4748973362951236	0.4874194690144231	0.5032683252630881	0.4919850340675137	0.43611963517152375	0.4487494021645539	0.4464682621797361	0.5099305184854953	0.515840091844125	0.5051781587029417	0.5086952480677199	0.4797695313812109	0.5086496407629594	0.494111848955499	0.5033656020558854	0.5142542044331077	0.42865410137141374	0.37423217899532757	0.37852232421223825	0.4002894368930717	0.40308377572247417	0.4058684134863232	0.38939725031013006	0.4368778019083722	0.41971375950174244	0.4270559111750516	0.41874955402562314	0.43298216390791505	0.4414250285762996	0.5542723045739585	0.5234094308315397	0.5499394483798814	0.5636423476156733	0.5610985579286357	0.5524595163648963	0.5704110721858736	0.5743507667456281	0.5679920646322024	0.4761867341951452	0.5619915490735694	0.5756636014804353	0.5511331617226587	0.587153511794419	0.5769845718872847	0.5867213492257181	0.5735705523288779	0.6039605135237901	0.5750680512509306	0.5843467902056263	0.5197203672071354	0.573049686929833	0.5821264071147213	0.565534806395667	0.5715561780970205	0.5649751156628018	0.5625298995667964	0.5827333781206188	0.565727842958628	0.42716434874752174	0.42444295392433695	0.41028842728550236	0.04144544984275461	0.051303386023780824	0.03343717545027247	0.017618643601164875	0.01766422861962834	0.01962999122611436	0.02973794982598389	0.026487352575647893	0.04466921203421238	0.03258744350361211	0.03964434514145828	0.022638242762074327	0.035846530165796184
f7pp	0.0322390052011023	0.013825390240837331	0.01263395856625249	0.013570335850881347	0.0	0.016374871709532977	0.0178660170593246	0.02259410234225977	0.04232916685009834	0.035114649208659615	0.04540674409077296	0.03397027501033767	0.0240624997024095	0.03127352362799722	0.0281628875529504	0.0329055410680754	0.028097460229516827	0.029529365042367514	0.02429579632614702	0.021880456950793256	0.02114685004208026	0.03145573891227704	0.02495829955123398	0.02562921623988136	0.031061353899722602	0.02431896871313039	0.025914035599118666	0.02609655014483614	0.03188212091657776	0.037136026259665146	0.03782933386463449	0.019283378021656233	0.024087521993417106	0.024798343008120304	0.028335516676225823	0.01836779588186456	0.017072437966259665	0.03357624575024521	0.02509407568260904	0.030596779213080093	0.03833016764370989	0.02157573459501676	0.02131758923902659	0.031911359096104486	0.3712841142951223	0.3597188161835809	0.46055456210786605	0.4474470847597567	0.4629013176178157	0.4685706635733441	0.488068852287619	0.4990747256729281	0.5030290445666438	0.4896709112135611	0.4930213872210307	0.4934116932634558	0.49306791656572446	0.5030577493450206	0.4888607072100847	0.4806474932067422	0.48867832221013097	0.5024358942090237	0.49536162052878463	0.48795910871027487	0.49776360974979106	0.47130351863710224	0.48382565135640176	0.4996745076050667	0.48839121640949235	0.4325258175135024	0.44515558450653253	0.44287444452171476	0.506336700827474	0.5122462741861037	0.5015843410449203	0.5051014304096986	0.47617571372318956	0.505055823104938	0.4905180312974776	0.49977178439786407	0.5106603867750863	0.4250602837133924	0.3706383613373062	0.3749285065542169	0.39669561923505037	0.3994899580644528	0.40227459582830183	0.3858034326521087	0.43328398425035086	0.4161199418437211	0.42346209351703024	0.4151557363676018	0.4293883462498937	0.43783121091827826	0.5506784869159371	0.5198156131735183	0.54634563072186	0.560048529957652	0.5575047402706144	0.548865698706875	0.5668172545278523	0.5707569490876068	0.5643982469741811	0.4725929165371238	0.558397731415548	0.5720697838224139	0.5475393440646373	0.5835596941363976	0.5733907542292633	0.5831275315676967	0.5699767346708565	0.6003666958657687	0.5714742335929093	0.5807529725476049	0.5161265495491141	0.5694558692718117	0.5785325894566999	0.5619409887376456	0.5679623604389992	0.5613812980047804	0.5589360819087751	0.5791395604625974	0.5621340253006066	0.4235705310895004	0.4208491362663156	0.406694609627481	0.03785163218473325	0.04770956836575947	0.02984335779225112	0.01402482594314352	0.014070410961606982	0.016036173568093004	0.026144132167962533	0.022893534917626537	0.04107539437619104	0.02899362584559076	0.03605052748343693	0.019044425104052975	0.03225271250777483
f19pp	0.03260976159315504	0.014196146632890061	0.015237048488278846	0.019968689367554332	0.016374871709532977	0.0	0.00510390341677221	0.009831988699707384	0.029567053207545956	0.022352535566107227	0.03530657848392995	0.023870109403494662	0.013962334095566492	0.021173358021154214	0.018062721946107387	0.022805375461232395	0.017997294622673816	0.019429199435524507	0.014195630719304013	0.011780291343950249	0.011046684435237254	0.021355573305434035	0.01485813394439097	0.015529050633038353	0.020961188292879594	0.01421880310628738	0.01581386999227566	0.01599638453799313	0.02178195530973475	0.02703586065282214	0.02772916825779148	0.009183212414813225	0.013987356386574099	0.014698177401277292	0.018235351069382816	0.008267630275021552	0.006972272359416654	0.02819097915035349	0.01970880908271732	0.025211512613188373	0.03294490104381817	0.01619046799512504	0.015932322639134872	0.026526092496212766	0.3658988476952306	0.35433354958368923	0.45516929550797436	0.442061818159865	0.45751605101792403	0.4631853969734524	0.4826835856877273	0.4936894590730364	0.4976437779667521	0.4842856446136694	0.48763612062113904	0.4880264266635641	0.48768264996583277	0.4976724827451289	0.483475440610193	0.4752622266068505	0.4832930556102393	0.497050627609132	0.48997635392889294	0.4825738421103832	0.49237834314989937	0.46591825203721055	0.4784403847565101	0.494289241005175	0.48300594980960065	0.4271405509136107	0.43977031790664084	0.43748917792182307	0.5009514342275823	0.506861007586212	0.4961990744450287	0.4997161638098069	0.4707904471232979	0.4996705565050463	0.4851327646975859	0.4943865177979724	0.5052751201751946	0.4196750171135007	0.3652530947374145	0.3695432399543252	0.3913103526351587	0.3941046914645611	0.39688932922841014	0.380418166052217	0.42789871765045917	0.4107346752438294	0.41807682691713854	0.4097704697677101	0.424003079650002	0.43244594431838657	0.5452932203160454	0.5144303465736266	0.5409603641219684	0.5546632633577603	0.5521194736707227	0.5434804321069833	0.5614319879279606	0.5653716824877151	0.5590129803742894	0.46720764993723213	0.5530124648156564	0.5666845172225222	0.5421540774647456	0.5781744275365059	0.5680054876293716	0.577742264967805	0.5645914680709648	0.594981429265877	0.5660889669930176	0.5753677059477132	0.5107412829492224	0.56407060267192	0.5731473228568083	0.556555722137754	0.5625770938391075	0.5559960314048887	0.5535508153088834	0.5737542938627057	0.5567487587007149	0.4181852644896087	0.4154638696664239	0.4013093430275893	0.03246636558484153	0.042324301765867746	0.0244580911923594	0.0086395593432518	0.014441167353659712	0.016406929960145734	0.026514888560015264	0.023264291309679268	0.04144615076824376	0.02936438223764349	0.03642128387548966	0.019415181496105705	0.03262346889982756
w18pp	0.03410090694294665	0.01568729198268168	0.016728193838070466	0.02145983471734595	0.0178660170593246	0.00510390341677221	0.0	0.009135531968861889	0.02887059647670046	0.02165607883526173	0.03679772383372157	0.025361254753286284	0.015453479445358114	0.022664503370945836	0.019553867295899006	0.024296520811024017	0.019488439972465434	0.02092034478531613	0.015686776069095635	0.01327143669374187	0.012537829785028872	0.022846718655225657	0.01634927929418259	0.017020195982829972	0.022452333642671216	0.015709948456079	0.017305015342067277	0.01748752988778475	0.023273100659526372	0.02852700600261376	0.029220313607583103	0.010674357764604844	0.015478501736365717	0.016189322751068914	0.019726496419174434	0.009758775624813174	0.008463417709208275	0.029682124500145114	0.02119995443250894	0.026702657962979996	0.034436046393609795	0.017681613344916663	0.017423467988926494	0.02801723784600439	0.36738999304502223	0.35582469493348085	0.45666044085776597	0.4435529635096566	0.45900719636771564	0.464676542323244	0.4841747310375189	0.495180604422828	0.4991349233165437	0.485776789963461	0.48912726597093065	0.4895175720133557	0.4891737953156244	0.4991636280949205	0.4849665859599846	0.47675337195664214	0.4847842009600309	0.4985417729589236	0.49146749927868455	0.4840649874601748	0.493869488499691	0.46740939738700216	0.4799315301063017	0.49578038635496663	0.48449709515939227	0.4286316962634023	0.44126146325643245	0.4389803232716147	0.5024425795773738	0.5083521529360037	0.4976902197948203	0.5012073091595984	0.4722815924730895	0.5011617018548379	0.48662391004737754	0.495877663147764	0.5067662655249862	0.4211661624632923	0.36674424008720613	0.3710343853041168	0.3928014979849503	0.39559583681435273	0.39838047457820175	0.3819093114020086	0.4293898630002508	0.412225820593621	0.41956797226693016	0.4112616151175017	0.4254942249997936	0.4339370896681782	0.5467843656658371	0.5159214919234183	0.54245150947176	0.556154408707552	0.5536106190205143	0.5449715774567749	0.5629231332777522	0.5668628278375067	0.560504125724081	0.46869879528702374	0.554503610165448	0.5681756625723139	0.5436452228145373	0.5796655728862976	0.5694966329791633	0.5792334103175967	0.5660826134207565	0.5964725746156687	0.5675801123428093	0.5768588512975049	0.512232428299014	0.5655617480217117	0.5746384682065999	0.5580468674875456	0.5640682391888991	0.5574871767546804	0.5550419606586751	0.5752454392124974	0.5582399040505066	0.4196764098394003	0.4169550150162155	0.4028004883773809	0.03395751093463316	0.043815447115659364	0.02594923654215102	0.01013070469304342	0.015932312703451332	0.017898075309937356	0.028006033909806886	0.02475543665947089	0.04293729611803539	0.030855527587435108	0.03791242922528128	0.020906326845897324	0.03411461424961918
w22pp	0.038828992225881834	0.020415377265616857	0.021456279121005638	0.026187920000281126	0.02259410234225977	0.009831988699707384	0.009135531968861889	0.0	0.02893841348581107	0.021723895844372343	0.041525809116656744	0.030089340036221456	0.020181564728293286	0.027392588653881007	0.02428195257883418	0.02902460609395919	0.02421652525540061	0.0256484300682513	0.020414861352030807	0.017999521976677042	0.017265915067964047	0.02757480393816083	0.021077364577117765	0.021748281265765147	0.027180418925606388	0.020438033739014174	0.022033100625002452	0.022215615170719925	0.028001185942461544	0.03325509128554893	0.033948398890518275	0.015402443047540019	0.020206587019300892	0.02091740803400409	0.02445458170210961	0.014486860907748348	0.013191502992143448	0.034410209783080285	0.025928039715444114	0.03143074324591517	0.039164131676544964	0.022409698627851835	0.022151553271861666	0.03274532312893956	0.3721180783279574	0.360552780216416	0.46138852614070114	0.4482810487925918	0.4637352816506508	0.4694046276061792	0.48890281632045407	0.4999086897057632	0.5038630085994789	0.4905048752463962	0.4938553512538658	0.4942456572962909	0.49390188059855955	0.5038917133778557	0.48969467124291977	0.4814814572395773	0.48951228624296605	0.5032698582418588	0.4961955845616197	0.48879307274310996	0.49859757378262615	0.4721374826699373	0.48465961538923685	0.5005084716379018	0.48922518044232743	0.4333597815463375	0.4459895485393676	0.44370840855454985	0.507170664860309	0.5130802382189388	0.5024183050777554	0.5059353944425337	0.47700967775602465	0.5058897871377731	0.4913519953303127	0.5006057484306992	0.5114943508079214	0.4258942477462275	0.3714723253701413	0.375762470587052	0.39752958326788546	0.4003239220972879	0.4031085598611369	0.3866373966849438	0.43411794828318595	0.4169539058765562	0.4242960575498653	0.41598970040043687	0.4302223102827288	0.43866517495111335	0.5515124509487722	0.5206495772063534	0.5471795947546951	0.5608824939904871	0.5583387043034495	0.54969966273971	0.5676512185606873	0.5715909131204419	0.5652322110070161	0.4734268805699589	0.5592316954483831	0.572903747855249	0.5483733080974724	0.5843936581692327	0.5742247182620984	0.5839614956005318	0.5708106987036916	0.6012006598986038	0.5723081976257444	0.58158693658044	0.5169605135819492	0.5702898333046468	0.579366553489535	0.5627749527704807	0.5687963244718343	0.5622152620376155	0.5597700459416102	0.5799735244954325	0.5629679893334417	0.42440449512233547	0.4216831002991507	0.4075285736603161	0.03868559621756833	0.04854353239859454	0.030677321825086194	0.014858789975978594	0.020660397986386508	0.02262616059287253	0.032734119192742064	0.029483521942406065	0.047665381400970555	0.03558361287037028	0.04264051450821645	0.0256344121288325	0.038842699532554356
w21pp	0.05856405673372039	0.04015044177345543	0.041191343628844204	0.04592298450811969	0.04232916685009834	0.029567053207545956	0.02887059647670046	0.02893841348581107	0.0	0.03327206460323512	0.06126087362449531	0.04982440454406003	0.03991662923613186	0.04712765316171958	0.04401701708667275	0.04875967060179776	0.04395158976323918	0.045383494576089874	0.04014992585986938	0.037734586484515616	0.03700097957580262	0.0473098684459994	0.04081242908495634	0.04148334577360372	0.04691548343344496	0.040173098246852744	0.041768165132841026	0.0419506796785585	0.04773625045030012	0.052990155793387506	0.05368346339835685	0.03513750755537859	0.039941651527139466	0.04065247254184266	0.04418964620994818	0.03422192541558692	0.03292656749998202	0.05414527429091886	0.04566310422328268	0.05116580775375374	0.05889919618438354	0.042144763135690405	0.041886617779700236	0.052480387636778134	0.391853142835796	0.3802878447242546	0.4811235906485397	0.46801611330043036	0.4834703461584894	0.48913969211401775	0.5086378808282926	0.5196437542136018	0.5235980731073174	0.5102399397542348	0.5135904157617044	0.5139807218041295	0.5136369451063981	0.5236267778856942	0.5094297357507583	0.5012165217474158	0.5092473507508046	0.5230049227496973	0.5159306490694583	0.5085281372509485	0.5183326382904647	0.4918725471777759	0.5043946798970754	0.5202435361457404	0.508960244950166	0.45309484605417605	0.4657246130472062	0.4634434730623884	0.5269057293681476	0.5328153027267774	0.522153369585594	0.5256704589503722	0.4967447422638632	0.5256248516456117	0.5110870598381513	0.5203408129385377	0.53122941531576	0.44562931225406605	0.39120738987797987	0.39549753509489055	0.41726464777572403	0.42005898660512647	0.4228436243689755	0.40637246119278236	0.4538530127910245	0.43668897038439475	0.4440311220577039	0.43572476490827544	0.44995737479056735	0.4584002394589519	0.5712475154566108	0.540384641714192	0.5669146592625337	0.5806175584983256	0.578073768811288	0.5694347272475486	0.5873862830685259	0.5913259776282804	0.5849672755148547	0.4931619450777975	0.5789667599562217	0.5926388123630876	0.568108372605311	0.6041287226770713	0.593959782769937	0.6036965601083704	0.5905457632115302	0.6209357244064424	0.5920432621335829	0.6013220010882786	0.5366955780897877	0.5900248978124853	0.5991016179973736	0.5825100172783193	0.5885313889796728	0.5819503265454541	0.5795051104494487	0.5997085890032711	0.5827030538412803	0.44413955963017404	0.44141816480698925	0.42726363816815466	0.0584206607254069	0.06827859690643312	0.05041238633292476	0.03459385448381717	0.04039546249422507	0.042361225100711095	0.052469183700580624	0.04921858645024463	0.06740044590880913	0.05531867737820885	0.06237557901605502	0.04536947663667107	0.05857776404039292
f23ppB	0.05134953909228167	0.0329359241320167	0.03397682598740548	0.03870846686668097	0.035114649208659615	0.022352535566107227	0.02165607883526173	0.021723895844372343	0.03327206460323512	0.0	0.054046355983056585	0.0426098869026213	0.032702111594693134	0.03991313552028085	0.036802499445234026	0.04154515296035903	0.036737072121800454	0.03816897693465114	0.03293540821843065	0.030520068843076887	0.029786461934363892	0.04009535080456067	0.033597911443517606	0.03426882813216499	0.03970096579200623	0.03295858060541402	0.034553647491402294	0.03473616203711977	0.040521732808861385	0.04577563815194878	0.04646894575691812	0.027922989913939864	0.032727133885700734	0.03343795490040393	0.03697512856850945	0.02700740777414819	0.025712049858543293	0.046930756649480126	0.038448586581843955	0.04395129011231501	0.05168467854294481	0.03493024549425168	0.03467210013826151	0.04526586999533941	0.3846386251943572	0.3730733270828158	0.47390907300710094	0.4608015956589916	0.4762558285170506	0.481925174472579	0.5014233631868539	0.512429236572163	0.5163835554658787	0.503025422112796	0.5063758981202656	0.5067662041626907	0.5064224274649594	0.5164122602442555	0.5022152181093196	0.4940020041059771	0.5020328331093659	0.5157904051082586	0.5087161314280195	0.5013136196095098	0.511118120649026	0.48465802953633713	0.49718016225563666	0.5130290185043016	0.5017457273087272	0.4458803284127373	0.4585100954057674	0.45622895542094966	0.5196912117267088	0.5256007850853387	0.5149388519441553	0.5184559413089335	0.48953022462242446	0.5184103340041729	0.5038725421967125	0.513126295297099	0.5240148976743212	0.4384147946126273	0.3839928722365411	0.3882830174534518	0.41005013013428526	0.4128444689636877	0.4156291067275367	0.3991579435513436	0.44663849514958576	0.429474452742956	0.43681660441626513	0.4285102472668367	0.4427428571491286	0.45118572181751315	0.5640329978151721	0.5331701240727533	0.559700141621095	0.573403040856887	0.5708592511698494	0.56222020960611	0.5801717654270873	0.5841114599868418	0.5777527578734161	0.4859474274363587	0.571752242314783	0.5854242947216489	0.5608938549638723	0.5969142050356326	0.5867452651284983	0.5964820424669317	0.5833312455700915	0.6137212067650037	0.5848287444921443	0.59410748344684	0.5294810604483491	0.5828103801710467	0.591887100355935	0.5752954996368806	0.5813168713382342	0.5747358089040154	0.5722905928080101	0.5924940713618324	0.5754885361998416	0.4369250419887353	0.4342036471655505	0.4200491205267159	0.051206143083968175	0.06106407926499438	0.043197868691486035	0.02737933684237844	0.033180944852786345	0.03514670745927237	0.0452546660591419	0.0420040688088059	0.0601859282673704	0.048104159736770125	0.055161061374616294	0.038154958995232344	0.0513632463989542
