	F14H1A	S10H1	S9H1	31300	31328	S16H2	530258	530451	31129	31379	530119	31537	531414	F23HpA	F22H1A	S27H1	S6Hp	S3Hp	530177	31112	31021	F16H1	530295	31749	S13Hp	530394	S31Hp	530050	31219	S4Hp	S11Hp	s24H1	S17H1
F14H1A	0.0	0.42306379582758646	0.4304113602874453	0.45052223078884307	0.47147400096286796	0.5648396846497725	0.5264857241701506	0.5172153862775162	0.5872293117709275	0.5079103899128425	0.518619312960713	0.49482069985404403	0.5150309776580482	0.6006163793103239	0.6338277437969364	0.6219674260791175	0.6178963446075045	0.46172732303437003	0.6560225774173525	0.5147996971661252	0.5222799239628422	0.5598433762622044	0.5515290668928576	0.5039285319238804	0.43785459724363485	0.4825101591084514	0.48361515774729663	0.5073663877882342	0.4751398923999478	0.472985433688737	0.48466772121472185	0.3167634609748131	0.2387994785687353
S10H1	0.42306379582758646	0.0	0.3774531015142877	0.39756397201568544	0.4185157421897103	0.5118814258766149	0.473527465396993	0.46425712750435855	0.5342710529977699	0.45495213113968497	0.4656610541875553	0.4418624410808864	0.4620727188848906	0.5476581205371662	0.5808694850237788	0.5690091673059599	0.5649380858343469	0.4087690642612124	0.6030643186441949	0.46184143839296754	0.46932166518968454	0.5068851174890467	0.49857080811970006	0.4509702731507228	0.3848963384704772	0.4295519003352938	0.430656898974139	0.45440812901507655	0.4221816336267902	0.4200271749155794	0.4317094624415642	0.37417908277171863	0.3444000689499417
S9H1	0.4304113602874453	0.3774531015142877	0.0	0.2583877140904959	0.27933948426452077	0.3727051679514253	0.33435120747180347	0.3590458427794704	0.4290597682728817	0.34974084641479675	0.36044976946266716	0.3366511563559982	0.3568614341600024	0.44244683581227806	0.4756582002988905	0.4637978825810716	0.45972680110945874	0.30355777953632423	0.4978530339193066	0.3566301536680794	0.3641103804647964	0.4016738327641586	0.39335952339481184	0.34575898842583463	0.279685053745589	0.3243406156104056	0.3254456142492508	0.3491968442901884	0.316970348901902	0.36378656370960805	0.3754688512355928	0.3815266472315775	0.35174763340980053
31300	0.45052223078884307	0.39756397201568544	0.2583877140904959	0.0	0.2562107309076845	0.349576414594589	0.3112224541149672	0.3791567132808681	0.44917063877427954	0.3698517169161945	0.38056063996406486	0.356762026857396	0.3769723046614002	0.46255770631367576	0.4957690708002883	0.4839087530824694	0.47983767161085655	0.32366865003772194	0.5179639044207044	0.3767410241694771	0.3842212509661941	0.4217847032655563	0.41347039389620965	0.36586985892723234	0.29979592424698676	0.3444514861118033	0.3455564847506486	0.3693077147915861	0.3370812194032997	0.38389743421100575	0.39557972173699063	0.4016375177329753	0.3718585039111983
31328	0.47147400096286796	0.4185157421897103	0.27933948426452077	0.2562107309076845	0.0	0.3190489830704849	0.2806950225908631	0.400108483454893	0.47012240894830437	0.3908034870902194	0.4015124101380898	0.37771379703142083	0.397924074835425	0.4835094764877007	0.5167208409743131	0.5048605232564942	0.5007894417848814	0.3446204202117469	0.5389156745947292	0.397692794343502	0.405173021140219	0.4427364734395812	0.4344221640702345	0.3868216291012573	0.32074769442101164	0.36540325628582826	0.3665082549246734	0.390259484965611	0.35803298957732466	0.4048492043850307	0.41653149191101546	0.4225892879070001	0.3928102740852232
S16H2	0.5648396846497725	0.5118814258766149	0.3727051679514253	0.349576414594589	0.3190489830704849	0.0	0.17426290159780847	0.49347416714179754	0.5634880926352089	0.48416917077712396	0.4948780938249943	0.4710794807183254	0.4912897585223296	0.5768751601746052	0.6100865246612177	0.5982262069433988	0.594155125471786	0.4379861038986514	0.6322813582816338	0.49105847803040653	0.49853870482712354	0.5361021571264857	0.527787847757139	0.4801873127881618	0.41411337810791615	0.45876893997273277	0.459873938611578	0.48362516865251554	0.45139867326422917	0.4982148880719352	0.50989717559792	0.5159549715939047	0.4861759577721277
530258	0.5264857241701506	0.473527465396993	0.33435120747180347	0.3112224541149672	0.2806950225908631	0.17426290159780847	0.0	0.4551202066621757	0.5251341321555871	0.44581521029750204	0.45652413334537245	0.43272552023870353	0.4529357980427077	0.5385211996949834	0.5717325641815958	0.5598722464637769	0.5558011649921641	0.39963214341902953	0.5939273978020119	0.45270451755078467	0.4601847443475017	0.49774819664686387	0.4894338872775172	0.44183335230853993	0.37575941762829435	0.4204149794931109	0.42151997813195613	0.4452712081728937	0.4130447127846073	0.45986092759231334	0.47154321511829816	0.47760101111428277	0.4478219972925058
530451	0.5172153862775162	0.46425712750435855	0.3590458427794704	0.3791567132808681	0.400108483454893	0.49347416714179754	0.4551202066621757	0.0	0.3469413940365523	0.3475062836994458	0.39854885581043575	0.37475024270376683	0.39496052050777103	0.48054592216004666	0.5137572866466591	0.5018969689288402	0.4978258874572274	0.34165686588409283	0.5359521202670752	0.39472924001584797	0.402209466812565	0.4397729191119272	0.4314586097425805	0.4129503094677871	0.3468763747875415	0.3915319366523581	0.3926369352912033	0.41638816533214085	0.3841616699438545	0.4505905896996789	0.46227287722566374	0.46833067322164834	0.4385516593998714
31129	0.5872293117709275	0.5342710529977699	0.4290597682728817	0.44917063877427954	0.47012240894830437	0.5634880926352089	0.5251341321555871	0.3469413940365523	0.0	0.41752020919285726	0.46856278130384715	0.44476416819717823	0.46497444600118243	0.5505598476534581	0.5837712121400706	0.5719108944222516	0.5678398129506388	0.41167079137750423	0.6059660457604866	0.46474316550925937	0.4722233923059764	0.5097868446053386	0.5014725352359919	0.4829642349611985	0.41689030028095286	0.4615458621457695	0.4626508607846147	0.48640209082555225	0.4541755954372659	0.5206045151930903	0.5322868027190751	0.5383445987150598	0.5085655848932827
31379	0.5079103899128425	0.45495213113968497	0.34974084641479675	0.3698517169161945	0.3908034870902194	0.48416917077712396	0.44581521029750204	0.3475062836994458	0.41752020919285726	0.0	0.3892438594457621	0.36544524633909325	0.38565552414309745	0.471240925795373	0.5044522902819856	0.49259197256416665	0.4885208910925538	0.3323518695194192	0.5266471239024016	0.38542424365117434	0.39290447044789134	0.43046792274725354	0.4221536133779069	0.40364531310311347	0.3375713784228679	0.38222694028768445	0.3833319389265297	0.4070831689674672	0.37485667357918084	0.4412855933350053	0.45296788086099016	0.4590256768569748	0.4292466630351978
