	S6Hp	31219	31267	31537	S10H1	31328	31749	F6H1	S21H1	31009	31519	530177	31300	31333	31021	530167	530451	531414	530444	530394
S6Hp	0.0	0.3159369177031779	0.35029058094947185	0.5072527662646186	0.45585958732671295	0.4298038051641744	0.4292787693795888	0.4721065667240392	0.6508385683977552	0.46830796962065263	0.4813995831224	0.4162833715648277	0.35520557663321384	0.3580227205964725	0.3669422321187994	0.38411637947392074	0.39542839846588557	0.30187615117184907	0.3237115554508866	0.049839643071438275
31219	0.3159369177031779	0.0	0.34926023697328856	0.5062224222884353	0.45482924335052966	0.4287734611879911	0.4282484254034055	0.47107622274785593	0.6498082244215719	0.46727762564446934	0.4803692391462167	0.4152530275886444	0.35417523265703055	0.35699237662028926	0.36591188814261616	0.38308603549773745	0.39439805448970233	0.3230972327614524	0.34493263704048993	0.2893251755533819
31267	0.35029058094947185	0.34926023697328856	0.0	0.5032069164012812	0.4518137374633756	0.42575795530083704	0.4252329195162514	0.46806071686070183	0.6467927185344179	0.46426211975731524	0.4773537332590626	0.4122375217014903	0.3511597267698765	0.3539768707331351	0.36289638225546206	0.38007052961058335	0.3913825486025482	0.3574508960077464	0.3792863002867839	0.32367883879967585
31537	0.5072527662646186	0.5062224222884353	0.5032069164012812	0.0	0.41014712343033893	0.3840913412678004	0.38356630548321485	0.4263941028276652	0.6851433008784802	0.5026127021013774	0.5157043156031249	0.4505881040455525	0.4243312598845522	0.47016678149408325	0.47908629301641015	0.4962604403715315	0.5075724593634963	0.5144130813228931	0.5362484856019306	0.48064102411482257
S10H1	0.45585958732671295	0.45482924335052966	0.4518137374633756	0.41014712343033893	0.0	0.1292204511162971	0.12869541533171153	0.1715232126761619	0.6337501219405745	0.45121952316347175	0.46431113666521917	0.39919492510764687	0.3729380809466466	0.4187736025561776	0.4276931140785045	0.44486726143362587	0.4561792804255907	0.46301990238498747	0.484855306664025	0.42924784517691694
31328	0.4298038051641744	0.4287734611879911	0.42575795530083704	0.3840913412678004	0.1292204511162971	0.0	0.009423490054926226	0.06209408004703129	0.6076943397780359	0.42516374100093324	0.43825535450268066	0.3731391429451083	0.34688229878410803	0.3927178203936391	0.401637331915966	0.4188114792710873	0.4301234982630522	0.4369641202224489	0.4587995245014864	0.4031920630143784
31749	0.4292787693795888	0.4282484254034055	0.4252329195162514	0.38356630548321485	0.12869541533171153	0.009423490054926226	0.0	0.06156904426244572	0.6071693039934504	0.42463870521634767	0.4377303187180951	0.3726141071605228	0.3463572629995225	0.3921927846090535	0.40111229613138044	0.41828644348650174	0.42959846247846656	0.43643908443786333	0.45827448871690085	0.4026670272297928
F6H1	0.4721065667240392	0.47107622274785593	0.46806071686070183	0.4263941028276652	0.1715232126761619	0.06209408004703129	0.06156904426244572	0.0	0.6499971013379008	0.467466502560798	0.4805581160625455	0.41544190450497315	0.3891850603439729	0.4350205819535039	0.44394009347583085	0.4611142408309521	0.47242625982291697	0.47926688178231375	0.5011022860613512	0.4454948245742432
S21H1	0.6508385683977552	0.6498082244215719	0.6467927185344179	0.6851433008784802	0.6337501219405745	0.6076943397780359	0.6071693039934504	0.6499971013379008	0.0	0.5774043642654699	0.5904959777672174	0.5761509253223815	0.567917062017689	0.61375258362722	0.6226720951495469	0.6398462425046682	0.651158261496633	0.6579988834560297	0.6798342877350674	0.6242268262479592
31009	0.46830796962065263	0.46727762564446934	0.46426211975731524	0.5026127021013774	0.45121952316347175	0.42516374100093324	0.42463870521634767	0.467466502560798	0.5774043642654699	0.0	0.3587474725356946	0.3936203265452789	0.38538646324058623	0.4312219848501173	0.44014149637244426	0.4573156437275655	0.4686276627195304	0.47546828467892716	0.4973036889579647	0.44169622747085663
