	f2pp	w31pp	s26pp	f8pp	s22pp	S1Hp	s14pp	s23pp	s27pp	s29pp	f19pp	s20pp	w30pp	s32pp	f6ppA	w6pp	f29pp	w27pp	w1pp	f9pp	s30pp	s18pp	w29pp	s11pp	s1pp	s12pp	f22ppB	s17pp	F23HpA	s16pp	s19pp	w15pp	f15pp	f28pp	w28pp	f30pp	f32pp	w11pp	w21pp	f23ppA	s4pp	w12pp	s2pp	w2pp	f7pp	s13pp	f25pp	w32pp	f12ppA	f13pp	s31pp	f12ppB	f21pp	f1pp	f18pp	s7pp	f31pp	f24pp	w4pp	f4pp	w17pp	f17ppA	f11pp	w9pp	f14ppB	f26pp	f10pp	f14ppA	f20ppB	w19pp	w10pp	w16pp	f22ppA	w7pp	w18pp	s24pp	f23ppB	s25pp	w25pp	f16ppB	s3pp	f3pp	w3pp
f2pp	0.0	0.17803740452739325	0.12210503003081363	0.09837376083094751	0.05144330272132395	0.3060467210412971	0.21143971901410974	0.2022623400907047	0.1461071207832224	0.14882683351714598	0.09202373402894946	0.11987379332327613	0.11412920287038565	0.08797930146460331	0.10912177686604708	0.07503777618200842	0.13426972029322765	0.1802404034226711	0.1568308608959506	0.07578250872238755	0.14754752035190455	0.07702389089751698	0.15202789190052562	0.16067080341695406	0.09651932227953368	0.17721766776228415	0.10302550180340006	0.23798783507968485	0.31158618894247225	0.17664841806573373	0.1694358953959152	0.07752539246188525	0.06868952037935869	0.09376306347636532	0.18517832587336092	0.1012781437566107	0.09844458371027763	0.2190039819210317	0.07747750074166816	0.26615987095290305	0.10790233429464627	0.07929523594834229	0.13992293625538713	0.13376296861404896	0.1660226597655563	0.0987643127063718	0.15935849922231293	0.09971357335242856	0.09289785904025573	0.0934306020041052	0.1700542527716058	0.0929794490786025	0.11656844605243175	0.1434059803850758	0.08024640946490434	0.1815691886709364	0.16958782629869185	0.21251825569370913	0.1442001968105811	0.16741960698861125	0.213729975304286	0.12386068092055219	0.2277027260473365	0.1677294165831118	0.32790515378811014	0.21494681576316693	0.24555974902929945	0.20951892622757262	0.34139354128660987	0.2160112772146447	0.08789675479566178	0.10145436069996844	0.14495335673978946	0.16285636017159	0.09040646174731244	0.12027324840751465	0.19081857844650085	0.12509140595506513	0.13344181417611933	0.10714135658754924	0.09498266313475918	0.13171122982425948	0.0579925188008912
w31pp	0.17803740452739325	0.0	0.21164712132064972	0.1879158521207836	0.14098539401116006	0.3955908123321332	0.3009838103049459	0.2918064313815409	0.23565121207405856	0.2383709248079821	0.1815678253197856	0.20941788461411226	0.2036732941612218	0.17752339275543946	0.19866586815688322	0.1645818674728446	0.22381381158406377	0.2697844947135073	0.24637495218678676	0.1653266000132237	0.2370916116427407	0.16656798218835311	0.24157198319136178	0.25021489470779024	0.18606341357036982	0.2667617590531203	0.1925695930942362	0.327531926370521	0.4011302802333084	0.2661925093565699	0.2589799866867514	0.1670694837527214	0.15823361167019484	0.18330715476720147	0.2747224171641971	0.19082223504744683	0.18798867500111377	0.30854807321186783	0.16702159203250433	0.35570396224373924	0.19744642558548242	0.16883932723917844	0.22946702754622328	0.22330705990488509	0.2555667510563925	0.18830840399720794	0.24890259051314906	0.1892576646432647	0.18244195033109187	0.18297469329494137	0.259598344062442	0.18252354036943866	0.2061125373432679	0.23295007167591192	0.16979050075574048	0.2711132799617726	0.259131917589528	0.3020623469845453	0.23374428810141723	0.25696369827944743	0.3032740665951222	0.21340477221138832	0.31724681733817267	0.2572735078739479	0.41744924507894626	0.3044909070540031	0.3351038403201356	0.2990630175184088	0.430937632577446	0.3055553685054809	0.17744084608649793	0.1909984519908046	0.2344974480306256	0.2524004514624261	0.1799505530381486	0.20981733969835079	0.28036266973733703	0.21463549724590125	0.22298590546695546	0.19668544787838538	0.19895873237976436	0.25249500949242754	0.17877629846905926
s26pp	0.12210503003081363	0.21164712132064972	0.0	0.11945356044941458	0.08105088937870582	0.33965843783555355	0.24505143580836625	0.23587405688496121	0.17971883757747892	0.18243855031140244	0.12563545082320596	0.15348551011753261	0.14774091966464215	0.12159101825885979	0.14273349366030358	0.10864949297626492	0.16788143708748413	0.21385212021692762	0.19044257769020712	0.10939422551664404	0.18115923714616106	0.11063560769177347	0.18563960869478213	0.19428252021121056	0.13013103907379017	0.21082938455654066	0.13663721859765654	0.27159955187394136	0.3451979057367287	0.21026013485999023	0.2030476121901717	0.11113710925614174	0.10230123717361517	0.1273747802706218	0.21879004266761742	0.13488986055086719	0.13205630050453412	0.2526156987152882	0.11108921753592466	0.29977158774715956	0.14151405108890275	0.11290695274259878	0.1735346530496436	0.16737468540830544	0.1996343765598128	0.1323760295006283	0.19297021601656938	0.13332529014668504	0.12650957583451222	0.1270423187983617	0.2036659695658623	0.126591165872859	0.15018016284668823	0.17701769717933227	0.11385812625916084	0.21518090546519292	0.20319954309294835	0.24612997248796564	0.17781191360483758	0.20103132378286775	0.2473416920985425	0.15747239771480867	0.261314442841593	0.20134113337736828	0.3615168705823666	0.24855853255742344	0.27917146582355595	0.24313064302182913	0.3750052580808663	0.2496229940089012	0.12150847158991826	0.13506607749422492	0.17856507353404594	0.19646807696584648	0.12401817854156894	0.15388496520177114	0.22443029524075736	0.1587031227493216	0.16705353097037579	0.1407530733818057	0.1430263578831847	0.19656263499584786	0.1228439239724796
f8pp	0.09837376083094751	0.1879158521207836	0.11945356044941458	0.0	0.0573196201788397	0.3159271686356874	0.22132016660850015	0.21214278768509512	0.1559875683776128	0.15870728111153634	0.10190418162333983	0.1297542409176665	0.12400965046477602	0.09785974905899368	0.11900222446043746	0.0849182237763988	0.144150167887618	0.1901208510170615	0.166711308490341	0.08566295631677792	0.15742796794629493	0.08690433849190735	0.161908339494916	0.17055125101134444	0.10639976987392405	0.18709811535667453	0.11290594939779042	0.24786828267407524	0.3214666365368626	0.18652886566012414	0.1793163429903056	0.08740584005627564	0.07856996797374906	0.10364351107075569	0.19505877346775133	0.11115859135100106	0.108325031304668	0.2288844295154221	0.08735794833605853	0.27604031854729344	0.11778278188903663	0.08917568354273267	0.14980338384977748	0.14364341620843932	0.17590310735994671	0.10864476030076217	0.1692389468167033	0.10959402094681892	0.1027783066346461	0.10331104959849557	0.17993470036599618	0.10285989667299289	0.1264488936468221	0.15328642797946615	0.09012685705929471	0.19144963626532682	0.17946827389308223	0.22239870328809955	0.15408064440497146	0.17730005458300166	0.22361042289867641	0.13374112851494255	0.2375831736417269	0.17760986417750216	0.33778560138250047	0.22482726335755734	0.25544019662368983	0.21939937382196303	0.3512739888810002	0.2258917248090351	0.09777720239005215	0.11133480829435881	0.15483380433417981	0.17273680776598035	0.10028690934170281	0.13015369600190502	0.20069902604089124	0.13497185354945548	0.1433222617705097	0.11702180418193961	0.11929508868331859	0.17283136579598174	0.09911265477261348
s22pp	0.05144330272132395	0.14098539401116006	0.08105088937870582	0.0573196201788397	0.0	0.2689967105260639	0.17438970849887658	0.16521232957547155	0.10905711026798923	0.11177682300191277	0.05497372351371628	0.08282378280804294	0.07707919235515245	0.05092929094937012	0.07207176635081389	0.03798776566677524	0.09721970977799445	0.14319039290743793	0.11978085038071742	0.03873249820715437	0.11049750983667136	0.039973880382283784	0.11497788138529244	0.12362079290172089	0.059469311764300495	0.14016765724705096	0.06597549128816686	0.20093782456445167	0.27453617842723904	0.13959840755050057	0.13238588488068204	0.04047538194665207	0.0316395098641255	0.056713052961132125	0.14812831535812776	0.06422813324137751	0.06139457319504445	0.18195397140579853	0.04042749022643498	0.2291098604376699	0.07085232377941307	0.0422452254331091	0.10287292574015393	0.09671295809881576	0.12897264925032315	0.06171430219113861	0.12230848870707972	0.06266356283719536	0.05584784852502254	0.05638059148887202	0.1330042422563726	0.05592943856336932	0.07951843553719855	0.1063559698698426	0.04319639894967116	0.14451917815570325	0.13253781578345866	0.17546824517847598	0.10715018629534791	0.1303695964733781	0.17667996478905285	0.086810670405319	0.19065271553210333	0.13067940606787862	0.2908551432728769	0.17789680524793378	0.2085097385140663	0.17246891571233947	0.30434353077137666	0.17896126669941154	0.05084674428042859	0.06440435018473525	0.10790334622455626	0.12580634965635681	0.05335645123207926	0.08322323789228145	0.15376856793126767	0.08804139543983193	0.09639180366088612	0.07009134607231604	0.07236463057369502	0.1259009076863582	0.05218219666298993
S1Hp	0.3060467210412971	0.3955908123321332	0.33965843783555355	0.3159271686356874	0.2689967105260639	0.0	0.41689558236290414	0.40771820343949916	0.3515629841320168	0.3542826968659404	0.2974795973777439	0.32532965667207053	0.31958506621918004	0.2934351648133977	0.31457764021484147	0.2804936395308028	0.33972558364202204	0.3856962667714655	0.362286724244745	0.28123837207118196	0.35300338370069895	0.2824797542463114	0.35748375524932	0.36612666676574845	0.3019751856283281	0.38267353111107855	0.30848136515219443	0.44344369842847925	0.5170420522912667	0.3821042814145281	0.3748917587447096	0.2829812558106796	0.27414538372815306	0.2992189268251597	0.3906341892221553	0.3067340071054051	0.30390044705907204	0.4244598452698261	0.28293336409046255	0.47161573430169745	0.31335819764344064	0.28475109929713666	0.3453787996041815	0.33921883196284336	0.3714785231143507	0.30422017605516616	0.36481436257110733	0.30516943670122293	0.2983537223890501	0.2988864653528996	0.3755101161204002	0.2984353124273969	0.3220243094012261	0.3488618437338702	0.28570227281369875	0.3870250520197308	0.37504368964748624	0.4179741190425036	0.3496560601593755	0.37287547033740565	0.41918583865308046	0.3293165442693466	0.43315858939613094	0.3731852799319062	0.5333610171369045	0.4204026791119614	0.45101561237809384	0.414974789576367	0.5468494046354042	0.42146714056343915	0.2933526181444562	0.30691022404876284	0.35040922008858383	0.3683122235203844	0.2958623250961068	0.32572911175630903	0.39627444179529525	0.3305472693038595	0.33889767752491373	0.3125972199363436	0.32696804889366815	0.38050432600633133	0.3067856149829631
s14pp	0.21143971901410974	0.3009838103049459	0.24505143580836625	0.22132016660850015	0.17438970849887658	0.41689558236290414	0.0	0.2830303872353087	0.22687516792782642	0.2432025602373488	0.1863994607491523	0.21424952004347897	0.20850492959058847	0.18235502818480614	0.2034975035862499	0.16941350290221127	0.2348744971350324	0.2808451802644759	0.25743563773775535	0.1763872855641923	0.2481522971937093	0.17762866773932173	0.25263266874233037	0.2612755802587588	0.19712409912133844	0.2778224446040889	0.20363027864520478	0.3385926119214896	0.41219096578427694	0.2772531949075385	0.27004067223772	0.18544596062870156	0.17661008854617496	0.2016836316431816	0.29309889404017725	0.20919871192342698	0.20636515187709392	0.32692455008784804	0.18539806890848445	0.3740804391197194	0.21582290246146255	0.1872158041151586	0.2478435044222034	0.24168353678086524	0.27394322793237263	0.2066848808731881	0.2672790673891292	0.20763414151924484	0.200818427207072	0.2013511701709215	0.2779748209384221	0.20090001724541878	0.22448901421924802	0.25132654855189207	0.18816697763172063	0.28948975683775274	0.2775083944655081	0.32043882386052547	0.2521207649773974	0.2753401751554276	0.32165054347110233	0.23178124908736847	0.3356232942141528	0.2756499847499281	0.4358257219549264	0.32286738392998326	0.3534803171961158	0.31743949439438895	0.4493141094534261	0.323931845381461	0.19581732296247806	0.20937492886678472	0.25287392490660576	0.2707769283384063	0.19832702991412873	0.2281938165743309	0.29873914661331713	0.2330119741218814	0.2413623823429356	0.21506192475436553	0.23236104686648085	0.285897323979144	0.21217861295577575
s23pp	0.2022623400907047	0.2918064313815409	0.23587405688496121	0.21214278768509512	0.16521232957547155	0.40771820343949916	0.2830303872353087	0.0	0.20538794207432998	0.23402518131394376	0.17722208182574728	0.20507214112007394	0.19932755066718344	0.1731776492614011	0.19432012466284487	0.16023612397880624	0.22569711821162736	0.2716678013410708	0.24825825881435032	0.16720990664078728	0.23897491827030426	0.1684512888159167	0.24345528981892534	0.25209820133535377	0.1879467201979334	0.2686450656806839	0.19445289972179974	0.3294152329980846	0.4030135868608719	0.2680758159841335	0.2608632933143149	0.17626858170529652	0.16743270962276993	0.19250625271977656	0.2839215151167722	0.20002133300002195	0.1971877729536889	0.31774717116444295	0.17622068998507942	0.36490306019631435	0.2066455235380575	0.17803842519175356	0.23866612549879837	0.2325061578574602	0.2647658490089676	0.19750750194978306	0.2581016884657242	0.1984567625958398	0.19164104828366696	0.19217379124751646	0.26879744201501704	0.19172263832201375	0.215311635295843	0.24214916962848704	0.1789895987083156	0.2803123779143477	0.2683310155421031	0.31126144493712044	0.24294338605399235	0.26616279623202255	0.3124731645476973	0.22260387016396344	0.3264459152907478	0.26647260582652305	0.4266483430315213	0.31369000500657823	0.34430293827271075	0.3082621154709839	0.4401367305300211	0.314754466458056	0.18663994403907302	0.20019754994337968	0.2436965459832007	0.26159954941500124	0.1891496509907237	0.21901643765092588	0.28956176768991215	0.22383459519847637	0.23218500341953058	0.2058845458309605	0.22318366794307581	0.276719945055739	0.20300123403237072
s27pp	0.1461071207832224	0.23565121207405856	0.17971883757747892	0.1559875683776128	0.10905711026798923	0.3515629841320168	0.22687516792782642	0.20538794207432998	0.0	0.1778699620064614	0.12106686251826491	0.14891692181259159	0.1431723313597011	0.11702242995391875	0.13816490535536252	0.10408090467132389	0.169541898904145	0.2155125820335885	0.19210303950686797	0.11105468733330491	0.1828196989628219	0.11229606950843433	0.18730007051144298	0.19594298202787142	0.13179150089045105	0.21248984637320154	0.1382976804143174	0.27326001369060227	0.34685836755338956	0.21192059667665114	0.20470807400683258	0.12011336239781417	0.11127749031528761	0.1363510334122942	0.22776629580928986	0.1438661136925396	0.14103255364620654	0.26159195185696066	0.12006547067759708	0.308747840888832	0.1504903042305752	0.1218832058842712	0.18251090619131605	0.17635093854997785	0.20861062970148525	0.1413522826423007	0.20194646915824183	0.14230154328835745	0.13548582897618464	0.1360185719400341	0.21264222270753472	0.13556741901453143	0.15915641598836067	0.1859939503210047	0.12283437940083326	0.22415715860686536	0.21217579623462074	0.2551062256296381	0.18678816674651	0.2100075769245402	0.25631794524021495	0.16644865085648108	0.27029069598326544	0.2103173865190407	0.37049312372403903	0.2575347856990959	0.2881477189652284	0.25210689616350157	0.38398151122253876	0.25859924715057364	0.13048472473159067	0.14404233063589733	0.18754132667571838	0.2054443301075189	0.13299443168324135	0.16286121834344355	0.2334065483824298	0.16767937589099402	0.17602978411204823	0.14972932652347815	0.1670284486355935	0.2205647257482567	0.14684601472488842
s29pp	0.14882683351714598	0.2383709248079821	0.18243855031140244	0.15870728111153634	0.11177682300191277	0.3542826968659404	0.2432025602373488	0.23402518131394376	0.1778699620064614	0.0	0.10689580994925586	0.1347478692445826	0.13766771031973085	0.11151780891394851	0.13266028431539229	0.09857628363135364	0.17226161163806852	0.21823229476751205	0.1948227522407915	0.11377440006722846	0.18553941169674545	0.11501578224235788	0.19001978324536653	0.198662694761795	0.13451121362437457	0.21520955910712508	0.14101739314824097	0.2759797264245258	0.3495780802873131	0.21464030941057466	0.20742778674075613	0.12283307513173772	0.11399720304921115	0.13907074614621778	0.23048600854321344	0.14658582642646314	0.14375226638013008	0.2643116645908842	0.12278518341152063	0.3114675536227556	0.1532100169644987	0.12460291861819475	0.18523061892523957	0.17907065128390143	0.2113303424354088	0.14407199537622425	0.20466618189216537	0.145021256022281	0.13820554171010818	0.13873828467395766	0.21536193544145826	0.13828713174845497	0.16187612872228418	0.18871366305492826	0.12555409213475682	0.22687687134078893	0.2148955089685443	0.25782593836356166	0.18950787948043357	0.21272728965846374	0.2590376579741385	0.16916836359040466	0.273010408717189	0.21303709925296427	0.37321283645796255	0.26025449843301945	0.29086743169915197	0.25482660889742514	0.3867012239564623	0.2613189598844972	0.13320443746551425	0.1467620433698209	0.1902610394096419	0.20816404284144246	0.1357141444171649	0.1655809310773671	0.23612626111635332	0.1703990886249176	0.17874949684597177	0.1524490392574017	0.16974816136951704	0.22328443848218021	0.14956572745881197
