	31450	S7Hp	S17H1	S27H1	S30H1	F32H1	31232	S15Hp	S19H1	S10H1	530055	S13Hp	S25Hp	S23Hp	31328	S4Hp	530154	31009	S26Hp	S16H2	31379	31021	F7H1	F29H1	S29H1	S12Hp	S14Hp	S9H1	S28Hp	S18H1	31160	F8H1	F1H1	F6H1	S2Hp	31700	S31Hp	31219	S6Hp	530331	31300	530451	F3H1	F14H1A	F23HpA	S22Hp	S3Hp	S11Hp	31512	31519	31452	530119	530075	F22HpB	31071	F16H1	S1Hp	S8Hp	31236	530394	31428	531414	31749	530050	S21H1
31450	0.0	0.249049884015295	0.3614890323707255	0.3562888033329248	0.40844807290770413	0.321765485842187	0.2934785423100357	0.3695161150917078	0.3862420660301792	0.35001150335555875	0.4138377213080313	0.4327283674731512	0.4399874093105515	0.33980637645696077	0.36184598912973787	0.33957452371786695	0.45801656224878057	0.4097248688221319	0.3498546351644449	0.3621995861608449	0.430406770843701	0.36264500757282647	0.41140771416305755	0.35123267299511274	0.35786584219922407	0.34388771836251375	0.4078685731677264	0.4290164402374536	0.33190968176841795	0.38073242375524585	0.42979343345470106	0.443623256942318	0.4315155809113828	0.41717043270143406	0.4143476521388646	0.3552699257481571	0.3243153774391348	0.43914864969960615	0.3861421833451768	0.43432661520450105	0.43749317285016726	0.38701680522261256	0.3592964139948147	0.3975538687156237	0.35716962192423307	0.33856054081048437	0.4354516778187603	0.3633110472765294	0.42802952352022733	0.36606683787786437	0.4145970280201676	0.4475958022679389	0.3367421190319383	0.39276466062094995	0.40220592959845614	0.3800045224841897	0.3704766262168505	0.29751230644868126	0.2935640196092233	0.3161407127801318	0.40951920124181707	0.31541111007825595	0.3793108050231153	0.33318005881884627	0.33105205996432785
S7Hp	0.249049884015295	0.0	0.1481731310365692	0.14297290199876847	0.1951321715735478	0.1084495845080307	0.08016264097587937	0.1562002137575515	0.1729261646960229	0.1366956020214024	0.20052181997387503	0.2194124661389949	0.22667150797639518	0.12649047512280442	0.14853008779558158	0.12625862238371063	0.24470066091462428	0.19640896748797554	0.1365387338302886	0.14888368482668862	0.2170908695095447	0.14932910623867013	0.19809181282890126	0.13791677166095642	0.14454994086506776	0.1305718170283574	0.19455267183357008	0.21570053890329732	0.1185937804342616	0.16741652242108956	0.2164775321205447	0.23030735560816173	0.21819967957722647	0.20385453136727777	0.20103175080470825	0.14195402441400076	0.11099947610497847	0.2258327483654498	0.17282628201102052	0.2210107138703447	0.22417727151601097	0.17370090388845624	0.14598051266065842	0.18423796738146736	0.14385372059007678	0.12524463947632805	0.22213577648460403	0.14999514594237306	0.21471362218607104	0.15275093654370805	0.2012811266860113	0.23427990093378256	0.12342621769778196	0.1794487592867936	0.18889002826429985	0.16668862115003338	0.171648124898149	0.09868380512997978	0.13012510196949773	0.18592337810415405	0.27930186656583933	0.18519377540227822	0.2909987303899047	0.24486798418563566	0.24273998533111724
S17H1	0.3614890323707255	0.1481731310365692	0.0	0.20151823071096975	0.2536775002857491	0.16699491322023197	0.16009089077991356	0.23612846356158568	0.2528544145000571	0.2166238518254366	0.2804500697779092	0.2993407159430291	0.30659975778042936	0.2064187249268386	0.22845833759961576	0.20618687218774479	0.32462891071865846	0.2763372172920097	0.2164669836343228	0.2288119346307228	0.2970191193135789	0.2292573560427043	0.27802006263293544	0.21784502146499057	0.2244781906691019	0.21050006683239159	0.2744809216376043	0.2956287887073315	0.1985220302382958	0.24734477222512374	0.2964057819245789	0.3102356054121959	0.29812792938126065	0.28378278117131195	0.28096000060874243	0.22188227421803491	0.19092772590901264	0.305760998169484	0.2527545318150547	0.3009389636743789	0.30410552132004515	0.2536291536924904	0.2259087624646926	0.26416621718550154	0.22378197039411096	0.20517288928036223	0.3020640262886382	0.22992339574640724	0.2946418719901052	0.2326791863477422	0.2812093764900455	0.3142081507378167	0.20335446750181613	0.2661232161121367	0.27556448508964293	0.2533630779753765	0.2840872732535795	0.2111229534854103	0.24256425032492823	0.2983625264595846	0.3917410149212699	0.2976329237577087	0.4034378787453352	0.35730713254106616	0.35517913368654774
S27H1	0.3562888033329248	0.14297290199876847	0.20151823071096975	0.0	0.22285973714355534	0.1361771500780382	0.1548906617421128	0.23092823452378491	0.24765418546225632	0.21142362278763582	0.27524984074010844	0.2941404869052283	0.3013995287426286	0.20121849588903784	0.223258108561815	0.20098664314994405	0.3194286816808577	0.27113698825420895	0.21126675459652206	0.22361170559292204	0.2918188902757781	0.22405712700490354	0.2728198335951347	0.21264479242718984	0.21927796163130117	0.20529983779459082	0.26928069259980353	0.29042855966953074	0.19332180120049502	0.24214454318732298	0.29120555288677813	0.30503537637439515	0.2929277003434599	0.2785825521335112	0.27575977157094167	0.21668204518023418	0.1857274968712119	0.3005607691316832	0.24755430277725393	0.2957387346365781	0.2989052922822444	0.2484289246546897	0.22070853342689184	0.2589659881477008	0.2185817413563102	0.1999726602425615	0.29686379725083745	0.22472316670860648	0.28944164295230446	0.22747895730994147	0.27600914745224475	0.309007921700016	0.1981542384640154	0.2609229870743359	0.27036425605184217	0.24816284893757573	0.2788870442157788	0.20592272444760956	0.2373640212871275	0.29316229742178385	0.38654078588346913	0.29243269471990796	0.3982376497075345	0.35210690350326546	0.34997890464874704
S30H1	0.40844807290770413	0.1951321715735478	0.2536775002857491	0.22285973714355534	0.0	0.14861171153341707	0.20704993131689214	0.28308750409856426	0.2998134550370357	0.26358289236241517	0.32740911031488784	0.34629975648000766	0.353558798317408	0.2533777654638172	0.27541737813659434	0.2531459127247234	0.37158795125563704	0.3232962578289883	0.2634260241713014	0.27577097516770144	0.34397815985055746	0.2762163965796829	0.3249791031699141	0.2648040620019692	0.27143723120608054	0.25745910736937017	0.32143996217458287	0.3425878292443101	0.24548107077527437	0.2943038127621024	0.34336482246155753	0.3571946459491745	0.3450869699182393	0.3307418217082906	0.327919041145721	0.26884131475501355	0.23788676644599127	0.3527200387064626	0.29971357235203333	0.3478980042113575	0.3510645618570237	0.30058819422946903	0.2728678030016712	0.3111252577224801	0.2707410109310896	0.25213192981734084	0.3490230668256168	0.2768824362833858	0.3416009125270838	0.27963822688472084	0.3281684170270241	0.36116719127479535	0.25031350803879476	0.31308225664911526	0.32252352562662157	0.3003221185123551	0.33104631379055816	0.2580819940223889	0.28952329086190687	0.3453215669965632	0.4387000554582485	0.3445919642946873	0.45039691928231385	0.40426617307804474	0.4021381742235263
F32H1	0.321765485842187	0.1084495845080307	0.16699491322023197	0.1361771500780382	0.14861171153341707	0.0	0.12036734425137505	0.19640491703304716	0.2131308679715186	0.17690030529689807	0.24072652324937072	0.2596171694144906	0.26687621125189087	0.1666951783983001	0.18873479107107724	0.1664633256592063	0.28490536419011997	0.23661367076347123	0.17674343710578427	0.1890883881021843	0.2572955727850404	0.18953380951416582	0.23829651610439695	0.17812147493645208	0.18475464414056342	0.1707765203038531	0.23475737510906575	0.255905242178793	0.15879848370975727	0.20762122569658525	0.2566822353960404	0.2705120588836574	0.25840438285272216	0.24405923464277346	0.24123645408020394	0.18215872768949642	0.15120417938047415	0.2660374516409455	0.2130309852865162	0.2612154171458404	0.26438197479150666	0.2139056071639519	0.18618521593615409	0.22444267065696305	0.18405842386557247	0.1654493427518237	0.2623404797600997	0.19019984921786875	0.25491832546156673	0.19295563981920372	0.24148582996150697	0.2744846042092782	0.16363092097327764	0.2263996695835982	0.23584093856110444	0.21363953144683795	0.24436372672504103	0.1713994069568718	0.20284070379638974	0.2586389799310461	0.3520174683927314	0.25790937722917023	0.3637143322167967	0.3175835860125277	0.31545558715800925
31232	0.2934785423100357	0.08016264097587937	0.16009089077991356	0.1548906617421128	0.20704993131689214	0.12036734425137505	0.0	0.13092506285720937	0.14765101379568077	0.11142045112106028	0.17524666907353292	0.1941373152386528	0.20139635707605308	0.1012153242224623	0.12325493689523945	0.1009834714833685	0.21942551001428218	0.17113381658763344	0.12348387717589557	0.13582882817229558	0.20403601285515166	0.13627424958427709	0.18503695617450822	0.13599732081010715	0.1426304900142185	0.12865236617750817	0.19263322098272084	0.21378108805244808	0.11667432958341234	0.16549707157024032	0.21455808126969547	0.2283879047573125	0.21628022872637723	0.20193508051642853	0.199112299953859	0.1400345735631515	0.10908002525412921	0.22391329751460057	0.17090683116017127	0.21909126301949547	0.22225782066516173	0.171781453037607	0.14406106180980915	0.18231851653061812	0.14193426973922754	0.12332518862547881	0.2202163256337548	0.14807569509152382	0.2127941713352218	0.15083148569285879	0.19936167583516207	0.23236045008293332	0.1215067668469327	0.19811272605144686	0.2075539950289531	0.18535258791468665	0.2160767831928897	0.14311246342472048	0.1745537602642384	0.23035203639889476	0.32373052486058007	0.2296224336970189	0.3354273886846454	0.28929664248037634	0.2871686436258579
S15Hp	0.3695161150917078	0.1562002137575515	0.23612846356158568	0.23092823452378491	0.28308750409856426	0.19640491703304716	0.13092506285720937	0.0	0.1547070096155263	0.11847644694090581	0.18230266489337843	0.20119331105849833	0.2084523528958986	0.10827132004230781	0.1402135207384531	0.12789427942347092	0.2833581595229425	0.2350664660962938	0.19952144995756765	0.2118664009539677	0.2800735856368238	0.2123118223659492	0.26107452895618033	0.21203489359177927	0.2186680627958906	0.20468993895918025	0.26867079376439296	0.2898186608341202	0.19271190236508445	0.24153464435191244	0.29059565405136756	0.30442547753898463	0.2923178015080493	0.2779726532981006	0.27514987273553115	0.2160721463448236	0.18511759803580133	0.29995087029627265	0.2469444039418434	0.29512883580116755	0.29829539344683387	0.24781902581927912	0.22009863459148127	0.25835608931229026	0.21797184252089963	0.19936276140715092	0.29625389841542693	0.2241132678731959	0.28883174411689394	0.2268690584745309	0.2753992486168342	0.30839802286460544	0.19754433962860482	0.274150298833119	0.2835915678106252	0.2613901606963588	0.2921143559745618	0.2191500362063926	0.2505913330459105	0.3063896091805669	0.3997680976422522	0.305660006478691	0.4114649614663175	0.36533421526204846	0.36320621640753004
S19H1	0.3862420660301792	0.1729261646960229	0.2528544145000571	0.24765418546225632	0.2998134550370357	0.2131308679715186	0.14765101379568077	0.1547070096155263	0.0	0.06244603755381298	0.16660914548792247	0.18549979165304234	0.19275883349044265	0.11040253413821646	0.1569394716769245	0.14462023036194233	0.3000841104614139	0.2517924170347652	0.21624740089603908	0.2285923518924391	0.2967995365752952	0.2290377733044206	0.27780047989465173	0.2287608445302507	0.23539401373436203	0.2214158898976517	0.28539674470286436	0.3065446117725916	0.20943785330355588	0.25826059529038387	0.307321604989839	0.32115142847745604	0.30904375244652077	0.29469860423657207	0.29187582367400255	0.23279809728329504	0.20184354897427276	0.3166768212347441	0.2636703548803148	0.311854786739639	0.31502134438530527	0.26454497675775057	0.2368245855299527	0.27508204025076166	0.23469779345937108	0.21608871234562232	0.31297984935389833	0.24083921881166737	0.30555769505536534	0.24359500941300233	0.2921251995553056	0.3251239738030769	0.21427029056707625	0.2908762497715904	0.3003175187490966	0.2781161116348302	0.3088403069130332	0.235875987144864	0.2673172839843819	0.3231155601190383	0.4164940485807236	0.3223859574171624	0.4281909124047889	0.38206016620051986	0.37993216734600144
S10H1	0.35001150335555875	0.1366956020214024	0.2166238518254366	0.21142362278763582	0.26358289236241517	0.17690030529689807	0.11142045112106028	0.11847644694090581	0.06244603755381298	0.0	0.130378582813302	0.14926922897842188	0.15652827081582216	0.07417197146359598	0.12070890900230405	0.10838966768732186	0.2638535477867935	0.21556185436014472	0.18001683822141856	0.1923617892178186	0.2605689739006747	0.1928072106298001	0.24156991722003124	0.19253028185563018	0.1991634510597415	0.18518532722303116	0.24916618202824387	0.2703140490979711	0.17320729062893536	0.22203003261576335	0.2710910423152185	0.2849208658028355	0.2728131897719003	0.2584680415619516	0.255645260999382	0.19656753460867452	0.16561298629965224	0.2804462585601236	0.2274397922056943	0.2756242240650185	0.2787907817106847	0.22831441408313002	0.20059402285533218	0.23885147757614114	0.19846723078475054	0.17985814967100183	0.2767492866792778	0.20460865613704682	0.2693271323807448	0.2073644467383818	0.2558946368806851	0.28889341112845635	0.17803972789245573	0.2546456870969699	0.26408695607447613	0.24188554896020964	0.2726097442384127	0.1996454244702435	0.23108672130976143	0.28688499744441776	0.38026348590610304	0.2861553947425419	0.39196034973016847	0.34582960352589937	0.34370160467138094
