	530444	31112	S1Hp	31700	31428	31071	31267	530295	S9H1	31750	31519	31300	31360	F14H1B	530451	31009	31333	F3H1	31160	31452
530444	0.0	0.27412073077821686	0.3302838404335149	0.3005229136351186	0.30323254660862503	0.3025397975672682	0.29892114455194607	0.2994681913205846	0.32463460421448415	0.2905291975922354	0.3129951952883047	0.3334373467474115	0.3269546540250669	0.3188098467680393	0.3546103865661897	0.2815864894722761	0.3041506144400896	0.2897539909876379	0.2622408168666736	0.24910395859940251
31112	0.27412073077821686	0.0	0.3024471122006719	0.2726861854022756	0.27539581837578203	0.2747030693344252	0.27108441631910307	0.2716314630877416	0.29679787598164115	0.2626924693593924	0.2851584670554617	0.3056006185145685	0.2991179257922239	0.2909731185351963	0.3267736583333467	0.2537497612394331	0.2763138862072466	0.2847325936293087	0.25721941950834437	0.2705147681252352
S1Hp	0.3302838404335149	0.3024471122006719	0.0	0.29827955096197795	0.30098918393548435	0.3002964348941275	0.2966777818788054	0.29722482864744393	0.32239124154134347	0.30686294361547806	0.32932894131154744	0.3497710927706542	0.3432884000483096	0.33514359279128203	0.3709441325894324	0.2979202354955188	0.3204843604633323	0.3408957032846067	0.3133825291636424	0.32667787778053325
31700	0.3005229136351186	0.2726861854022756	0.29827955096197795	0.0	0.23417536447570128	0.261509720766883	0.2578910677515609	0.25843811452019944	0.283604527414099	0.2771020168170818	0.2995680145131512	0.32001016597225795	0.31352747324991337	0.30538266599288577	0.3411832057910361	0.26815930869712257	0.290723433664936	0.31113477648621046	0.28362160236524614	0.296916950982137
31428	0.30323254660862503	0.27539581837578203	0.30098918393548435	0.23417536447570128	0.0	0.2642193537403894	0.26060070072506725	0.26114774749370584	0.2863141603876054	0.2798116497905882	0.30227764748665753	0.3227197989457643	0.3162371062234197	0.3080922989663921	0.3438928387645425	0.2708689416706289	0.29343306663844243	0.3138444094597168	0.28633123533875254	0.29962658395564346
31071	0.3025397975672682	0.2747030693344252	0.3002964348941275	0.261509720766883	0.2642193537403894	0.0	0.22730945224251897	0.24589265235251545	0.271059065246415	0.2791189007492314	0.3015848984453007	0.32202704990440745	0.3155443571820629	0.30739954992503526	0.3432000897231857	0.27017619262927206	0.29274031759708563	0.31315166041835996	0.2856384862973957	0.2989338349142866
31267	0.29892114455194607	0.27108441631910307	0.2966777818788054	0.2578910677515609	0.26060070072506725	0.22730945224251897	0.0	0.24227399933719335	0.2674404122310929	0.27550024773390924	0.2979662454299786	0.3184083968890854	0.3119257041667408	0.3037808969097132	0.33958143670786356	0.26655753961395	0.28912166458176347	0.3095330074030379	0.2820198332820736	0.29531518189896444
530295	0.2994681913205846	0.2716314630877416	0.29722482864744393	0.25843811452019944	0.26114774749370584	0.24589265235251545	0.24227399933719335	0.0	0.24533070717220884	0.27604729450254784	0.2985132921986171	0.3189554436577239	0.31247275093537935	0.3043279436783517	0.34012848347650215	0.2671045863825885	0.28966871135040206	0.3100800541716764	0.2825668800507121	0.29586222866760303
S9H1	0.32463460421448415	0.29679787598164115	0.32239124154134347	0.283604527414099	0.2863141603876054	0.271059065246415	0.2674404122310929	0.24533070717220884	0.0	0.30121370739644737	0.32367970509251665	0.3441218565516234	0.3376391638292789	0.32949435657225123	0.3652948963704017	0.29227099927648803	0.3148351242443016	0.3352464670655759	0.30773329294461166	0.32102864156150257
31750	0.2905291975922354	0.2626924693593924	0.30686294361547806	0.2771020168170818	0.2798116497905882	0.2791189007492314	0.27550024773390924	0.27604729450254784	0.30121370739644737	0.0	0.2339807759949753	0.27817019056750225	0.27168749784515767	0.26354269058813007	0.29934323038628047	0.24589613624714202	0.26846026121495553	0.3011410604433272	0.2736278863223629	0.28692323493925376
31519	0.3129951952883047	0.2851584670554617	0.32932894131154744	0.2995680145131512	0.30227764748665753	0.3015848984453007	0.2979662454299786	0.2985132921986171	0.32367970509251665	0.2339807759949753	0.0	0.3006361882635716	0.29415349554122705	0.2860086882841994	0.3218092280823498	0.26836213394321135	0.29092625891102486	0.3236070581393965	0.29609388401843223	0.30938923263532314
31300	0.3334373467474115	0.3056006185145685	0.3497710927706542	0.32001016597225795	0.3227197989457643	0.32202704990440745	0.3184083968890854	0.3189554436577239	0.3441218565516234	0.27817019056750225	0.3006361882635716	0.0	0.292447751052866	0.28430294379583837	0.32010348359398877	0.2888042854023181	0.31136841037013163	0.34404920959850327	0.316536035477539	0.3298313840944299
31360	0.3269546540250669	0.2991179257922239	0.3432884000483096	0.31352747324991337	0.3162371062234197	0.3155443571820629	0.3119257041667408	0.31247275093537935	0.3376391638292789	0.27168749784515767	0.29415349554122705	0.292447751052866	0.0	0.08136008607243343	0.19805423647390386	0.2823215926799736	0.30488571764778705	0.3375665168761587	0.3100533427551944	0.32334869137208533
F14H1B	0.3188098467680393	0.2909731185351963	0.33514359279128203	0.30538266599288577	0.3080922989663921	0.30739954992503526	0.3037808969097132	0.3043279436783517	0.32949435657225123	0.26354269058813007	0.2860086882841994	0.28430294379583837	0.08136008607243343	0.0	0.18990942921687626	0.27417678542294593	0.29674091039075945	0.3294217096191311	0.3019085354981668	0.31520388411505773
530451	0.3546103865661897	0.3267736583333467	0.3709441325894324	0.3411832057910361	0.3438928387645425	0.3432000897231857	0.33958143670786356	0.34012848347650215	0.3652948963704017	0.29934323038628047	0.3218092280823498	0.32010348359398877	0.19805423647390386	0.18990942921687626	0.0	0.30997732522109633	0.33254145018890985	0.36522224941728154	0.3377090752963172	0.3510044239132081
31009	0.2815864894722761	0.2537497612394331	0.2979202354955188	0.26815930869712257	0.2708689416706289	0.27017619262927206	0.26655753961395	0.2671045863825885	0.29227099927648803	0.24589613624714202	0.26836213394321135	0.2888042854023181	0.2823215926799736	0.27417678542294593	0.30997732522109633	0.0	0.22421955525796586	0.2921983523233679	0.2646851782024036	0.2779805268192945
31333	0.3041506144400896	0.2763138862072466	0.3204843604633323	0.290723433664936	0.29343306663844243	0.29274031759708563	0.28912166458176347	0.28966871135040206	0.3148351242443016	0.26846026121495553	0.29092625891102486	0.31136841037013163	0.30488571764778705	0.29674091039075945	0.33254145018890985	0.22421955525796586	0.0	0.31476247729118145	0.28724930317021713	0.300544651787108
F3H1	0.2897539909876379	0.2847325936293087	0.3408957032846067	0.31113477648621046	0.3138444094597168	0.31315166041835996	0.3095330074030379	0.3100800541716764	0.3352464670655759	0.3011410604433272	0.3236070581393965	0.34404920959850327	0.3375665168761587	0.3294217096191311	0.36522224941728154	0.2921983523233679	0.31476247729118145	0.0	0.26035399339929616	0.28614802833465625
31160	0.2622408168666736	0.25721941950834437	0.3133825291636424	0.28362160236524614	0.28633123533875254	0.2856384862973957	0.2820198332820736	0.2825668800507121	0.30773329294461166	0.2736278863223629	0.29609388401843223	0.316536035477539	0.3100533427551944	0.3019085354981668	0.3377090752963172	0.2646851782024036	0.28724930317021713	0.26035399339929616	0.0	0.25863485421369203
31452	0.24910395859940251	0.2705147681252352	0.32667787778053325	0.296916950982137	0.29962658395564346	0.2989338349142866	0.29531518189896444	0.29586222866760303	0.32102864156150257	0.28692323493925376	0.30938923263532314	0.3298313840944299	0.32334869137208533	0.31520388411505773	0.3510044239132081	0.2779805268192945	0.300544651787108	0.28614802833465625	0.25863485421369203	0.0
