	F7H1	S17H1	S4Hp	S18H1	S21H1	S20H1	F22HpB	S12Hp	F3H1	S16H2	31300	S6Hp	530055	f8pp	f21pp	w1pp	f1pp	f26pp	w14pp	w19pp	f14ppA	f10pp	f2pp	w16pp	f13pp	w4pp	f4pp	w3pp	f12ppA	S9H1	31452	S15Hp
F7H1	0.0	0.21426847487533213	0.24583009782566628	0.2479895899309581	0.24393221024600065	0.2531044367484799	0.25670707953818894	0.18450153113822299	0.2673680274266734	0.26588927044180505	0.4862964775692909	0.5813170448524885	0.5259629837088594	0.39061863001653513	0.4008982092050457	0.4288969319829799	0.40839652966352874	0.41159717888512815	0.4200183312029407	0.4128440527521483	0.4012977924054368	0.3875865551174503	0.4015867628899379	0.39894024611939294	0.38754004594112074	0.4164397088137863	0.4079641774871628	0.40426781812292284	0.3819260752160216	0.2737606960215327	0.2570771701911969	0.2653674407780645
S17H1	0.21426847487533213	0.0	0.2503461286241455	0.25250562072943733	0.24844824104447988	0.2576204675469591	0.2612231103366682	0.18901756193670222	0.27188405822515266	0.2704053012402843	0.49081250836777013	0.5858330756509676	0.5304790145073386	0.39513466081501436	0.40541424000352494	0.43341296278145913	0.41291256046200797	0.4161132096836074	0.4245343620014199	0.41736008355062754	0.405813823203916	0.39210258591592956	0.4061027936884171	0.40345627691787217	0.39205607673959997	0.4209557396122655	0.412480208285642	0.40878384892140207	0.38644210601450085	0.2782767268200119	0.26159320098967614	0.26988347157654374
S4Hp	0.24583009782566628	0.2503461286241455	0.0	0.08981937144408808	0.21195193134685011	0.24948372657883558	0.2530863693685447	0.1808808209685787	0.26374731725702916	0.2622685602721607	0.48267576739964657	0.5776963346828441	0.5223422735392151	0.3869979198468908	0.39727749903540144	0.4252762218133356	0.4047758194938844	0.4079764687154839	0.41639762103329636	0.40922334258250403	0.39767708223579246	0.38396584494780606	0.3979660527202936	0.39531953594974867	0.3839193357714764	0.41281899864414195	0.40434346731751847	0.4006471079532785	0.37830536504637735	0.27013998585188836	0.2534564600215526	0.26174673060842024
S18H1	0.2479895899309581	0.25250562072943733	0.08981937144408808	0.0	0.2141114234521419	0.2516432186841273	0.25524586147383643	0.18304031307387045	0.2659068093623209	0.2644280523774525	0.48483525950493833	0.5798558267881359	0.5245017656445069	0.38915741195218256	0.3994369911406932	0.42743571391862734	0.4069353115991762	0.41013596082077564	0.4185571131385881	0.4113828346877958	0.3998365743410842	0.3861253370530978	0.4001255448255854	0.39747902805504043	0.38607882787676817	0.4149784907494337	0.40650295942281023	0.4028066000585703	0.3804648571516691	0.2722994779571801	0.25561595212684435	0.263906222713712
S21H1	0.24393221024600065	0.24844824104447988	0.21195193134685011	0.2141114234521419	0.0	0.2475858389991699	0.251188481788879	0.178982933388913	0.26184942967736347	0.26037067269249503	0.4807778798199809	0.5757984471031784	0.5204443859595494	0.3851000322672251	0.39537961145573575	0.4233783342336699	0.4028779319142187	0.4060785811358182	0.41449973345363067	0.40732545500283834	0.39577919465612676	0.38206795736814037	0.3960681651406279	0.393421648370083	0.3820214481918107	0.41092111106447626	0.4024455797378528	0.3987492203736128	0.37640747746671166	0.2682420982722227	0.2515585724418869	0.25984884302875455
S20H1	0.2531044367484799	0.2576204675469591	0.24948372657883558	0.2516432186841273	0.2475858389991699	0.0	0.17163589048215638	0.16072846653175993	0.24359496282021037	0.242116205835342	0.4744545358450311	0.5694751031282286	0.5141210419845996	0.37877668829227534	0.3890562674807859	0.4170549902587201	0.39655458793926895	0.39975523716086836	0.4081763894786809	0.4010021110278885	0.389455850681177	0.37574461339319054	0.3897448211656781	0.38709830439513315	0.37569810421686095	0.4045977670895265	0.396122235762903	0.39242587639866305	0.37008413349176184	0.2619187542972729	0.24523522846693713	0.2535254990538047
F22HpB	0.25670707953818894	0.2612231103366682	0.2530863693685447	0.25524586147383643	0.251188481788879	0.17163589048215638	0.0	0.164331109321469	0.24719760560991944	0.24571884862505106	0.4780571786347402	0.5730777459179377	0.5177236847743087	0.3823793310819844	0.392658910270495	0.4206576330484292	0.400157230728978	0.4033578799505774	0.41177903226838997	0.4046047538175976	0.39305849347088606	0.3793472561828996	0.39334746395538717	0.3907009471848422	0.37930074700657	0.40820040987923556	0.3997248785526121	0.3960285191883721	0.3736867762814709	0.26552139708698197	0.2488378712566462	0.2571281418435138
S12Hp	0.18450153113822299	0.18901756193670222	0.1808808209685787	0.18304031307387045	0.178982933388913	0.16072846653175993	0.164331109321469	0.0	0.1502919079612629	0.14881315097639458	0.4058516302347742	0.5008721975179717	0.44551813637434273	0.31017378268201845	0.32045336187052903	0.3484520846484632	0.32795168232901206	0.33115233155061147	0.339573483868424	0.3323992054176316	0.3208529450709201	0.30714170778293365	0.3211419155554212	0.31849539878487626	0.30709519860660406	0.3359948614792696	0.3275193301526461	0.32382297078840616	0.30148122788150494	0.193315848687016	0.17663232285668024	0.18492259344354783
F3H1	0.2673680274266734	0.27188405822515266	0.26374731725702916	0.2659068093623209	0.26184942967736347	0.24359496282021037	0.24719760560991944	0.1502919079612629	0.0	0.16251335125957656	0.48871812652322466	0.5837386938064222	0.5283846326627932	0.3930402789704689	0.40331985815897947	0.43131858093691366	0.4108181786174625	0.4140188278390619	0.42243998015687445	0.41526570170608207	0.40371944135937055	0.3900082040713841	0.40400841184387165	0.4013618950733267	0.3899616948950545	0.41886135776772004	0.41038582644109656	0.4066894670768566	0.3843477241699554	0.27618234497546645	0.2594988191451307	0.2677890897319983
S16H2	0.26588927044180505	0.2704053012402843	0.2622685602721607	0.2644280523774525	0.26037067269249503	0.242116205835342	0.24571884862505106	0.14881315097639458	0.16251335125957656	0.0	0.4872393695383563	0.5822599368215537	0.5269058756779248	0.3915615219856005	0.4018411011741111	0.4298398239520453	0.4093394216325941	0.41254007085419353	0.42096122317200607	0.4137869447212137	0.40224068437450217	0.3885294470865157	0.40252965485900327	0.3998831380884583	0.3884829379101861	0.41738260078285166	0.4089070694562282	0.4052107100919882	0.382868967185087	0.2747035879905981	0.2580200621602623	0.2663103327471299
31300	0.4862964775692909	0.49081250836777013	0.48267576739964657	0.48483525950493833	0.4807778798199809	0.4744545358450311	0.4780571786347402	0.4058516302347742	0.48871812652322466	0.4872393695383563	0.0	0.19483412694409846	0.1394800658004695	0.5227630828580516	0.5330426620465623	0.5610413848244964	0.5405409825050452	0.5437416317266447	0.5521627840444572	0.5449885055936647	0.5334422452469533	0.5197310079589669	0.5337312157314544	0.5310846989609095	0.5196844987826372	0.5485841616553028	0.5401086303286793	0.5364122709644393	0.5140705280575382	0.4446724174957942	0.4615510349151383	0.4698413055020059
