	S22Hp	S29H1	S25Hp	31360	530394	F23HpA	F3H1	S3Hp	S28Hp	S2Hp	S11Hp	530295	F6H1	530331	530055	S1Hp	530050	S23Hp	S26Hp	S7Hp	F32H1	S19H1	F14H1B	F22HpB	F29H1	S14Hp	S13Hp	S6Hp	F1H1	31452	F16H1	F22H1A
S22Hp	0.0	0.4097345742004451	0.43163390484708775	0.3498934980405683	0.3804523882033458	0.40180485647165687	0.47494209995446146	0.4774982303653219	0.3973320830462498	0.4270108320120447	0.348767217630904	0.39309515579333143	0.4366830842364329	0.4676371280241486	0.4212219013080502	0.41800024793246504	0.433213547503718	0.4140149362065781	0.413269843144316	0.4129478170388156	0.44737119412976417	0.463831153342773	0.3910406519070917	0.41559716322972434	0.39462182004602075	0.4098386241007901	0.3857469881388911	0.4103287452906145	0.40704869767388874	0.47201992957584127	0.35699793910097516	0.270221756186241
S29H1	0.4097345742004451	0.0	0.3612116608703043	0.3754816744956648	0.4060405646584423	0.42739303292675335	0.5005302764095579	0.5030864068204184	0.42292025950134626	0.4525990084671412	0.3743553940860005	0.4186833322484279	0.46227126069152935	0.49322530447924506	0.44681007776314663	0.4435884243875615	0.45880172395881447	0.4396031126616745	0.4388580195994124	0.43853599349391204	0.47295937058486065	0.48941932979786945	0.4166288283621882	0.44118533968482077	0.42020999650111723	0.43542680055588656	0.41133516459398756	0.43591692174571095	0.4326368741289852	0.49760810603093775	0.4134797695646463	0.36734049308312533
S25Hp	0.43163390484708775	0.3612116608703043	0.0	0.3973810051423074	0.4279398953050849	0.44929236357339597	0.5224296070562006	0.524985737467061	0.4448195901479889	0.4744983391137838	0.3962547247326431	0.44058266289507053	0.484170591338172	0.5151246351258877	0.46870940840978925	0.46548775503420414	0.4807010546054571	0.46150244330831713	0.460757350246055	0.46043532414055466	0.4948587012315033	0.5113186604445121	0.4385281590088308	0.4630846703314634	0.44210932714775986	0.4573261312025292	0.4332344952406302	0.4578162523923536	0.45453620477562784	0.5195074366775804	0.43537910021128895	0.38923982372976795
31360	0.3498934980405683	0.3754816744956648	0.3973810051423074	0.0	0.2826052584146037	0.30395772668291476	0.4152586422102177	0.41781477262107813	0.337648625302006	0.36732737426780093	0.28908375988666024	0.33341169804908766	0.3769996264921891	0.4079536702799048	0.3615384435638064	0.35831679018822127	0.3735300897594742	0.35433147846233426	0.35358638540007215	0.3532643592945718	0.38768773638552034	0.40414769559852914	0.3313571941628479	0.3559137054854805	0.334938362301777	0.3501551663565463	0.3260635303946473	0.3506452875463707	0.34736523992964496	0.4123364718315975	0.3536386934047695	0.3074994169232485
530394	0.3804523882033458	0.4060405646584423	0.4279398953050849	0.2826052584146037	0.0	0.29293834305203725	0.4458175323729952	0.44837366278385565	0.3682075154647836	0.39788626443057845	0.3196426500494378	0.3639705882118652	0.4075585166549666	0.43851256044268233	0.39209733372658395	0.3888756803509988	0.40408897992225173	0.38489036862511183	0.3841452755628497	0.38382324945734936	0.4182466265482979	0.4347065857613067	0.36191608432562544	0.3864725956482581	0.3654972524645545	0.38071405651932383	0.3566224205574248	0.3812041777091483	0.3779241300924225	0.442895361994375	0.3841975835675471	0.3380583070860261
F23HpA	0.40180485647165687	0.42739303292675335	0.44929236357339597	0.30395772668291476	0.29293834305203725	0.0	0.4671700006413062	0.46972613105216665	0.38955998373309464	0.41923873269888945	0.34099511831774887	0.3853230564801762	0.4289109849232776	0.45986502871099333	0.413449801994895	0.4102281486193098	0.42544144819056273	0.4062428368934229	0.4054977438311608	0.4051757177256604	0.43959909481660897	0.45605905402961777	0.38326855259393644	0.40782506391656914	0.3868497207328655	0.4020665247876348	0.3779748888257358	0.4025566459774593	0.3992765983607335	0.464247830262686	0.40555005183585807	0.3594107753543371
F3H1	0.47494209995446146	0.5005302764095579	0.5224296070562006	0.4152586422102177	0.4458175323729952	0.4671700006413062	0.0	0.0025581304118604876	0.30324941382240034	0.3777588426022752	0.31860423110419694	0.3629321692666243	0.40652009770972575	0.4374741414974414	0.43876685962950523	0.43554520625392007	0.450758505825173	0.4315598945280331	0.430814801465771	0.43049277536027064	0.4649161524512192	0.481376111664228	0.4354418751339767	0.45999838645660934	0.43902304327290576	0.4542398473276751	0.4301482113657761	0.4547299685174996	0.45144992090077374	0.5164211528027263	0.47868729531866266	0.43254801883714167
S3Hp	0.4774982303653219	0.5030864068204184	0.524985737467061	0.41781477262107813	0.44837366278385565	0.46972613105216665	0.0025581304118604876	0.0	0.3058055442332608	0.38031497301313566	0.3211603615150574	0.36548829967748475	0.4090762281205862	0.44003027190830185	0.4413229900403657	0.4381013366647805	0.45331463623603346	0.43411602493889356	0.43337093187663145	0.4330489057711311	0.46747228286207965	0.48393224207508845	0.43799800554483714	0.4625545168674698	0.4415791736837662	0.45679597773853553	0.4327043417766365	0.45728609892836003	0.4540060513116342	0.5189772832135867	0.4812434257295231	0.4351041492480021
S28Hp	0.3973320830462498	0.42292025950134626	0.4448195901479889	0.337648625302006	0.3682075154647836	0.38955998373309464	0.30324941382240034	0.3058055442332608	0.0	0.30014882569406365	0.24099421419598538	0.28532215235841274	0.3289100808015142	0.35986412458922984	0.36115684272129367	0.3579351893457085	0.37314848891696145	0.35394987761982155	0.35320478455755944	0.3528827584520591	0.38730613554300763	0.40376609475601644	0.35783185822576513	0.3823883695483977	0.3614130263646942	0.3766298304194635	0.3525381944575645	0.37711995160928796	0.3738399039925622	0.4388111358945147	0.40107727841045104	0.35493800192893005
S2Hp	0.4270108320120447	0.4525990084671412	0.4744983391137838	0.36732737426780093	0.39788626443057845	0.41923873269888945	0.3777588426022752	0.38031497301313566	0.30014882569406365	0.0	0.2706729631617802	0.31500090132420755	0.358588829767309	0.3895428735550247	0.3908355916870885	0.38761393831150337	0.4028272378827563	0.38362862658561636	0.38288353352335425	0.3825615074178539	0.41698488450880244	0.43344484372181125	0.38751060719155994	0.4120671185141926	0.391091775330489	0.40630857938525833	0.3822169434233593	0.40679870057508283	0.403518652958357	0.4684898848603095	0.4307560273762459	0.3846167508947249
S11Hp	0.348767217630904	0.3743553940860005	0.3962547247326431	0.28908375988666024	0.3196426500494378	0.34099511831774887	0.31860423110419694	0.3211603615150574	0.24099421419598538	0.2706729631617802	0.0	0.21344908198304702	0.25703701042614846	0.2879910542138641	0.31259197730594784	0.30937032393036273	0.3245836235016157	0.3053850122044758	0.3046399191422136	0.30431789303671325	0.3387412701276618	0.3552012293406706	0.30926699281041936	0.33382350413305195	0.3128481609493484	0.32806496500411775	0.30397332904221874	0.3285550861939422	0.3252750385772164	0.39024627047916893	0.3525124129951053	0.3063731365135843
530295	0.39309515579333143	0.4186833322484279	0.44058266289507053	0.33341169804908766	0.3639705882118652	0.3853230564801762	0.3629321692666243	0.36548829967748475	0.28532215235841274	0.31500090132420755	0.21344908198304702	0.0	0.28350830943686345	0.3144623532245791	0.3569199154683752	0.3536982620927901	0.36891156166404304	0.34971295036690314	0.34896785730464097	0.3486458311991406	0.38306920829008917	0.39952916750309797	0.35359493097284667	0.37815144229547937	0.3571760991117758	0.3723929031665451	0.34830126720464605	0.37288302435636955	0.36960297673964376	0.43457420864159624	0.3968403511575326	0.35070107467601164
F6H1	0.4366830842364329	0.46227126069152935	0.484170591338172	0.3769996264921891	0.4075585166549666	0.4289109849232776	0.40652009770972575	0.4090762281205862	0.3289100808015142	0.358588829767309	0.25703701042614846	0.28350830943686345	0.0	0.31425030660767517	0.40050784391147665	0.39728619053589154	0.4124994901071445	0.3933008788100046	0.3925557857477424	0.39223375964224205	0.4266571367331906	0.4431170959461994	0.3971828594159481	0.4217393707385808	0.4007640275548772	0.41598083160964655	0.3918891956477475	0.416470952799471	0.4131909051827452	0.4781621370846977	0.4404282796006341	0.3942890031191131
530331	0.4676371280241486	0.49322530447924506	0.5151246351258877	0.4079536702799048	0.43851256044268233	0.45986502871099333	0.4374741414974414	0.44003027190830185	0.35986412458922984	0.3895428735550247	0.2879910542138641	0.3144623532245791	0.31425030660767517	0.0	0.43146188769919236	0.4282402343236072	0.44345353389486014	0.42425492259772024	0.4235098295354581	0.42318780342995777	0.4576111805209063	0.4740711397339151	0.4281369032036638	0.45269341452629647	0.4317180713425929	0.4469348753973622	0.4228432394354632	0.4474249965871867	0.44414494897046086	0.5091161808724134	0.4713823233883498	0.4252430469068288
530055	0.4212219013080502	0.44681007776314663	0.46870940840978925	0.3615384435638064	0.39209733372658395	0.413449801994895	0.43876685962950523	0.4413229900403657	0.36115684272129367	0.3908355916870885	0.31259197730594784	0.3569199154683752	0.40050784391147665	0.43146188769919236	0.0	0.32153672568121583	0.3367500252524688	0.31755141395532893	0.31680632089306676	0.3396185920688852	0.37404196915983373	0.39050192837284253	0.38172167648756544	0.4062781878101981	0.38530284462649456	0.4005196486812639	0.3764280127193648	0.4010097698710883	0.39772972225436254	0.462700954156315	0.4249670966722514	0.3788278201907304
S1Hp	0.41800024793246504	0.4435884243875615	0.46548775503420414	0.35831679018822127	0.3888756803509988	0.4102281486193098	0.43554520625392007	0.4381013366647805	0.3579351893457085	0.38761393831150337	0.30937032393036273	0.3536982620927901	0.39728619053589154	0.4282402343236072	0.32153672568121583	0.0	0.2952271917343887	0.2760285804372488	0.27528348737498665	0.3363969386933	0.37082031578424857	0.38728027499725737	0.3785000231119803	0.403056534434613	0.3820811912509094	0.3972979953056787	0.37320635934377966	0.39778811649550316	0.3945080688787774	0.45947930078072985	0.4217454432966662	0.37560616681514525
530050	0.433213547503718	0.45880172395881447	0.4807010546054571	0.3735300897594742	0.40408897992225173	0.42544144819056273	0.450758505825173	0.45331463623603346	0.37314848891696145	0.4028272378827563	0.3245836235016157	0.36891156166404304	0.4124994901071445	0.44345353389486014	0.3367500252524688	0.2952271917343887	0.0	0.2104285680609371	0.24176522444314222	0.35161023826455295	0.3860336153555015	0.4024935745685103	0.3937133226832332	0.4182698340058659	0.39729449082216234	0.41251129487693167	0.3884196589150326	0.4130014160667561	0.4097213684500303	0.4746926003519828	0.4369587428679192	0.3908194663863982
S23Hp	0.4140149362065781	0.4396031126616745	0.46150244330831713	0.35433147846233426	0.38489036862511183	0.4062428368934229	0.4315598945280331	0.43411602493889356	0.35394987761982155	0.38362862658561636	0.3053850122044758	0.34971295036690314	0.3933008788100046	0.42425492259772024	0.31755141395532893	0.2760285804372488	0.2104285680609371	0.0	0.2225666131460023	0.3324116269674131	0.36683500405836167	0.38329496327137047	0.3745147113860934	0.39907122270872597	0.37809587952502244	0.39331268357979177	0.36922104761789276	0.3938028047696162	0.3905227571528904	0.45549398905484295	0.4177601315707793	0.3716208550892583
S26Hp	0.413269843144316	0.4388580195994124	0.460757350246055	0.35358638540007215	0.3841452755628497	0.4054977438311608	0.430814801465771	0.43337093187663145	0.35320478455755944	0.38288353352335425	0.3046399191422136	0.34896785730464097	0.3925557857477424	0.4235098295354581	0.31680632089306676	0.27528348737498665	0.24176522444314222	0.2225666131460023	0.0	0.33166653390515094	0.3660899109960995	0.3825498702091083	0.3737696183238312	0.39832612964646386	0.3773507864627603	0.39256759051752965	0.3684759545556306	0.39305771170735404	0.3897776640906283	0.4547488959925808	0.4170150385085172	0.3708757620269962
S7Hp	0.4129478170388156	0.43853599349391204	0.46043532414055466	0.3532643592945718	0.38382324945734936	0.4051757177256604	0.43049277536027064	0.4330489057711311	0.3528827584520591	0.3825615074178539	0.30431789303671325	0.3486458311991406	0.39223375964224205	0.42318780342995777	0.3396185920688852	0.3363969386933	0.35161023826455295	0.3324116269674131	0.33166653390515094	0.0	0.32873668466251765	0.34519664387552645	0.37344759221833085	0.3980041035409635	0.37702876035725996	0.3922455644120293	0.36815392845013023	0.3927356856018537	0.38945563798512794	0.4544268698870804	0.4166930124030168	0.3705537359214958
F32H1	0.44737119412976417	0.47295937058486065	0.4948587012315033	0.38768773638552034	0.4182466265482979	0.43959909481660897	0.4649161524512192	0.46747228286207965	0.38730613554300763	0.41698488450880244	0.3387412701276618	0.38306920829008917	0.4266571367331906	0.4576111805209063	0.37404196915983373	0.37082031578424857	0.3860336153555015	0.36683500405836167	0.3660899109960995	0.32873668466251765	0.0	0.33141819276683704	0.4078709693092794	0.43242748063191205	0.4114521374482085	0.42666894150297785	0.4025773055410788	0.42715906269280224	0.4238790150760765	0.488850246978029	0.4511163894939654	0.4049771130124444
S19H1	0.463831153342773	0.48941932979786945	0.5113186604445121	0.40414769559852914	0.4347065857613067	0.45605905402961777	0.481376111664228	0.48393224207508845	0.40376609475601644	0.43344484372181125	0.3552012293406706	0.39952916750309797	0.4431170959461994	0.4740711397339151	0.39050192837284253	0.38728027499725737	0.4024935745685103	0.38329496327137047	0.3825498702091083	0.34519664387552645	0.33141819276683704	0.0	0.4243309285222882	0.44888743984492085	0.4279120966612173	0.44312890071598665	0.4190372647540876	0.44361902190581104	0.4403389742890853	0.5053102061910377	0.4675763487069742	0.4214370722254532
F14H1B	0.3910406519070917	0.4166288283621882	0.4385281590088308	0.3313571941628479	0.36191608432562544	0.38326855259393644	0.4354418751339767	0.43799800554483714	0.35783185822576513	0.38751060719155994	0.30926699281041936	0.35359493097284667	0.3971828594159481	0.4281369032036638	0.38172167648756544	0.3785000231119803	0.3937133226832332	0.3745147113860934	0.3737696183238312	0.37344759221833085	0.4078709693092794	0.4243309285222882	0.0	0.31592473721216136	0.35511959522453596	0.3703363992793053	0.3462447633174063	0.3708265204691298	0.36754647285240394	0.43251770475435647	0.39478584727129284	0.3486465707897719
F22HpB	0.41559716322972434	0.44118533968482077	0.4630846703314634	0.3559137054854805	0.3864725956482581	0.40782506391656914	0.45999838645660934	0.4625545168674698	0.3823883695483977	0.4120671185141926	0.33382350413305195	0.37815144229547937	0.4217393707385808	0.45269341452629647	0.4062781878101981	0.403056534434613	0.4182698340058659	0.39907122270872597	0.39832612964646386	0.3980041035409635	0.43242748063191205	0.44888743984492085	0.31592473721216136	0.0	0.37967610654716866	0.394892910601938	0.3708012746400389	0.3953830317917624	0.39210298417503664	0.4570742160769891	0.41934235859392555	0.37320308211240455
F29H1	0.39462182004602075	0.42020999650111723	0.44210932714775986	0.334938362301777	0.3654972524645545	0.3868497207328655	0.43902304327290576	0.4415791736837662	0.3614130263646942	0.391091775330489	0.3128481609493484	0.3571760991117758	0.4007640275548772	0.4317180713425929	0.38530284462649456	0.3820811912509094	0.39729449082216234	0.37809587952502244	0.3773507864627603	0.37702876035725996	0.4114521374482085	0.4279120966612173	0.35511959522453596	0.37967610654716866	0.0	0.3304018689399244	0.3063102329780254	0.33089199012974885	0.32761194251302306	0.3925831744149756	0.3983670154102219	0.35222773892870096
S14Hp	0.4098386241007901	0.43542680055588656	0.4573261312025292	0.3501551663565463	0.38071405651932383	0.4020665247876348	0.4542398473276751	0.45679597773853553	0.3766298304194635	0.40630857938525833	0.32806496500411775	0.3723929031665451	0.41598083160964655	0.4469348753973622	0.4005196486812639	0.3972979953056787	0.41251129487693167	0.39331268357979177	0.39256759051752965	0.3922455644120293	0.42666894150297785	0.44312890071598665	0.3703363992793053	0.394892910601938	0.3304018689399244	0.0	0.19814375979418317	0.22272551694590664	0.30016994901780353	0.36514118091975606	0.41358381946499123	0.3674445429834703
S13Hp	0.3857469881388911	0.41133516459398756	0.4332344952406302	0.3260635303946473	0.3566224205574248	0.3779748888257358	0.4301482113657761	0.4327043417766365	0.3525381944575645	0.3822169434233593	0.30397332904221874	0.34830126720464605	0.3918891956477475	0.4228432394354632	0.3764280127193648	0.37320635934377966	0.3884196589150326	0.36922104761789276	0.3684759545556306	0.36815392845013023	0.4025773055410788	0.4190372647540876	0.3462447633174063	0.3708012746400389	0.3063102329780254	0.19814375979418317	0.0	0.12367565033485906	0.27607831305590447	0.341049544957857	0.3894921835030922	0.3433529070215713
S6Hp	0.4103287452906145	0.43591692174571095	0.4578162523923536	0.3506452875463707	0.3812041777091483	0.4025566459774593	0.4547299685174996	0.45728609892836003	0.37711995160928796	0.40679870057508283	0.3285550861939422	0.37288302435636955	0.416470952799471	0.4474249965871867	0.4010097698710883	0.39778811649550316	0.4130014160667561	0.3938028047696162	0.39305771170735404	0.3927356856018537	0.42715906269280224	0.44361902190581104	0.3708265204691298	0.3953830317917624	0.33089199012974885	0.22272551694590664	0.12367565033485906	0.0	0.30066007020762797	0.3656313021095805	0.41407394065481573	0.36793466417329473
F1H1	0.40704869767388874	0.4326368741289852	0.45453620477562784	0.34736523992964496	0.3779241300924225	0.3992765983607335	0.45144992090077374	0.4540060513116342	0.3738399039925622	0.403518652958357	0.3252750385772164	0.36960297673964376	0.4131909051827452	0.44414494897046086	0.39772972225436254	0.3945080688787774	0.4097213684500303	0.3905227571528904	0.3897776640906283	0.38945563798512794	0.4238790150760765	0.4403389742890853	0.36754647285240394	0.39210298417503664	0.32761194251302306	0.30016994901780353	0.27607831305590447	0.30066007020762797	0.0	0.25140895170680866	0.4107938930380899	0.36465461655656894
31452	0.47201992957584127	0.49760810603093775	0.5195074366775804	0.4123364718315975	0.442895361994375	0.464247830262686	0.5164211528027263	0.5189772832135867	0.4388111358945147	0.4684898848603095	0.39024627047916893	0.43457420864159624	0.4781621370846977	0.5091161808724134	0.462700954156315	0.45947930078072985	0.4746926003519828	0.45549398905484295	0.4547488959925808	0.4544268698870804	0.488850246978029	0.5053102061910377	0.43251770475435647	0.4570742160769891	0.3925831744149756	0.36514118091975606	0.341049544957857	0.3656313021095805	0.25140895170680866	0.0	0.47576512494004247	0.4296258484585215
