	S1Hp	S25Hp	530167	530050	F8H1	S11Hp	530368	S27H1	S26Hp	S15Hp	F22HpB	530295	F22H1A	F29H1	S7Hp	S4Hp	S28Hp	F6H1	s24H1	S10H1	S21H1	S22Hp	S14Hp	S29H1	530451	S12Hp	31232	F7H1	F3H1	S3Hp	S16H2	S2Hp	31219	31360	31519	31700	31452	31071	530177	F14H1B	530331	530394	31328	531414	w32pp	F16H1
S1Hp	0.0	0.04113677290133537	0.27194576618806854	0.25994775125121616	0.299557928170768	0.27200555289806383	0.29611734138148027	0.2734312683480671	0.2252122159275239	0.35445122329536305	0.30848393881192543	0.32489725044507023	0.3380044043297922	0.3249657626343315	0.347664774705741	0.4193002629330937	0.3134671715872924	0.31576791679820326	0.33731069580906364	0.34082882474701215	0.29883527063446963	0.3671090240946458	0.318698168554267	0.32875151734142316	0.5579421265764931	0.5845367215313004	0.329045726630218	0.4429526617746071	0.32465264350238365	0.3348598557263968	0.29702062494073456	0.304663373896952	0.3068999495498702	0.31818486016882763	0.3278930033394848	0.30306773233065953	0.31805846678110705	0.2850512610290505	0.31244291639586164	0.33472492467967074	0.35315543760962903	0.29312606340776726	0.29714553819939277	0.2827382965361892	0.45666502176651524	0.2170560079161986
S25Hp	0.04113677290133537	0.0	0.2638385907017792	0.2518405757649269	0.2914507526844787	0.26389837741177447	0.288010165895191	0.26532409286177777	0.2171050404412346	0.34634404780907374	0.3003767633256361	0.316790074958781	0.3298972288435028	0.3168585871480422	0.33955759921945167	0.4111930874468044	0.3053599961010032	0.30766074131191395	0.32920352032277433	0.3327216492607229	0.2907280951481803	0.3590018486083565	0.31059099306797766	0.3206443418551339	0.5498349510902039	0.5764295460450111	0.3209385511439287	0.4348454862883178	0.31654546801609434	0.3267526802401075	0.28891344945444525	0.2965561984106627	0.2987927740635809	0.3100776846825383	0.3197858278531955	0.2949605568443702	0.30995129129481774	0.2769440855427612	0.30433574090957227	0.3266177491933815	0.3450482621233397	0.2850188879214779	0.28903836271310346	0.27463112104989984	0.44855784628022594	0.2089488324299093
530167	0.27194576618806854	0.2638385907017792	0.0	0.23176560339766572	0.27137578031721754	0.24382340504451333	0.2679351935279298	0.2452491204945166	0.1970300680739734	0.36217706856226617	0.3162097840788285	0.33262309571197335	0.34573024959669524	0.33269160790123464	0.3553906199726441	0.42702610819999676	0.32119301685419555	0.3234937620651064	0.3450365410759667	0.34855467001391527	0.3065611159013727	0.3748348693615489	0.3264240138211701	0.3364773626083263	0.5656679718433962	0.5922625667982035	0.33677157189712115	0.45067850704151025	0.3323784887692868	0.3425857009932999	0.3047464702076377	0.3123892191638551	0.31462579481677333	0.32591070543573075	0.3356188486063879	0.31079357759756265	0.32578431204801017	0.29277710629595355	0.3201687616627647	0.34245076994657386	0.3608812828765321	0.3008519086746703	0.30487138346629583	0.29046414180309227	0.48380032508842974	0.27552652343506934
530050	0.25994775125121616	0.2518405757649269	0.23176560339766572	0.0	0.212250863053252	0.18469848778054782	0.2088102762639643	0.18612420323055107	0.13790515081000787	0.3501790536254138	0.30421176914197623	0.32062508077512103	0.3337322346598429	0.32069359296438227	0.3433926050357917	0.4150280932631445	0.3091950019173432	0.311495747128254	0.33303852613911444	0.33655665507706295	0.29456310096452043	0.3628368544246966	0.31442599888431777	0.32447934767147396	0.5536699569065439	0.5802645518613512	0.32477355696026877	0.43868049210465787	0.3203804738324344	0.3305876860564476	0.2927484552707853	0.30039120422700283	0.30262777987992096	0.3139126904988784	0.32362083366953553	0.2987955626607103	0.3137862971111578	0.2807790913591013	0.3081707467259124	0.33045275500972154	0.34888326793967983	0.288853893737818	0.29287336852944357	0.27846612686623995	0.47180231015157736	0.26352850849821696
F8H1	0.299557928170768	0.2914507526844787	0.27137578031721754	0.212250863053252	0.0	0.20440459705485536	0.22851638553827186	0.20583031250485861	0.15761126008431542	0.3897892305449656	0.343821946061528	0.3602352576946728	0.37334241157939474	0.3603037698839341	0.38300278195534354	0.45463827018269626	0.348805178836895	0.35110592404780583	0.3726487030586662	0.3761668319966147	0.3341732778840722	0.4024470313442484	0.3540361758038696	0.3640895245910257	0.5932801338260957	0.619874728780903	0.3643837338798206	0.4782906690242097	0.3599906507519862	0.3701978629759994	0.3323586321903371	0.3400013811465546	0.3422379567994728	0.3535228674184302	0.36323101058908736	0.3384057395802621	0.3533964740307096	0.32038926827865305	0.3477809236454642	0.3700629319292733	0.3884934448592316	0.3284640706573698	0.33248354544899533	0.31807630378579177	0.5114124870711292	0.3031386854177688
S11Hp	0.27200555289806383	0.26389837741177447	0.24382340504451333	0.18469848778054782	0.20440459705485536	0.0	0.09972320962384942	0.11749625531875277	0.09341186092301464	0.36223685527226146	0.3162695707888238	0.33268288242196864	0.34579003630669053	0.33275139461122993	0.3554504066826394	0.42708589490999205	0.32125280356419084	0.3235535487751017	0.345096327785962	0.34861445672391056	0.306620902611368	0.3748946560715442	0.3264838005311654	0.33653714931832157	0.5657277585533915	0.5923223535081988	0.33683135860711644	0.45073829375150554	0.33243827547928206	0.34264548770329517	0.30480625691763297	0.3124490058738504	0.3146855815267686	0.32597049214572604	0.3356786353163832	0.31085336430755794	0.32584409875800546	0.29283689300594884	0.32022854837276	0.34251055665656915	0.3609410695865274	0.3009116953846656	0.3049311701762911	0.29052392851308756	0.48386011179842503	0.27558631014506463
530368	0.29611734138148027	0.288010165895191	0.2679351935279298	0.2088102762639643	0.22851638553827186	0.09972320962384942	0.0	0.14160804380216926	0.11752364940643112	0.3863486437556779	0.34038135927224034	0.35679467090538514	0.369901824790107	0.3568631830946464	0.3795621951660558	0.4511976833934086	0.34536459204760733	0.3476653372585181	0.36920811626937855	0.37272624520732706	0.33073269109478454	0.3990064445549607	0.3505955890145819	0.36064893780173807	0.589839547036808	0.6164341419916153	0.3609431470905329	0.474850082234922	0.3565500639626985	0.3667572761867117	0.3289180454010494	0.33656079435726693	0.33879737001018506	0.3500822806291425	0.35979042379979964	0.3349651527909744	0.3499558872414219	0.3169486814893654	0.3443403368561765	0.36662234513998565	0.38505285806994394	0.3250234838680821	0.3290429586597077	0.31463571699650406	0.5079719002818415	0.29969809862848107
S27H1	0.2734312683480671	0.26532409286177777	0.2452491204945166	0.18612420323055107	0.20583031250485861	0.11749625531875277	0.14160804380216926	0.0	0.0948375763730179	0.3636625707222647	0.3176952862388271	0.3341085978719719	0.34721575175669384	0.3341771100612332	0.35687612213264264	0.42851161035999535	0.3226785190141941	0.3249792642251049	0.3465220432359653	0.3500401721739138	0.3080466180613713	0.3763203715215475	0.3279095159811687	0.3379628647683248	0.5671534740033948	0.5937480689582021	0.3382570740571197	0.4521640092015088	0.3338639909292853	0.3440712031532985	0.3062319723676362	0.3138747213238537	0.31611129697677187	0.3273962075957293	0.33710435076638645	0.3122790797575612	0.3272698142080087	0.29426260845595215	0.3216542638227633	0.3439362721065724	0.3623667850365307	0.3023374108346689	0.30635688562629443	0.29194964396309087	0.4852858272484283	0.2770120255950679
S26Hp	0.2252122159275239	0.2171050404412346	0.1970300680739734	0.13790515081000787	0.15761126008431542	0.09341186092301464	0.11752364940643112	0.0948375763730179	0.0	0.3154435183017215	0.2694762338182839	0.28588954545142875	0.29899669933615064	0.28595805764069	0.30865706971209944	0.38029255793945216	0.27445946659365095	0.27676021180456173	0.2983029908154221	0.30182111975337067	0.2598275656408281	0.3281013191010043	0.2796904635606255	0.2897438123477817	0.5189344215828516	0.545529016537659	0.2900380216365765	0.4039449567809656	0.2856449385087421	0.2958521507327553	0.258012919947093	0.2656556689033105	0.2678922445562287	0.2791771551751861	0.28888529834584326	0.264060027337018	0.2790507617874655	0.24604355603540895	0.2734352114022201	0.29571721968602926	0.3141477326159875	0.2541183584141257	0.25813783320575123	0.24373059154254767	0.43706677482788514	0.2287929731745247
S15Hp	0.35445122329536305	0.34634404780907374	0.36217706856226617	0.3501790536254138	0.3897892305449656	0.36223685527226146	0.3863486437556779	0.3636625707222647	0.3154435183017215	0.0	0.22303525938304103	0.23944857101618586	0.2525557249009077	0.23951708320544712	0.3268582896664552	0.3984937778938079	0.2926606865480067	0.3263564454104473	0.34789922442130766	0.35141735335925617	0.33439934327795995	0.4026730967381361	0.3542622411977573	0.36431558998491353	0.6243951869575283	0.6509897819123356	0.3954987870112532	0.5094057221556423	0.3911057038834188	0.40131291610743197	0.3634736853217697	0.3711164342779872	0.37335300993090537	0.3846379205498628	0.39434606372051995	0.3695207927116947	0.3845115271621422	0.35150432141008564	0.3788959767768968	0.4011779850607059	0.4196084979906642	0.3595791237888024	0.3635985985804279	0.34919135691722436	0.5663057821957242	0.35803198054236385
