	S14Hp	31750	S7Hp	F23HpA	530394	S15Hp	F3H1	s24H1	531414	31700	S19H1	w19pp	w32pp	w23pp	w26pp	w16pp	w11pp	w22pp	f12ppB	w31pp	w14pp	w17pp	w10pp	w18pp	f16ppA	w13pp	w20pp	w9pp	w1pp	w24pp	w15pp	w28pp	S22Hp	31021	F7H1
S14Hp	0.0	0.31457838311091524	0.30681195418827045	0.33377012078587676	0.33445620696336426	0.29397565981367135	0.3684263240015781	0.37384906800589607	0.3705077211178791	0.36413471463660724	0.3491383409832429	0.4326291586470469	0.4467018128750529	0.45008114700516594	0.44935062038740836	0.4731324704860818	0.4492061408273272	0.47275747971343235	0.4750655777443839	0.502142014446463	0.47293343741409155	0.4668212385624303	0.46252463519376075	0.4498323418546944	0.459213330139683	0.44014817487694347	0.43114072902308426	0.42419813836702713	0.4290749205728909	0.42365363159455155	0.4189652976625291	0.39283550529736105	0.38062962828067304	0.33136629649558347	0.2815552661726568
31750	0.31457838311091524	0.0	0.21381068989308283	0.24076885649068908	0.24145494266817663	0.24863733067118843	0.32308799485909523	0.3285107388634132	0.32516939197539624	0.31879638549412437	0.30380001184076	0.38729082950456395	0.40136348373256997	0.404742817862683	0.40401229124492544	0.4277941413435989	0.40386781168484426	0.4274191505709494	0.429727248601901	0.45680368530398	0.4275951082716086	0.42148290941994737	0.4171863060512778	0.40449401271221147	0.4138750009972001	0.39480984573446054	0.38580239988060133	0.3788598092245442	0.383736591430408	0.3783153024520686	0.3736269685200462	0.3474971761548782	0.3352912991381901	0.3224063089051625	0.30856193984902125
S7Hp	0.30681195418827045	0.21381068989308283	0.0	0.18397214456546848	0.184658230742956	0.24087090174854364	0.31532156593645044	0.3207443099407684	0.3174029630527515	0.3110299565714796	0.2960335829181152	0.37952440058191916	0.39359705480992524	0.3969763889400383	0.39624586232228065	0.42002771242095416	0.3961013827621995	0.4196527216483047	0.42196081967925625	0.4490372563813353	0.41982867934896384	0.4137164804973026	0.40941987712863304	0.39672758378956674	0.4061085720745553	0.38704341681181575	0.3780359709579566	0.3710933803018994	0.3759701625077633	0.3705488735294239	0.3658605395974014	0.3397307472322334	0.3275248702155454	0.31463987998251775	0.30079551092637646
F23HpA	0.33377012078587676	0.24076885649068908	0.18397214456546848	0.0	0.1685298001735442	0.26782906834614995	0.34227973253405675	0.3477024765383747	0.34436112965035776	0.3379881231690859	0.3229917495157215	0.40648256717952547	0.4205552214075315	0.42393455553764453	0.42320402891988695	0.4469858790185604	0.4230595493598058	0.44661088824591094	0.4489189862768625	0.47599542297894154	0.44678684594657014	0.4406746470949089	0.43637804372623934	0.423685750387173	0.4330667386721616	0.41400158340942206	0.40499413755556285	0.3980515468995057	0.4029283291053695	0.39750704012703014	0.3928187061950077	0.3666889138298397	0.35448303681315163	0.341598046580124	0.32775367752398277
530394	0.33445620696336426	0.24145494266817663	0.184658230742956	0.1685298001735442	0.0	0.26851515452363744	0.34296581871154425	0.3483885627158622	0.34504721582784526	0.3386742093465734	0.32367783569320907	0.407168653357013	0.421241307585019	0.42462064171513203	0.4238901150973745	0.4476719651960479	0.4237456355372933	0.44729697442339844	0.44960507245435	0.47668150915642904	0.4474729321240577	0.44136073327239644	0.4370641299037269	0.4243718365646605	0.43375282484964917	0.4146876695869096	0.40568022373305035	0.3987376330769933	0.403614415282857	0.39819312630451764	0.39350479237249525	0.3673750000073272	0.3551691229906392	0.3422841327576115	0.3284397637014703
S15Hp	0.29397565981367135	0.24863733067118843	0.24087090174854364	0.26782906834614995	0.26851515452363744	0.0	0.23185381813763092	0.2372765621419489	0.23393521525393196	0.26845040998678765	0.25345403633342334	0.3369448539972273	0.3510175082252333	0.35439684235534635	0.3536663157375888	0.37744816583626223	0.3535218361775076	0.37707317506361276	0.3793812730945643	0.40645770979664336	0.37724913276427197	0.3711369339126107	0.36684033054394116	0.3541480372048748	0.36352902548986343	0.3444638702271239	0.33545642437326467	0.32851383371720755	0.33339061592307134	0.32796932694473196	0.3232809930127095	0.29715120064754147	0.28494532363085345	0.3018035856079186	0.28795921655177736
F3H1	0.3684263240015781	0.32308799485909523	0.31532156593645044	0.34227973253405675	0.34296581871154425	0.23185381813763092	0.0	0.2440220253339057	0.28256849209240265	0.34290107417469445	0.32790470052133014	0.4113955181851341	0.42546817241314006	0.4288475065432531	0.4281169799254956	0.451898830024169	0.42797250036541434	0.4515238392515195	0.45383193728247107	0.4809083739845501	0.45169979695217877	0.4455875981005175	0.44129099473184796	0.42859870139278156	0.43797968967777023	0.4189145344150307	0.4099070885611715	0.40296449790511435	0.4078412801109781	0.4024199911326387	0.3977316572006163	0.37160186483544827	0.35939598781876025	0.37625424979582534	0.36240988073968416
s24H1	0.37384906800589607	0.3285107388634132	0.3207443099407684	0.3477024765383747	0.3483885627158622	0.2372765621419489	0.2440220253339057	0.0	0.2879912360967206	0.3483238181790124	0.3333274445256481	0.41681826218945206	0.430890916417458	0.43427025054757107	0.43353972392981355	0.45732157402848694	0.4333952443697323	0.4569465832558375	0.45925468128678903	0.4863311179888681	0.45712254095649674	0.4510103421048355	0.44671373873616593	0.4340214453970995	0.4434024336820882	0.42433727841934865	0.41532983256548944	0.4083872419094323	0.41326402411529606	0.4078427351369567	0.4031544012049343	0.37702460883976624	0.3648187318230782	0.3816769938001433	0.36783262474400213
531414	0.3705077211178791	0.32516939197539624	0.3174029630527515	0.34436112965035776	0.34504721582784526	0.23393521525393196	0.28256849209240265	0.2879912360967206	0.0	0.34498247129099546	0.32998609763763115	0.41347691530143516	0.4275495695294411	0.43092890365955416	0.4301983770417966	0.45398022714047004	0.4300538974817154	0.4536052363678206	0.45591333439877213	0.4829897711008512	0.4537811940684798	0.4476689952168185	0.443372391848149	0.4306800985090826	0.44006108679407124	0.4209959315313317	0.4119884856774725	0.40504589502141536	0.40992267722727915	0.4045013882489398	0.3998130543169173	0.3736832619517493	0.3614773849350613	0.3783356469121264	0.3644912778559852
31700	0.36413471463660724	0.31879638549412437	0.3110299565714796	0.3379881231690859	0.3386742093465734	0.26845040998678765	0.34290107417469445	0.3483238181790124	0.34498247129099546	0.0	0.25860593106129437	0.3873846043661889	0.4014572585941949	0.40483659272430794	0.4041060661065503	0.4278879162052238	0.4039615865464692	0.42751292543257435	0.4298210234635259	0.45689746016560495	0.42768888313323355	0.4215766842815723	0.41728008091290275	0.4045877875738364	0.413968775858825	0.3949036205960854	0.38589617474222626	0.3789535840861691	0.38383036629203293	0.37840907731369355	0.37372074338167105	0.34759095101650306	0.33538507399981504	0.3719626404308545	0.3581182713747133
