	31766	31267	S3Hp	S23Hp	S13Hp	S7Hp	S11Hp	S4Hp	530451	S19H1	F3H1	S30H1	31328	F14H1B	31300	S18H1	S28Hp	530177	S2Hp	530444	S26Hp
31766	0.0	0.33314019046634824	0.3279778647390649	0.3991344086617482	0.43682033918906316	0.33032601951086527	0.35760014074460633	0.35823743086049487	0.48299061335683124	0.47011570843230643	0.5300617053938919	0.47127972580558586	0.4815310005174003	0.5235573379998651	0.4960167908838107	0.439720403796229	0.4497721085598323	0.4297234808381979	0.3872993317739237	0.17323792326668322	0.1835646267098251
31267	0.33314019046634824	0.0	0.260474139916422	0.4132550562258315	0.45094098675314637	0.3444466670749484	0.3717207883086896	0.372358078424578	0.49711126092091446	0.48423635599638964	0.544182352957975	0.48540037336966907	0.4956516480814835	0.5376779855639484	0.5101374384478938	0.4538410513603122	0.4638927561239155	0.4438441284022811	0.4014199793380069	0.3122486903847446	0.40106145336523813
S3Hp	0.3279778647390649	0.260474139916422	0.0	0.40809273049854805	0.44577866102586294	0.33928434134766505	0.3665584625814062	0.36719575269729465	0.49194893519363103	0.4790740302691062	0.5390200272306916	0.48023804764238565	0.49048932235420006	0.5325156598366649	0.5049751127206105	0.4486787256330288	0.4587304303966321	0.4386818026749977	0.3962576536107235	0.3070863646574612	0.39589912763795476
S23Hp	0.3991344086617482	0.4132550562258315	0.40809273049854805	0.0	0.1280631335369004	0.28891540491025586	0.37498922420634573	0.3756265143222342	0.5003796968185705	0.4875047918940458	0.5474507888556313	0.48866880926732525	0.4989200839791397	0.5409464214616045	0.5134058743455501	0.4571094872579684	0.4671611920215717	0.4471125642999373	0.40468841523566307	0.37824290858014453	0.4670556715606381
S13Hp	0.43682033918906316	0.45094098675314637	0.44577866102586294	0.1280631335369004	0.0	0.32660133543757075	0.4126751547336606	0.4133124448495491	0.5380656273458855	0.5251907224213607	0.5851367193829461	0.5263547397946402	0.5366060145064546	0.5786323519889194	0.5510918048728649	0.4947954177852833	0.5048471225488866	0.4847984948272522	0.44237434576297796	0.4159288391074595	0.504741602087953
S7Hp	0.33032601951086527	0.3444466670749484	0.33928434134766505	0.28891540491025586	0.32660133543757075	0.0	0.30618083505546273	0.3068181251713512	0.4315713076676876	0.4186964027431628	0.4786423997047482	0.41986042011644226	0.4301116948282567	0.47213803231072154	0.444597485194667	0.3883010981070854	0.3983528028706887	0.3783041751490543	0.33588002608478007	0.3094345194292616	0.39824728240975504
S11Hp	0.35760014074460633	0.3717207883086896	0.3665584625814062	0.37498922420634573	0.4126751547336606	0.30618083505546273	0.0	0.04584646315915796	0.38562483040992995	0.37274992548540514	0.43269592244699057	0.3739139428586846	0.38416521757049904	0.4261915550529639	0.3986510079369094	0.3423546208493278	0.35240632561293106	0.33235769789129666	0.3181896263633382	0.33670864066300266	0.4255214036434962
S4Hp	0.35823743086049487	0.372358078424578	0.36719575269729465	0.3756265143222342	0.4133124448495491	0.3068181251713512	0.04584646315915796	0.0	0.38626212052581843	0.3733872156012936	0.43333321256287904	0.37455123297457305	0.38480250768638746	0.42682884516885233	0.39928829805279786	0.3429919109652162	0.3530436157288195	0.3329949880071851	0.3188269164792267	0.3373459307788912	0.42615869375938464
530451	0.48299061335683124	0.49711126092091446	0.49194893519363103	0.5003796968185705	0.5380656273458855	0.4315713076676876	0.38562483040992995	0.38626212052581843	0.0	0.19099244439018498	0.4610561325947178	0.4022741530064119	0.41252542771822626	0.4545517652006912	0.4270112180846366	0.3969284479937466	0.4069801527573499	0.3869315250357155	0.44358009897556305	0.46209911327522757	0.5509118762557211
S19H1	0.47011570843230643	0.48423635599638964	0.4790740302691062	0.4875047918940458	0.5251907224213607	0.4186964027431628	0.37274992548540514	0.3733872156012936	0.19099244439018498	0.0	0.44818122767019297	0.3893992480818871	0.3996505227937015	0.44167686027616637	0.41413631316011185	0.3840535430692218	0.39410524783282513	0.37405662011119073	0.43070519405103824	0.44922420835070276	0.5380369713311963
