	S15Hp	w24pp	F6H1	S7Hp	F22HpB	F3H1	f25pp	f6ppB	w17pp	f1pp	F16H1	f16ppA	f11pp	f4pp	S28Hp	S26Hp	f6ppA	S3Hp	S2Hp	f2pp	w28pp	f24pp	S22Hp
S15Hp	0.0	0.347800366566857	0.3755981113424586	0.5469745111678408	0.48377600349638983	0.46996042888896616	0.6257276342146716	0.5996066187201016	0.6889081201293494	0.675948871683653	0.6825676058540657	0.6576717646199932	0.6695090271211115	0.6549343279286988	0.7189831907227155	0.7244435545892116	0.7390984266781295	0.7476196096968969	0.7712936321210654	0.6958825540611823	0.6708799007109829	0.6695482355008411	0.5826506198515606
w24pp	0.347800366566857	0.0	0.08620235742011836	0.45789110555415996	0.39469259788270894	0.3808770232752853	0.5366442286009907	0.5105232131064207	0.5998247145156685	0.5868654660699721	0.5934842002403848	0.5685883590063123	0.5804256215074306	0.5658509223150179	0.6298997851090347	0.6353601489755307	0.6500150210644486	0.658536204083216	0.6822102265073845	0.6067991484475014	0.581796495097302	0.5804648298871602	0.4935672142378797
F6H1	0.3755981113424586	0.08620235742011836	0.0	0.4856888503297616	0.42249034265831054	0.4086747680508869	0.5644419733765922	0.5383209578820223	0.62762245929127	0.6146632108455736	0.6212819450159865	0.596386103781914	0.6082233662830323	0.5936486670906194	0.6576975298846364	0.6631578937511324	0.6778127658400501	0.6863339488588176	0.7100079712829861	0.634596893223103	0.6095942398729035	0.6082625746627617	0.5213649590134812
S7Hp	0.5469745111678408	0.45789110555415996	0.4856888503297616	0.0	0.3937134253387366	0.42972405199704355	0.6230954995224085	0.5969744840278386	0.6862759854370863	0.6733167369913899	0.6799354711618028	0.6550396299277302	0.6668768924288485	0.6523021932364357	0.7163510560304526	0.7218114198969486	0.7364662919858664	0.7449874750046339	0.7686614974288024	0.6932504193689193	0.6682477660187198	0.666916100808578	0.5800184851592975
F22HpB	0.48377600349638983	0.39469259788270894	0.42249034265831054	0.3937134253387366	0.0	0.3665255443255925	0.5598969918509574	0.5337759763563875	0.6230774777656353	0.6101182293199389	0.6167369634903517	0.5918411222562792	0.6036783847573974	0.5891036855649846	0.6531525483590015	0.6586129122254976	0.6732677843144154	0.6817889673331827	0.7054629897573512	0.6300519116974681	0.6050492583472687	0.6037175931371269	0.5168199774878465
F3H1	0.46996042888896616	0.3808770232752853	0.4086747680508869	0.42972405199704355	0.3665255443255925	0.0	0.5460814172435338	0.5199604017489639	0.6092619031582116	0.5963026547125152	0.6029213888829281	0.5780255476488556	0.5898628101499739	0.5752881109575609	0.6393369737515779	0.644797337618074	0.6594522097069917	0.6679733927257592	0.6916474151499277	0.6162363370900446	0.5912336837398451	0.5899020185297033	0.5030044028804228
f25pp	0.6257276342146716	0.5366442286009907	0.5644419733765922	0.6230954995224085	0.5598969918509574	0.5460814172435338	0.0	0.06754401958228273	0.19338924360981835	0.180429995164122	0.1870487293345348	0.1621528881004623	0.17399015060158052	0.15941545140916769	0.22346431420318463	0.22892467806968064	0.2435795501585985	0.2521007331773659	0.2757747556015344	0.20036367754165127	0.1753610241914519	0.2582359862696012	0.47994411011415816
f6ppB	0.5996066187201016	0.5105232131064207	0.5383209578820223	0.5969744840278386	0.5337759763563875	0.5199604017489639	0.06754401958228273	0.0	0.16726822811524839	0.15430897966955207	0.16092771383996488	0.13603187260589233	0.14786913510701055	0.13329443591459772	0.19734329870861467	0.20280366257511068	0.21745853466402854	0.22597971768279596	0.24965374010696445	0.17424266204708133	0.14924000869688192	0.23211497077503124	0.45382309461958825
w17pp	0.6889081201293494	0.5998247145156685	0.62762245929127	0.6862759854370863	0.6230774777656353	0.6092619031582116	0.19338924360981835	0.16726822811524839	0.0	0.044886130417545786	0.15875760394257715	0.13386176270850464	0.1725870825474603	0.18097240133690462	0.24502126413092157	0.2504816279974176	0.26513650008633544	0.27365768310510286	0.29733170552927135	0.22192062746938823	0.19691797411918882	0.321416472184279	0.543124596028836
f1pp	0.675948871683653	0.5868654660699721	0.6146632108455736	0.6733167369913899	0.6101182293199389	0.5963026547125152	0.180429995164122	0.15430897966955207	0.044886130417545786	0.0	0.1457983554968808	0.12090251426280828	0.15962783410176395	0.16801315289120827	0.23206201568522522	0.23752237955172123	0.2521772516406391	0.2606984346594065	0.284372457083575	0.20896137902369188	0.18395872567349247	0.30845722373858264	0.5301653475831396
F16H1	0.6825676058540657	0.5934842002403848	0.6212819450159865	0.6799354711618028	0.6167369634903517	0.6029213888829281	0.1870487293345348	0.16092771383996488	0.15875760394257715	0.1457983554968808	0.0	0.024897841235072583	0.16624656827217676	0.17463188706162108	0.23868074985563803	0.24414111372213404	0.2587959858110519	0.2673171688298193	0.2909911912539878	0.2155801131941047	0.19057745984390528	0.31507595790899545	0.5367840817535524
f16ppA	0.6576717646199932	0.5685883590063123	0.596386103781914	0.6550396299277302	0.5918411222562792	0.5780255476488556	0.1621528881004623	0.13603187260589233	0.13386176270850464	0.12090251426280828	0.024897841235072583	0.0	0.14135072703810422	0.14973604582754857	0.21378490862156552	0.21924527248806153	0.23390014457697939	0.24242132759574678	0.26609535001991524	0.19068427196003215	0.16568161860983277	0.29018011667492294	0.5118882405194799
f11pp	0.6695090271211115	0.5804256215074306	0.6082233662830323	0.6668768924288485	0.6036783847573974	0.5898628101499739	0.17399015060158052	0.14786913510701055	0.1725870825474603	0.15962783410176395	0.16624656827217676	0.14135072703810422	0.0	0.1615733083286668	0.22562217112268373	0.23108253498917974	0.2457374070780976	0.254258590096865	0.2779326125210335	0.20252153446115037	0.177518881110951	0.30201737917604116	0.5237255030205982
f4pp	0.6549343279286988	0.5658509223150179	0.5936486670906194	0.6523021932364357	0.5891036855649846	0.5752881109575609	0.15941545140916769	0.13329443591459772	0.18097240133690462	0.16801315289120827	0.17463188706162108	0.14973604582754857	0.1615733083286668	0.0	0.1977517696655765	0.20321213353207251	0.21786700562099037	0.22638818863975774	0.25006221106392623	0.1746511330040431	0.14964847965384376	0.2874426799836283	0.5091508038281853
S28Hp	0.7189831907227155	0.6298997851090347	0.6576975298846364	0.7163510560304526	0.6531525483590015	0.6393369737515779	0.22346431420318463	0.19734329870861467	0.24502126413092157	0.23206201568522522	0.23868074985563803	0.21378490862156552	0.22562217112268373	0.1977517696655765	0.0	0.14370747133769213	0.15836234342660999	0.16688352644537738	0.1905575488695459	0.12712973308156242	0.14403004521817675	0.35149154277764527	0.5731996666222022
S26Hp	0.7244435545892116	0.6353601489755307	0.6631578937511324	0.7218114198969486	0.6586129122254976	0.644797337618074	0.22892467806968064	0.20280366257511068	0.2504816279974176	0.23752237955172123	0.24414111372213404	0.21924527248806153	0.23108253498917974	0.20321213353207251	0.14370747133769213	0.0	0.051699127650503524	0.09203087422650161	0.15147337520372683	0.13259009694805843	0.14949040908467276	0.3569519066441413	0.5786600304886983
f6ppA	0.7390984266781295	0.6500150210644486	0.6778127658400501	0.7364662919858664	0.6732677843144154	0.6594522097069917	0.2435795501585985	0.21745853466402854	0.26513650008633544	0.2521772516406391	0.2587959858110519	0.23390014457697939	0.2457374070780976	0.21786700562099037	0.15836234342660999	0.051699127650503524	0.0	0.10668574631541948	0.16612824729264472	0.1472449690369763	0.16414528117359062	0.37160677873305914	0.5933149025776161
S3Hp	0.7476196096968969	0.658536204083216	0.6863339488588176	0.7449874750046339	0.6817889673331827	0.6679733927257592	0.2521007331773659	0.22597971768279596	0.27365768310510286	0.2606984346594065	0.2673171688298193	0.24242132759574678	0.254258590096865	0.22638818863975774	0.16688352644537738	0.09203087422650161	0.10668574631541948	0.0	0.1746494303114121	0.15576615205574368	0.172666464192358	0.3801279617518265	0.6018360855963836
