	w11pp	S19H1	w4pp	S12Hp	w14pp	s28pp	S2Hp	w27pp	F23HpA	s27pp	S14Hp	s3pp	F7H1	F14H1A	f6ppB	s25pp	S13Hp	w9pp	s24pp	s2pp
w11pp	0.0	0.40900457775409105	0.35022422208153225	0.36762646770232765	0.35830669590904934	0.39686694830816394	0.46431945466100477	0.4713284736168888	0.5678461126784613	0.4804886797555436	0.5757612341447503	0.5006952098173885	0.4969930806421891	0.4413516894701479	0.3694013761519495	0.3338445759717986	0.5485314083237967	0.4520005133358086	0.44296149482151104	0.45575192480634186
S19H1	0.40900457775409105	0.0	0.435661708043091	0.6068003391896382	0.5974805673963599	0.6360408197954746	0.7034933261483154	0.7105023451041994	0.8070199841657718	0.7196625512428542	0.8149351056320608	0.739869081304699	0.7361669521294997	0.6805255609574585	0.6085752476392601	0.5730184474591091	0.7877052798111072	0.6911743848231192	0.6821353663088217	0.6949257962936525
w4pp	0.35022422208153225	0.435661708043091	0.0	0.5480199835170794	0.5387002117238011	0.5772604641229158	0.6447129704757566	0.6517219894316406	0.748239628493213	0.6608821955702954	0.756154749959502	0.6810887256321402	0.6773865964569409	0.6217452052848997	0.5497948919667013	0.5142380917865503	0.7289249241385484	0.6323940291505604	0.6233550106362629	0.6361454406210937
S12Hp	0.36762646770232765	0.6068003391896382	0.5480199835170794	0.0	0.4956948112157666	0.5342550636148812	0.601707569967722	0.608716588923606	0.7052342279851784	0.6178767950622608	0.7131493494514676	0.6380833251241056	0.6343811959489063	0.5787398047768652	0.5067894914586668	0.47123269127851586	0.6859195236305138	0.5893886286425258	0.5803496101282283	0.5931400401130591
w14pp	0.35830669590904934	0.5974805673963599	0.5387002117238011	0.4956948112157666	0.0	0.36988040215191154	0.43733290850475237	0.4443419274606364	0.5408595665222089	0.45350213359929126	0.5487746879884979	0.47370866366113606	0.47000653448593677	0.4143651433138955	0.3424148299956971	0.3483744360728522	0.5630612684248502	0.4665303734368622	0.45749135492256465	0.4702817849073955
s28pp	0.39686694830816394	0.6360408197954746	0.5772604641229158	0.5342550636148812	0.36988040215191154	0.0	0.2536979305835749	0.4210434221169844	0.5175610611785568	0.43020362825563924	0.525476182644846	0.45041015831748404	0.44670802914228475	0.39106663797024355	0.3191163246520451	0.38693468847196677	0.6016215208239648	0.5050906258359769	0.4960516073216793	0.5088420373065101
S2Hp	0.46431945466100477	0.7034933261483154	0.6447129704757566	0.601707569967722	0.43733290850475237	0.2536979305835749	0.0	0.48849592846982526	0.5850135675313977	0.49765613460848007	0.5929286889976868	0.5178626646703248	0.5141605354951255	0.4585191443230844	0.3865688310048859	0.4543871948248076	0.6690740271768056	0.5725431321888176	0.56350411367452	0.5762945436593508
w27pp	0.4713284736168888	0.7105023451041994	0.6517219894316406	0.608716588923606	0.4443419274606364	0.4210434221169844	0.48849592846982526	0.0	0.16082090600829946	0.0734634730853818	0.16873602747458855	0.09367000314722662	0.08996787397202734	0.15065719486222376	0.34305500292662067	0.4613962137806916	0.6760830461326897	0.5795521511447016	0.570513132630404	0.5833035626152349
F23HpA	0.5678461126784613	0.8070199841657718	0.748239628493213	0.7052342279851784	0.5408595665222089	0.5175610611785568	0.5850135675313977	0.16082090600829946	0.0	0.13680626118173123	0.23207881557093796	0.15701279124357603	0.15331066206837676	0.2471748339237962	0.4395726419881931	0.557913852842264	0.7726006851942621	0.6760697902062741	0.6670307716919766	0.6798212016768074
s27pp	0.4804886797555436	0.7196625512428542	0.6608821955702954	0.6178767950622608	0.45350213359929126	0.43020362825563924	0.49765613460848007	0.0734634730853818	0.13680626118173123	0.0	0.13664362366321856	0.06157759933585663	0.057875470160657354	0.15981740100087855	0.3522152090652755	0.47055641991934644	0.6852432522713444	0.5887123572833565	0.5796733387690589	0.5924637687538897
S14Hp	0.5757612341447503	0.8149351056320608	0.756154749959502	0.7131493494514676	0.5487746879884979	0.525476182644846	0.5929286889976868	0.16873602747458855	0.23207881557093796	0.13664362366321856	0.0	0.07567828798724421	0.09636129980306148	0.25508995539008533	0.4474877634544822	0.5658289743085532	0.7805158066605511	0.6839849116725631	0.6749458931582656	0.6877363231430964
s3pp	0.5006952098173885	0.739869081304699	0.6810887256321402	0.6380833251241056	0.47370866366113606	0.45041015831748404	0.5178626646703248	0.09367000314722662	0.15701279124357603	0.06157759933585663	0.07567828798724421	0.0	0.02129527547569955	0.18002393106272335	0.3724217391271203	0.49076294998119124	0.7054497823331892	0.6089188873452013	0.5998798688309037	0.6126702988157345
F7H1	0.4969930806421891	0.7361669521294997	0.6773865964569409	0.6343811959489063	0.47000653448593677	0.44670802914228475	0.5141605354951255	0.08996787397202734	0.15331066206837676	0.057875470160657354	0.09636129980306148	0.02129527547569955	0.0	0.17632180188752408	0.368719609951921	0.48706082080599195	0.7017476531579899	0.605216758170002	0.5961777396557044	0.6089681696405352
F14H1A	0.4413516894701479	0.6805255609574585	0.6217452052848997	0.5787398047768652	0.4143651433138955	0.39106663797024355	0.4585191443230844	0.15065719486222376	0.2471748339237962	0.15981740100087855	0.25508995539008533	0.18002393106272335	0.17632180188752408	0.0	0.3130782187798798	0.43141942963395075	0.6461062619859488	0.5495753669979607	0.5405363484836632	0.553326778468494
f6ppB	0.3694013761519495	0.6085752476392601	0.5497948919667013	0.5067894914586668	0.3424148299956971	0.3191163246520451	0.3865688310048859	0.34305500292662067	0.4395726419881931	0.3522152090652755	0.4474877634544822	0.3724217391271203	0.368719609951921	0.3130782187798798	0.0	0.35946911631575235	0.5741559486677503	0.4776250536797624	0.4685860351654648	0.48137646515029564
s25pp	0.3338445759717986	0.5730184474591091	0.5142380917865503	0.47123269127851586	0.3483744360728522	0.38693468847196677	0.4543871948248076	0.4613962137806916	0.557913852842264	0.47055641991934644	0.5658289743085532	0.49076294998119124	0.48706082080599195	0.43141942963395075	0.35946911631575235	0.0	0.5263885137130566	0.42985761872506867	0.4208186002107711	0.43360903019560193
S13Hp	0.5485314083237967	0.7877052798111072	0.7289249241385484	0.6859195236305138	0.5630612684248502	0.6016215208239648	0.6690740271768056	0.6760830461326897	0.7726006851942621	0.6852432522713444	0.7805158066605511	0.7054497823331892	0.7017476531579899	0.6461062619859488	0.5741559486677503	0.5263885137130566	0.0	0.5553971373388141	0.5463581188245166	0.5591485488093474
w9pp	0.4520005133358086	0.6911743848231192	0.6323940291505604	0.5893886286425258	0.4665303734368622	0.5050906258359769	0.5725431321888176	0.5795521511447016	0.6760697902062741	0.5887123572833565	0.6839849116725631	0.6089188873452013	0.605216758170002	0.5495753669979607	0.4776250536797624	0.42985761872506867	0.5553971373388141	0.0	0.07321621060860112	0.28894195533561867
s24pp	0.44296149482151104	0.6821353663088217	0.6233550106362629	0.5803496101282283	0.45749135492256465	0.4960516073216793	0.56350411367452	0.570513132630404	0.6670307716919766	0.5796733387690589	0.6749458931582656	0.5998798688309037	0.5961777396557044	0.5405363484836632	0.4685860351654648	0.4208186002107711	0.5463581188245166	0.07321621060860112	0.0	0.2799029368213211
s2pp	0.45575192480634186	0.6949257962936525	0.6361454406210937	0.5931400401130591	0.4702817849073955	0.5088420373065101	0.5762945436593508	0.5833035626152349	0.6798212016768074	0.5924637687538897	0.6877363231430964	0.6126702988157345	0.6089681696405352	0.553326778468494	0.48137646515029564	0.43360903019560193	0.5591485488093474	0.28894195533561867	0.2799029368213211	0.0
