	f26pp	w16pp	w18pp	w21pp	w19pp	f19pp	s24H1	w3pp	f12ppB	f16ppB	s18pp	F16H1	w25pp	f13pp	w20pp	f22ppA	f24pp	f11pp	s31pp	S10H1	f1pp	f21pp	s22pp	S19H1	F1H1	S18H1	s11pp	s10pp	S30H1	s23pp	w23pp	S23Hp	f20ppB	f8pp	f2pp	s16pp	s1pp	f10pp	f30pp	s25pp	w24pp	w17pp	w13pp	s4pp	s19pp	f14ppB	w26pp	s27pp	w11pp	S17H1	w12pp	w29pp	f31pp	F8H1	s28pp	w10pp	s24pp	s29pp	s8pp	S13Hp	S11Hp	31160	F14H1A	w27pp	S4Hp	f29pp	f14ppA	s17pp	w31pp	w6pp	s14pp	F3H1	s12pp	f22ppB	f12ppA	f17ppB	f20ppA	s21pp	f15pp	w28pp	s32pp	w32pp	530295	S26Hp	f3pp	f6ppA	S6Hp	s3pp	w1pp	w30pp	s30pp	w9pp	f17ppA	w4pp	f7pp	f4pp	w2pp	w14pp	s2pp	w7pp	s7pp	S28Hp	F6H1	S8Hp	f23ppB	f32pp	w8pp	F32H1	S27H1	w22pp	s13pp	s26pp	f18pp	S29H1	S22Hp	f9pp	w15pp	f25pp	S1Hp	S31Hp	F22HpB	S15Hp	S20H1	S12Hp	31300	530451	31071	S7Hp	S25Hp	S9H1	S14Hp	s9pp	F23HpA	f16ppA
f26pp	0.0	0.014246068371290535	0.020120672466290526	0.025359833861939577	0.02248306782873158	0.024429230380722977	0.054877488800312936	0.021260618826553796	0.02184135434713559	0.024085071172057618	0.03223202290244517	0.03344878756711668	0.02745228782761988	0.0350298318919032	0.02363859722408564	0.040795268493625775	0.03700568405491222	0.03982984330902263	0.05346093060762562	0.05550064122201778	0.05428983479003838	0.060042597176236515	0.07382625975183797	0.08669850998797801	0.09464179326799867	0.08711070040091212	0.050795678992723595	0.05433991337437502	0.05551583533290719	0.047972004392041995	0.0483910917186855	0.04067037504805152	0.033417205016190804	0.033754733451915875	0.03244431945834709	0.04825191237722708	0.03995342169119927	0.04737791208271599	0.04138154515254555	0.03448755544716349	0.031287729440077634	0.031165190118356077	0.03681182154161171	0.046294838004639544	0.04776501002115979	0.026734954698869794	0.0281832922181096	0.03566397087684597	0.027632826569988757	0.02870056857581489	0.035691768648855315	0.04046235995440488	0.05430844292166338	0.04078456143476345	0.038915592878372623	0.03767177026644568	0.04302105122538533	0.034317190529796614	0.039320939835187016	0.08903241509213398	0.04911883719385979	0.07714348682433675	0.050751128811265825	0.051050822798236126	0.07611339752495622	0.03089144146264631	0.02964469610605358	0.027420897919497964	0.03429042465947463	0.03762704685534331	0.042778083834261384	0.06035465156045795	0.034374300335671654	0.030138136096018123	0.03835498682977973	0.03266219789130129	0.043493214758845634	0.04200503756304466	0.0411608851432415	0.04003285802233598	0.046529624074388	0.03486199475863363	0.06918959414718262	0.048072742424784806	0.04573211779146313	0.05057935737329457	0.06418616712658297	0.0382995643326889	0.032968173667247955	0.04147412202075566	0.03687233489695785	0.034307186293362005	0.037783845798226134	0.031001561426890492	0.030496978006540755	0.038340671929920175	0.02694049164665259	0.02942115418467684	0.028883763581872883	0.031715111667381765	0.03234957592559963	0.04405940094237838	0.06793088683363922	0.04617645272435951	0.04776029243760549	0.05065793083497658	0.04895747626346546	0.058888044393347994	0.04492115843878663	0.05274684798167993	0.0535058579669635	0.058762153213698196	0.05710692497704156	0.07500802977028051	0.06709285544811383	0.0454350885190458	0.03791848048759475	0.03457611168416569	0.05191458832976895	0.06740815476685547	0.10008456349398409	0.15032595244622415	0.38234724025693895	0.4203529439464424	0.8112232510943148	0.8637275941944543	0.8820935404843931	0.7728541904565724	0.8595446848659251	0.9137909734209188	0.979948794428482	0.03399537967191961	0.03277500535398128	0.018787322767592783
w16pp	0.014246068371290535	0.0	0.011879039112263949	0.017118200507913	0.014241434474705002	0.0161875970266964	0.04663585544628636	0.013018985472527219	0.013599720993109014	0.01584343781803104	0.023990389548418593	0.025207154213090104	0.019210654473593304	0.026788198537876628	0.015396963870059063	0.03255363513959919	0.02876405070088564	0.03158820995499605	0.04521929725359905	0.0472590078679912	0.04604820143601179	0.05180096382220993	0.0655846263978114	0.07845687663395143	0.08640015991397208	0.07886906704688554	0.042554045638697025	0.04609828002034845	0.0472742019788806	0.03973037103801541	0.04014945836465893	0.032428741694024946	0.025175571662164227	0.025513100097889298	0.02420268610432051	0.04001027902320051	0.0317117883371727	0.03913627872868941	0.03313991179851897	0.026245922093136913	0.023046096086051057	0.0229235567643295	0.028570188187585128	0.038053204650612966	0.03952337666713322	0.018493321344843217	0.01994165886408302	0.02742233752281939	0.01939119321596218	0.020458935221788314	0.027450135294828735	0.0322207266003783	0.04606680956763681	0.032542928080736874	0.030673959524346046	0.029430136912419105	0.034779417871358756	0.026075557175770037	0.031079306481160435	0.0807907817381074	0.040877203839833204	0.06890185347031016	0.04250949545723924	0.04280918944420954	0.06787176417092965	0.02264980810861973	0.021403062752027004	0.019179264565471386	0.026048791305448047	0.02938541350131673	0.03453645048023481	0.05211301820643138	0.026132666981645073	0.021896502741991546	0.030113353475753155	0.024420564537274706	0.03525158140481906	0.033763404209018084	0.032919251789214926	0.0317912246683094	0.038287990720361424	0.02662036140460705	0.06094796079315605	0.039831109070758236	0.03749048443743655	0.04233772401926798	0.0559445337725564	0.03005793097866232	0.024726540313221378	0.033232488666729086	0.02863070154293127	0.026065552939335428	0.029542212444199557	0.022759928072863915	0.022255344652514178	0.0300990385758936	0.018698858292626012	0.021179520830650264	0.020642130227846306	0.02347347831335519	0.02410794257157305	0.035817767588351805	0.05968925347961265	0.03793481937033293	0.03951865908357892	0.042416297480949994	0.04071584290943889	0.05064641103932142	0.03667952508476005	0.04450521462765336	0.045264224612936915	0.05052051985967161	0.04886529162301498	0.06676639641625394	0.05885122209408726	0.03719345516501922	0.02967684713356817	0.026334478330139115	0.043672954975742376	0.05916652141282889	0.09184293013995751	0.1420843190921976	0.3741056069029124	0.41211131059241585	0.8029816177402882	0.8554859608404277	0.8738519071303665	0.7646125571025458	0.8513030515118984	0.9055493400668921	0.9717071610744554	0.02575374631789303	0.0245333719999547	0.010545689413566206
w18pp	0.020120672466290526	0.011879039112263949	0.0	0.005741461723978569	0.0045463615422030226	0.006492524094194423	0.04063140489621949	0.007014534922460349	0.007595270443042144	0.009838987267964172	0.02093943147956195	0.02215619614423346	0.016159696404736662	0.023737240469019986	0.01234600580120242	0.029502677070742552	0.025713092632029	0.028537251886139408	0.0421683391847424	0.044208049799134556	0.04299724336715515	0.04875000575335329	0.06253366832895475	0.07540591856509479	0.08334920184511545	0.0758181089780289	0.039503087569840376	0.0430473219514918	0.04422324391002396	0.03667941296915877	0.03709850029580228	0.029377783625168304	0.022124613593307585	0.022462142029032656	0.02115172803546387	0.03695932095434386	0.02866083026831605	0.03608532065983277	0.03008895372966233	0.02319496402428027	0.01999513801719441	0.019872598695472855	0.025519230118728486	0.035002246581756324	0.036472418598276574	0.015442363275986574	0.016890700795226376	0.024371379453962748	0.016340235147105534	0.01740797715293167	0.024399177225972093	0.02916976853152166	0.043015851498780164	0.029491970011880232	0.027623001455489404	0.026379178843562463	0.031728459802502114	0.023024599106913395	0.028028348412303793	0.07773982366925077	0.03782624577097656	0.06585089540145353	0.0394585373883826	0.0397582313753529	0.064820806102073	0.019598850039763086	0.01835210468317036	0.01612830649661474	0.022997833236591405	0.026334455432460088	0.031485492411378165	0.049062060137574734	0.02308170891278843	0.018845544673134904	0.027062395406896513	0.021369606468418064	0.032200623335962415	0.030712446140161442	0.029868293720358284	0.02874026659945276	0.03523703265150478	0.02356940333575041	0.0578970027242994	0.03678015100190159	0.03443952636857991	0.03928676595041134	0.05289357570369975	0.02700697290980568	0.021675582244364736	0.030181530597872444	0.02557974347407463	0.023014594870478786	0.026491254375342915	0.019708970004007273	0.019204386583657536	0.027048080507036956	0.015647900223769367	0.018128562761793622	0.01759117215898966	0.02042252024449855	0.021056984502716408	0.03276680951949516	0.056638295410756004	0.03488386130147629	0.03646770101472227	0.03936533941209335	0.03766488484058224	0.047595452970464774	0.03362856701590341	0.04145425655879671	0.04221326654408027	0.04746956179081497	0.045814333554158336	0.06371543834739729	0.05580026402523061	0.03414249709616258	0.026625889064711528	0.023283520261282473	0.040621996906885734	0.05611556334397225	0.08879197207110086	0.13903336102334093	0.37105464883405576	0.4090603525235592	0.7999306596714315	0.852435002771571	0.8708009490615098	0.7615615990336891	0.8482520934430418	0.9024983819980354	0.9686562030055987	0.022702788249036383	0.02148241393109806	0.007494731344709563
w21pp	0.025359833861939577	0.017118200507913	0.005741461723978569	0.0	0.009785522937852075	0.011731685489843477	0.045870566291868545	0.012253696318109401	0.012834431838691197	0.015078148663613225	0.026178592875211	0.027395357539882512	0.021398857800385716	0.028976401864669037	0.01758516719685147	0.0347418384663916	0.03095225402767805	0.03377641328178846	0.047407500580391455	0.04944721119478361	0.048236404762804205	0.05398916714900234	0.0677728297246038	0.08064507996074384	0.0885883632407645	0.08105727037367795	0.04474224896548943	0.048286483347140856	0.049462405305673016	0.04191857436480782	0.04233766169145133	0.03461694502081736	0.027363774988956636	0.027701303424681707	0.02639088943111292	0.04219848234999291	0.0338999916639651	0.04132448205548182	0.03532811512531138	0.02843412541992932	0.025234299412843463	0.025111760091121905	0.030758391514377537	0.04024140797740537	0.04171157999392563	0.020681524671635625	0.022129862190875427	0.0296105408496118	0.021579396542754585	0.02264713854858072	0.029638338621621144	0.034408929927170706	0.04825501289442922	0.034731131407529287	0.03286216285113845	0.03161834023921151	0.03696762119815117	0.028263760502562445	0.033267509807952844	0.08297898506489981	0.043065407166625616	0.07109005679710258	0.04469769878403165	0.044997392771001954	0.07005996749772206	0.024838011435412137	0.023591266078819416	0.02136746789226379	0.028236994632240456	0.031573616828109136	0.03672465380702722	0.05430122153322379	0.028320870308437482	0.024084706068783955	0.03230155680254557	0.026608767864067115	0.03743978473161147	0.03595160753581049	0.03510745511600734	0.03397942799510181	0.04047619404715383	0.02880856473139946	0.06313616411994846	0.04201931239755064	0.03967868776422896	0.044525927346060395	0.058132737099348804	0.03224613430545473	0.026914743640013786	0.03542069199352149	0.03081890486972368	0.028253756266127836	0.03173041577099196	0.024948131399656324	0.02444354797930659	0.032287241902686004	0.020887061619418418	0.023367724157442673	0.02283033355463871	0.0256616816401476	0.02629614589836546	0.03800597091514421	0.06187745680640506	0.04012302269712534	0.041706862410371325	0.044604500807742406	0.04290404623623129	0.05283461436611383	0.03886772841155246	0.046693417954445766	0.04745242793972933	0.052708723186464024	0.05105349494980739	0.06895459974304635	0.061039425420879666	0.03938165849181163	0.031865050460360575	0.028522681656931524	0.04586115830253479	0.061354724739621294	0.09403113346674992	0.14427252241899	0.37629381022970476	0.4142995139192082	0.8051698210670806	0.8576741641672201	0.8760401104571589	0.7668007604293382	0.8534912548386908	0.9077375433936845	0.9738953644012478	0.027941949644685438	0.026721575326747113	0.012733892740358615
w19pp	0.02248306782873158	0.014241434474705002	0.0045463615422030226	0.009785522937852075	0.0	0.0028754826919291116	0.04299380025866054	0.009376930284901403	0.009957665805483198	0.012201382630405226	0.023301826842003003	0.024518591506674514	0.018522091767177715	0.02609963583146104	0.014708401163643473	0.03186507243318361	0.02807548799447005	0.03089964724858046	0.044530734547183454	0.046570445161575616	0.04535963872959621	0.05111240111579435	0.0648960636913958	0.07776831392753585	0.0857115972075565	0.07818050434046996	0.04186548293228143	0.045409717313932854	0.04658563927246502	0.03904180833159983	0.03946089565824333	0.031740178987609356	0.024487008955748638	0.02482453739147371	0.023514123397904922	0.03932171631678491	0.031023225630757104	0.03844771602227382	0.032451349092103385	0.025557359386721323	0.022357533379635468	0.02223499405791391	0.02788162548116954	0.03736464194419738	0.038834813960717626	0.017804758638427627	0.019253096157667432	0.0267337748164038	0.01870263050954659	0.019770372515372725	0.026761572588413145	0.03153216389396271	0.045378246861221216	0.031854365374321285	0.029985396817930457	0.028741574206003515	0.03409085516494317	0.025386994469354447	0.030390743774744846	0.08010221903169182	0.04018864113341762	0.06821329076389458	0.04182093275082366	0.04212062673779396	0.06718320146451405	0.021961245402204142	0.020714500045611414	0.018490701859055797	0.025360228599032458	0.02869685079490114	0.03384788777381922	0.05142445550001579	0.025444104275229484	0.021207940035575957	0.029424790769337565	0.023732001830859117	0.03456301869840347	0.033074841502602495	0.03223068908279934	0.03110266196189381	0.037599428013945835	0.025931798698191462	0.060259398086740454	0.03914254636434264	0.03680192173102096	0.0416491613128524	0.0552559710661408	0.029369368272246732	0.024037977606805788	0.0325439259603135	0.02794213883651568	0.025376990232919838	0.028853649737783968	0.022071365366448326	0.02156678194609859	0.02941047586947801	0.018010295586210423	0.020490958124234675	0.019953567521430716	0.022784915606939602	0.02341937986515746	0.035129204881936216	0.059000690773197056	0.03724625666391734	0.03883009637716332	0.04172773477453441	0.04002728020302329	0.04995784833290583	0.03599096237834446	0.043816651921237765	0.04457566190652133	0.04983195715325603	0.048176728916599396	0.06607783370983834	0.058162659387671664	0.03650489245860363	0.02898828442715258	0.025645915623723526	0.042984392269326786	0.0584779587064133	0.09115436743354191	0.141395756385782	0.3734170441964968	0.41142274788600025	0.8022930550338726	0.8547973981340121	0.8731633444239509	0.7639239943961302	0.8506144888054828	0.9048607773604765	0.9710185983680398	0.02506518361147744	0.02384480929353911	0.009857126707150617
f19pp	0.024429230380722977	0.0161875970266964	0.006492524094194423	0.011731685489843477	0.0028754826919291116	0.0	0.04493996281065194	0.011323092836892803	0.011903828357474597	0.014147545182396627	0.025247989393994405	0.026464754058665912	0.020468254319169116	0.02804579838345244	0.016654563715634875	0.03381123498517501	0.03002165054646145	0.03284580980057186	0.04647689709917486	0.048516607713567014	0.04730580128158761	0.053058563667785746	0.0668422262433872	0.07971447647952724	0.0876577597595479	0.08012666689246135	0.04381164548427283	0.04735587986592426	0.04853180182445642	0.04098797088359123	0.041407058210234736	0.033686341539600755	0.026433171507740036	0.026770699943465107	0.02546028594989632	0.041267878868776316	0.032969388182748506	0.04039387857426522	0.03439751164409478	0.02750352193871272	0.024303695931626866	0.02418115660990531	0.02982778803316094	0.039310804496188775	0.04078097651270903	0.019750921190419025	0.02119925870965883	0.0286799373683952	0.02064879306153799	0.021716535067364123	0.028707735140404547	0.03347832644595411	0.04732440941321262	0.03380052792631268	0.031931559369921855	0.030687736757994917	0.036037017716934565	0.027333157021345846	0.03233690632673625	0.08204838158368322	0.04213480368540902	0.07015945331588598	0.04376709530281506	0.04406678928978536	0.06912936401650545	0.02390740795419554	0.022660662597602816	0.020436864411047195	0.02730639115102386	0.03064301334689254	0.035794050325810615	0.05337061805200719	0.027390266827220885	0.02315410258756736	0.031370953321328963	0.02567816438285052	0.036509181250394866	0.03502100405459389	0.034176851634790735	0.03304882451388521	0.03954559056593723	0.02787796125018286	0.06220556063873186	0.041088708916334045	0.03874808428301236	0.0435953238648438	0.05720213361813221	0.03131553082423813	0.025984140158797187	0.034490088512304895	0.02988830138850708	0.027323152784911237	0.030799812289775366	0.024017527918439724	0.02351294449808999	0.03135663842146941	0.01995645813820182	0.022437120676226073	0.021899730073422115	0.024731078158931004	0.025365542417148862	0.037075367433927614	0.06094685332518846	0.03919241921590874	0.04077625892915473	0.04367389732652581	0.041973442755014696	0.05190401088489723	0.03793712493033586	0.04576281447322917	0.04652182445851273	0.05177811970524743	0.050122891468590794	0.06802399626182974	0.06010882193966307	0.03845105501059503	0.03093444697914398	0.027592078175714928	0.044930554821318185	0.0604241212584047	0.09310052998553331	0.1433419189377734	0.37536320674848817	0.4133689104379916	0.804239217585864	0.8567435606860035	0.8751095069759424	0.7658701569481217	0.8525606513574743	0.906806939912468	0.9729647609200313	0.027011346163468838	0.02579097184553051	0.011803289259142015
s24H1	0.054877488800312936	0.04663585544628636	0.04063140489621949	0.045870566291868545	0.04299380025866054	0.04493996281065194	0.0	0.03892101946585574	0.039501754986437536	0.04174547181135956	0.05569624781358436	0.056913012478255864	0.05091651273875907	0.05849405680304239	0.04710282213522483	0.06425949340476496	0.06046990896605141	0.06329406822016181	0.0769251555187648	0.07896486613315697	0.07775405970117756	0.0835068220873757	0.09729048466297716	0.1101627348991172	0.11810601817913785	0.1105749253120513	0.07425990390386278	0.07780413828551422	0.07898006024404637	0.07143622930318118	0.0718553166298247	0.06413459995919071	0.05688142992732999	0.05721895836305506	0.05590854436948628	0.07171613728836626	0.06341764660233845	0.07084213699385518	0.06484577006368474	0.057951780358302674	0.05475195435121682	0.05462941502949526	0.06027604645275089	0.06975906291577873	0.07122923493229899	0.050199179610008984	0.05164751712924878	0.05912819578798516	0.05109705148112794	0.052164793486954075	0.0591559935599945	0.06392658486554406	0.07777266783280257	0.06424878634590264	0.06237981778951181	0.06113599517758487	0.06648527613652452	0.057781415440935804	0.0627851647463262	0.11249664000327317	0.07258306210499897	0.10060771173547593	0.07421535372240501	0.07451504770937531	0.09957762243609541	0.05435566637378549	0.05310892101719277	0.05088512283063715	0.05775464957061381	0.06109127176648249	0.06624230874540057	0.08381887647159714	0.05783852524681084	0.05360236100715731	0.06181921174091892	0.05612642280244047	0.06695743966998483	0.06546926247418385	0.0646251100543807	0.06349708293347517	0.06999384898552719	0.05832621966977282	0.09265381905832182	0.07153696733592399	0.06919634270260232	0.07404358228443375	0.08765039203772215	0.06176378924382808	0.05643239857838714	0.06493834693189485	0.06033655980809703	0.05777141120450119	0.06124807070936532	0.054465786338029676	0.053961202917679946	0.06180489684105936	0.05040471655779177	0.05288537909581603	0.05234798849301207	0.055179336578520956	0.055813800836738814	0.06752362585351757	0.0913951117447784	0.0696406776354987	0.07122451734874469	0.07412215574611576	0.07242170117460464	0.08235226930448719	0.06838538334992582	0.07621107289281912	0.07697008287810268	0.08222637812483738	0.08057114988818075	0.09847225468141971	0.09055708035925303	0.06889931343018499	0.06138270539873393	0.05804033659530488	0.07537881324090814	0.09087237967799465	0.12354878840512326	0.17379017735736335	0.40581146516807814	0.4438171688575816	0.8346874760054539	0.8871918191055934	0.9055577653955322	0.7963184153677115	0.8830089097770641	0.9372551983320578	1.0034130193396211	0.05745960458305879	0.05623923026512046	0.04225154767873197
w3pp	0.021260618826553796	0.013018985472527219	0.007014534922460349	0.012253696318109401	0.009376930284901403	0.011323092836892803	0.03892101946585574	0.0	0.005018486028163569	0.007262202853085598	0.02207937783982522	0.02329614250449673	0.017299642764999935	0.024877186829283256	0.01348595216146569	0.030642623431005822	0.02685303899229227	0.029677198246402678	0.043308285545005674	0.04534799615939783	0.044137189727418424	0.04988995211361656	0.06367361468921803	0.07654586492535806	0.08448914820537871	0.07695805533829217	0.04064303393010365	0.044187268311755075	0.045363190270287235	0.03781935932942204	0.03823844665606555	0.030517729985431574	0.023264559953570855	0.023602088389295926	0.02229167439572714	0.03809926731460713	0.02980077662857932	0.03722526702009604	0.0312289000899256	0.02433491038454354	0.02113508437745768	0.021012545055736125	0.026659176478991756	0.03614219294201959	0.03761236495853985	0.016582309636249844	0.018030647155489646	0.025511325814226018	0.017480181507368804	0.01854792351319494	0.025539123586235363	0.03030971489178493	0.04415579785904344	0.030631916372143502	0.028762947815752674	0.027519125203825733	0.03286840616276539	0.024164545467176664	0.029168294772567063	0.07887977002951403	0.038966192131239835	0.0669908417617168	0.04059848374864587	0.04089817773561617	0.06596075246233626	0.020738796400026356	0.019492051043433635	0.01726825285687801	0.024137779596854675	0.027474401792723358	0.03262543877164144	0.05020200649783801	0.0242216552730517	0.019985491033398174	0.028202341767159782	0.022509552828681334	0.03334056969622569	0.03185239250042471	0.031008240080621554	0.02988021295971603	0.03637697901176805	0.02470934969601368	0.059036949084562675	0.03792009736216486	0.03557947272884318	0.040426712310674615	0.05403352206396302	0.02814691927006895	0.022815528604628005	0.03132147695813571	0.0267196898343379	0.024154541230742056	0.027631200735606185	0.020848916364270543	0.02034433294392081	0.028188026867300226	0.016787846584032637	0.019268509122056892	0.01873111851925293	0.02156246660476182	0.022196930862979677	0.03390675587975843	0.05777824177101928	0.03602380766173956	0.037607647374985544	0.040505285772356625	0.03880483120084551	0.04873539933072805	0.03476851337616668	0.042594202919059986	0.04335321290434355	0.04860950815107824	0.04695427991442161	0.06485538470766056	0.056940210385493885	0.03528244345642585	0.027765835424974798	0.024423466621545743	0.041761943267149	0.05725550970423551	0.08993191843136414	0.1401733073836042	0.372194595194319	0.4102002988838225	0.8010706060316948	0.8535749491318343	0.8719408954217731	0.7627015453939524	0.849392039803305	0.9036383283582987	0.969796149365862	0.023842734609299657	0.02262236029136133	0.008634677704972834
f12ppB	0.02184135434713559	0.013599720993109014	0.007595270443042144	0.012834431838691197	0.009957665805483198	0.011903828357474597	0.039501754986437536	0.005018486028163569	0.0	0.004693644755116923	0.022660113360407016	0.023876878025078527	0.017880378285581727	0.02545792234986505	0.014066687682047486	0.031223358951587617	0.027433774512874064	0.030257933766984473	0.043889021065587466	0.04592873167997962	0.044717925248000216	0.050470687634198354	0.06425435020979982	0.07712660044593986	0.08506988372596051	0.07753879085887397	0.04122376945068544	0.04476800383233687	0.04594392579086903	0.038400094850003834	0.03881918217664734	0.03109846550601337	0.02384529547415265	0.02418282390987772	0.022872409916308935	0.03868000283518892	0.030381512149161117	0.037806002540677834	0.03180963561050739	0.024915645905125336	0.021715819898039477	0.02159328057631792	0.02723991199957355	0.03672292846260139	0.03819310047912164	0.01716304515683164	0.01861138267607144	0.026092061334807813	0.0180609170279506	0.019128659033776734	0.026119859106817158	0.030890450412366724	0.04473653337962523	0.031212651892725297	0.02934368333633447	0.028099860724407528	0.03344914168334718	0.02474528098775846	0.02974903029314886	0.07946050555009583	0.03954692765182163	0.0675715772822986	0.041179219269227664	0.041478913256197965	0.06654148798291806	0.02131953192060815	0.020072786564015427	0.017848988377459806	0.02471851511743647	0.028055137313305153	0.03320617429222323	0.0507827420184198	0.024802390793633496	0.02056622655397997	0.028783077287741578	0.02309028834926313	0.03392130521680748	0.03243312802100651	0.03158897560120335	0.030460948480297824	0.03695771453234985	0.025290085216595475	0.059617684605144466	0.03850083288274665	0.03616020824942497	0.041007447831256406	0.054614257584544815	0.028727654790650745	0.0233962641252098	0.03190221247871751	0.027300425354919694	0.02473527675132385	0.02821193625618798	0.021429651884852338	0.0209250684645026	0.02876876238788202	0.017368582104614432	0.019849244642638687	0.019311854039834726	0.022143202125343615	0.022777666383561473	0.03448749140034023	0.05835897729160107	0.036604543182321356	0.038188382895567335	0.04108602129293842	0.039385566721427304	0.04931613485130984	0.035349248896748474	0.04317493843964178	0.04393394842492534	0.049190243671660035	0.0475350154350034	0.06543612022824236	0.05752094590607568	0.035863178977007644	0.028346570945556593	0.02500420214212754	0.0423426787877308	0.05783624522481731	0.09051265395194592	0.140754042904186	0.3727753307149008	0.4107810344044043	0.8016513415522766	0.8541556846524161	0.8725216309423549	0.7632822809145342	0.8499727753238868	0.9042190638788805	0.9703768848864438	0.02442347012988145	0.023203095811943124	0.00921541322555463
f16ppB	0.024085071172057618	0.01584343781803104	0.009838987267964172	0.015078148663613225	0.012201382630405226	0.014147545182396627	0.04174547181135956	0.007262202853085598	0.004693644755116923	0.0	0.024903830185329046	0.026120594850000553	0.020124095110503757	0.02770163917478708	0.016310404506969516	0.03346707577650965	0.02967749133779609	0.0325016505919065	0.0461327378905095	0.048172448504901655	0.04696164207292225	0.05271440445912039	0.06649806703472184	0.07937031727086188	0.08731360055088254	0.079782507683796	0.043467486275607474	0.0470117206572589	0.04818764261579106	0.04064381167492587	0.041062899001569377	0.033342182330935395	0.026089012299074676	0.026426540734799747	0.02511612674123096	0.040923719660110956	0.03262522897408315	0.04004971936559986	0.034053352435429424	0.027159362730047362	0.023959536722961507	0.02383699740123995	0.02948362882449558	0.038966645287523416	0.04043681730404367	0.019406761981753666	0.02085509950099347	0.02833577815972984	0.02030463385287263	0.021372375858698764	0.028363575931739188	0.03313416723728875	0.04698025020454726	0.033456368717647324	0.031587400161256496	0.030343577549329558	0.035692858508269205	0.026988997812680486	0.03199274711807089	0.08170422237501786	0.04179064447674366	0.06981529410722062	0.0434229360941497	0.04372263008112	0.06878520480784009	0.02356324874553018	0.022316503388937457	0.020092705202381836	0.0269622319423585	0.03029885413822718	0.035449891117145256	0.05302645884334183	0.027046107618555526	0.022809943378902	0.031026794112663604	0.02533400517418516	0.03616502204172951	0.034676844845928534	0.033832692426125376	0.03270466530521985	0.039201431357271874	0.0275338020415175	0.0618614014300665	0.040744549707668686	0.038403925074347	0.04325116465617844	0.05685797440946685	0.03097137161557277	0.025639980950131827	0.034145929303639536	0.02954414217984172	0.026978993576245877	0.030455653081110007	0.023673368709774364	0.02316878528942463	0.031012479212804048	0.019612298929536462	0.022092961467560714	0.021555570864756755	0.024386918950265644	0.025021383208483503	0.036731208225262255	0.0606026941165231	0.03884826000724338	0.04043209972048937	0.04332973811786045	0.04162928354634934	0.05155985167623187	0.0375929657216705	0.04541865526456381	0.04617766524984737	0.05143396049658207	0.049778732259925434	0.06767983705316438	0.05976466273099771	0.03810689580192967	0.03059028777047862	0.02724791896704957	0.044586395612652825	0.06007996204973934	0.09275637077686796	0.14299775972910803	0.37501904753982285	0.4130247512293263	0.8038950583771987	0.8563994014773382	0.874765347767277	0.7655259977394563	0.8522164921488089	0.9064627807038026	0.9726206017113659	0.02666718695480348	0.02544681263686515	0.011459130050476656
