	f14ppA	S2Hp	S17H1	S14Hp	w14pp	f23ppB	w11pp	w28pp	f1pp	S1Hp	F32H1	S28Hp	S9H1	F8H1	S11Hp	S18H1	s24H1	F6H1	S31Hp	S30H1	S13Hp	F7H1	w24pp	f20ppB	w22pp	S22Hp	f13pp	w29pp	S29H1	w27pp	S27H1	w17pp	f25pp	f22ppB	w25pp	w3pp	f20ppA	w20pp	f18pp	f23ppA	f26pp	F23HpA	f10pp	f19pp	S20H1	F29H1	w10pp	S6Hp	S15Hp	S19H1	F14H1A	f32pp	f17ppB	f14ppB	f2pp	w1pp	w8pp	F14H1B	w23pp	F16H1	w19pp	31749	S26Hp	F22HpB	S21H1	F3H1	S3Hp	f4pp	S12Hp	f21pp	f24pp	w26pp	w18pp	f31pp	f11pp	31519	f6ppA	w31pp	f30pp	f15pp	f12ppA	S4Hp	f6ppB	w9pp	f7pp	f16ppA	f12ppB	f8pp
f14ppA	0.0	0.10860859411709937	0.20172041350925451	0.20944275186807093	0.14549510347139888	0.08916420033955519	0.0954132889261388	0.07497851993644826	0.07657150415125626	0.08539319025525632	0.16778454305085158	0.21969758642797158	0.1377584465414633	0.22828288956701662	0.1600067936662738	0.1301969860629158	0.16426534747875526	0.1852769061907023	0.2967107159555891	0.30001785756731647	0.22801098352003948	0.2358704988463566	0.09998300858291799	0.13751092651368482	0.1304613214357787	0.1302983186064655	0.12145340141768106	0.12901164056959388	0.24669600394543367	0.1549634532670873	0.17623477098262513	0.0862950331585319	0.06433240620066236	0.11670479626934296	0.11028928471143891	0.12119152462570323	0.0740931963809309	0.078760204299057	0.13943419025662485	0.10548933585139661	0.1381122033621049	0.13896838209136397	0.10360440655239966	0.15539136435093448	0.22586741445712558	0.2778622435901664	0.14392282268661435	0.14475383424811258	0.19027268188672886	0.1934009845341467	0.17937469200646286	0.1416120022626197	0.11373685394508466	0.11906945931949817	0.11533179262996479	0.15473193467982463	0.17778297812325955	0.3183118077788094	0.17166319947799294	0.2662435401787761	0.1536811028628495	0.8008325941470076	0.8930400894361109	0.6905235364613506	0.6900636723828386	0.7004576404463396	0.5649124559802031	0.1189713402580776	0.13120784165448623	0.11106644539512035	0.09544719140823618	0.11417330141910795	0.12961597204971229	0.1469441333497501	0.10700657601923833	0.20708425006642736	0.15882014925528862	0.11512184847683386	0.10834572939263892	0.1568676750137055	0.12169986154768869	0.10343741189855117	0.08389012860281635	0.07898213692727177	0.06414813690060743	0.06582136169129445	0.061519743592891835	0.07345893059014875
S2Hp	0.10860859411709937	0.0	0.1967573473144698	0.20447968567328623	0.14053203727661415	0.0917886117862579	0.11316319739519445	0.09272842840550391	0.0943214126203119	0.10314309872431199	0.18553445151990722	0.2374474948970272	0.15550835501051896	0.24603279803607225	0.17775670213532943	0.14794689453197146	0.18201525594781093	0.20302681465975797	0.3144606244246448	0.31776776603637213	0.24576089198909512	0.25362040731541224	0.11773291705197364	0.15526083498274046	0.14821122990483437	0.14804822707552115	0.1392033098867367	0.14676154903864952	0.26444591241448934	0.17271336173614293	0.1939846794516808	0.10404494162758755	0.08208231466971799	0.1344547047383986	0.12803919318049456	0.13894143309475887	0.09184310484998653	0.09651011276811264	0.1571840987256805	0.12323924432045225	0.15586211183116055	0.15671829056041964	0.1213543150214553	0.17314127281999014	0.2436173229261812	0.2956121520592221	0.16167273115567	0.16250374271716822	0.2080225903557845	0.21115089300320233	0.1971246004755185	0.15936191073167533	0.1314867624141403	0.1368193677885538	0.13308170109902043	0.17248184314888027	0.19553288659231519	0.33606171624786507	0.18941310794704858	0.2839934486478317	0.17143101133190514	0.8185825026160632	0.9107899979051666	0.7082734449304062	0.7078135808518943	0.7182075489153953	0.5826623644492588	0.13672124872713326	0.14895775012354187	0.128816353864176	0.11319709987729183	0.13192320988816358	0.14736588051876792	0.16469404181880573	0.12475648448829398	0.224834158535483	0.17657005772434425	0.1328717569458895	0.12609563786169456	0.17461758348276113	0.13944977001674433	0.12118732036760682	0.101640037071872	0.09673204539632742	0.08189804536966308	0.0835712701603501	0.07926965206194748	0.0912088390592044
S17H1	0.20172041350925451	0.1967573473144698	0.0	0.2723396654687801	0.208392017072108	0.18490043117841304	0.2062750167873496	0.18584024779765906	0.18743323201246703	0.19625491811646711	0.2786462709120624	0.3305593142891824	0.2486201744026741	0.33914461742822744	0.2708685215274846	0.2410587139241266	0.27512707533996605	0.2961386340519131	0.4075724438167999	0.41087958542852726	0.3388727113812503	0.3467322267075674	0.21084473644412877	0.2483726543748956	0.2413230492969895	0.2411600464676763	0.23231512927889186	0.23987336843080467	0.35755773180664446	0.2658251811282981	0.2870964988438359	0.1971567610197427	0.17519413406187315	0.22756652413055378	0.2211510125726497	0.23205325248691405	0.1849549242421417	0.1896219321602678	0.25029591811783564	0.2163510637126074	0.24897393122331568	0.24983010995257476	0.21446613441361045	0.26625309221214527	0.3367291423183364	0.38872397145137727	0.2547845505478252	0.2556155621093234	0.30113440974793965	0.3042627123953575	0.2902364198676737	0.25247373012383045	0.22459858180629547	0.22993118718070896	0.22619352049117558	0.26559366254103545	0.28864470598447034	0.42917353564002025	0.28252492733920376	0.3771052680399869	0.2645428307240603	0.9116943220082184	1.0039018172973218	0.8013852643225614	0.8009254002440495	0.8113193683075505	0.675774183841414	0.2298330681192884	0.24206956951569703	0.22192817325633116	0.206308919269447	0.22503502928031877	0.24047769991092308	0.2578058612109609	0.21786830388044914	0.3179459779276381	0.26968187711649944	0.22598357633804467	0.2192074572538497	0.2677294028749163	0.23256158940889948	0.21429913975976198	0.19475185646402715	0.18984386478848256	0.17500986476181823	0.17668308955250525	0.17238147145410262	0.18432065845135956
S14Hp	0.20944275186807093	0.20447968567328623	0.2723396654687801	0.0	0.1224674371357096	0.19262276953722945	0.21399735514616602	0.19356258615647548	0.19515557037128345	0.20397725647528353	0.2863686092708788	0.3382816526479988	0.2563425127614905	0.34686695578704385	0.278590859886301	0.248781052282943	0.28284941369878247	0.3038609724107295	0.41529478217561633	0.4186019237873437	0.3465950497400667	0.35445456506638384	0.21856707480294518	0.25609499273371206	0.24904538765580592	0.24888238482649272	0.24003746763770828	0.2475957067896211	0.3652800701654609	0.27354751948711453	0.29481883720265234	0.2048790993785591	0.18291647242068956	0.2352888624893702	0.22887335093146613	0.23977559084573047	0.1926772626009581	0.1973442705190842	0.25801825647665205	0.22407340207142382	0.2566962695821321	0.2575524483113912	0.22218847277242687	0.2739754305709617	0.3444514806771528	0.3964463098101937	0.2625068889066416	0.2633379004681398	0.30885674810675606	0.31198505075417393	0.2979587582264901	0.26019606848264687	0.23232092016511188	0.23765352553952537	0.233915858849992	0.27331600089985186	0.29636704434328676	0.43689587399883667	0.2902472656980202	0.3848276063988033	0.27226516908287673	0.9194166603670348	1.011624155656138	0.8091076026813778	0.8086477386028659	0.8190417066663669	0.6834965222002304	0.2375554064781048	0.24979190787451344	0.22965051161514757	0.21403125762826342	0.23275736763913518	0.2482000382697395	0.2655281995697773	0.22559064223926556	0.32566831628645454	0.27740421547531585	0.23370591469686108	0.22692979561266613	0.2754517412337327	0.2402839277677159	0.2220214781185784	0.20247419482284357	0.19756620314729897	0.18273220312063465	0.18440542791132167	0.18010380981291904	0.19204299681017598
w14pp	0.14549510347139888	0.14053203727661415	0.208392017072108	0.1224674371357096	0.0	0.1286751211405574	0.15004970674949394	0.1296149377598034	0.1312079219746114	0.14002960807861148	0.2224209608742067	0.2743340042513267	0.19239486436481845	0.28291930739037174	0.21464321148962892	0.18483340388627095	0.21890176530211042	0.23991332401405746	0.3513471337789443	0.3546542753906716	0.2826474013433946	0.29050691666971173	0.15461942640627313	0.19214734433703995	0.18509773925913386	0.18493473642982064	0.1760898192410362	0.183648058392949	0.3013324217687888	0.20959987109044242	0.2308711888059803	0.14093145098188703	0.11896882402401748	0.1713412140926981	0.16492570253479405	0.17582794244905836	0.12872961420428602	0.13339662212241213	0.19407060807998	0.16012575367475174	0.19274862118546005	0.19360479991471913	0.1582408243757548	0.21002778217428963	0.2805038322804807	0.3324986614135216	0.19855924050996948	0.1993902520714677	0.24490909971008398	0.24803740235750182	0.234011109829818	0.19624842008597482	0.1683732717684398	0.1737058771428533	0.16996821045331992	0.20936835250317976	0.23241939594661468	0.37294822560216456	0.22629961730134807	0.3208799580021312	0.20831752068620463	0.8554690119703627	0.9476765072594661	0.7451599542847057	0.7447000902061938	0.7550940582696948	0.6195488738035583	0.17360775808143275	0.18584425947784136	0.1657028632184755	0.1500836092315913	0.16880971924246307	0.1842523898730674	0.20158055117310522	0.16164299384259345	0.2617206678897825	0.21345656707864374	0.169758266300189	0.16298214721599405	0.21150409283706062	0.17633627937104382	0.1580738297219063	0.1385265464261715	0.1336185547506269	0.11878455472396257	0.12045777951464959	0.11615616141624698	0.1280953484135039
f23ppB	0.08916420033955519	0.0917886117862579	0.18490043117841304	0.19262276953722945	0.1286751211405574	0.0	0.09371880361765027	0.07328403462795972	0.07487701884276772	0.08369870494676779	0.16609005774236305	0.21800310111948304	0.13606396123297476	0.22658840425852808	0.15831230835778526	0.12850250075442726	0.16257086217026673	0.18358242088221377	0.2950162306471006	0.29832337225882793	0.22631649821155095	0.23417601353786807	0.09828852327442945	0.1358164412051963	0.12876683612729017	0.12860383329797698	0.11975891610919252	0.12731715526110535	0.24500151863694514	0.15326896795859876	0.1745402856741366	0.08460054785004337	0.06263792089217382	0.11501031096085443	0.10859479940295037	0.1194970393172147	0.07239871107244236	0.07706571899056847	0.1377397049481363	0.10379485054290807	0.13641771805361635	0.13727389678287544	0.10190992124391113	0.15369687904244594	0.22417292914863704	0.2761677582816779	0.14222833737812582	0.14305934893962405	0.18857819657824032	0.19170649922565816	0.17768020669797432	0.13991751695413115	0.11204236863659613	0.11737497401100963	0.11363730732147626	0.1530374493713361	0.176088492814771	0.31661732247032087	0.1699687141695044	0.26454905487028757	0.15198661755436096	0.7991381088385191	0.8913456041276224	0.6888290511528621	0.6883691870743501	0.6987631551378511	0.5632179706717146	0.11727685494958906	0.1295133563459977	0.10937196008663182	0.09375270609974765	0.11247881611061941	0.12792148674122375	0.14524964804126156	0.10531209071074979	0.20538976475793883	0.15712566394680008	0.11342736316834533	0.10665124408415039	0.15517318970521696	0.12000537623920016	0.10174292659006264	0.08219564329432781	0.07728765161878323	0.0624536515921189	0.06412687638280591	0.0598252582844033	0.07176444528166022
w11pp	0.0954132889261388	0.11316319739519445	0.2062750167873496	0.21399735514616602	0.15004970674949394	0.09371880361765027	0.0	0.023519991975454905	0.03277329936577533	0.0415949854697754	0.1313650240386838	0.1832780674158038	0.10133892752929555	0.19186337055484884	0.12358727465410602	0.09377746705074805	0.12784582846658749	0.14885738717853453	0.26029119694342134	0.2635983385551487	0.1915914645078717	0.19945097983418883	0.06356348957075023	0.10109140750151706	0.09404180242361095	0.09387879959429773	0.0850338824055133	0.09259212155742612	0.2102764849332659	0.11854393425491953	0.13981525197045735	0.04987551414636413	0.044580847287516996	0.11007816314051719	0.10366265158261312	0.11456489149687746	0.06746656325210511	0.07213357117023121	0.13280755712779907	0.09886270272257082	0.13148557023327911	0.1323417489625382	0.09697777342357387	0.1487647312221087	0.21924078132829977	0.27123561046134065	0.13729618955778858	0.1381272011192868	0.18364604875790305	0.1867743514053209	0.17274805887763706	0.1349853691337939	0.10711022081625887	0.11244282619067236	0.10870515950113899	0.14810530155099885	0.17115634499443375	0.31168517464998363	0.16503656634916716	0.25961690704995033	0.14705446973402372	0.7942059610181819	0.8864134563072852	0.6838969033325248	0.6834370392540129	0.6938310073175139	0.5582858228513774	0.11234470712925182	0.12458120852566043	0.10443981226629456	0.0888205582794104	0.10754666829028217	0.12298933892088648	0.1403175002209243	0.10037994289041255	0.20045761693760156	0.15219351612646284	0.10849521534800807	0.10171909626381313	0.15024104188487972	0.11507322841886289	0.09681077876972538	0.07726349547399056	0.07235550379844598	0.05752150377178165	0.05919472856246866	0.054893110464066044	0.06683229746132296
w28pp	0.07497851993644826	0.09272842840550391	0.18584024779765906	0.19356258615647548	0.1296149377598034	0.07328403462795972	0.023519991975454905	0.0	0.012338530376084785	0.021160216480084856	0.11093025504899327	0.16284329842611325	0.080904158539605	0.1714286015651583	0.10315250566441547	0.0733426980610575	0.10741105947689696	0.12842261818884398	0.2398564279537308	0.24316356956545815	0.17115669551818116	0.17901621084449829	0.043128720581059675	0.08065663851182651	0.0736070334339204	0.07344403060460719	0.06459911341582275	0.07215735256773557	0.18984171594357535	0.09810916526522899	0.11938048298076681	0.029440745156673588	0.024146078297826452	0.08964339415082664	0.08322788259292258	0.09413012250718691	0.047031794262414564	0.05169880218054067	0.11237278813810853	0.07842793373288028	0.11105080124358857	0.11190697997284765	0.07654300443388333	0.12832996223241816	0.19880601233860923	0.2508008414716501	0.11686142056809803	0.11769243212959626	0.1632112797682125	0.16633958241563035	0.1523132898879465	0.11455060014410334	0.08667545182656833	0.09200805720098182	0.08827039051144844	0.1276705325613083	0.1507215760047432	0.2912504056602931	0.14460179735947662	0.23918213806025976	0.12661970074433318	0.7737711920284913	0.8659786873175946	0.6634621343428343	0.6630022702643223	0.6733962383278234	0.5378510538616869	0.09190993813956128	0.10414643953596989	0.08400504327660402	0.06838578928971986	0.08711189930059163	0.10255456993119594	0.11988273123123375	0.079945173900722	0.180022847947911	0.1317587471367723	0.08806044635831753	0.08128432727412259	0.12980627289518917	0.09463845942917234	0.07637600978003484	0.05682872648430001	0.051920734808755434	0.0370867347820911	0.03875995957277811	0.0344583414743755	0.04639752847163242
f1pp	0.07657150415125626	0.0943214126203119	0.18743323201246703	0.19515557037128345	0.1312079219746114	0.07487701884276772	0.03277329936577533	0.012338530376084785	0.0	0.008823686105000129	0.11252323926380127	0.16443628264092125	0.082497142754413	0.1730215857799663	0.10474548987922347	0.0749356822758655	0.10900404369170495	0.13001560240365198	0.2414494121685388	0.24475655378026615	0.17274967973298916	0.18060919505930628	0.04472170479586768	0.08224962272663451	0.0752000176487284	0.07503701481941519	0.06619209763063075	0.07375033678254357	0.19143470015838335	0.09970214948003699	0.12097346719557481	0.031033729371481585	0.02573906251263445	0.09123637836563464	0.08482086680773057	0.09572310672199491	0.04862477847722256	0.053291786395348664	0.11396577235291652	0.08002091794768827	0.11264378545839657	0.11349996418765565	0.07813598864869133	0.12992294644722616	0.20039899655341722	0.25239382568645813	0.11845440478290603	0.11928541634440426	0.1648042639830205	0.16793256663043835	0.1539062741027545	0.11614358435891134	0.08826843604137632	0.09360104141578982	0.08986337472625644	0.1292635167761163	0.1523145602195512	0.2928433898751011	0.14619478157428462	0.24077512227506775	0.12821268495914118	0.7753641762432992	0.8675716715324026	0.6650551185576422	0.6645952544791303	0.6749892225426313	0.5394440380764948	0.09350292235436927	0.10573942375077788	0.08559802749141202	0.06997877350452786	0.08870488351539962	0.10414755414600393	0.12147571544604174	0.08153815811553	0.181615832162719	0.1333517313515803	0.08965343057312553	0.08287731148893059	0.13139925710999717	0.09623144364398034	0.07796899399484283	0.05842171069910801	0.05351371902356343	0.0386797189968991	0.04035294378758611	0.0360513256891835	0.04799051268644042
S1Hp	0.08539319025525632	0.10314309872431199	0.19625491811646711	0.20397725647528353	0.14002960807861148	0.08369870494676779	0.0415949854697754	0.021160216480084856	0.008823686105000129	0.0	0.12134492536780134	0.17325796874492133	0.09131882885841307	0.18184327188396637	0.11356717598322354	0.08375736837986557	0.11782572979570502	0.13883728850765203	0.25027109827253885	0.2535782398842662	0.18157136583698924	0.18943088116330636	0.053543390899867746	0.09107130883063458	0.08402170375272847	0.08385870092341526	0.07501378373463082	0.08257202288654364	0.2002563862623834	0.10852383558403705	0.12979515329957486	0.03985541547548166	0.034560748616634517	0.10005806446963471	0.09364255291173065	0.10454479282599498	0.057446464581222635	0.06211347249934873	0.12278745845691659	0.08884260405168834	0.12146547156239663	0.12232165029165572	0.0869576747526914	0.1387446325512262	0.2092206826574173	0.2612155117904582	0.1272760908869061	0.12810710244840434	0.1736259500870206	0.17675425273443843	0.1627279602067546	0.12496527046291142	0.0970901221453764	0.1024227275197899	0.09868506083025652	0.1380852028801164	0.16113624632355128	0.3016650759791012	0.1550164676782847	0.24959680837906784	0.13703437106314126	0.7841858623472994	0.8763933576364027	0.6738768046616423	0.6734169405831304	0.6838109086466314	0.5482657241804949	0.10232460845836934	0.11456110985477796	0.0944197135954121	0.07880045960852793	0.09752656961939969	0.11296924025000402	0.13029740155004182	0.09035984421953007	0.1904375182667191	0.14217341745558038	0.09847511667712561	0.09169899759293065	0.14022094321399725	0.10505312974798042	0.08679068009884292	0.06724339680310809	0.06233540512756351	0.047501405100899174	0.049174629891586184	0.04487301179318357	0.056812198790440485
